2015II,解答,解説
1,4,4)現在の自分の病状や治療方針について、専門的な知識を持つ第三者である他施設の医師に求める意見のことを、セカンドオピニオンと言う。1)ケアプロセスとは、入院から退院までに遂行される、指示出し・指示受け、臨床倫理ヘの対応、身体抑制、説明と同意、輸血、カルテの記載、抗菌薬適正使用、安全対策、感染対策、手術実施などの、手順やルールに示される業務実施の流れのことである。2)リビングウィルとは、 自らの終末期をどのように迎えたいかについての生前の意思表示のことであり、多くの場合、一定のフォーマットに沿った書面として記録される。3)医療におけるパートナーシップとは、患者と医療者が人間として対等であることを前提として、医療者が患者の尊厳保持に努めることである。例えば重篤な病で死が切迫している患者の場合、関わる全ての医療者が、家族とともに本人の不安や苦悩、苦痛を共感し、その軽減や受容についてともに考え、方針を共有することである。5)インフォームドコンセントとは、診断・治療手順、傷病名、病状、治療の方法、治療法のもつ特徴・利点・危険性、および予後について、もしそれらが複数ある場合はその比較などを含め患者や家族が十分に理解できるように説明し、十分納得した上での医療行為実施に同意を得るための手順のことである。
2,3,「医療法」は、わが国の医療の在り方について規定した法律である。医療提供施設の規定や医療計画の策定および医療の安全について定めている。3)医療用具は薬事法改正(2005年)により「医療機器」に含まれることになった。現在、医薬品医療機器等法(2014年旧薬事法より変更)における対象は、「a.医薬品、b.医薬部外品、c.化粧品、d.医療機器、およびe.再生医療品等」と規定されている。ヘルスソフトウェアも新たに医療機器として扱うことが規定された。1)医療安全対策、2)医療計画の策定、4)インフォームドコンセント、および5)医療施設の種類、施設基準は「医療法」で規定されている。
3,2,健康保険法第1条には「労働者又はその被扶養者の業務災害以外の疾病、負傷若しくは死亡又は出産に関して保険給付を行い、もって国民の生活の安定と福社の向上に寄与することを目的とする。」とあり、1)歯列矯正(美容)、 3)ドック(健康診断)、 5)予防接種は健康保険の対象にならない。2)帝王切開は異常分娩の際に開腹し、子宮から児を取り出す緊急手術であり、健康保険が適用される。4)診療録の開示は健康保険とは無関係である。なお、先天性疾患が原因の不正咬合の治療のための歯列矯正は、保険診療の対象となる場合がある。
4,1,医療法による平成25年からの医療計画制度の下では、「5疾病 ・5事業および在宅医療」の医療連携体制の構築が進められている。ここで5疾病とは、がん、脳卒中、急性心筋梗塞、糖尿病の従来からの4大疾病に精神疾患を加えたものであり、5事業とは、救急医療、災害時における医療、へき地の医療、周産期医療、小児救急を含む小児医療のことである。
5,3,3)医療機関で受けた診療にかかる医療費のうち、受診した本人が会計窓口で支払う自己負担割合は、通常3割である。しかし、6歳未満の乳幼児は2割、75歳以上の後期高齢者は1割(現役並み所得者は3割)など、負担割合は一律ではない。1)社会保険の医療給付として現金 (現金給付 = 療養費の給付)ではなく、医療サービス(現物給付 = 療養の給付)そのものが給付されている。2)強制加入保険である国民皆保険制度(1961年)が実施されている。4)外来診療の支払いは出来高払いである。5)特定機能病院や地域医療支援病院などは、紹介患者を積極的に受け入れるよう政策的な誘導が行われているが、紹介状は必須ではない。
6,3,3)病床利用率は、当該医療機関の病床の利用の程度を把握するための指標であるが、7対1入院基本料の算定要件とはなっていない。1)「 一般病棟用の重症度、医療・看護必要度」基準により、モニタリングおよび処置などに関するA項目と、患者の状況などに関するB項目を用いて測定し、一定程度の基準と、その基準を満たす患者割合を満たす病棟であることが条件づけられている。2)平成26年度診療報酬改定で導入され、7対1入院基本料を算定する医療機関における在宅復帰率は75%以上と設定された。4)7対1入院基本料の施設基準として、「常時」入院患者 7人に対して看護職員数が1人以上であること、看護職員の最少必要数の7割以上が看護師であることなどが決められている。5)入院患者の平均在院日数が18日以内であることが決められている。
7,4.5,検査のうち、出来高算定されるのは、5)心臓カテーテル法による諸検査、4)内視鏡検査、血液採取以外の診断穿刺・検体採取料である。これら以外の検査は包括算定される。
8,2,2)医師の守秘義務は、「医師法」ではなく「刑法第134条(守秘義務)」に規定されている。1)応召義務、3)保健指導の義務、4)処方箋の交付義務、5)診療録の記載および保存の義務は「医師法」に医師の義務として規定されている。
9,2.4,臨床検査技師は、「臨床検査技師等に関する法律」により規定された国家資格で、医師または歯科医師の指示のもとに、血液などの患者から採取された試料(検体)を対象とする検体検査、病理学的検査と、生理学的検査を業とする者と定められている。生理学的検査の内容については「臨床検査技師等に関する法律施行規則」(厚生労働省令)で定められ、心電図検査、脳波検査、呼吸機能検査などとともに、2)磁気共鳴画像検査(MRI検査)、 4)超音波検査が含まれる。しかし、1)放射線照射を伴うCT検査は行えない。また、検査のための検体採取として静脈採血は実施できるが、侵襲の大きな3)動脈採血、5)内視鏡検査は、医師でなければ行えない。
10,1.5,1)縫合は医行為であり医師が行う。5)臨床検査技師は採血ができる(臨床検査技師等に関する法律第20条の2)。2)介護福祉士は心身の状況に応じた介護を行う者であって、筋肉注射などの医行為は行えない。3)動脈採血は医行為とされ、医師が行い、看護師による動脈採血は違法であるという認識が一般的 (ただし、それを禁止する条文は見当たらない)である。4)麻薬に限らず薬剤師には薬剤を処方する権限は与えられていない。
11,4,人口動態とは、ある一定期間内の人口変動で、通常は1年間の出生と死亡、および流入・流出をさすが、その他、婚姻、離婚、死産などの人口の自然的変動に関する統計を含めて、人口動態統計と呼ぶ。人口動態統計は、「戸籍法」および「死産の届出に関する規程」により届け出られた、出生、死亡、婚姻、離婚および死産について、5つの調査票に基づいて作成されている。
