2015JS,問題文,選択肢,,,,
1,データマイニングの説明として正しいのはどれか。番号を解答記入欄( 1 )にマークしなさい。,データを可視化するための技術,データを効率よく管理するための技術,データをユーザの利用目的別に振り分ける技術,データから目的データを高速に見つけ出す技術,データから新しい知識や因果関係を見つけ出す技術
2,パソコンとディスプレイをデジタル接続するために用いるコネクタはどれか。番号を解答記入欄( 2 )にマークしなさい。,,,,,
3,「ABCDEF」というデータを図に示すように4台のハードディスクに記録する方式はどれか。番号を解答記入欄( 3 )にマークしなさい。,RAID 0,RAID 1,RAID 5,RAID 6,RAID 10
4,Blu-rayディスクの読み取りに用いるのはどれか。番号を解答記入欄( 4 )にマークしなさい。,磁気,赤外線,放射線,レーザ光,マイクロ波
5,1台2TBのディスク装置4台でRAID 5を構成した場合の実効容量はどれか。番号を解答記入欄( 5 )にマークしなさい。,2TB,4TB,6TB,8TB,10TB
6,スキャナの解像度を表す単位はどれか。番号を解答記入欄( 6 )にマークしなさい。,bps,dpi,ppm,rpm,pixel
7,補助記憶装置はどれか。番号を解答記入欄( 7 )にマークしなさい。,タッチパッド,ディスプレイ,メインメモリ,ハードディスク,キャッシュメモリ
8,オペレーティングシステムの機能に含まれないのはどれか。番号を解答記入欄( 8 )にマークしなさい。,メモリ管理,プロセス管理 (タスク管理),データベースシステムの管理,言語 (日本語)環境のサポート,ユーザインターフェースの提供
9,コンパイルを必要とするプログラミング言語はどれか。番号を解答記入欄( 9 )にマークしなさい。,C,PHP,Perl,Ruby,JavaSeript
10,16進数の「58」と「47」の足し算の結果を2進数で表したのはどれか。番号を解答記入欄( 10 )にマークしなさい。,01010011,01010111, 01101001,10001111,10011111
11,音声のデー夕形式ではないのはどれか。番号を解答記入欄( 11 )にマークしなさい。,AAC,MP3,PNG,WMA,ATRAC3
12,文字符号化形式であるUTF-8について正しいのはどれか。番号を解 答 記入欄( 12 )にマークしなさい。,機種依存文字がある。,バイト長が固定である。,JISで規格化されている。,表示にはコンパイルが必要である。,Unicodeで使える文字コードである。
13,2進数1110と1011の各桁の排他的論理和(XOR)はどれか。番号を解答記入欄( 13 )にマークしなさい。,0011,0101,1010,1100,1111
14,アナログ信号を8kHzで標本化し10ビットで量子化するとき、1時間分のデータ量はどれか。番号を解答記入欄( 14 )にマークしなさい。,80キロバイト,600キロバイト,4.8メガバイト,36メガバイト,288メガバイト
15,ポート番号の説明で正しいのはどれか。番号を解答記入欄( 15 )にマークしなさい。,32ビットの2進数で表現される。,組織ごとに割り当てられる領域がある。,工場出荷時に設定される固定番号である。,通信サービスを区別するための番号である。,アクセスポイントを識別するための番号である。
16,電子メールに関係のないプロトコルはどれか。番号を解答記入欄( 16 )にマークしなさい。,SMTP,POP3,IMAP4,S/MIME,ICMP
17,pingの役割について正しいのはどれか。番号を解答記入欄( 17 )にマークしなさい。,通信先端末の反応を確認する。,サーバにファイルを転送する。,通信先までの途中経路を調べる。,ホスト名からIPアドレスを調べる。,IPアドレスからホスト名を調べる。
18,OSI参照モデルでデータ送受信のタイミングとエラー処理の制御を担当する層はどれか。番号を解答記入欄( 18 )にマークしなさい。,物理層,データリンク層,ネットワーク層,トランスポート層,セッション層
19,無線LANの規格のうち、2.4GHz帯と5GHz帯の両方の周波数の電波を用いるのはどれか。番号を解答記入欄( 19 )にマークしなさい。,IEEE802.11b,IEEE802.11g,IEEE802.11a,IEEE802.11n,IEEE802.11ac
20,サブネットマスク255.255.252.0のネットワークで割り当て可能なホストアドレスの最大数はどれか。番号を解答記入欄( 20 )にマークしなさい。,510,512,1020,1022,1024
21,DHCPの説明について正しいのはどれか。番号を解答記入欄( 21 )にマークしなさい。,時刻を同期するためのプロトコルである。,Webページを検索するためのプロトコルである。,電子メールを受信するためのプロトコルである。,IPアドレスを自動的に割り当てるためのプロトコルである。,MACアドレスからIPアドレスを求めるためのプロトコルである。
