2015IS,解答,解説
1,5,ICD-10(International Statistical Classification of Diseases and Related Health Problems 10th Revision)は国際的な疾病分類であり、コードである。アルファベット1文字に続く2桁と細分類項目として小数点以下1～2桁が付与され、全体では3～5桁のコードで構成される。ICD-10コードも文字列なので大きな範疇ではテキストであるが、コードとテキストとの最も大きな違いは前者が別に定めた内容(意味)の管理番号的要素を持つのに対して後者には管理番号的要素がなく、文を構成する文字の組み合わせで意味を表すことである。1)、2)、4)の組み合わせは正しい。3)歯式とは、歯に関する傷病名を表記する場合に必要な歯の部位もしくは歯の種類を示す記号である。歯式では、かぎ括弧の付け方で上下左右を表し、処置歯は番号で管理し(乳歯はアルファベット)、引き続いて処置を記号で記載する。記号と文字が混在しているが、視覚的で極めて判りやすいコードである。
2,5,心臓カテーテル検査は、心臓にカテーテルを挿入して行う検査の総称である。その中の冠動脈造影検査では、冠動脈の入り口までカテーテルを進め、造影剤を注入して冠動脈内の血液の流れを調べる。この時、X線を用いてリアルタイムに血液の流れを撮像する。1)PET検査は、 陽電子放射性同位元素を使った画像検査である。動画が得られるほどの信号強度はなく、数十分の集積値として画像を得る。2)造影CT検査では動画のようにして画像結果を見ることがある。しかしこれは動画ではなく、静止画を連続的に表示するものである。3)頭部MRI検査は、造影CT検査と同様に静止画を連続的に表示する場合がある。4)眼底カメラ検査は静止画である。
3,4,診療情報の一次利用とは、診療情報をその本来の目的 (患者の診療)に直接利用することである。4)診療情報提供書は、患者を他院などに紹介するときに当該患者に対する診療の継続性を保つために作られる書類であり、患者の診療目的に直接利用されるものである。4)以外は当該患者の診療に直接関係しない事項であり、一次利用ではない。なお、1)の症例報告とよく似た言葉に症例検討会がある。これは、当該患者の治療方針を立てるために院内で行う検討会であり、一次利用に該当する。
4,4,公開の原則とは、「どのような情報をどのように管理しているかを公開する必要がある」というものである。OECDの8原則は1980年にOECDの理事会で採択されたが、採択の4年前(1976年)に医療情報のデータ保護に関するIMIA(国際医療情報学連盟)でWG4の初めての国際会議が行われた。その会議で、情報には目的があり、その目的を正しく安全に実行できる環境を整えることが情報にとってのセキュリティであるということが明確に定義された。これにより「可用性」が情報セキュリティの重大要素となった。
5,3,入院診療録の法的保存期間は診療完結後5年なので、廃棄しても法律違反ではない。しかし、可能な限り長期に保存することが望ましい。2)ファクシミリは、インターネットと異なり、1対1通信なので通信途中での情報漏えいはないと考えてよい。3)当該患者に対して行った診療行為や医師の判断は開示対象となり、原則、開示が義務づけられる。ただし、開示することで当該患者に著しい損失が及ぶことが明確な場合は、その理由を明記して拒否することは可能である。また、開示部分の中に家族や他の患者の情報が含まれている場合、その部分は黒塗りするなどして非開示とする必要がある。4)調剤済みの処方箋については電子保存も認められており、インデックスをつけることには問題がない。5)社会的責任を全うする上でも公表することが常識である。
6,1,個人データの第三者提供については、「医療・介護関係事業者における個人情報の適切な取扱いのためのガイドライン」によれば、1)基本的に診療情報の第三者提供には本人の同意が必要である。なお、診療情報の開示請求権は本人または本人の法定代理人だけに認められるが、弁護士は、通常、法定代理人ではない。ただし、これには例外があり、2)、 3)は公衆衛生の向上のため、4)は児童の健全な育成の推進のために特に必要があり、本人の同意を得ることが困難な場合に相当する。5)は人の生命、身体または財産の保護のために必要で、本人の同意を得ることが困難な場合に相当する。
7,3,3)は電子保存された文書を管理運用する上で必要な要件ではあるが、電子保存の3基準はあくまで「電子保存」する上で必要とされる基準である。3)以外の選択肢のうち、1)、2)は真正性、4)は見読性、5)は保存性に関する要求事項である。
8,4,平成26年11月25日付で「医薬品医療機器等法」が施行された。これは薬事法等が改正されて改題された法律であり、診断・治療などを目的とした単体プログラムは医療機器として製造販売の承認・認 証等の規制対象となった。4)治療計画・方法の決定を支援するためのプログラムは治療を目的としたものといえるので、医療機器として取り扱うプログラムに該当する。一方、1)患者説明用プログラム、2)健康管理用プログラム、3)医療機器の貸し出し管理プログラム、5)医療機器で取得したデータの転送、保管、表示を行うプログラムは、医療機器として取り扱うプログラムに該当しない[「プログラムの医療機器への該当性に関する基本的な考え方について」(薬食監麻発1114第5号平成26年11月)]。
9,1,DPC(Diagnosis Procedure Combination : 診断群分類)は、急性期入院医療を対象とした診療報酬の包括評価制度(DPC/PDPS)で用いられるものであり、対象病院以外では対応の必要はない。したがって、診療所の医事会計システムに求められる機能として1)DPCへの対応の必要性は低い。2)地方公費への対応、3)医療費改定への速やかな対応、4)レセプト電算処理システムヘの対応、5)入力情報の欠落や不適切のチェックは、診療所のみならず、医事会計システム一般に求められる機能である。
10,1,医療過誤 (medical  malpractice)は、患者に損傷や健康被害が発生し、医療行為や管理上の過失が認められ、さらにその両者の間に因果関係があるものをいう。1)のレセプトチェック機能は、医療保険の診療報酬請求における点検業務に対応するものであり、医療行為やその管理を対象としていない。2)インシデントレポートで医療現場の情報収集を行い、その分析からインシデントや重大な有害事象の再発防止策をフィードバックすることは、医療過誤対策となる。3)～5)の実現も医療安全および医療過誤対策につながる。
