2015II,問題文,選択肢,,,,
1,患者が主治医以外の専門的な知識を持つ第三者に意見を求める行為はどれか。番号を解答記入欄( 1 )にマークしなさい。,ケアプロセス,リビングウィル,パートナーシップ,セカンドオピニオン,インフォームドコンセント
2,医療法に規定されていないのはどれか。番号を解答記入欄( 2 )にマークしなさい。,医療安全対策,医療計画の策定,医療用具の有効性の確保,インフォームドコンセント,医療施設の種類、施設基準
3,健康保険の適用対象となるのはどれか。番号を解答記入欄( 3 )にマークしなさい。,歯列矯正,帝王切開,脳ドック,診療録の開示,インフルエンザ予防接種
4,医療計画における「医療確保に必要な5事業」に含まれないのはどれか。番号を解答記入欄( 4 )にマークしなさい。,遠隔医療,救急医療,小児医療,災害時医療,周産期医療
5,日本の医療保険制度で正しいのはどれか。番号を解答記入欄( 5 )にマークしなさい。,現金給付である。,任意加入である。,収入により自己負担割合が異なる。,外来診療の支払いは包括払いである。,特定機能病院を受診するには紹介状が必須である。
6,7対1特別入院基本料を算定する上で関係がない調査項目はどれか。番号を解答記入欄( 6 )にマークしなさい。,看護必要度,在宅復帰率,病床利用率,看護要員数,平均在院日数
7,DPC/PDPSにおいて包括評価部分に含まれないのはどれか。番号を解答記入欄( 7 )に2つマークしなさい。,心電図検査,生化学検査,超音波検査,内視鏡検査,心臓カテーテル検査
8,医師法に規定されていないのはどれか。番号を解答記入欄( 8 )にマークしなさい。,応召義務,守秘義務,保健指導の義務,処方箋の交付義務,診療録の記載および保存の義務
9,臨床検査技師が実施できるのはどれか。番号を解答記入欄( 9 )に2つマークしなさい。,CT検査,MRI検査,動脈採血,超音波検査,内視鏡検査
10,認められているのはどれか。番号を解答記入欄( 10 )に2つマークしなさい。,医師による縫合,介護福祉士による筋肉注射,看護師による動脈採血,薬剤師による麻薬の処方,臨床検査技師による静脈採血
11,人口動態統計の調査項目でないのはどれか。番号を解答記入欄( 11 )にマークしなさい。,婚姻,死産,死亡,就業,離婚
12,プロセス(過程)に関する臨床指標はどれか。番号を解答記入欄( 12 )にマークしなさい。,医師一人当たり入院患者数,2日以内のICUへの再入室率,予定しない48時間以内の再手術率,脳梗塞患者における早期リハビリ開始率,75歳以上の入院患者における入院中の骨折率
13,病院報告から計算される平均在院日数の算定式に用いるのはどれか。番号を解答記入欄( 13 )に2つマークしなさい。,許可病床数,年(月)間外泊延目数,年(月)間退院患者数,年(月)間在院患者延数,年(月)間集中治療室利用延日数
14,誤っている組み合わせはどれか。番号を解答記入欄( 14 )にマークしなさい。,原価計算 ― 管理会計,損益計算書 ― 任意時点の財政状況,損益分岐点 ― 変動・固定費,貸借対照表 ― 資産・資本,キャッシュフロー計算書 ― 営業・投資・財務
15,インシデントレポートについて誤っているのはどれか。番号を解答記入欄( 15 )に2つマークしなさい。,アクシデントも報告する。,分析は原因の解明に役立つ。,当事者による自主的な報告である。,当事者の処罰のために用いられる。,患者に不利益が生じなければ報告しなくてよい。
16,医療法および同施行規則において、医療安全管理体制として義務づけられていないのはどれか。番号を解答記入欄( 16 )にマークしなさい。,安全管理指針の整備,臨床倫理委員会の設置,医療事故等の院内報告体制,医療安全管理委員会の開催,医療安全に関する職員研修
17,臓器とその構成要素の組み合わせで誤っているのはどれか。番号を解答記入欄( 17 )にマークしなさい。,眼 ― 水晶体,心臓 ― 洞結節,腎臓 ― 糸球体,内耳 ― 三半規管,甲状腺 ― ランゲルハンス島
