2009II,問題文,選択肢,,,,
1,インフォームドコンセントについて正しいのはどれか。解答記入欄( 1 ) にマークしなさい。,電話の説明でもよい。,手術の直前に行えばよい。,第三者の同席が必要である。,患者本人に行うのが原則である。,副作用について説明する必要がない。
2,医の倫理に関連のないのはどれか。解答記入欄( 2) にマークしなさい。,リスボン宣言,ポツダム宣言,ジュネーブ宣言,ヒポクラテスの誓い,ニュルンベルク宣言
3,医療保険の給付対象とならないのはどれか。解答記入欄( 3 )にマークしなさい。,在宅酸素療法,遠隔病理診断,遠隔画像診断,遠隔ロボット手術,テレビ電話による在宅患者の診察
4,誤っているのはどれか。解答記入欄( 4 )にマークしなさい。,医療保険には大別して地域保険と職域保険がある。,後期高齢者医療保険の自己負担率は、すべて1割である。,国民健康保険の運営は、市区町村と国民健康保険組合によるものがある。,65歳未満の被保険者の自己負担率は、保険の種類を問わずすべて3割である。,全国健康保険協会管掌健康保険の対象は、中小企業の従業員とその家族である。
5,医師法で定められているのはどれか。解答記入欄( 5 )に2つマークしなさい。,応召義務,混合診察の禁止,自己診療の禁止,診療情報の守秘義務,異状死体の届出義務
6,特定健診・特定保健指導について正しいのはどれか。解答記入欄( 6 )にマークしなさい。,国民全員の義務である。,BMIは審査項目である。,運営主体は保険者である。,糖尿病を対象とした制度である。,対象にアレルギー疾患が含まれる。
7,DPCについて正しいのはどれか。解答記入欄( 7 )にマークしなさい。,全ての疾患が対象となる。,外来診療にも適用される。,病名はICD-9コードで表現される。,一度決定したコードは入院途中で変更できない。,病名と手術と処置の組み合わせでコードが決まる。
8,誤っている組み合わせはどれか。解答記入欄( 8 )にマークしなさい。,医師法 ― 診療録,医療法 ― 医療監視,薬事法 ― 医療機器,健康保険法 ― 労働災害,介護保険法 ― 指定介護老人福祉施設(旧特別養護老人ホーム)
9,正しいのはどれか。解答記入欄( 9 )にマークしなさい。,保険証はオンラインで本人確認できる。,電子的なレセプト提出は認められていない。,レセプトの内容について保険診療上の審査が行われる。,保険適用と適用外の医療を組み合わせた場合、全額を保険請求できる。,医療機関は診療を行った場合、即日レセプトを作成しなければならない。
10,正しいのはどれか。解答記入欄( 10 )にマークしなさい。,初診料と再診料は同額である。,全ての医療機関で保険診療を受けられる。,診療報酬の改定は、厚生労働大臣が決定する。,自営業者は、国民健康保険に加入することになっている。,医療費の一部負担金は、診療内容にかかわらず一定である。
11,病院とは、何床以上の医療施設か。解答記入欄( 11 )にマークしなさい。,10床,15床,20床,25床,30床
12,保険診療を行った場合、レセプトの提出先はどこか。解答記入欄( 12 )にマークしなさい。,都道府県,厚生労働省,地方厚生局,審査支払機関,社会保険事務局
13,国家資格はどれか。解答記入欄( 13 )にマークしなさい。,准看護師,臨床心理士,社会福祉士,診療情報管理士,介護支援専門員
14,介護保険制度について間違っているのはどれか。解答記入欄( 14 )に2つマークしなさい。,保険者は都道府県知事である。,保険料の納付は20歳から始まる。,居宅サービスと施設サービスがある。,自立と判定された人への給付は行なわれない。,施設利用時の食費、居住費は自己負担である。
15,正しい組み合わせはどれか。解答記入欄( 15 )にマークしなさい。,べンチマーク ― 顧客満足度,クリニカルパス ― 地域医療計画,セカンドオピニオン ― 苦情対策,アカウンタビリティ ― 結果責任,リスクマネジメント ― 医療安全管理
16,リスクマネジメントと関係のないのはどれか。解答記入欄( 16 )にマークしなさい。,4M-4E方式,スパイラルモデル,ハインリッヒの法則,スイスチーズモデル,スノーボールモデル
17,クリニカルインデイケータはどれか。解答記入欄( 17 )に2つマークしなさい。,出生率,診療科数,平均寿命,術後感染症,褥瘡発生率
18,医療用SHELLモデルのLはどれか。解答記入欄( 18 )にマークしなさい。,環境,管理,人間,手順,設備
19,小児に多い疾患はどれか。解答記入欄( 19 )にマークしなさい。,白内障,脂肪肝,心筋梗塞,骨粗鬆症,急性中耳炎
20,内分泌臓器でないのはどれか。解答記入欄( 20 )にマークしなさい。,脾臓,膵臓,副腎,甲状腺,下垂体
21,SNOMED-CTに関連のない標準看護用語分類はどれか。解答記入欄( 21 )にマークしなさい。,NANDA看護診断,看護介入分類(NIC),看護成果分類(NOC),国際看護分類(ICNP),看護実践用語標準マスタ
22,誤っているのはどれか。解答記入欄( 22 )にマークしなさい。,看護師資格は業務独占である。,助産師資格は業務独占である。,保健師資格は名称独占である。,保健師は女性に限られている。,助産師は女性に限られている。
23,酸素濃度のもっとも高い血液が流れるのはどれか。解答記入欄( 23 )に2つマークしなさい。,大動脈,大静脈,肝門脈,肺動脈,肺静脈
24,生活習慣病でないのはどれか。解答記入欄( 24 )にマークしなさい。,痛風,高血圧,脂質異常症,2型糖尿病,関節リウマチ
25,糖尿病の管理指標はどれか。解答記入欄( 25 )にマークしなさい。,アルブミン,グロブリン,アドレナリン,プロトロンビン,グリコヘモグロビン
26,冠動脈の疾患はどれか。解答記入欄( 26 )にマークしなさい。,狭心症,心房細動,心臓弁膜症,拡張型心筋症,心房中隔欠損症
27,頭蓋内出血でないのはどれか。解答記入欄( 27 )にマークしなさい。,脳出血,眼底出血,硬膜下出血,硬膜外出血,クモ膜下出血
28,核医学検査について誤っているのはどれか。解答記入欄( 28 )に2つマークしなさい。,撮像にはβ線を利用する。,撮像にはシンチカメラを使用する。,放射性医薬品は経口投与なすることはない。,放射性医薬品の放射能は時間と共に減衰する。,放射性医薬品は投与量を記録しなければならない。
29,造影剤を用いない検査はどれか。解答記入欄( 29 )に2つマークしなさい。,CT検査,MRI検査,超音波検査,核医学検査,骨塩定量検査
30,食後に採血を行った場合、影響の大きい項目はどれか。解答記入欄( 30 )に2つマークしなさい。,尿酸,血糖,中性脂肪,γ-GTP,総コレステロール
31,臨床検査の測定値を正しい結果にするために行うのはどれか。解答記入欄( 31 )にマークしなさい。,精度管理,確定診断,スクリーニング,カットオフ値設定,HLAタイピング
32,便検査で調べるのはどれか。解答記入欄( 32 )に2つマークしなさい。,寄生虫,糖の漏出,消化管出血,ホルモンの過剰分泌,たんぱく質の過剰排出
33,動画情報で結果を評価するのはどれか。解答記入欄( 33 )にマークしなさい。,脳波検査,呼吸機能検査,脳血管造影検査,心血管造影検査,聴性脳幹反応検査
34,緊急性の高い検査結果はどれか。解答記入欄( 34 )に2つマークしなさい。,血糖値の異常低値,血清尿酸値の異常高値,血清中性脂肪の異常高値,血清カリウムの異常高値,血清コレステロールの異常高値
35,正しいのはどれか。解答記入欄( 35 )に2つマークしなさい。,感度の高い検査で陽性であれば疾患を診断できる。,感度の高い検査で陰性であれば疾患を否定できる。,特異度の高い検査で陽性であれば疾患を診断できる。,特異度の高い検査で陰性であれば疾患を否定できる。,特異度の高い検査は疾患のスクリーニングに適している。
36,診断確定に使われる検査と疾患の正しい組み合わせはどれか。解答記入欄( 36 )に2つマークしなさい。,血圧 ― 貧血,尿糖 ― 痛風,脳波 ― てんかん,心電図 ― 心筋梗塞,中性脂肪 ― 糖尿病
37,ジェネリック医薬品について正しいのはどれか。解答記入欄( 37 )にマークしなさい。,剤型は先発医薬品と同じである。,商品名は先発医薬品と同じである。,有効成分は先発医薬品と同じである。,薬価は先発医薬品よりも高額である。,日本におけるシェアは約70%である。
38,薬用量の計算に使われないのはどれか。解答記入欄( 38 )にマークしなさい。,年齢,体重,腹囲,対表面積,血清クレアチニン値
39,誤っている組み合わせはどれか。解答記入欄( 39 )にマークしなさい。,外科手術 ― 肺がん,化学療法 ― 白血病,放射線治療 ― 脳腫瘍,レーザ治療 ― 子宮筋腫,内視鏡治療 ― 大腸ポリープ
40,正しいのはどれか。解答記入欄( 40 )にマークしなさい。,外来処方箋には注射薬は記載できない。,医師であれば麻薬を処方することができる。,薬剤師は注射薬の混合を行うことができる。,ジェネリック医薬品は薬価基準に収載されていない。,保険適応外薬品の副作用も医薬品副作用救済制度の対象になる。
41,診療ガイドラインについて正しいのはどれか。解答記入欄( 41 )にマークしなさい。,改訂は望ましくない。,施設間格差の解消に役立つ。,医師の裁量権は認められない。,エビデンスレベルは重視されない。,クリニカルバスとは関連なく作成される。
42,EBMについて誤っているのはどれか。解答記入欄( 42 )にマークしなさい。,批判的吟味,情報の収集,経験的判断,患者への適用,患者の問題の定式化
43,クリニカルパスの目的として誤っているのはどれか。解答記入欄( 43 )にマークしなさい。,医療の標準化,チーム医療の推進,医療スタッフの削減,患者参画型医療の実現,組織としてのケアクオリティの向上
44,目的(問題)志向型診療記録の正しい略号はどれか。解答記入欄( 44 )にマークしなさい。,EBM,DRG,CCP,SOAP,POMR
45,診療録について誤っているのはどれか。解答記入欄( 45 )にマークしなさい。,略語を用いてもよい。,記載と保管の義務が法的に定められている。,看護記録は診療録に記載しなければならない。,患者への説明内容は正確に記載すべきである。,POSに準拠して記載することが奨励されている。
