2009JS,問題文,選択肢,,,,
1,以下の足し算のうち正しいのはどれか。ただし、例えば8(n)はn進数の8を表す。解答記入欄( 1 )にマークしなさい。,10(16) + 10(2) = 20(10),10(10) + 11(2) = 111(2),10(10) + 110(2) = 10(16),12(10) + 111(2) = A(16),12(16) + 21(10) = 3F(16)
2,10進数の「65」を2進数で表したのはどれか。解答記入欄( 2 )にマークしなさい。,1100101,1010101,1010011,1000001,1011111
3,F0(16)と81(16)の論理積をとった結果を2進数で表したのはどれか。解答記入欄( 3 )にマークしなさい。,0111 0001,1000 0000,1000 1110,1111 0000,1111 0001
4,日本語を表現できない文字集合規格はどれか。解答記入欄( 4 )にマークしなさい。,EUC-JP,Unicode,JIS X 0208,Shift-JIS,ASCII
5,480KB(キロバイト)のファイルを8Mbps(メガビット毎秒)の伝送速度で伝送する時、最短所要時間はいくらか。解答記入欄( 5 )にマークしなさい。,0.48秒,0.6秒,4.8秒,48秒,60秒
6,ハードディスクのインターフェースとして使われていないのはどれか。解答記入欄( 6 )にマークしなさい。,ATA,DVI,USB,SCSI,IEEE1394
7,容量が300GBのハードディスク3台を使ってRAID5を構成した場合、利用可能な全容量はいくらになるか。解答記入欄( 7 )にマークしなさい。,300GB,450GB,600GB,900GB,上記以外
8,プログラミング言語でないのはどれか。解答記入欄( 8 )にマークしなさい。,PHP,HTML,COBOL,Pascal,FORTRAN
9,標本化定理を表す公式を選べ。ただし、Tを標本化する周期、fを必要とする最大周波数とする。解答記入欄( 9 )にマークしなさい。,f = 1 / (2πT),f = 1 / (2T),f = 1 / T,f = 2 / T,f = (2π) / T
10,オペレーティングシステムが管理しないのはどれか。解答記入欄( 10 )にマークしなさい。,電源,ユーザ,プロセス,ウイルスチェック,ファイルシステム
11,心電波形をデジタル化する際、電圧の離散化を何と呼ぶか。解答記入欄( 11 )にマークしなさい。,近似化,標本化,符号化,分子化,量子化
12,表計算ソフトで入出力できるカンマ区切りのテキストファイル形式はどれか。解答記入欄( 12 )にマークしなさい。,CSV,GIF,PDF,RTF,XML
13,以下は無線LANの不正接続防止対策の例である。(　)内に入れるべき用語を語群の中から選び、解答記入欄( 13 )~( 15 )にマークしなさい。,"""( 13 )6,( 14 )1,( 15 )3""","""( 13 )6,( 14 )2,( 15 )4""","""( 13 )7,( 14 )1,( 15 )5""","""( 13 )7,( 14 )2,( 15 )3""","""( 13 )6,( 14 )1,( 15 )4"""
