2013IS,解答,解説
1,5,5)患者の状態や経過によって検査や治療は異なるため、患者ごとに発生するデータ項目や量は異なる。すなわち、発生するデータ量は、患者の診療の経過時間に比例するわけではない。1)～4)は、医療情報データベースに格納される患者データの特徴と一致するので、いずれも正しい。
2,4,4)MFERは医用波形フォーマットの規格で、2010年に厚生労働省から出された「保健医療情報分野の標準規格として認めるべき規格について」と題する通知によって定められた8つの標準規格のひとつである。心電図、呼吸波形、脳波など、多くの医用波形が臨床現場や研究分野で利用されているが、MFERは、その医用波形を統合的に記述する規格である。1)CT検査、2)病理検査、3)MRI検査、5)内視鏡検査は医用画像であり、標準規格としてはDICOM規格が用いられている。
3,5,診療情報としての動画像には、3)腹部CT検査、MRI検査で肝臓がんなどを対象にした造影剤の急速注入後の濃染状況の変化を追うダイナミック・スタディがあるが、基本的には静止画を高速に取得している。一方、5)心臓超音波検査は、心臓の動きを観察することが目的のひとつであり、当初はアナログビデオで記録していたことから、動画像ファイルとしての保存がされている。2)PET検査では、トレーサーの経時変化を追うことがあるが、こちらも静止画の撮影が基本である。4)注腸造影検査は、透視を見ながら撮影されるが、透視画像は造影剤の流れを見るものである。診断は撮影された詳細な静止画像を基に行うのが基本で、透視画像の保存はされない。1)視野検査では緑内障などで経年的な視野の変化は重要であるが、動画像としての保存はしない。
4,4,個人情報は、生存する個人に関する情報であり、特定の個人を識別できるものである。4)の保険者番号は、保険者を識別するための番号で、個人を識別するものではない。1)職員名、2)患者番号、3)処方せん、および5)診療情報提供書は、いずれも個人を識別できる情報が含まれるので、個人情報として取り扱う必要がある。
5,4.5,4)院内症例検討会は、患者の診療情報を患者の診断・治療のために院内専門職が検討する会議であり、診療情報の一次利用にあたる。5)診療報酬明細書の作成は、医療行為の公的書類作成のための診療情報の利用であり、これも一次利用にあたる。1)～3)は、患者の診療目的のための利用や医療行為の公的書類作成のための利用ではないので、診療情報の二次利用にあたる。
6,1,1)医療情報システムの利用者が離席時に必ずログオフする、という対策は、技術的対策ではなく運用的対策である。医療情報システムの安全管理において、技術的対策のみで全ての脅威に対抗できる保証はなく、一般的には運用による対策との併用が必要である。システムが利用者識別および認証という技術的対策をとっていても、離席時にログオン状態の端末を放置すれば、正当な利用者以外の者による入力の防止や、真正性の確保が保証できない。技術的安全対策としては、利用者の識別および認証、情報の区分管理とアクセス権限の管理、アクセスの記録(アクセスログ)、不正ソフトウェア対策、ネットヮーク上からの不正アクセス対策などがある。2)～4)は、いずれも技術的安全対策に含まれる。
7,3,「医療情報システムの安全管理に関するガイドライン」は、特定分野の医療情報システムの構築に関する指針を提供するものではない。すなわち、3)地域医療情報システムを構築する場合の指針を含んではいない。ただし、地域医療情報ネットワーク構築に際しての技術的指針は第6章に詳しく書かれている。3)以外の項目は、医療情報システムの安全管理に関する内容であり、当ガイドラインに含まれている。1)運用管理については主に10章、2)情報の破棄については6章、4)スキャナなどにより電子化して保存する場合については9章、5)外部保存については8章にそれぞれ指針が記述されている。
8,2.3,2)作成の責任の所在の明確化は、電子保存の3基準のうち「真正性」の確保にあたる。3)故意または過失による虚偽入力の防止も「真正性」の確保にあたる。「見読性」の確保とは、電子媒体に保存された内容を、権限保有者からの「診療」、「患者ヘの説明」、艦査」、「訴訟」などの要求に応じて、それぞれの目的に対し支障のない応答時間やスループット、操作方法で、肉眼で見読可能な状態にできることである。すなわち、1)、4)、5)は「見読性」の確保に関連する内容である。
9,2.3,2)「責任分界点を定める」とは、利用者と事業者の責任範囲がどこで区切られるかを決めることである。この問題に限らず、契約を交わすときには事前に必ず責任分界点を定めなければならない。したがって、2)は正しい。3)可搬媒体で診療録の外部保存を行う場合の基準は、①保存先で電子保存の3基準(真正性、見読性、保存性)が確保されていること、②保存場所は、病院、診療所、またはこれに準じる医療法人等が管理する場所、または、行政機関等が開設したデータセンター、または、医療機関が民間事業者等と契約した安全な場所であるが、外部保存を行うに際して「医療情報システムの安全管理に関するガイドライン」に従うこと、ASPoSaaSを利用する事業者の場合はさらに「ASP・SaaS情報セキュリティガイドライン」と「ASP・SaaS事業者が医療情報を取り扱う際の安全管理に関するガイドライン」を守ること、③個人情報の保護に関する法律を遵守し、患者のプライバシー保護と個人情報の保護が担保されること、④委託する医療機関側の責任において行うこと、⑤事故などが起こった時の責任の所在を明確にしておくこと、と定められている。したがって、3)は正しい。1)外部保存は契約であり、医療機関が直接管理するところに保管する場合など、特殊なケースを除いて保管期間を定めない契約はあり得ない。したがって、1)は誤りである。4)保存を受託した者は、基本的に当該患者の主治医ではあり得ず、受託者が管理する診療録を分析する行為は個人情報の保護に関する法律に違反し、医療機関側がこの行為を許した場合は医師法など多くの法律に違反する。したがって、4)は誤りである。5)は誤りである。詳細は3)の解説を参照されたい。
10,1,1)が正しいことは、前間の選択肢3)の解説のなかで述べた。診療録の電子媒体での保存が認められた(いわゆる、電子保存の3基準が定められた)のは平成11年であるが、その時の通知では保存場所については何も触れられていなかった。しかし、電子媒体での保存を認めた時点で外部保存に対する要求が出るのは必然であり、どのような形で認めるかが検討された。情報技術の進展が速いことから更新が容易なガイドラインで基準を示すこととして、平成14年に外部保存が想定されるあらゆる状況を視野に入れた通知が出された。この時のガイドラインが骨子となり、平成17年に「医療情報システムの安全管理に関するガイドライン(第1版)」が作られた。2)平成14年に出された通知は、外部保存のあらゆるケースを念頭に議論されており、当然、紙媒体での保存もこれに含まれている。前間の選択肢3)の解説文のなかの①と②の部分が「必要に応じて直ちに利用できる体制を確保しておく」という文言に替わる。したがって、紙媒体は自施設に保存とした選択肢2)は誤りである。3)現時点では、ここまでの内容を義務化する形にはなっていない。したがって、3)は誤りである。4)診療録は、保存場所のいかんにかかわらず、その管理責任は医療機関の管理者(病院長など)にある。また、医療機関においては、法的に定められた保存義務期間内に情報を破棄したり毀損したりすることは許されていない。厚生労働省の通知にある「委託する側の医療機関の責任において行う」とは、情報が毀損するような場所に外部保存したこと自体が責任を全うしていないと判断されることを意味している。したがって、4)は誤りである。5)外部保存は、医療機関側の自己責任で行う行為であるから、申請して許可を受けなければならないような規制はない。したがって、5)は誤りである。
