2013JS,問題文,選択肢,,,,
1,10の12乗の接頭辞はどれか。番号を解答記入欄( 1 )にマークしなさい。,G(ギガ),K(キロ),M(メガ),P(ペタ),T(テラ)
2,16進数の「lF」を2進数で表したのはどれか。番号を解答記入欄( 2 )にマークしなさい。,00000111,00001111,00011111,00111111,01111111
3,X=1、 Y=0の場合、次の演算のうち演算結果が0になるのはどれか。番号を解答記入欄( 3 )にマークしなさい。,,,,,
4,漢字を扱え.ない文字コードはどれか。番号を解答記入欄( 4 )にマークしなさい。,EUC-JP,SO-2022-JP,JIS X 0201,JIS X 0208,UTF-8
5,1台500GBのディスク装置 5台でRAID5を構成する場合の実効容量はどれか。番号を解答記入欄( 5 )にマークしなさい。,1TB,1.25TB,1.67TB, 2TB,2.5TB
6,シート上の塗りつぶしたマークを読み取る装 置はどれか。番号を解答記入欄( 6 )にマークしなさい。,OMR,PDA,タッチパネル,バーコードリーダ,ICカードリーダ
7,消去・書き換え可能なメディアはどれか。番号を解答記入欄( 7 )にマークしなさい。,BD-R,BD-RE,CD-ROM,DVD-R,DVD-ROM
8,ディスプレイとデジタル接続するためのインターフェースはどれか。番号を解答記入欄( 8 )にマークしなさい。,IDE,PS/2,eSATA,DVI-I,RS-232C
9,SSDについて誤っているのはどれか。番号を解答記入欄( 9 )にマークしなさい。,衝撃に強い。,読み取り速度が速い。,HDDに比べ軽量である。,書き換え回数に制限がある。,磁気ディスクに記録している。
10,動画像のデータ形式はどれか。番号を解答記入欄( 10 )にマークしなさい。,AVI,GIF,PNG,JPEG,TIFF
11,アナログ信号をlkHzでサンプリングし、8ビットで量子化した場合、10秒間の信号のデータ量はどれか。番号を解答記入欄( 11 )にマークしなさい。,8キロバイト,8キロビット,10キロバイト,10キロビット,80キロバイト
12,非可逆圧縮方式はどれか。番号を解答記入欄( 12 )にマークしなさい。,LZ圧縮,予測符号化,算術符号化,ハフマ ン符号化,ランレングス符号化
13,24GHz/5GHzの周波数帯域を用い、最大伝送 速度600Mbps、実効伝送 速度100Mbps以上の無線 LANの規格はどれか。番号を解答記入欄( 13 )にマークしなさい。,ZigBee,Bluetooth,IEEE 802.11a,IEEE 802.11g,IEEE 802.11n
14,光ファイバケーブルについて正しいのはどれか。番号を解答記入欄( 14 )にマークしなさい。,カテゴリの区分がある。,電磁波の影響を受けない。,自由に折り曲げることができる。,3芯一組で用いるのが基本である。,クロスケーブルとストレートケーブルがある。
15,OSI参照モデルの第7層について正しいのはどれか。番号を解答記入欄( 15 )にマークしなさい。,通信のセッション管理を行う。,データを物理信号に対応させる。,データの表現形式を規定している。,ネットワーク間の経路を制御する。,アプリケーションサービスを提供する。
16,サブネットマスクとして誤っているのはどれか。番号を解答記入欄( 16 )にマークしなさい。,255.255.255.224,255.255.255.0,255.255.240.0,255.255.192.0,255.255.112.0
17,MACアドレスからIPアドレスを調べるプロトコルはどれか。番号を解答記入欄( 17 )にマークしなさい。,ARP,DHCP,DNS,ICMP,RARP
18,OSI参照モデルの物理層において中継を行う機器はどれか。番号を解答記入欄( 18 )にマークしなさい。,ルータ,ブリッジ,リピータ,ゲートウェイ,スイッチングハブ
19,限られたグローバルIPアドレスを有効に利用する技術はどれか。番号を解答記入欄( 19 )にマークしなさい。,DNS,NAT,NIC,UDP,UTP
20,通信プロトコルとサービスの組み合わせで誤っているのはどれか。番号を解答記入欄( 20 )にマークしなさい。,FTP ― ファイルの転送,HTTP ― WWWの閲覧,IMAP4 ー 電子メールの送信,NTP 一 時刻の同期,POP3 ー 電子メールの受信
21,VLANの説明として誤っているのはどれか。番号を解答記入欄( 21 )にマークしなさい。,同一ネットワーク内のデータが暗号化される。,スイッチ上のポートに個別のVLANを割り当てる。,物理的な接続とは異なる仮想的なネットワークを構成する。,複数の独立したVLANを同一配線上に流すことができる。,1台のスイッチを複数の独立したスイッチのように作動させる。
22,表に示す診療科に設置されたすべての端末が同じサブネットに属するために必要なネットワークアドレスの最大ビット数はどれか。番号を解答記入欄( 22 )にマークしなさい。なお、サーバは別のサブネットにあるものとする。,22ビット ,23ビット,24ビット,25ビット,26ビット
23,DNSについて正しいのはどれか。番号を解答記入欄( 23 )にマークしなさい。,ポートを変換する。,通信の経路制御を行う。,電子メールの配送先を解析する。,IPアドレスを自動的に割り振る。,MACアドレスとPアドレスを関連付ける。
24,P2Pがよく使われるサービスはどれか。番号を解答記入欄( 24 )にマークしなさい。,ASP,IP電話,SaaS,プリンタ共有,クラウドストレージ
25,概念モデルの記述として正しいのはどれか。番号を解答記入欄( 25 )にマークしなさい。,木構造で表現されるもの,物理的なデータ構造を記述したもの,現実の組織、物体などを抽象化したもの,実体と関連という概念を用いて表現したもの,2層のレコード型の階層構造で表現されるもの
26,削除,,,,,
27,表「年間休暇取得」において候補キーにならないのはどれか。番号を解答記入欄( 27 )にマークしなさい。,職員コード,職員コードと休暇開始日,職員コードと休暇終了日,職員コードと休暇開始日と休暇残日数,職員コードと休暇開始日と休暇終了日
28,DBMSの基本的な役型でないのはどれか。番号を解答記入欄( 28 )にマークしなさい。,データの真正性を保証する。,障害からの復旧手段を提供する。,データに対する問い合わせを行う。,データベースの操作手段を提供する。,データヘのアクセス権限を管理する。
29,表「検査結果表」に対して次のSQL文を実行した場合、得られる結果データの行数はどれか。番号を解答記入欄( 29 )にマークしなさい。SELECT 患者番号 FROM検査結果表 GROUP BY患者番号 HAVING COUNT(検査A)>=2,0,1,2,3,4
30,実行中のトランザクション処理が他のトランザクション処理の影響を受けない性質をあらわす用語はどれか。番号を解答記入欄( 30 )にマークしなさい。,一貫性,隔離性,原子性,耐久性,保存性
31,データベースのトランザクションについて誤っているのはどれか。番号を解答記入欄( 31 )にマークしなさい。,取り消しをアボートという。,完了をファイナライズという。,始まる前の状態に戻すことをロールバックという。,互いのロック解除待ちにより処理が進まない状態をデッドロックという。,チェックポイントよりやり直し、処理を完了させることをロールフォワードという。
32,OECDの情報システムのセキュリティのためのガイドラインにおいて、機密性(Conndentiality)、完全性(Integrity)とともに、情報セキュリテイの三大要件とされているのはどれか。番号を解答記入欄( 32 )にマークしなさい。,活動性(Activity),原子性(Atomicity),可用性(Availability),真正性(Authenticity),責任追跡性(Accountability)
33,認証局(Certincate Authority)の役割はどれか。番号を解答記入欄( 33 )にマークしなさい。,被認証者の秘密鍵を発行する。,認証者のデジタル署名を発行する。,IDが被認証者のものであることを示す証明書を発行する。,認証局の公開鍵が当該認証局のものであることを示す証明書を発行する。,被認証者の公開鍵が被認証者のものであることを示す証明書を発行する。
34,共通鍵暗号方式について誤っているのはどれか。番号を解答記入欄( 34 )にマークしなさい。,電子署名に利用される。,暗号化と復号に同じ鍵を用いる。,通信相手ごとに鍵が必要である。,相手に鍵を安全に渡す必要がある。,公開鍵暗号方式より処理時間が短い。
35,320ビットと640ビットのメッセージからハッシュ関数SHA-1で生成されるハッシュ値のビット長の組み合わせとして正しいのはどれか。 番号を解答 記入欄( 35 )にマークしなさい。,128 256,160 160,160 320,256 512,320 640
36,SSL/TLSについて誤っているのはどれか。番号を解答記入欄( 36 )にマークしなさい。,暗号化した通信に利用する。,データの改ざんを検出できる。,OSI参照モデルの第3層で動作する。,HTTPSプロトコルで用いられる。,Webでのデータ送受信の安全性を高める。
37,公衆回線をあたかも専用回線のように利用できるサービスはどれか。番号を解答記入欄( 37 )にマークしなさい。,LAN,LTE,P2P,PPP,VPN
38,本人を詐称した電話によるパスワードの不正入手などの行為を指すのはどれか。番号を解答記入欄( 38 )にマークしなさい。,フィッシング,ポートスキャン,DoSアタック,ソーシャルエンジエアリング,クロスサイトスクリプティング
39,コンピュータウイルスに感染した場合の対応として意墜がないのはどれか。番号を解答記入欄( 39 )にマークしなさい。,パスワードを変更する。,プリンタ設定を変更する。,OSのアップデートを行う。,ネットワークストレージから切り離す。,ウイルス対策ソフトのパターンファイルを更新する。
40,情報システムのアクセスログを収集する目的として誤っているのはどれか。番号を解答記入欄( 40 )にマークしなさい。,システムの障害発生を検知する。,非権限者による不正アクセスの試みを検知する。,報漏洩事件が発生した際に漏洩させた人物を特定する。,正当な利用者による本来の業務目的外のアクセスを検知する。,アクセス記録を残していることを周知して不正アクセスを抑止する。
