2013IS,問題文,選択肢,,,,
1,医療情報データベースの特徴について誤っているのはどれか。番号を解答記入欄( 1 )にマークしなさい。,患者単位の時系列データである。,患者ごとに発生するデータ項 目が異なる。,同じ項目でも患者ごとにデータ量が異なる。,データ項目数が多く、形式もさまざまである。,患者の経過時間に比例した量のデータが発生する。
2,MFERの規格が用いられる検査はどれか。番号を解答記入欄( 2 )にマークしなさい。,CT検査,病理検査,MRI検査,心電図検査,内視鏡検査
3,結果が動画像データとして保管されるのはどれか。番号を解答記入欄( 3 )にマークしなさい。,視野検査,PET検査,腹部CT検査,注腸造影検査,心臓超音波検査
4,個人情報として取り扱う必要がないのはどれか。番号を解答記入欄( 4 )にマークしなさい。,職員名,患者番号,処方せん,保険者番号,診療情報提供書
5,診療情報の二次利用にあたらないのはどれか。番号を解答記入欄( 5 )に2つマークしなさい。,症例報告,経営分析,地域がん登録,院内症例検討会での検討,診療報酬明細書の作成
6,情報システムの技術的安全対策でないのはどれか。番号を解答記入欄( 6 )にマークしなさい。,利用者は離席時に必ずログオフする。,職種によって閲覧できる情報を制限する。,端末利用時に利用者の識別および認証を行う。,情報システムを外部ネットワークに直接接続しない。,誰が、いつ、誰の、どの情報をどのように処理したかの記録を残す。
7,「医療情報システムの安全管理に関するガイドライン(第4.1版)」に含まれないのはどれか。番号を解答記入欄( 7 )にマークしなさい。,運用管理規程に関する事項,情報の破棄に関する要件と対策,地域医療情報システムを構築する場合の指針,スキャナ等により電子化して保存する場合の指針,診療録等を医療機関等の外部に保存する場合の指針
8,電子保存の3基準のうち「見読性」の確保に関係しないのはどれか。番号を解答記入欄( 8 )に2つマークしなさい。,復元可能な状態での保存,作成の責任の所在の明確化,故意または過失による虚偽入力の防止,必要に応じた情報内容の肉眼での参照,無停止運転できるようなシステムの構築
9,診療録等の外部保存について正しいのはどれか。番号を解答記入欄( 9 )に2つマークしなさい。,保管期間を定める必要はない。,保存を委託するときは、責任分界点を定めなければならない。,可搬媒体で診療録の保存を行う場合の基準は定められている。,保存を受託した者は、その診療録を分析することが許されている。,外部保存の場所は、行政機関が開設したデータセンターに限られている。
10,診療録等の外部保存について正しいのはどれか。番号を解答記入欄( 10 )にマークしなさい。,ASP型電子カルテの利用が認められている。,電磁媒体は外部保存できるが、紙媒体は自施設に保存しなければならない。,外部の施設でバックアップされた情報を即時に参照できるシステムを必要とする。,認証された外部の施設で保存を行う場合は、情報が毀損しても責任は間われない。,インターネットを介して外部保存を行う場合は、申請し許可を受けなければならない。
11,医療情報を適切に管理するための、通常運用における責任について誤っているのはどれか。番号を解答記入欄( 11 )に2つマークしなさい。,説明責任,管理責任,損害保険加入の責任,善後策を講ずる責任,定期的に見直し必要に応じて改善を行う責任
12,情報漏えい時における医療機関等の管理者の事後責任について誤っているのはどれか。番号を解答記入欄( 12 )にマークしなさい。,再発防止策を講ずる責任,事態発生を公表する責任,原因と対処法を説明する責任,原因を追及し明 らかにする責任,情報漏えいに関与した者を公表する責任
13,電子化された医療情報の特徴について誤っているのはどれか。番号を解答記入欄( 13 )に2つマークしなさい。,診療に必要な情報はすべて電子化されている。,紙の媒体やフィルム等に比べて情報の流れがわかりにくい。,電子化された医療情報は医療機関の施設内だけに存在する。,漏えい等の事態が生じた場合に、一瞬かつ大量に情報が漏えいする可能性がある。,医療従事者が情報取扱の専門家とは限らないため、その安全な保護に慣れていない。
14,病院情報システムに関係がないのはどれか。番号を解答記入欄( 14 )にマークしなさい。,HIS,RIS,SPD,PACS,MEDLINE
15,医療情報システムにおける医療過誤対策でないのはどれか。番号を解答記入欄(15)にマークしなさい。,レセプトチェック機能の充実,インシデントレポートの分析とフイードバック,患者リストバンドを用いたバーコードによる確認,クリニカルパスシステムによる標準診療プロセスの実現,オーダエントリシステムにおける各種チェック機能の充実
16,通常、患者受付窓口で入力される患者情報はどれか。番号を解答記入欄( 16 )に2つマークしなさい。,体重,住所,血液型,保険情報,感染症情報
17,入院予約について誤っているのはどれか。番号を解答記入欄( 17 )にマークしなさい。,入院日の管理が必要である。,入力は、通常、外来担当医師が行う,予約項目には、病室の種類が含まれる。,予約項目の中に患者の入院目的が含まれる。,病棟に空きベッドがあることを確認してから行われる。
18,同時に複数日の予約が行われることが多いのはどれか。番号を解答記入欄( 18 )に2つマークしなさい。,CT検査,外来診察,血液透析,放射線治療,超音波検査
19,予約が必須の検査はどれか。番号を解答記入欄( 19 )にマークしなさい。,尿検査,核医学検査,血液生化学検査,胸部単純X線検査,12誘導心電図検査
20,注射薬の運用について誤っているのはどれか。番号を解答記入欄( 20 )にマークしなさい。,重症患者ではオーダの変更が頻繁に起こる。,誤投与を防止するためにバーコードが用いられる。,連日投与する注射薬は日ごとに分割して配送されることが多い。,医事会計では実際に投与した薬剤の1日当たりの総量が必要となる。,オーダ入力の際、情報を正確に入力しておけば、実施入力は不要である。
21,採血支援システムについて誤っているのはどれか。番号を解答記入欄( 21 )にマークしなさい。,採血管は患者IDで識別する。,主に外来の採血業務を支援する。,患者の取り違えを防止する工夫が施されている。,ターンアラウンドタイムの分析などが実施できる。,患者の認証や検体の認証にはバーコードが用いられる。
22,造影CT検査時に必要とされる検査項目はどれか。番号を解答記入欄( 22 )にマークしなさい,血液型,血糖値,血清尿酸値,クレアチニン,総コレステロール値
23,放射線部門の情報システムについて誤っているのはどれか。番号を解答記入欄( 23 )にマークしなさい。,RISとPACSはDICOM規格で連携している。,RISのデータベースに記録された検査実施情報は医事会計に利用される。,患者受付番号を発行し検査室前に表示するなど患者サービス向上にも利用される。,検査予約はオープン予約とクローズ予約があり、時間や人数の制限で使い分けている。,RISの情報から検査にかかった時間を調べ、人員配置の判断に利用することができる。
24,医師がリハビリテーション依頼せんを記載する運用を行うリハビリテーション情報システムにおいて必要性が低い機能はどれか。番号を解答記入欄( 24 )にマークしなさい。,療法士が訓練記録を記載する機能,療法士が依頼せんの内容を確認する機能,実施記録を医事会計システムに伝達する機能,医師がリハビリテーション訓練予約を行う機能,医師がリハビリテーション依頼せんを登録する機能
25,看護管理を支援する情報システムの機能に含まれないのはどれか。番号を解答記入欄( 25 )に2つマークしなさい。,物流管理,空床管理,栄養管理,看護職員管理,看護勤務管理
26,看護業務を支援する情報システムの機能に含まれないのはどれか。番号を解答記入欄( 26 )にマークしなさい。,与薬管理,指示受け,患者誤認防止,看護ワークシート,インシデントレポート
27,歯科の情報システムについて誤っているのはどれか。番号を解答記入欄( 27 )にマークしなさい。,歯科独 自の検査に、歯周疾患検査がある。,病名には歯の部位を明示する必要がある。,処置の履歴は、歯単位でシステムに保持されている。,歯のない部位にも病名がつけられるようにされている。,部位を選択するとき、複数歯を同時に選べないようにされている。
28,ME機器管理システムの機能に含まれないのはどれか。番号を解答記入欄( 28 )にマークしなさい。,台帳管理,物流管理,部品在庫管理,貸出・返却管理,修理・点検・保守
