2022JS,問題文,選択肢,,,,
1,10進数の101を2進数で表したのはどれか。番号を解答記入欄( 1 )にマークしなさい。,1100101,1100011,1111001,1111101,1111110
2,読取りに青色半導体レーザを用いなければならないのはどれか。番号を解答記入欄( 2 )にマークしなさい。,CD,DVD,ICカード,SDメモリーカード,Blu-ray Disc
3,フラッシュメモリについて正しいのはどれか。番号を解答記入欄( 3 )にマークしなさい。,揮発性である。,高速回転する。,書き換えできる。,磁気で読み出す。,ランダムアクセスができない。
4,10進表記の倍数と情報の単位の接頭辞の組み合わせで正しいのはどれか。番号を解答記入欄( 4 )にマークしなさい。,103ーM,106ーG,109ーT,1012ーE,1015ーP
5,2進数「1010」と「1001」の論理演算の結果が「0111」となるのはどれか。番号を解答記入欄( 5 )にマークしなさい。,論理和(OR),論理積 (AND),否定論理和(NOR),排他的論理和(XOR),否定論理積 (NAND)
6,"""画素数1,024× 1,024の10bitグレースケール、フレームレート60fpsの非圧縮動画の1秒当たりの情報量はどれか。番号を解答記入欄( 6 )にマークしなさい。""",6Mbytes,60Mbytes,75Mbytes,600Mbytes,750Mbytes
7,バッチ処理の説明として適切なのはどれか。番号を解答記入欄( 7 )にマークしなさい。,処理を対話的に実行する方式,登録した処理を自動的に一括実行する方式,サーバとクライアントで処理を分担する方式,同一の処理を多数のコンピュータに分散する方式,複数の処理を短時間ずつ切り替えて実行する方式
8,シンクライアントの方式でないのはどれか。番号を解答記入欄( 8 )にマークしなさい。,仮想PC方式,パイプライン方式,ブレードPC方式,ネットワークブート方式,画面転送型サーバベース方式
9,仮想化の特徴でないのはどれか。番号を解答記入欄( 9 )にマークしなさい。,サーバの集約化,柔軟なリソース配分,データ処理の高速化,システムテストの効率化,スナップショットからの復元
10,RAID6で構成する場合、8TBのデータを格納するのに、1台2TBのデイスク装置は最低何台必要か。番号を解答記入欄( 10 )にマークしなさい。,4台,5台,6台,8台,12台
11,表計算ソフトウェアの操作のうち、オペレーティングシステム(OS)の機能を呼び出しているのはどれか。番号を解答記入欄( 11 )にマークしなさい。,行の挿入,列の非表示,データのソート,関数を使った計算,ワークシートの印刷
12,オペレーティングシステム(OS)から入出力装置など周辺機器を制御するためのプログラムはどれか。番号を解答記入欄( 12 )にマークしなさい。,シェル,カーネル,ドライバ,アセンブラ,ファームウェア
13,図のフローチャートで、x=17、 y=3のとき、a、 bの正しい出力の組み合わせはどれか。番号を解答記入欄( 13 )にマークしなさい。,"""a=2,b=5""","""a=4,b=3""","""a=5,b=2""","""a=6,b=5""","""a=7,b=2"""
14,プログラミング言語のソースプログラム全体を、あらかじめ機械語のプログラムに変換しておいてから実行するのはどれか。番号を解答記入欄( 14 )にマークしなさい。,手続き型言語,アセンブリ言語,コンパイラ方式,インタプリタ方式,マークアップ言語
15,スクリプト言語はどれか。番号を解答記入欄( 15 )にマークしなさい。,C#,Java,COBOL,Prolog,Python
16,ASCIIコードでは、大文字アルファベット「A」は2進数の1000001で、「B」は1000010で表される。「E」を表す2進数のASCIIコードを16進数で表したのはどれか。番号を解答記入欄( 16 )にマークしなさい。,41,45,4E,52,65
17,動画像のファイル形式はどれか。番号を解答記入欄( 17 )にマークしなさい。,BMP,MP4,PNG,FHIR,JPEG
18,周波数成分の最大値が400Hzのアナログ信号をデジタル信号へ変換する場合、必要な最低サンプリング周波数はどれか。番号を解答記入欄( 18 )にマークしなさい。,100Hz,200Hz,400Hz,800Hz,"""1,600Hz"""
19,可逆圧縮の説明として正しいのはどれか。番号を解答記入欄( 19 )にマークしなさい。,圧縮前のデータに復元できる,復元後の音声にひずみが生じる,非可逆圧縮より圧縮率が高くなる。,復元後のテキスト情報が欠損する。,圧縮前後でファイルサイズが変化しない。
20,"""グレースケール画像の各画素の明るさを4,000段階に分けたい場合、量子化に必要な最小ビット数はどれか。番号を解答記入欄( 20 )にマークしなさい。""",10,12,14,16,20
21,表「薬剤請求記録」に対して以下のSQLを実行して得られる結果はどれか。番号を解答記入欄( 21 )にマークしなさい。,病棟別・薬剤別の請求数量,指定した病棟の薬剤別の請求件数,指定した病棟の薬剤別の請求数量,指定した薬剤の病棟別の請求件数,指定した薬剤の病棟別の請求数量
22,前間の表「薬剤請求記録」の主キーとなるのはどれか。番号を解答記入欄( 22 )にマークしなさい。,病棟,薬剤コード,薬剤請求コード,病棟と薬剤コード,請求日と薬剤コード
23,関係データベースで、2つの表の両方に所属する要素を取り出す操作はどれか。番号を解答記入欄( 23 )にマークしなさい。,差,積,結合,射影,選択
24,リレーショナルデータベースについて誤っているのはどれか。番号を解答記入欄( 24 )にマークしなさい。,SQLで操作できる。,RDBMSで管理できる。,テーブル同士を関連付ける。,NoSQLデータベースである。,表形式のテーブルでデータが管理される。
25,トランザクションの前後や実施中にも整合性が保たれ、矛盾のない状態が継続される性質はどれか。番号を解答記入欄( 25 )にマークしなさい。,一貫性(consistency),原子性(atomicity),耐久性(durability),統一性(integrity),独立性 (isolation)
26,次のIPアドレスのうち、アドレス変換を行わずインターネット上の機器と直接通信できるのはどれか。番号を解答記入欄( 26 )にマークしなさい。,8.8.8.8,10.10.1.1,127.0.0.1,172.32.2.2,192.168.3.3
27,HTTPSに割り当てられているウェルノウンポート番号はどれか。番号を解答記入欄( 27 )にマークしなさい。,22,80,123,443,995
28,foobar＠hcit.jp宛にメール送信したところ“Host Unknown''と書かれたエラーメッセージが届いた。原因として正しいのはどれか。番号を解答記入欄( 28 )にマークしなさい。,迷惑メールと判定された。,送信元アドレスが存在しなかった。,送信したメールサイズが大きすぎた。,hcit.jpというメールサーバが見つからない。,hcit.jpにfoobarというユーザがない。
29,光ファイバケーブルの説明で正しいのはどれか。番号を解答記入欄( 29 )にマークしなさい。,カテゴリ分けがある。,RJ45コネクタで接続する。,8本の芯線を撚り合わせている。,マルチモードとシングルモードがある。,結線方法にストレートとクロスがある。
30,無線 LAN(2.4GHz帯)の通信で干渉源となり得るのはどれか。番号を解答記入欄( 30 )にマークしなさい。,PHS,ICタグ,携帯電話,気象レーダ,電子レンジ
31,下の図のような保守環境において、ファイアウォールはすべての通信を許可するポリシー設定をして運用している。保守ネットワークからの通信をリモートデスクトップ接続用のプロトコルのみに制限したい。ファイアウォールで変更すべき設定項目はどれか。番号を解答記入欄( 31 )にマークしなさい。,宛先ポート番号,接続許可時間帯,送信元ポート番号,宛先IPアドレス,送信元IPアドレス
32,IPアドレスが192.168.1.62のホストが属する、サブネットマスクが255.255.255.128のネットワークのネットワークアドレスはどれか。番号を解答記入欄( 32 )にマークしなさい。,192.168.1.0,192.168.1.32,192.168.1.64,192.168.1.128,192.168.1.255
33,IPv6のアドレスはどれか。番号を解答記入欄( 33 )にマークしなさい。,192.0.2.5,00:00:5E:00:53:C3,lF-E2-3D-C4-5B-A6,978-4-88412-296-6,2001:db8::8:800:200c:417a
34,DNSについて正しいのはどれか。番号を解答記入欄( 34 )にマークしなさい。,電子メールを配送する。,通信の経路制御を行う。,IPア ドレスを自動的に割り当てる,IPアドレスからMACアドレスを求める。,IPアドレスとドメイン名の対応付けをする。
35,物理的な接続とは異なる仮想的なネットワークはどれか。番号を解答記入欄( 35 )にマークしなさい。,VDI,VGA,WAN,VLAN,WINS
36,Webアプリケーションの攻撃検出と遮断を行うのはどれか。番号を解答記入欄( 36 )にマークしなさい。,DMZ,IPA,IPS,WAF,WPA
37,ユーザや情報がなりすましや偽の情報でないことを証明できることを意味する情報セキュリティの要素はどれか。番号を解答記入欄( 37 )にマークしなさい。,可用性,完全性,機密性,真正性,信頼性
38,PKIを説明する下の図中の(ア)と(イ)の組み合わせで正しいのはどれか。番号を解答記入欄( 38 )にマークしなさい。,(ア)認証局-(イ)公開鍵,(ア)認証局-(イ)証明書,(ア)認証局-(イ)秘密鍵,(ア)法務局-(イ)証明書,(ア)法務局-(イ)秘密鍵
39,デジタル署名の説明として適切なのはどれか。番号を解答記入欄( 39 )にマークしなさい。,暗号化と復号に同じ鍵を用いる。,事前に共有した鍵で本文を暗号化する。,対になっている2つの暗号鍵を用いる。,可変長の本文から固定長のビット列を出力する。,メッセージダイジェストを秘密鍵で暗号化する。
40,ランサムウェアの説明はどれか。番号を解答記入欄( 40 )にマークしなさい。,遠隔操作の裏口を設ける。,機密データを流出させる。,遠隔操作により盗撮や盗聴を行う。,データを暗号化して解除の対価を要求する。,管理者になりすましてパスワードを入力させる。
41,バイオメトリクス認証で利用しないのはどれか。番号を解答記入欄( 41 )にマークしなさい。,虹彩,指紋,静脈,歯列,声紋
42,2要素認証の組み合わせとして適切なのはどれか。番号を解答記入欄( 42 )にマークしなさい。,IDとパスワード,ICカードとSMS,ICカードとパスワード,異なる2つのパスワード,パスワードと秘密の質問
43,制御フローテストとデータフローテストを含むテスト手法はどれか。番号を解答記入欄( 43 )にマークしなさい。,トップダウンテスト,ボトムアップテスト,グレーボックステスト,プラックボックステスト,ホワイトボックステスト
44,システム開発プロセスにおける「要求分析・定義」に含まれるのはどれか。番号を解答記入欄( 44 )にマークしなさい。,コーディング,システムテスト,モジュール分割,業務フローの作成,マスタテーブルの作成
45,プロジェクト管理におけるリスク対応に含まれないのはどれか。番号を解答記入欄( 45 )にマークしなさい。,リスク回避,リスク軽減,リスク受容,リスク転嫁,リスク評価
