2022II,問題文,選択肢,,,,
1,世界医師会が採択した人体実験に関する倫理 的原則はどれか。番号を解答記入欄( 1 )にマークしなさい。,リスボン宣言,ジ ュネーブ宣言,ヘルシンキ宣言,ニュルンベ ルク綱領,ヒポクラテスの誓い
2,医療・介護関係事業者が個人の診療データを本人の同意を得ないで提供できるのはどれか。番号を解答記入欄( 2 )にマークしなさい。,学校からの欠席に関する照会,職場からの休職に関する照会,警察からの児童虐待に関する照会,製薬メーカーからの治療結果に関する照会,民間保険会社からの診断病名に関する照会
3,医療者が情報を収集、記載、蓄積、伝達、利用する場合に配慮すべき権利とは言えないのはどれか。番号を解答記人欄( 3 )にマークしなさい。,秘密が守られる権利,誤りの訂正を求める権利,自己情報を請求する権利,自己情報の流れを制御する権利,患者優位な情報に書き換えを求める権利
4,インフォームドコンセントを取得する際に適切でないのはどれか。番号を解答記入欄( 4 )にマークしなさい。,患者・家族に理解できること,医療者による説明が根拠に基づくこと,いったん決定した方針は変更ができないこと,医療者と共に最良の道筋を考えることができること,患者・家族が自由に協議して方針を決定できること
5,国民健康保険の保険者でないのはどれか。番号を解答記入欄(5)に2つマークしなさい。,国,市町村,共済組合,都道府県,国民健康保険組合
6,歯科における診療報酬請求について正しいのはどれか。番号を解答記入欄( 6 )にマークしなさい。,未コード化傷病名は存在しない。,2カ月ごと偶数月にのみ請求が行われる。,保険請求の整合性チェックは容易に行える。,診療報酬明細書(レセプト)の書式は医科と共通である。,電子レセプト請求方法は電子媒体の割合がオンラインより多い。
7,保険診療が適用されるのはどれか。番号を解答記入欄(7)に2つマークしなさい。,健康診断,自然分娩,自癬治療,美容整形,コンタクトレンズ検査
8,医療法で定められている地域の実情に応じた医療提供体制の確保を図るための計画立案の主体となるのはどれか。番号を解答記入欄( 8 )にマークしなさい。,都道府県,厚生労働省,日本病院会,各自治体の保健所,当該地域の医師会
9,法律により「名称独占」が規定されていない職種はどれか。番号を解答記入欄( 9 )にマークしなさい。,医師,看護師,保健師,薬剤師,臨床心理士
10,病床機能報告制度の目的でないのはどれか。番号を解答記入欄 ( 10 )に 2つマークしなさい。,医療機関の経営状況を把握する。,医療機関間の機能分化、連携を行う。,将来の医療圏ごとの需給関係を分析する。,医療機関が担う医療機能と資源を把握する。,患者に最適な医療機関の選択肢を提示する。
