2022IS,解答,解説
1,1.2,症候は心身に現れた病的変化であり、患者 自身が感ずる自覚的 (主 観的)なもの、他者による観察で認められる他覚的 (客観的)なものがある。1)患者が訴える症状は主観 的症候情報である。2)胸 部 X線写真の画像そのものは生体情報にあたる。しかし、所見は、医師の観測、観察によって得られるもので、客観的症候情報にあたる。3)医師の診断に至る思考は、価値判断を伴う高次の医療情報である。4)医療機関を特徴づける情報は、医療関連施設の医療情報に分類されるもので、医療の実践で生じる情報である。5)手術の承諾を得るための説明の記録は、事実の記録情報である。
2,5,1次利用とは、収集された種 々の医療情報を本来の収集 目的のために、患者に直接還元するものである。5)は保険診療における診療報酬請求に診療情報を利用するもので、患者に直接還元されるものであるから1次利用にあたる。1)～ 4)は患者に直接還元されるものではなく、いずれも2次利用にあたる。
3,2,2)医事会計システムは高いニーズがあり初期の計算機でも対応できたため、1960年代終わりには実稼働した。1)PACSは高速なプロセッサ、大容量のメモリと記憶媒体、高速なネットワークが必須であり、実用化は1980年代終わり以降であった。3)臨床検査システムは検査機器の自動化と検査機器との連携が必要であったが、計算処理に向いており1970年代に実用化された。4)看 護業務は多岐にわたり、複雑なシステムとなる上に実用的なネットワークが必要でもっとも遅くに実用化された。5)オーダエントリシステムは多数の端末とネットワークが必須であり導入コストが問題となったため、実用化は1970年代後半であった。
4,3,国内外でサイバー攻撃を受けた医療機関で患者への治療 ・検査の遅れ、入院長期化、予後不良、合併症増加などの事例が報告されており、3)を前提に対策を講ずる必要がある。医療機関においてもマルウェアは対応すべき脅威である。1)病 院情報システムヘのランサムウェアの感染。身代金要求の事案が発生しており、2)医療機器を制御するプログラムヘの感染は機器の機能を損なう可能性がある。4)ネットワークから切り離す(エアギャップ)対策をしても可搬型媒体経由での感染が起こりうる。そのため5)のような、不用意なUSBメモリの病院帯末への接続は避けるべきである。
5,5,5)ログインしたまま離席すると第三者がその端末を操作できるため、不適切である。「医療情報システムの安全管理に関するガイドライン」では、「長時間離席する際に、正当な利用者以外の者による入力のおそれがある場合には、クリアスクリーンなどの対策を実施させること」が義務づけられている。1)～ 4)は適切な行動である。
6,1,記述は社会的責務の基本であり、1)社会的な責務が正解である。2)自 身に関する責務としては、職業人としての一般的な責務が述べられている。3)患者に対する責務には、患者の個人情報が適切に扱われ、患者の権利が擁護されるよう行動する責務がある。4)医療従事者に関わる責務は、患者に対する責務に矛盾しない範囲で、患者の加療にあたる医療従事者を援助する責務を負うとされる。5)施設・雇用者に対する責務では、医療情報担当者は、施設・雇用者に対して、能力を備えること、勤勉であること、誠実であること、忠実であること、という義務を負うとされる。
7,4,4)輸 血においては、患者と異なる血液型の血液製剤の輸血 (異形輸血)や、患者の白血球に含まれる特異的な抗体(不 規則抗体)の確認不十分などの不適切な輸血によって、生命に危険を及ぼすリスクがある。このため、電子カルテシステムなどが有する患者基本情報や検査結果などの情報と、輸血管理システムが有する血液製剤の情報を突合する必要があるため、独立させることは不適切である。
8,1.4,1)画像診断専門医と主治医との間で情報共有する形態なので、D to D型である。4)TV会議システムの映像は読影に必要な精度を満たさず、かつ、画像診断専門医と主治医が直接会話する必要性は乏しいため用いられない。テレラジオロジーでは、画像診断専門医が、医療機関の外部から画像診断を行うことができる。3)人材不足の解消に寄与という利点があるが、5)セキュリテイの確保は必須であり、2)DICOMをはじめ標準規格の活用が不可欠である。
9,2.5,「オンライン診療の適切な実施に関する指針」に記載された「オンライン受診勧奨」の事例をそのまま記載したものが2)、 5)である。1)の「高血圧患者の血圧コントロールを確認」は患者の病状を判断している医療行為である。3)も疾患名を伝えているので、診断をしており医療行為である。4)についても診断し指示しているので医療行為である。
10,1,1)電子薬歴は調剤内容を記録するシステムであり、直接的に調剤行為を支援する機能はない。2)散剤調剤システム、3)自動錠剤分包システム、4)計数調剤支援システムは内服薬の調剤に使用する。5)薬剤ピッキングシステムは、内服薬と注射薬いずれの調剤にも使用する。
