2022II,解答,解説
1,3,3)ヘルシンキ宣言は、戦争 中に起こった強制的な人体実験への反省から被験者の同意を得ないで人体実験を行うことを禁じた 4)ニュルンベルク綱領を基に世界医師会が制定したもので、これらはいずれも被験者の権利と福利の尊重を目指している。1)リスボン宣言とは患者の権利宣言、2)ジュネーブ宣言とは医の倫理に関する規定で、西洋医学の始祖とされるヒポクラテスによる7項目の規範からなる 5)ヒポクラテスの誓いの精神が引き継がれたものである。
2,3,医療・介護事業者は、あらかじめ本人の同意を得ないで、個人デー タを第三者に提供してはならないが、例外の一つに、「公衆衛生の向上または児童の健全な育成の推進のために特に必要な場合であって、本人の同意を得 ることが困難であるとき」がある。 この例として、児童虐待事例についての関係機関との情報交換があげられており、3)警察からの児童虐待に関する照会は正しい。1)学校、2)職場、4)製薬メーカー (マーケティングなどを目的とする会社など)、 5)民間保険会社からの照会には、本人の同意を得る必要がある。
3,5,5)個人情報保護法において、医療・介護関係事業者は、適正な医療・介護サービスを提供するという利用目的の達成に必要な範囲内において、個人データを正確かつ最新の内容に保つよう務めなければならない。そのため患者に求められても患者優位な情報に書き換えてはならない。医療者にはそれぞれの関連法や規則による 1)守秘義務がある。また、個人情報保護法で 2)訂正請求権、3)開 示請求権が定められている。同法に明記されていないが、開示などの請求、目的外利用の禁止、不適正利用の禁上により、4)自己情報の流れを制御する権利(自己情報コントロール権)は達成される。
4,3,インフォームドコンセントの形成過程において、未来を患者一人が決めるものではない。2)医療者による説明が事実に基づき、1)患者・家族に理解でき、患者・家族は理解した内容により未来を展望でき、4)医療者とともに最良の道筋を考えることができ、5)患者・家族が自由に協議して方針を決定でき、決定した方針は患者の意向によっていつでも変えることができることが不可欠である。したがって、3)いったん決定した方針は変更ができないことは適切でない。
5,1.3,医療保険は、対象者の年齢や職業などにより健康保険 (被用者保険・職域保険)と国民健康保険 (地域保険)および後期高齢者医療制度からなっている 1)国はどの保険者にもならない。3)共済組合は健康保険である共済保険の保険者である。2)市町村は国民健康保険の保険者、4)都道府県は後期高齢者医療制度の保険者であるとともに、2018年4月より国民健康保険の保険者でもある。5)国民健康保険組合は特定の職種ごとに設立された国民健康保険の保険者である。
6,5,5)歯科でのオンライン請求率は35%(令和4年6月請求分、件数ベース)で多くはいまだにCD-Rなどの電子媒体(62.0%)により請求されており、医科の84.1%、 調剤の99.2%に比べると少ない。1)未コード化傷病名は、医科 ・歯科を問わず問題となっている。2)医科や調剤と同様、毎月行われる。3)保険請求の整合性チェックには、病名、部位、診療行為などの様々な組合せがあり、大変複雑で容易ではない。4)診療報酬明細書の書式は歯科専用である。
7,3.5,3)白癬治療、5)コンタクトレンズ検査はいずれも保険診療の対象である。保険給付の対象とならない疾患などは表に示すとおりである。保険診療の対象となる治療は、あらかじめ決められた全国共通の基準に基づき診療点数・診療報酬が計算されるため、基本的には全国どこで治療を受けても同じ医療費となる。
8,1,地域の実情に応じた医療提供体制の確保に対して、医療法第30条の4で「都道府県は、基本方針に則して、かつ、地域の実情に応じて、当該都道府県における医療提供体制の確保を図るための計画 (以下「医療計画」という。)を定めるものとする」と定められており、1)都道府県が計画立案の主体となる。
9,5,5)臨床心理士は、民間資格であり名称独占は法律に規定されていない。名称独占とは、法令によって一定の職種、施設などのみが特定の名称を使用することが認められ、他の者がその名称を使用することが禁じられているものである。1)医師、2)看護師、4)薬剤師は業務独占ならびに名称独占が規定されており、3)保健師は名称独占が規定されている国家資格である。名称独占が規定されている他職種としては、管理栄養士、公認心理師、理学療法士、作業療法士、介護福祉士、社会福祉士などがある。なお、公認心理師は名称独占が規定されている国家資格である。
10,1.5,1)医療機関の経営状況の把握、5)患者に最適な医療機関の選択肢の提示は、病院機能報告制度の目的ではない。病院機能報告制度は、各都道府県が 4)地域の医療機関が担う医療機能と資源の報告から現状を把握する。そして、3)二次、三次医療圏ごとの需給関係を分析し、バランスの取れた 2)医療機能の分化および連携を推進することが目的である。病床機能報告制度は、医療法第30条の13に基づいて実施する制度であり、報告対象は、一般病床・療養病床を有する病院・有床診療所である。
