2022JS,解答,解説
1,1,2進数は桁が一桁上がると2倍になるので、2進数と10進数の関係は以下のようになる。1(2) = 1(10)、 10(2) = 2(10)、 100(2) = 4(10)、1000(2) = 8(10)、 10000(2) = 16(10)、 100000(2) = 32(10)、1000000(2) = 64(10)　10進数の101は64 + 32 + 4 + 1と10進数の和で表すことができる。これに対応する2進数の足し算は、1000000 + 100000 + 100 + 1とあらわされる。したがって、1100101となり、答えは 1)になる。
2,5,半導体レーザを用いてデータの読み取りを行う言己録媒体にはCD、DVDとBlu-ray Discがある。前者のCDとDVDは赤色レーザを用いて読み取りを行うが、5)Blu-ray Discはより波長の短い青色レーザを用いて読み取りを行う。したがって正解は 5)である。3)ICカードは半導体集積回路にデータを記録したものである。4)SDメモリカードはフラッシュメモリが内蔵され、データの記録や読み取りができる。
3,3,3)フラッシュメモリはEEPROM(Electrically Erasable Programable ROM)が内蔵され、書き換えが可能である。1)電力供給がなくても記録を保持できる。2)ハードディスクのように回転する機構は存在しない。4)データの読み出しに磁気は用いない。5)半導体メモリなのでランダムアクセスが可能である。
4,5,情報の単位の大きさを表す接頭辞は、昇順にK(キロ)、 M(メガ)、 G(ギガ)、 T(テラ)、 P(ペタ)、 E(エクサ)になる。最も小さな情報の単位を表す接頭辞のK(キロ)は103を表し、接頭辞の並びが右に一つずれると103倍になる。したがって、5)の1015はP(ペタ)が正しい。
5,5,1)論理和は両方のビットが0のとき0で、それ以外の組み合わせでは1になる。したがって問題の論理和は「1011」になる。3)否定論理和は論理和のビット反転で「0100」になる。2)論理積は両方のビットが1のとき1で、それ以外では0になる。したがって問題の論理積は「1000」になる。この論理積のビット反転したものが5)否定論理積で「0111」になり、答えである。4)排他的論理和は2つのビットが異なるとき1で、それ以外では0になるので、問題の排他的論理和は「0011」になる。
6,3,"""画素は1,024× 1,024個すなわち1M個あり、その各画素が10bitsの情報を持つ。したがってフレームあたりの情報量は10Mbitsであり、それが1秒間に60フレームあるという設定である。したがって1秒当たりの情報量は600Mbitsであるが、選択肢はbyte単位なので、換算すると75Mbytesとなる。"""
7,2,2)蓄積されたデータに対してあらかじめ登録しておいた一連の処理を実施する方式がバッチ処理と呼ばれる。1)は処理が随時実行されるのでリアルタイム処理の一種である。3)は分散処理の一種でクライアント・サーバ方式、垂直分散方式などと呼ばれる。4)は分散コンピューティングで、大規模計算などで良く使われる。5)はタイムシェアリング(または時分割)と呼ばれ、オペレーションシステムなどで広く用いられている。
8,2,2)パイプライン方式は、複数の処理を直列につなげて前の処理の出力を次の処理の入力にし、連続的に処理する方法を指し、シンクライアントの方式とは無関係である。他はいずれもシンクライアントを実現する技術であり、1)は専用ソフト上で仮想マシンを稼働させるもの、3)は1枚の基板として実装した多数のコンピュータを集約するもの、4)は起動時に必要な情報をネットワーク上のストレージから読み込む方式、5)はリモートで稼働するマシンにタイビングやマウス操作の情報を送出して画面情報のみを受け取る方式である。
9,3,3)仮想化環境では、CPUやメモリなど仮想マシンの動作を再現するための計算が必要となるため全体の処理量が多く、同スペックのハードウェア上で動作する非仮想化環境と比べると、データ処理は遅くなる。仮想化環境では、1)1台のハードウェア上で複数のサーバを運用でき、2)各仮想マシンに割り当てるCPU数やメモリ量を設定でき、5)各仮想マシンの状態をスナップショットファイルとして保存・再現できる。またハードウェア削減により4)システムテストも効率化される。
10,3,RAID6は、データをブロックに分割した上で各デイスクに分散して格納し、さらに誤り補正用のパリティブロックを2つ持つ。したがってRAID6構成のうちディスク2本分の容量はパリティブロック分で消費され、一方でディスク2本までの障害ではデータが失われない仕組みである。8TBのデータを格納するには、データ容量分の2TB× 4台の他に2台のディスクが必要になるため、合計6台のディスクが必要となる。
11,5,5)プリンタなどの周辺機器は、デバイスドライバを通してOSが制御する。ワークシートを印刷する際にも、表計算ソフトウェアからOSに印刷情報が渡され、それを元にOSがデバイスドライバ越しにプリンタに印刷指示を送る。一方、1)～4)の操作はすべて表計算ソフトウェアの内部で完結する処理であり、OSの機能が直接利用されるものではない。
12,3,3)ドライバは、OSからデバイスを制御するソフトウェアであり、デバイスドライバともいう。1)シェルは、キーボードやマウスからの命令をカーネルに伝達するプログラムである。2)カーネルは、OSの核となる機能 (リソース管理、プログラム制御など)が組み込まれたソフトウェアである。4)アセンブラは、アセンブリ言語で書かれたプログラムを機械語のプログラムに変換するプログラムである。5)ファームウェアは、ハードウェアの基本的な制御を行うために機器に組み込まれたソフトウェアである。
13,3,xからyをa回引いたbの値が、yより小さくなったとき、終了することから、xをyで割ったときの商(a)と余り(b)を求める処理を表している。① [準備]aに0を代入し、bにxの値17を代入する。② [判断]b<yを満たすかどうかで分岐する。1回日では、b=17、 y=3であるので満たさず、③ [処理]bからyを引いた値をbに代入し、aには1を足す。② [判断]が満たされるまで、③ [処理]を繰り返し、a=5、 b=2になったとき、出力処理に分岐して終了する。
14,3,3)コンパイラ方式は、人間がプログラミング言語で作成したソースプログラムを、翻訳プログラムによってコンピュータが理解できる機械語のプログラムに変換し、実行可能なコードを生成する方式である。1)手続き型言語は、指示された手順に沿って処理をすれば問題が解けるように記述していくプログラミング言語である。2)アセンブリ言語は、2進数の機械語の命令を短いアルファベットの文字列(ニーモニックコード)に置き換え、作成の便宜を図ったプログラミング言語である。4)インタプリタ方式は、高級言語で書かれたソースプログラムを機械語に1ステップごとに解釈しながら実行する方式である。5)マークアップ言語は、テキストファイルの中に内容と同時に特定の文字列のタグを利用して付加情報を記述した言語である。
15,5,1)C#は、共通言語基盤 (共通言語ランタイムなど)が解釈する共通中間言語にコンパイルされて実行される。2)Javaは、OSやプロセッサに依存しないプログラムで、ソースコードはコンパイル時に中間コードに変化されJava仮想マシン(JVM)により実行される。3)COBOLは、会計処理などの事務処理に使われる手続き型言語でコンパイル方式の言語である。4)Prologは、 自然言語の解析などの研究のために考案された非手続き型言語で、インタプリタ方式で開発され、コンパイルして実行する。
16,2,「A」から「B」へは1000001→1000010であり、下3桁を見ると001→010となっていることがわかる。「E」は「A」から数えて5番目であることから、下3桁だけみると、001→010→011→100→101となるため、「E」を表す2進数のASCIIコードは、1000101となる。4桁ずつに区切ると01000101となり、0100(2)=4(16)、 0101(2)=5(16)と変換できるので、1000101(2)=45(16)となる。
17,2,2)MP4は、QuickTimeムービーをもとに策定されたMPEG-4形式のファイル形式で、多くのコーデックに対応し、高画質なH264にも対応している。1)BMP(Microsoft Windows Device lndependent Bitmap)形式は、Windowsで使われる標準のビットマップ画像ファイル形式である。3)PNG(Portable Network Graphics)形式は、ビットマップの可逆圧縮画像フォーマットである。4)FHIRは、HL7の内、Web通信での連携を前提にした医療データ交換の標準規格である。 5)JPEG(Joint Photographic Experts Group)形式は、ISOとITU-T(旧 CCITT)のカラー静止画像圧縮方式検討委員会によって標準化された静止画の圧縮方式である。
18,4,周波数成分の最大値がfmaxのアナログ信号をデジタル信号へ変換するのに必要なサンプリング周波数fsは、標本化定理より、fs>2fmax = 2×400Hz=800Hzで、4)が正解である。
19,1,1)可逆圧縮では、圧縮時および圧縮したデータからの復元時に情報の欠落がないため、圧縮前のデータに復元可能である。2)、3)、4)非可逆圧縮は、一般に可逆圧縮より圧縮率が高いが、復元時に情報が欠落するため、音声データではひずみが生じ、テキストデータでは内容が欠損するが、可逆圧縮ではこのような歪みや欠損は生じない。5)可逆圧縮・非可逆圧縮とも、圧縮によリファイルサイズは減少する。
20,2,"""グレースケール画像の各画素を4,000段階に量子化するのに必要な最小ビット数はlog24,000ビットである。log24,000 = log2(4×1,000) ≒ log2(4×1,024) = log2(22× 210) = log2(212) = 12であり、2)が正解である。"""
21,2,"""問題文のSQLは、「WHERE 病棟='E13'」で病棟を指定し、「GROUP BY 薬剤コード」で薬剤コード別に、「病棟」、「薬剤コード」、および「数量」の件数を出力することを意図したもので、2)が正解である。1)、4)、5)GROUP BY句で病棟が指定されていないため、「病棟別」ではない。3)、 5)COUNT(数量)は該当するレコード件数を得るもので、数量を合計するものではない。また、4)、 5)でWHERE句に薬剤が指定されていないため、「指定した薬剤」ではない。なお、問題文のSQLは一部のDBMSでは動作するが、標準SQL規格(SQL : 2016)では、GROUP BY句を使用する場合、SELECT句で指定できるのは、GROUP BY句で指定したカラム、集約関数、定数に限られる。そのため、問題のSQLのGROUP BY句は、「GROUP BY 病棟,薬剤コード」とするのが、標準SQLに準拠した正しい構文となる。"""
22,3,主キーとは、テーブル中の行を一意に識別できる列や列の組み合わせである。「薬剤請求記録」テーブルでは、3)薬剤請求コードが同一となる行は複数存在せず、行を一意に識別できるため、これが正解である、1)病棟、2)薬剤コード、4)病棟と薬剤コードの組み合わせ、5)請求日と薬剤コードの組み合わせは、いずれも同一となる行が複数存在するため、主キーとはなれない。
23,2,2)積は、2つの表の両方に属する要素を取り出す。1)差は、2つの表の一方にはあり、もう一方にはない要素を取り出す。3)結合は、複数の表を結合して1つの表のように扱う。4)射影は表から必要な列を取り出す。5)選択は、表から条件に合致した行を取り出す。
24,4,4)NoSQLは、Not only SQLの略であり、リレーショナルデータベース(関係データベース)以外のデータベースの総称である。1)SQL(Structured Query Language)は、RDMBS(リレーショナルデータベース管理システム)の操作を行うための言語である。3)、5)リレーショナルデータベースは、データは表形式のテーブルで管理され、テーブル同士を関連付けされる。
25,1,1)一貫性(consisttncy)は、トランザクションの前後や途中でも整合性が保たれ、矛盾のない状態が継続される特性である。2)原子性(atomicity)は、トランザクション処理が「すべて実行される」か「1つも実行されない」のどちらかの状態となる特性である。3)持続性(durabmty)は、トランザクションの完了時に結果が記録され、障害時にも失わない性質を指す。4)統一性(integrity)は、データベース管理で、データの形式や保存場所などの統一ができているかなどで用いられることもあるが、ACID特性には関係ない。5)独立性(isolation)は、トランザクションの過程が隠蔽され、他のトランザクションに影響しない特性である。
26,1,1)8.8.8.8は、「Google Public DNS」というGoogle社がインターネット上で無償提供しているDNSのIPアドレスを指す。2)、4)、5)は、プライベートIPアドレスであり、 自組織内でのみ利用できインターネット上にはルーティングされないため、インターネット上の機器との通信にはアドレス変換が必要である。3)127.0.0.1は、ローカルループバックアドレスやローカルホストアドレスと呼ばれ、機器自身 (自ホスト)をさす特別なアドレスであり、 自ホストからはルーティングされない。実際には、先頭が127であればよいが、一般的には127.0.0.1が用いられる。
27,4,ウェルノウンポート(well-known-port)は、よく使われるサービスやプロトコルで用いられるアドレスを指し、4)443は、Hyper Text Transfer Protocol over TLS/SSL(HTTPS)・で用いられる。1)22はSecure Shell(SSH)、 2)80はHyperText Transfer Protocol(HTTP)、 3)123はNetwork Time Protocol(NTP)、 5)995はPost Office Protocol 3 over TLS/SSL(POP3s)を表す。
28,4,"4)""Host Unknown''の ""Host"" は送信先ホストを指し、宛先のメールサーバがみつからないことを示す。1)迷惑メールと判定された場合は、送信元偽装の可能性から通常はエラーメッセージを返送しない。2)送信元アドレスの存在については、SMTPでは基本的にはチェックされない。3)メールサイズ超過では、エラーメッセージは“Message Size Exceeds''などとなる。5)送信先ホストにユーザが存在しない場合は、“User Unknown""などとなる。"
