2022IS,問題文,選択肢,,,,
1,症候的情報にあたるのはどれか。番号を解答記入欄( 1 )に2つマークしなさい。※試験当日配付の問題に訂正を加えています。,患者が訴える症状,胸部 X線写真の所見,医師の診断に至る思考,医療機関を特徴づける情報,手術の承諾を得るための説明の記録
2,医療情報の1次利用にあたるのはどれか。番号を解答記入欄( 2 )にマークしなさい。,医薬品の開発,全国がん登録,経営指標値の算出,外来受診患者数の把握,DPCによる請求の根拠
3,わが国において最も早く実稼働したシステムはどれか。番号を解答記入欄( 3 )にマークしなさい。,PACS,医事会計システム,臨床検査システム,看護業務支援システム,オーダエントリシステム
4,医療機関における情報セキュリティ上の脅威の現状について正しいのはどれか。番号を解答記入欄( 4 )にマークしなさい。,ランサムウェアの標的とはならない。,医療機器の動作に直接影響が及ぶ危険性はない。,医療安全上のリスクが顕在化する可能性がある。,インターネットから物理的に分離されていれば安全である。,USBメモリを拾得した利用者は病院端末に接続して内容を確認する。
5,医療情報の利用者が真正性を確保するためにとる行動として適切でないのはどれか。番号を解答記入欄( 5 )にマークしなさい。,確定操作を行い、入力情報に対する責任を明示する。,代行入力の場合、入力権限を持つ者が最終的に確定操作を行う。,認証番号とパスワードなどによってシステムに利用者を認識させる。,利用者の認証番号やパスワードを管理し、これを他者に利用させない。,離席するときは、次の作業のため端末にログインしたままにしておく。
6,下記の記述は、医療情報担当者倫理綱領 (Code of Ethics for Health lnformatics Professionals)における医療情報担当者が負う責務のなかのどれにあたるか。番号を解答記入欄( 6 )にマークしなさい。医療の提供や計画に必要となる保健医療福祉情報について、収集、蓄積 、伝送、利用、取り扱いが適切に行えるよう努めなければならない。,社会的な責務,自身に関する責務,患者に対する責務,医療従事者に関わる責務,施設・雇用者に対する責務
7,病院情報システムについて誤っているのはどれか。番号を解答記入欄( 7 )にマークしなさい。,電子カルテシステムは診療記録を保管管理する。,医事会計システムは診療報酬明細書の作成を行う。,オーダエントリシステムは医師の指示を他部門へ送付する。,輸血管理システムは他の病院情報システムと独立している。,往診先で用いられる携帯端末は病院情報システムの一部である。
8,テレラジオロジーについて誤っているのはどれか。番号を解答記入欄( 8 )に2つマークしなさい。,D to P型の遠隔医療である。,画像はDICOM形式で交換することが一般的である。,画像診断専門医不足を解消するための一つの手段である。,画像診断専門医がTV会議システムの映像を見て読影する。,画像データの伝送には機密性の高いネットワークが利用される。
9,厚生労働省「オンライン診療の適切な実施に関する指針」(令和4年1月一部改正)における「オンライン受診勧奨」にあたるのはどれか。番号を解答記入欄( 9 )に2つマークしなさい。,高血圧患者の血圧コントロールを確認すること,一般用医薬品を用いた自宅療養を含む経過観察をすること,具体的な疾患名を挙げて、これに罹患している旨を伝達すること,離島の患者を骨折疑いと診断し、ギプス固定などの処置の説明等を実施すること,疑われる疾患等を判断して、疾患名を列挙し受診すべき適切な診療科を選択すること
10,調剤業務に関するシステムに該当しないのはどれか。番号を解答記入欄( 10 )にマークしなさい。,電子薬歴システム,散薬調剤システム,自動錠剤分包システム,計数調剤支援システム,薬剤ピッキングシステム
11,訪問看護業務支援システムで作成しないのはどれか。番号を解答記入欄( 11 )に2つマークしなさい。,訪問看護報告書,訪問看護計画書,訪問看護指示書,訪問看護記録書Ⅱ,居宅サービス計画書
12,健診システムについて誤っているのはどれか。番号を解答記入欄( 12 )にマークしなさい。,検査結果と合わせて検査診断レベルを管理する。,過去の健診結果も含めた健診結果報告書を出力する。,審査支払機関に対し診療報酬点数に基づいた請求を行う。,受検者IDを発行する前に検査オーダ入力する場合がある。,健診コース単位(人間ドック、定期健診など)の予約ができる。
13,地域医療連携システムの課題について誤っているのはどれか。番号を解答記入欄( 13 )にマークしなさい。,システム維持費、更新費を誰が負担するかは課題である。,SS-MIX2データが媒体あるいは中央保管されている場合、データ更新の確認が課題である。,電子カルテが異なるベンダーに更新された場合、更新前のSS-MIX2データの維持が課題である。,マイナンバーカードの個人番号が登録可能となれば、保存された個人番号のみで名寄せが可能となる。,SS-MIX2データを各医療機関から毎回取得する場合、各医療機関のサポートが継続される必要がある。
