2012IS,解答,解説
1,4,4)個人情報保護法では、「個人情報とは生存する個人に関する情報」と規定されている。ただし、「医療。介護関係事業者における個人情報の適切な取り扱いのためのガイドライン」では、死亡したあとにおいても生者と同等の安全管理処置が必要とされ、死者に関する情報も個人情報としている。1)個人情報は、適正かつ公正な手段を用いて本人の同意を得て収集されるべきである。2)個人情報の保護に、当該個人情報が暗号化されているか否かは関係がない。3)特定の個人を識別できない情報は個人情報とは言えない。5)個人情報保護法では、個人情報には、「他の情報と容易に照合することができ、それにより特定の個人を識別することができることとなるものを含む」と規定されている。
2,1.5,個人情報を取得するにあたっては、あらかじめ利用目的を明確にしておく必要がある。また、本人の同意を得ずに通常の業務の達成に必要な範囲を超えて個人情報を取り扱ってはならない。なお、a.法令に基づく場合、b.生命、身体、財産の保護のため必要な場合、c.公衆衛生の向上または児童の健全な育成の推進のため特に必要がある場合、d.国の機関もしくは地方公共団体などが法令に定める事務を遂行することに対して協力する場合には同意を得る必要はないと規定されている。1)、5)は本人の同意が必要である。4)は、個人情報を取得したときに同意が得られていると考えられる。2)、3)は医療機関などにおける通常の業務で、あらためて同意を得る必要はないと考えられる。
3,2,「医療・介護関係事業者における個人情報の適切な取扱いのためのガイドライン」では、第三者提供について本人の同意を必要とする場合の例として、a.民間保険会社からの照会、b.職場からの照会、c.学校からの照会、d.マーケティングなどを目的とする会社などからの照会をあげている。2)地域がん登録は、「がん対策基本法」「がん対策基本計画」に基づいて行われるので、本人の同意を得る必要がない例外に該当する。1)、3)、5)は、本人の同意が必要である。4)自治体が法令に定める事務を遂行することに対して協力する場合にはあたらないと考えられるので、本人の同意が必要である。
4,4,4)自己に関する情報に誤りや不適切なものがあると知った場合は、異議申し立て、情報の修正・削除などを要求する権利がある。1)個人情報の管理者は、諸原則の実施に対して責任を持たねばならない。2)個人情報をどのように解析して利用するか、開発・運用の方針・方向性などが一般に公開されていなければならない。3)個人情報は、適切かつ公正な手段を用いて、本人の同意を得た項目について、本人が同意した方法で収集しなければならない。5)個人情報は、紛失、不当なアクセス、破壊、使用、修正、開示などの危険に対して安全保護処置がとられなければならない。
5,2,真正性を確保するためには、故意または過失による虚偽入力、書き換え、消去、混同を防止し、作成の責任の所在を明確にすることが求められる。2)参照の記録は、情報漏洩時などに有用である。しかし、参照の記録だけでは改ざんなどが行われたかどうかは不明であるので、真正性の確保に寄与するとはいえない。1)、5)データの修正の履歴を残すことゃ、タイムスタンプの付与は、真正性の確保に寄与する。3)データの作成者を識別して明確にすることは真正性の確保に寄与する。4)ネットワーク上のなりすまし防止対策は、オンラインでの作業者の認証を確実に行うということであり、真正性の確保に寄与する。
6,1,一次利用は、本来の収集目的のために利用することで、患者に直接還元することを目的とした利用のことである。二次利用は、公共のために活用するなど、患者のために問接的に利用することである。1)医療政策の立案は、間接的に患者の役に立つことになるので二次利用にあたる。2)患者への情報開示は、患者に直接還元することになるので一次利用にあたる。3)、5)いずれも診療目的の利用で、一次利用にあたる。4)診療報酬請求は診療の延長線上にあるもので、一次利用にあたる。
7,5,医療情報システムの技術的安全対策の一つに、利用者の識別および認証がある。情報システムヘのアクセスを正当な利用者のみに限定するための認証には、ID・パスワードや電子証明書、生体認証などの手段がある。このような本人の識別・認証に用いられる情報は本人しか知り得ない、または持ち得ない状態を保つ必要がある。すなわち、システム管理者であってもユーザのIDとパスワードを用いて、システムにログインできることがあってはならない。情報システムの基本的な安全管理に関しては、「医療情報システムの安全管理に関するガイドライン」に組織的。物理的・技術的。人的安全対策などが記載されている。
8,5,5)「雇用管理に関する個人情報の適正な取扱いを確保するために事業者が講ずべき措置に関する指針」は、厚生労働省が出したものである。1)～4)は、医療情報システムの安全管理や医療情報の取り扱いについて各省が出しているガイドラインである。
9,2,医療情報システムの安全管理に関するガイドライン第4.2版(平成22年2月)第4章''電子的な医療情報を扱う際の責任のあり方''の記載によれば、善良なる管理者の注意義務(善管注意義務)を果たすことが管理者に求められている。ここでは、医療機関などの管理者の情報保護責任として、説明責任、管理責任、そして定期的に見直し必要に応じて改善を行う責任の3つがあげられている。
10,2.4,医療情報システムの安全管理に関するガイドライン第4.1版(平成22年2月)第6章''情報システムの基本的な安全管理''の記載によれば、生体計測(バイオメトリクス)に限らず、利用者しか持ち得ない2つの独立した要素を用いて行う2要素認証を勧めている。記憶による認証のみでは、不適切な運用がなされるリスクがあると記載されている。物理媒体とは、ICカードのようなセキュリティデバイスを指し、指や手など身体の一部のことではなく、代替手段による認証を常時可能としておく必要もない。また、生体計測は認証強度が強いとはいえ、例えば指を失うなどの事故もあり得ることから、単独での利用は望ましくない。
11,1.3,医療情報システムの安全管理に関するガイドライン第4.1版(平成22年2月)第4章''電子的な医療情報を扱う際の責任のあり方''の記載によれば、''通常運用における責任''と''事後責任''とをわけて考えており、この間は後者にあたる。''事後責任''は、さらに''説明責任''と''善後策を講ずる責任''にわけられ、前者に事態発生の公表と原因追求、対処法の説明があげられている。2)責任者を追求することはいずれにも含まれておらず、4)、5)は通常運用における責任にあたり、事故直後に管理者が全うすべき責任とはいえない。
12,4,患者プロファイル(情報)とは、病院情報システムのサブシステムで共通して利用される患者基本情報のことで、具体的には、患者の氏名、性別、生年月日、連絡先、保険情報、身長、体重、血液型、アレルギーなどを指す。患者プロファイル(情報)は、変更されることがほとんどない情報であることが多い。4)再診予約日時は予約のたびに変更される情報であるから、患者プロファイル(情報)の項目として適切ではない。1)血液型、2)治験情報、3)妊娠情報、5)薬剤アレルギーは、変更されることが少ないので、患者プロファイル(情報)である。
13,4,予約枠は、検査機器、検査室を一定の時間専有する検査、複数の医療スタッフが関わる必要がある検査、様々な物品を用意する必要がある検査などで設定する。4)病理組織検査は、検査の内容や件数をあらかじめ想定することは難しく、予約枠を設定する必要性は低い。1)、2)、3)、5)は、いずれも予約枠を設定することが一般的な検査である。
14,2,2)処方薬をマウスで選択できるようにすることは、処方オーダを入力する医師の利便性を高めることには役立つが、処方オーダの安全性を高めることには寄与しない。1)処方には商品名を用いることが一般的であるため、一般名ではなく先発薬品の商品名が記憶されている場合が多い。先発薬品から後発薬品に切り替える場合などにおいて、先発薬品の名称を表示することは、適切な後発薬品を選択するのに有用と考えられる。3)薬剤の制限量のチェックは、過剰投与の予防に有用であり、安全性を高めることに寄与する。4)2文字での検索では36%である商標特定率が3文字では85%まで向上するといわれているので、誤った薬剤が表示される可能性が減る。5)添付文書や最新の安全性情報に簡単にアクセスできるようになるので、安全性が向上すると言える。
