2012II,問題文,選択肢,,,,
1,正しい組み合わせはどれか。番号を回答記入欄( 1 )にマークしなさい。,P4P　ー　蘇生拒否,DNR　ー　医療機能評価 ,PHR　－　個人健康記録,KPI　ー　医薬品臨床試験,GCP　ー　重要業績評価指標
2,わが国の医療のシステム化の目的として適切でないのはどれか。番号を解答記入欄( 2 )にマークしなさい。,医療の効率化,医療の質の向上,医療資源の最適配分,疾病の一次・ニ次予防,疫学・遺伝子研究の電子化
3,患者の権利を述べているのはどれか。番号を解答記入欄( 3 )にマークしなさい。,リスボン宣言,ヘルシンキ宣言,ジュネーブ宣言,ヒポクラテスの誓い,ニュールンベルグ綱領
4,国家資格でないのはどれか。番号を解答記入欄(4 )にマークしなさい。,歯科技工士,管理栄養士,言語聴覚士,心理療法士,診療放射線技師
5,診断群分類番号を構成する要素でないのはどれか。番号を解答記入欄( 5 )にマークしなさい。,重症度,副傷病名,入院日数,手術・処置,主要診断群
6,DPCで包括評価されないのはどれか。番号を解答記入欄( 6 )にマークしなさい。,注射,検体検査,入院基本料,放射線治療,生理機能検査
7,日本の医療保険制度について誤っているのはどれか。番号を解答記入欄( 7 )にマークしなさい。,現物給付である,高額療養費制度がある。,国民健康保険は国が保険者である,国民健康保険は国が保険者である,保険給付を受け られる医療行為 には制限がある。
8,予防接種法で定期予防接種の対象となるのはどれか。番号を解答記入欄( 8 )に2つマークしなさい,麻しん,B型肝炎,肺炎球菌,日本脳炎,ヒトパピローマウイルス
9,医療法で定められていないのはどれか。番号を解答記入欄( 9 )にマークしなさい。,医療の安全確保,医療計画の策定,医療情報の適切 な提供,医師・歯科医師の資格,病院・診療所・助産所の開設
10,医療提供施設でないのはどれか。番号を解答記入欄( 10 )にマークしなさい。,助産所,保健所,調剤薬局,介護老人保健施設,訪問看護ステーション
11,医療計画における「医療確保に必要な5事業」に含まれないのはどれか。番号を解答記入欄( 11 )にマークしなさい。,救急医療,緩和医療,小児医療,へき地医療,災害時における医療
12,誤っている組み合わせはどれか。番号を解答記入欄(12)にマークしなさい。,ICU　ー　集中治療室,GCU　ー　冠疾患集中治療室,HCU　ー　緩和ケアユニット,NICU　ー　新生児集中治療室,SCU　ー　脳卒中ケアユニット
13,薬剤師の業務でないのはどれか。番号を解答記入欄( 13 )にマークしなさい,疑義照会,処方監査,服薬指導,注射薬投与,抗がん剤の混合調製
14,平均在院日数の計算に用いられないのはどれか。番号を解答記入欄( 14 )に2つマークしなさい。,病床数,入院日数,退院患者数,新入院患者数,在院患者延数
15,医療ソーシャルワーカー(MSW)が行えない業務はどれか。番号を解答欄( 15 )にマークしなさい,診療情報提供書の管理,退院後の栄養管理指導,カルテ開示 についての相談,医療費の助成、保険制度等 についての相談,退院後の受入れ先となる医療機関、介護施設の調整
16,臨床検査技師が行えないのはどれか。番号を解答記入欄( 16 )にマークしなさい。,動脈採血,静脈採血,心電図検査,超音波検査,酸素飽和度測定
17,医療安全管理に必要でないのはどれか。番号を解答記入欄（ 17 )にマークしなさい。,職員教育,罰則強化,情報共有,根本原因分析,透明性の向上
18,誤っている組み合わせはどれか。番号を解答記入欄( 18 )にマークしなさい。,膵臓　ー　インスリン,精巣　ー　成長ホルモン,卵巣　ー　エストロゲン,副腎髄質　ー　アドレナリン,下垂体後葉　ー　ハソプレッシン
19,誤っている組み合わせはどれか。番号を解答記入欄( 19 )にマークしなさい。,咽頭　ー　発生,気管支　ー　ガス交換,交感神経　ー　心拍促進,三半規管　ー　平衡感覚,大脳優位阪急　ー　言語
20,薬物排泄に関わる臓器はどれか。番号を解答記入欄( 20 )に2つマークしなさい。,胃,肝臓,膵臓,腎臓,脾臓
21,疾患とその原因についての組み合わせのうち誤っているのはどれか。番号を解答記入欄( 21 )にマークしなさい。,痛風　ー　尿酸,肺炎　ー　細菌,脳出血　ー　高血圧,狭心症　ー　動脈硬化,関節リウマチ　ー　加齢
22,バイタルサインに含まれないのはどれか。番号を解答記入欄( 22 )にマークしなさい。,体温,尿量,血圧,呼吸数,心拍数
23,生活習慣病はどれか。番号を解答記入欄（ 23 )にマークしなさい。,肝炎,髄膜炎,狭心症,潰瘍性大腸炎,アルツハイマー病
24,脳の部位と機能の組み合わせのうち誤っているのはどれか。番号を解答記入欄( 24 )にマークしなさい。,延髄　ー　呼吸,小脳　ー　運動調整,前頭葉　ー　運動,側頭葉　ー　視覚,頭頂葉　ー　体性感覚
25,特定健康診査の健診項目でないのはどれか。番号を解答記入欄（ 25 )にマークしなさい,血圧,血糖,中性脂肪,血清総蛋白,HDLコレステロール
26,「ICN看護師の倫理綱領」に示されている基本的責務でないのはどれか。番号を解答記入欄( 26 )にマークしなさい。,健康の増進,疾病の予防,健康の回復,疾病の治療,苦痛の緩和
27,直接看護業務はどれか。番号を解答記入欄（ 27 )にマークしなさい。,看護記録,患者の移送,呼吸循環管理,患者 ・家族との連絡,看護師間の報告 ・申しつぎ
28,疾患群と非疾患群を判別するために使われるのはどれか。番号を解答記入欄( 28 )にマークしなさい。,最頻値,中央値,平均値,偏差値,カットオフ値
29,検査について正しいのはどれか。番号を解答記入欄（ 29 )にマークしなさい。,感度と特異度は正の相関を示す。,基準値を外れた検査結果の場合は異常がある 。,感度が低いことは偽陽性率が高いことを 意味する,疾患を有する群で検査結果が陽性になる割合が感度である 。,臨床で使われる検査は、感度、特異度 とも 100％のものが多 い。
30,症状と関連する検査の組み合わせのうちで誤っているのはどれか。番号を解答記入欄( 30 )にマークしなさい。,炎症　ー　CRP,浮腫　ー　血清アルブミン,黄疸　ー　血清クレアチニン,不整脈　ー　ホルター心電図,出血　ー　血小板数
31,自宅等で日常生活を送りながら行える検査はどれか。番号を解答記入欄( 31 )にマークしなさい。,脳波検査,針筋電図,負荷心電図,ホルター心電図,スパイロメトリー
32,核医学検査でないのはどれか。番号を解答記入欄（ 32 )にマークしなさい。,頭部 MRI,FDG-PET,脳血流 SPECT,骨シンチグラフィ,ヨード甲状腺摂取率測定
33,侵襲的検査はどれか。番号を解答記入欄（ 33 )にマークしなさい。,尿検査,髄液検査,細菌検査,心電図検査,胸部 X線検査
34,麻薬の取り扱いのうち法に定められていないのはどれか。番号を解答記入欄（ 34 )にマークしなさい。,使用量の記載,廃棄量の管理,管理者の明確化,製造年月日の記載,金庫による施錠保管
