2012IS,問題文,選択肢,,,,
1,個人情報に関する記述のうち誤っているのはどれか。番号を解答記入欄( 1 )にマークしなさい。,個人情報の収集には本人の同意が必要である。,個人情報は暗号化されていても保護の対象である。,個人を特定できないようにすれば個人情報ではなくなる。,個人情報保護法における個人情報には生存者だけでなく死者の情報も含まれる。,コード化されだ情報でも、他の情報と照合して個人を特定できる場合は個人情報である。
2,医療・介護関係事業者が個人情報の利用目的を本人に通知または公表しなければならないのはどの時点か。番号を解答記入欄（ 2 )に2つマークしなさい。,取得する時,廃棄する時,保管場所を変更する時,当初の目的内で利用する時,当初の目的外で利用する時
3,本人の承諾なしに個人情報を提供することができるのはどれか。番号を解答記入欄（ 3 )にマークしなさい。,児童の担任教員への治療見込み情報の提供,センター施設への地域がん登録情報の提供,保険会社への交通事故被害者の容態情報の提供,自治体への医療費不払い者に関する情報の提供,企業への休職中社員の職場復帰見込み情報の提供
4,OECDの 8原則のうち自己情報の修正・削除の権利を保障するのはどれか。番号を解答記入欄（ 4 )にマークしなさい。,責任の原則,公開の原則,収集制限の原則,個人参加の原則,安全保護の原則
5,電子保存の3基準のうち「真正性」の確保に関係しないのはどれか。番号を解答記入欄( 5 )にマークしなさい。,修正記録の保存,診療録の参照歴の保管,作成責任者の識別と認証,ネットワーク上のなりすまし防止対策,データ保存時のタイムスタンプ自動付与
6,診療に関する情報の利用のうち二次利用にあたるのはどれか。番号を解答記入欄( 6 )にマークしなさい。,医療政策の立案,患者への情報開示,チーム医療のための情報共有,保険診療における診療報酬請求,他病院の医療専門職による診断治療
7,医療情報システムの安全対策として適切でないのはどれか。番号を解答記入欄( 7 )にマークしなさい。,端末を盗難防止用チェーンで固定する。,医療情報システムの運用管理規程を作成する。,利用者の資格・職種に応じたアクセス権の設定を行う。,従業者に対して定期的に個人情報の安全管理に関する教育を行う。,ユーザのパスワードの失念に備えて、システム管理者用のパスワード参照機能を作る。
8,各省庁が出しているガイドラインや指針の組み合わせのうち誤っているのはどれか。番号を解答記入欄( 8 )にマークしなさい。,厚生労働省 ― 医療情報システムの安全管理に関するガイドライン,経済産業省 ―医療情報を受託管理する情報処理事業者向けガイドライン,総務省 ― ASP ・ SaaS事業者が医療情報を取り扱う際の安全管理に関するガイドライン,厚生労働省 ― 医療介護関係事業者における個人情報の適切な取扱いのためのガイドライン,経済産業省 ― 雇用管理に関する個人情報の適正な取扱いを確保するた
9,「医療情報システムの安全管理に関するガイドライン」において、通常運用にて医療情報の適切な管理を行う以外に医療機関等の自己責任として求められているのはどれか。番号を解答記入欄( 9 )にマークしなさい。,管理責任 ・教育責任 ・改善責任,説明責任 ・管理責任 ・改善責任,管理責任・賠償責任・教育責任,説明責任 ・賠償責任・管理責任,説明責任・教育責任・賠償責任
10,「医療情報システムの安全管理に関するガイドライン」における認証手段についての記述のうち適切なのはどれか。番号を解答記入欄( 10 )に2つマークしなさい。,「物理媒体」は、指や手などの身体を利用することである。,認証手段としては、2つの独立した要素を用いる方法が望ましい。,「生体計測」は、認証強度が高いため、単独での利用が望ましい。,「記憶」による認証のみでは、不適切な運用をされるリスクがある。,「物理媒体」を用いる場合は、代替手段による認証を常時可能としておく必要がある。
