2012JS,問題文,選択肢,,,,
1,2進数の01111と00101の和はどれか。番号を解答記入欄( 1 )にマークしなさい。,01111,10000,10010,10100,11111
2,0進数の「31」を2進数で表わしたのはどれか。番号を解答記入欄( 2 )にマークしなさい。,10000,11101,11110,11111,100000
3,7ビットの文字コードはどれか。番号を解答記入欄( 3 )にマークしなさい。,ASCII,EBCDIC,EUC,Shit JIS,UTF-8
4,単位 の接頭辞が大 きい順に並んでい るのはどれか。番号を解答記入欄( 4 )に マークしなさい。,m > μ > p > n,m > μ > n > p,m > p > μ > n, μ > m > p > n,μ > m > n > p
5,メモリについて誤っているのはどれか。番号を解答記入欄( 5 )にマークしなさい。,マスクROMは書き換 え不可である。,SRAMはリフレッシュが不要である。,DRAMはリフレッシュが必要である。,EPROMは赤外線でデー タを消去する。,EEPROMは電圧をかけてデータを消去する。
6,移動方向と距離とを検出する入力装置はどれか。番号を解答記入欄( 6 )にマークしなさい。,OCR,OMR,キーボード,タッチパッド,イメージスキャナ
7,次のうちシリアルインターフェイスでないのはどれか。番号を解答記入欄( 7 )にマークしなさい。,IDE,IEEE1394,RS-232C,SATA,USB
8,RAID5の 説明の うち正 しいのは どれか。番号 を解答記入欄 ( 8 )にマークしなさい。,構成に必要な最低台数は 4台である,同じ内容のデータを複数のハー ドデイスクに書 き込む,使用可能容量は構成台数から2台分を引いた ものとなる。,1台のハー ドディスクが故障してもデータの回復ができる。,パリティの保存に使われるハードディスクが決まっている。
9,オペレーティングシステムの機能に含まれないのはどれか。番号を解答記入欄( 9 )にマークしなさい。,タスク制御,メール管理,メモリ管理,ユーザ管理,周辺装置の制御
10,プログラミング言語について正しいのはどれか。番号を解答記入欄( 10 )にマークしなさい。,Rubyは構造化言語である。,COBOLは関数型言語である,PHPはマークアップ言語である,Javaはオブジェクト指向言語である。,LISPは手続き型のプログラミング言語である。
11,バ ッチ処理の説明 として正 しいのはどれか。番号 を解答記入欄 ( 11 )にマークしなさい。,サーバと端末で処理を分担する方式,蓄えられたデータを一括して処理する方式,複数のコンピュータで分散して処理する方式,複数のプログラムを短時間ずつ処理する方式,複数端末からの要求を随時処理し結果を端末に返す方式
12,音声のA/D変換について正しいのはどれか。番号を解答記入欄( 12 )にマークしなさい。,雑音成分が除去できる。,量子化は時間軸方向の標本化である。,サンプリングは時間軸方向の離散化である。,標本化間隔が大きいほど高い音が含まれる。,量子化ビット数が大きいと量子化誤差も大きくなる。
13,動画像のファニル形式でないのはどれか。番号を解答記入欄( 13 )にマークしなさい。,AVI,FLV,MP3,WMV,MPEG-4
