2012II,解答,解説
1,3,3)PHRはPersonal Heath Recordの略で、個人健康記録のことである。1)P4PはPay for Performanceの略で、医療提供の質に対する支払方式のことである。すなわち、医療の質に応じて支払う額も変化させようというものである。2)DNRはDo Not Resuscitateの略で、蘇生措置を拒否することである。4)KPIはKey Performance Indicatorの略で、重要業績評価指標と訳される。適切な病院管理を行う上で、財務、医療プロセス、職員、患者、成長などの各視点でKPIを設定し、PDCAを支援することが重要である。5)GCPはGood Clinical Practiceの略で、治験 (および臨床試験)を実施する上で関係者が絶対に遵守しなければならない法律(省令)のことを指す。
2,5,5)「 疫学・遺伝子研究の電子化」は、医療のシステム化によって実現できることではあるが、医療のシステム化の目的にはならない。1)、 2)「医療の効率化」や「医療の質の向上」は、2001年に発表された「保健医療分野の情報化に向けてのグランドデザイン」(厚生労働省)から医療のシステム化の目的にあげられている。3)「医療資源の最適配分」は、医療の効率化を図るために必要なことであり、医療のシステム化の目的のひとつになる。4)「疾病の一次・二次予防」、すなわち「健康増進」「疾病予防」「早期発見・早期治療」「重症化の防止」などは、医療のシステム化の重要な目的のひとつである。
3,1,1)リスボン宣言は患者の権利宣言とも呼ばれるもので、1981年にリスボンでの世界医師会で採択され、 自己決定権、代理人の役割、秘密保持、尊厳性の尊重などを最初に認めたものである。2)、 5)戦時中に行われた人体実験への反省から、被験者の同意を得ずに人体実験を行うことを禁じたニュールンベルグ綱領が1947年に作られた。その後、1964年にヘルシンキ宣言が制定された。これらはいずれも被験者の権利と福利の尊重をめざしており、 自発的同意、インフォームドコンセント、倫理審査などの原則を臨床研究の倫理指針として定めたものである。3)、 4)ヒポクラテスの誓いは、西洋医学の始祖とされるヒポクラテスによる7項目からなる医師の倫理規範である。この精神は世界医師会のジュネーブ宣言 (1948年)に引き継がれ、その後も改訂が行われている。
4,4,4)心理療法士は、日本心理療法士協会による団体認定資格である。協会認定校(専門学校)を卒業することにより、資格を取得できる。1)歯科技工士は、歯科で用いる補てつ物、充てん物または矯正装置の作成、修理、加工を行う者である。2)管 理栄養士は、栄養評価・判定に基づく適切な指導を行うための高度な専門知識と技能を持ち、傷病者に対する療養のための栄養指導を行うことを業とする者である。3)言 語聴覚士は、言語・聴覚に障害のある者に対し、聴能訓練、発声訓練、言語訓練を行い、コミュニケーション能力を回復させることを業とする者である。哄下訓練や人工内耳の調整なども行う。5)診療放射線技師は、放射線を人体に照射することを業とする者である。
5,3,診断群分類番号は14桁の数値、すなわち主要診断群 (2)、医療資源を最も投入した傷病名(4)、入院種別(1)、年齢・出生時体重・JCS・ GAF・ Burn index条件(1)、手術 等のサブ分類 (2)、手術・処置等1(1)、手術・処置等2(1)、副傷病名(1)、重症度(1)の順 (括弧内は桁数)で構成されている。DPCに基づく包括支払い制度では、診断群分類ごとに3段階の「1日当たり包括点数」が設定されており、入院日数は診断群分類番号の構成要素ではない。
6,4,DPCによる定額報酬制度では、すべてが包括評価ではなく、医師の専門的な技術を要するDoctor's fee的 要素の費用は出来高で算定される。4)放射線治療はこのDoctor's fee的 要素であり、出来高算定となる。1)注射は無菌製剤処理料やHIV患者に使用する抗HIV薬以外は包括算定される。2)検体検査は、血液採取以外の診断穿刺・検体採取料を除いて包括算定される。3)入院基本料は、重症児(者)受入連携加算、救急・在宅等支援病床初期加算、看護必要度加算、一般病棟看護必要度評価加算以外は包括算定される。5)生 理機能検査は包括算定される
7,3,3)国民健康保険の保険者は、市(区)町村である。日本の医療保険制度は、職域・地域・年齢に応じた制度分類がなされており、国民はいずれかの保険制度に加入することになっている(国民皆保険)。1)、 4)患者は自分の意思で自由に医療機関を選ぶことができ(フリーアクセス)、医療行為が先に提供され、費用は事後に診療報酬として保険者から医療機関などに支払われる(現物給付)。2)高額療養費制度とは、病 院などの窓口で支払う医療費を一定額以下に抑える目的で創設された制度であり、1カ月にかかった費用を世帯単位で合算し、基準金額を超えた分を高額療養費として支給する。5)保険医療機関および保険医療養担当規則では保険診療の禁止事項が定められており、禁止事項に該当する場合は保険給付を受けることはできない。診療報酬が支払われるためには、医学的に妥当な診療を行うことは当然として、診療報酬点数表に定められた通りに請求を行う必要がある。
8,1.4,予防接種法は、第1条 で「伝染のおそれがある疾病の発生及びまん延を予防するために、予防接種 を行い、公衆衛生の向上及び増進に寄与するとともに、予防接種による健康被害の迅速な救済を図ることを目的とする。」と定めており、1)麻しん、4)日本脳炎は定期接種 (予 防接種法第3条1)の対象である。他には、ジフテリア、百日せき、急性灰白骨髄炎、破傷風、風しん、結核、 インフルエンザ (65歳以上の者など)がある。2)B型 肝炎、3)肺炎球菌、5)ヒトパピローマウイルスは任意接種である。
9,4,医療法は、医療提供に係る法律であり、医療施設、医療安全、医療計画などについて規定している。4)医師・歯科医師の資格は医師・歯科医師法で規定されている。1)医療の安全確保の措置を講ずることや医療安全支援センターを設置することなどが規定されている(医療法第6条の9～12)。2)都道府県に医療計画の策定を義務づけている(医療法第30条の4)。3)医療に関する適切な情報の提供について規定している(医療法第6条の2～4)。5)病院・診療所。助産所の開設について規定している(医療法第7条～9条)。
10,2,保健所は、「地域保健法」によって規定されている施設である。疾病の予防、健康増進、環境衛生など、公衆衛生活動の中心的課題を担う機関として、地域住民の生活と健康を支える重要な役割を担う。医療提供施設は、医療法(第1条2)によって「病院、診療所、介護老人保健施設、調剤を実施する薬局その他の医療を提供する施設(以下「医療提供施設」という。)」と規定されている。1)助産所は、助産師が妊婦の助産、褥瘡の保健指導を行う施設である。3)調剤薬局は、医師・歯科医師および獣医師による処方せんに基づき、薬剤師が調剤を行う場所である。4)介護老人保健施設は、介護保険法に規定されている。5)訪問看護ステーションは、介護保険、医療保険および後期高齢者医療制度により規定されている。
11,2,医療法に基づく都道府県の作成する医療計画においては、「がん、急性心筋梗塞、脳卒中、糖尿病、精神疾患」の5疾病と、「救急医療、災害時における医療、へき地の医療、周産期医療、小児医療」の5事業および在宅医療について、明示することが求められている。
12,3,3)HCU(High Care Unit)は、一般病棟とICUの中間に位置する高度な医療を提供する病室で、日本語では準集 中治療室、集中管理病棟、重症患者病棟などといわれている。緩和ケアユニットはPCU(Pamative Care Unit)という。1)Icu(Intensive care unit)は重症の患者を24時間体制で治療・管理する集中治療室で、施設によっては疾病ごとに細分化されている場合もある。たとえば、急性心筋梗塞などの心疾患を扱う2)CCU(Coronary Care Unit)、未熟児や疾病を有する新生児のための4)NICU(Neonat」 Intensive Care Unit)、 脳卒中を扱う5)SCU(stroke Care Unit)などがある。
13,4,4)注射薬投与は医師の業務である。1)疑義照会は、医師の処方せんに疑問や不明な点がある場合、薬剤師が処方した医師や歯科医師に問い合わせて確認することである。薬剤師法(第24条)によれば、「薬剤師は、処方せん中に疑わしい点があるときは、その処方せんを交付した医師、歯科医師又は獣医師に問い合わせて、その疑わしい点を確かめた後でなければ、これによって調剤してはならない。」と定められている。2)処方監査は、患者情報、医薬品名、分量、用法、用量(処方日数など)などを処方せんに基づいて確認することである。3)服薬指導は、処方内容および服用について、薬剤に関する専門知識に基づき、患者に説明する業務である。5)抗がん剤の混合調製は、薬剤師の調剤業務である。
14,1.2,平均在院日数には、入院患者、在院患者、退院患者、およびその三者を調査対象としたそれぞれの計算方法があるが、「病院報告」で採用されている計算方式は、三者を対象とした方式である。理論的には新入院患者数と退院患者数は等しくなるはずであるが、実際には病床数の増減や空床の発生などによって変動が起きてくるので、新入院患者数と退院患者数の平均で在院延べ患者数を割る計算方法をとっている。一方、「患者調査」では、退院患者の平均在院日数を計算している。平均在院日数には、入院患者、在院患者、退院患者、およびその三者を調査対象としたそれぞれの計算方法があるが、「病院報告」で採用されている計算方式は、三者を対象とした方式である。理論的には新入院患者数と退院患者数は等しくなるはずであるが、実際には病床数の増減や空床の発生などによって変動が起きてくるので、新入院患者数と退院患者数の平均で在院延べ患者数を割る計算方法をとっている。一方、「患者調査」では、退院患者の平均在院日数を計算している。
15,2,医療ソーシャルワーカー(MSW)は、役所や医療機関での社会福祉の相談、支援業務に従事する。地域連携室と協力して、患者の退院調整業務にも従事する。2)退院後の栄養管理指導は、医師、管理栄養士の業務である。1)患者を他医療機関へ紹介する際に作成する文書(診療情報提供書)を管理する。所定の項目を満たすとき診療報酬で評価される。3)診療情報の開示の一環として、患者および患者の家族は医療機関に対してカルテの開示を請求できるが、MSWはこの相談を受ける。4)医療費の助成、保険制度などについての相談は、MSWの主たる業務である。5)退院後の受入れ先となる医療機関、介護施設の調整は、退院調整業務のひとつである
16,1,1)動脈採血は、重症患者の血液ガス分析などのために行われる。動脈は深い位置にあり、周囲を神経が取り巻いているので、技術的困難性と出血および痛みなどを伴うため、医師の業務とされている。2)静脈採血は、一般的血液検査のために行う場合は、臨床検査技師が実施できる。3)心電図検査は、心臓の電気的な動きを波形に表し、不整脈などの異常を調べる検査で、臨床検査技師の主要な業務のひとつである。4)超音波検査は、超音波を用いて心臓など拍動する器官や胎児の様子を捉え、内臓の状況を把握する検査である。放射線を用いない非侵襲的な検査で、臨床検査技師が実施できる。5)酸素飽和度測定は、パルスオキシメーターという装置を用いて穿刺などの侵襲を加えることなく経皮的に測定することができる。
17,2,医療安全管理を推進するための基本的要件を問う問題である。医療事故やインシデントはヒューマンエラーに基づくものが多く、「ヒトはエラーを起こすもの」という観点からの対策が重要とされている。このため、医療安全管理では、発生した事故の根本原因分析(RCA)を行い、組織的・構造的エラー原因の解明、職員の安全意識の向上のための教育、業務プロセスでの透明性の向上と情報共有などを行うことが重要である。2)罰則強化は事故の隠蔽を誘発する可能性があり、問題点の発見を遅らせるため不適切である。
18,2,成長ホルモンは脳下垂体前葉のGH分泌細胞から分泌され、精巣からはアンドロゲン(男性ホルモン)が分泌される。1)インスリンは膵臓に存在するランゲルハンス島のβ細胞から分泌される。3)エストログン(女性ホルモン)は、卵巣の顆粒膜細胞、外卵胞膜細胞、胎盤、副腎皮質、精巣間質細胞で作られる。4)アドレナリン(エピネフリン)は主に副腎髄質から分泌され、一部の神経細胞からも分泌される。5)バゾプレッシンは、抗利尿ホルモン(ADH)とも呼ばれ、下垂体後葉から分泌される。
19,2,2)気管支は空気の通路(気道)であり、吸気と血液の間のガス交換は気管支の末端に存在する肺胞で行われる。1)喉頭は発声器官である声帯を含む。3)交感神経は心臓に促進的に作用し、心拍数を高め、心収縮力を増強させる。4)内耳に存在する三半規管は平衡感覚の一部である頭部の回転を感知する。5)左右の大脳半球のうち言語を司る側を優位半球とよび、通常は左側である。
20,2.4,多くの薬物、特に水溶性の薬と代謝産物は腎臓から尿中に排泄される。一部の薬物は肝臓で生成される胆汁中に排泄され、便とともに体外に排泄される。
21,5,5)関節リウマチは、免疫系の異常により多発性の関節の炎症、変形、破壊を生ずる自己免疫疾患である。1)痛風は、高尿酸血症により尿酸の結晶が関節内に析出して炎症を生ずる疾患である。2)肺炎は肺の感染症であるが、大部分が細菌性である。3)脳出血(脳内出血)の多くは、高血圧の持続により硬化した脳内の細動脈が血圧の急上昇時に破綻して発症する。4)狭心症の多くは心臓を栄養する冠動
22,2,バイタルサインとは、「生きている証」を意味し、生命維持に必要な基本的徴候を数値で表したものである。一般的には、呼吸・血圧・脈拍・体温の4徴候をいう。
23,3,3)不適切な生活習慣の積み重ねによって引き起こされる疾患には、糖尿病(1型を除く)、脳卒中、心臓病、脂質異常症、高血圧症、肥満などがある。心臓病のなかで生活習慣病として知られているのは、冠動脈の動脈硬化が原因で発症する狭心症や心筋梗塞などの虚血性心疾患である。1)肝炎は、肝臓にウイルスが感染して発症する感染症である。2)髄膜炎は、脳や脊髄の髄膜にウイルスや細菌が感染して発症する感染症である。4)潰瘍性大腸炎は、大腸粘膜にびらんや潰瘍が繰り返し発生する原因不明の炎症性疾患で、特定疾患に指定されている。5)アルツハイマー病は認知症の原因のひとつで、進行性に神経細胞が脱落する神経変性疾患である。
24,4,4)網膜の視覚情報が直接投影され、さまざまな視覚情報処理が行われるのは後頭葉である。側頭葉は聴覚や記憶の機能を担う1)呼吸運動は延髄の呼吸中枢によリコントロールされている。2)小脳は随意運動の調節や体の平衡を担う。3)身体各部の随意筋を動かす運動の直接的指令は前頭葉後方の運動野から発せられる。5)頭頂葉は全身の体性感覚を受け取る領域(中心後回、一次体性感覚野)を含み、さまざまな感覚を統合して空間認知を実現していると考えられている。
25,4,特定健康診査の健診項目は、診察項目として問診、身長、体重、肥満度。標準体重、腹囲、理学的所見、血圧があり、検査項目として中性脂肪、HDLコレステロール、LDLコレステロール、AST(GOT)、ALT(GPT)、γ-GT(γ-GTP)、空腹時血糖、尿糖、ヘモグロビンA1c、ヘマトクリット値、血色素、赤血球数、尿蛋自、12誘導心電図、眼底検査がある。血清総蛋白は、特定健康診査の健診項目には含まれていない。
