2018JS,問題文,選択肢,,,,
1,16進数73と16進数F5の各桁の論理積 (AND)を2進数で表したものはどれか。番号を解答記入欄( 1 )にマークしなさい。,00110001,01110001,10110001,11001100,11100110
2,情報の単位の接頭辞が小さい順に並んでいるのはどれか。 番号を解答記入欄( 2 )にマークしなさい。,E < P < G < T,P < E < T < G,E < G < T < P,G < T < P < E,G < T < E < P
3,正しい組み合わせはどれか。番号を解答記入欄 ( 3 )にマークしなさい。,画素数 ― byte,記憶容量 ― pixel,スキャナの解像度― dpi,ネットワークの通信速度 ― Hz,CPUのクロック周波数 ― bps
4,3つの値が等しいのはどれか。(　)内は基数を表す。番号を解答記入欄( 4 )にマークしなさい。,129(10)、1000 0001 (2)、81 (16),129(10)、1001 0001 (2)、81 (16),127(10)、1000 0001 (2)、81 (16),127(10)、1010 0001 (2)、81 (16),129(10)、1000 0001 (2)、83 (16)
5,複数台のハードディスクを組み合わせ、図に示すデータの記録を行う方式はどれか。番号を解答記入欄( 5 )にマークしなさい。,RAID 0,RAID 1,RAID 5,RAID 6,RAID 10
6,次の記憶媒体のうち磁気テープを用いるのはどれか。番号を解答記入欄( 6 )にマークしなさい。,FD,HD,MO,LTO,SSD
7,2次元シンボルを用いた入カインターフェースはどれか。番号を解答記入欄( 7 )にマークしなさい。,マウス,キーボード,タッチパネル,ICカードリーダ,QRコードリーダ
8,ICカードの特徴として正しいのはどれか。番号を解答記入欄( 8 )にマークしなさい。,赤外線を用いて情報を非接触で読み取る。,電磁波を用いて情報を非接触で読み取る。,磁性体に記録された情報を接触によって読み取る。,バーコードで記録された情報を光学的に読み取る。,表面の凹凸で表現された情報を接触によって読み取る。
9,1TBのデイスクを用いて実効容量4TBのRAID 5を構成する場合、1TBのディスク装置は少なくとも何台必要か。番号を解答記入欄( 9 )にマークしなさい。,4台,5台,6台,7台,8台
10,オペレーティングシステムの機能のうち、文書ファイルなどへ同時アクセスによる不整合の発生を防ぐのはどれか。番号を解答記入欄( 10 )にマークしなさい。,仮想記憶,メモリ管理,プロセス管理,ファイルシステム管理,ユーザーインターフェースの提供
11,接続した周辺装置を利用するためにオペレーティングシステムにインストールされる制御プログラムはどれか。番号を解答記入欄( 11 )にマークしなさい。,タスク,ドライバ,リソース,スクリプト,システムコール
12,図のフローチャートで、XとYの初期値をそれぞれX = 12、Y = 33としたとき、実行結果はどれか。番号を解答記入欄( 12 )にマークしなさい。,45,66,132,264,396
13,複数のプロセスを同時並行で実行することを表すのはどれか。番号を解答記入欄( 13 )にマークしなさい。,仮想化,カプセル化,システムコール,マルチタスキング,プラグアンドプレイ
14,可逆圧縮のデータフォーマットはどれか。番号を解答記入欄( 14 )にマークしなさい。,CSV,MP3,PNG,XML,JPEG
15,データベースを複数クライアントで利用しているとき、データの論理的矛盾を防ぐため処理が止まった状態はどれか。番号を解答記入欄( 15 )にマークしなさい。,アボート,コミット,デッドロック,ロールバック,ロールフォワード
16,表''処方記録''の主キーはどれか。番号を解答記入欄( 16 )にマークしなさい。,患者コード,処方コード,薬品コード,患者コードと薬品コード,患者コードと処方年月日
17,表''外来受診記録''に対して実行したときに得られるデータの行数が2となるSQL文はどれか。番号を解答記入欄( 17 )にマークしなさい。,SELECT 患者コード FROM 外来受診記録 GROUP BY患者コード；,SELECT 患者コード FROM 外来受診記録 WHERE 保険種別 LIKE '自費診'；,SELECT 患者コード FROM 外来受診記録 WHERE 保険種別 LIKE '国保・本' GROUP BY 患者コード；,SELECT 患者コード FROM 外来受診記録 WHERE 保険種別 LIKE '労災・本' GROUP BY 患者コード；,SELECT 患者コード FROM 外来受診記録 WHERE 保険種別 LIKE '協けん・本' GROUP BY 患者コード；
18,2つの表からすべての行を取り出し、重複行を1行にする操作はどれか。番号を解答記入欄( 18 )にマークしなさい。,和,差,積,結合,直積
19,OSI参照モデルにおいて、異なるネットワーク上に存在する機器間でのデータ転送やデータ中継を行う層はどれか。番号を解答記入欄( 19 )にマークしなさい。,セッション層,ネットワーク層,トランスポート層,アプリケーション層,プレゼンテーション層
20,UDPについて正しいのはどれか。番号を解答記入欄( 20 )にマークしなさい。,ストリーミングで使われる。,受信確認しながら通信する。,エラー時にデータを再送する。,アプリケーション層で処理される。,信頼性を重視する通信で使われる。
21,無線LANを使って300Mbyteのファイルをダウンロードするのに要する時間はどれか。ただし、通信規格の最大速度は600Mbps、実効速度は50%とし、エラーは無いものとする。番号を解答記入欄( 21 )にマークしなさい。,0.5秒,1秒,2秒,4秒,8秒
22,192.168.128.0/23と設定されたネットワークにおいて、割り当て可能な最大ホスト数はどれか。番号を解答記入欄( 22 )にマークしなさい。,23,126,254,510,1022
23,MACアドレスからIPアドレスを確認するプロトコルはどれか。番号を解答記入欄( 23 )にマークしなさい。,ARP,RIP,DHCP,HTTP,RARP
24,NAPTで変換される情報はどれか。番号を解答記入欄( 24 )にマークしなさい。,プロトコルとホスト名,ホスト名とIPアドレス,ポート番号とプロトコル,IPアドレスとポート番号,MACアドレスとIPアドレス
25,ネットワークコマンドと機能の組み合わせで正しいのはどれか。番号を解答記入欄( 25 )にマークしなさい。,ipconfig ー 端末のネットワーク設定情報を確認,nslookup ー サーバーの接続可否を確認,pins ー サーバー上のログを確認,telnet ー 途中経路を確認,tracert ー ホスト名からIPアドレスを確認
26,サービスとポート番号の組み合わせで誤っているのはどれか。番号を解答記入欄( 26 )にマークしなさい。,ssh ― 22,HTTP ― 80,HTTPS ― 443,POP3s ― 995,SMTP ― 110
27,IMAP4について正しいのはどれか。番号を解答記入欄( 27 )にマークしなさい。,ホスト名を解決する。,データの暗号化をする。,電子メールを取り扱う。,ダイアルアップ接続を行う。,コンピュータの時刻を同期する。
28,IPv6のアドレス長はどれか。番号を解答記入欄( 28 )にマークしなさい。,24ビット,32ビット,48ビット,64ビット,128ビット
29,IEEE802.11acで使用可能な周波数帯と最大通信速度の組み合わせで正しいのはどれか。番号を解答記入欄( 29 )にマークしなさい。,5GHz帯のみ ー 54Mbps,5GHz帯のみ ー 6.9Gbps,2.4GHz帯のみ ー 54Mbps,2.4GHz帯および5GHz帯 ー 6.9Gbps,2.4GHz帯および5GHz帯 ー 600Mbps
30,情報セキュリティ対策において、防犯カメラの設置が該当するのはどれか。番号を解答記入欄( 30 )にマークしなさい。,人的安全対策,技術的安全対策,組織的安全管理対策,物理的安全対策,予防的安全対策
31,250人が相互に公開鍵暗号方式で暗号化通信するとき、必要な鍵の総数はどれか。番号を解答記入欄( 31 )にマークしなさい。,50,125,250,500,1000
32,A病院からB病院に公開鍵暗号方式を用いて暗号化した情報を送るとき、図中の鍵Xとして適切なのはどれか。番号を解答記入欄( 32 )にマークしなさい。,A病院の公開鍵,A病院の秘密鍵,B病院の公開鍵,B病院の秘密鍵,A、B病院の共通鍵
33,一定時間ごとにパスワードが更新される認証の仕組みはどれか。番号を解答記入欄( 33 )にマークしなさい。,コールバック,マイナンバー,バイオメトリクス,シングルサインオン,ワンタイムパスワード
34,情報システムの可用性を高めるのはどれか。番号を解答記入欄( 34 )にマークしなさい。,アクセス制限の使用,デジタル署名の使用,ハッシュ関数の使用,タイムスタンプの使用,無停電電源装置 (UPS)の使用
35,タイムスタンプの説明として正しいのはどれか。番号を解答記入欄( 35 )にマークしなさい。,有効期限がない。,検索が高速になる。,暗号化が可能になる。,データの記載内容が正しいことを証明できる。,ファイルが改ざんされていないことを証明できる。
36,パスワード入力履歴などを特定の第三者に送信するマルウェアはどれか。番号を解答記入欄( 36 )にマークしなさい。,アドウェア,スパイウェア,フイッシング,ランサムウェア,エクスプロイトコード
37,セキュリティパッチが公開される前のセキュリティホールを利用した攻撃はどれか。番号を解答記入欄( 37 )にマークしなさい。,F5アタック,DDoSアタック,ゼロデイアタック,ブルートフォースアタック,バッファオーバーランアタック
38,脅威がつけこむことのできる情報資産が持つ弱点はどれか。番号を解答記入欄( 38 )にマークしなさい。,瑕疵,リスク,脆弱性,アクシデント,インシデント
39,Webアプリケーションヘの攻撃の検出と遮断に特化したファイアウォールはどれか。番号を解答記入欄( 39 )にマークしなさい。,DMZ,IPA,IPS,WAF,WPA
40,SSL/TLSについて正しいのはどれか。 番号を解答記入欄( 40 )にマークしなさい。,URLを秘匿する。,通信監視に利用する。,HTTPを暗号化する。,コンテンツフィルタリングを行う。,コンピュータウイルスを駆除する。
41,ウォーターフォールモデルの特徴はどれか。番号を解答記入欄( 41 )にマークしなさい。,工程が明確に区分される。,短期間で開発・評価を繰り返す。,基盤部分/共通部分を先行開発する。,どの工程でも顧客の要望に対応できる。,プロトタイプによるユーザーとの仕様誤認を防止する。
42,各工程間の依存関係と各工程の遅れの影響を把握しやすくした図はどれか。番号を解答記入欄( 42 )にマークしなさい。,E-R図,状態遷移図,データフロー図,ネットワーク図,ユースケース図
43,ホワイトボックステストに分類されるのはどれか。番号を解答記入欄( 43 )にマークしなさい。,因果グラフ,限界値分析,制御パステスト,直交配列テスト,ユースケーステスト
44,組織内で端末台数やユーザー数の上限を定めずにソフトウェアを利用できる契約形態はどれか。番号を解答記入欄( 44 )にマークしなさい。,コアライセンス,サイトライセンス,サーバーライセンス,プロセッサライセンス,ボリュームライセンス
45,性能指標とその説明の組み合わせで正しいのはどれか。番号を解答記入欄( 45 )にマークしなさい。,輻輳回数 ― 単位時間当たりの故障回数,スループット ― 単位時間当たりのトランザクション数,レスポンスタイム ― 処理が終了されるまでの時間,ネットワーク回線使用率 ― ネットワーク回線の通信帯域,ターンアラウンドタイム ― 処理が開始されるまでの時間
46,ネットワークや通信の品質保証の契約はどれか。番号を解答記入欄( 46 )にマークしなさい。,SLA,EULA,ISMS,ITIL,PMBOK
47,本番系と同じ構成のシステムを稼働状態のまま待機させておく耐障害設計はどれか。番号を解答記入欄( 47 )にマークしなさい。,ミラーリング,クラスタリング,フェールセーフ,ホットスタンバイ,コールドスタンバイ
48,CSIRTが担う役割はどれか。番号を解答記入欄( 48 )にマークしなさい。,情報システムの運用管理,情報システムの調達管理,情報セキュリティヘの対応,災害時の運用継続計画の立案,情報システムの費用対効果の検証
49,事業者がCPUやメモリ、デイスクなどのハードウェアリツースを提供するクラウドサービスはどれか。番号を解答記入欄( 49 )にマークしなさい。,BaaS,DaaS,IaaS,PaaS,SaaS
50,スマートデバイスの一括管理の仕組みはどれか。番号を解答記入欄 ( 50 )にマークしなさい。,IoT,MDM,SDN,SIM,BYOD
