2018IS,問題文,選択肢,,,,
1,通常、カラー動画像として記録される検査はどれか。番号を解答記入欄( 1 )にマークしなさい。,心電図検査,心臓CT検査,心臓MRI検査,心臓超音波検査,心臓カテーテル検査
2,診療情報の一次利用にあたるのはどれか。番号を解答記入欄( 2 )に2つマークしなさい。,病院経営,診療報酬請求,感染症の流行予測,診断や治療方針の決定,外来受診患者数の把握
3,本人の同意なく情報提供が可能なのはどれか。番号を解答記入欄( 3 )にマークしなさい。,高齢入院患者の病状に関する弟からの問い合わせ,乳幼児患者の検査結果に関する母親からの問い合わせ,長期欠席児童の病状に関する担任教員からの問い合わせ,裁判で係争中の患者の病状に関する証人からの問い合わせ,企業の従業員の健康診断結果に関する健康保険組合からの問い合わせ
4,個人情報取扱事業者の「個人データ」に関する安全管理措置義務で技術的安全対策はどれか。番号を解答記入欄( 4 )にマークしなさい。,組織体制の整備,入退館(室)の管理,担当者の監督と教育,管理規程に基づく運用,アクセス者の識別と認証
5,PHRの説明で適切でないのはどれか。番号を解答記入欄( 5 )にマークしなさい。,法的記録ではない。,保険者が管理する。,記載内容に制約はない。,個人がコントロール権を有する。,生まれてから亡くなるまでの情報を含み得る。
6,厚生労働省の通知「情報通信機器を用いた診療 (いわゆる「遠隔診療」について)」(2017年7月)で述べられている「直接の対面診療に代替えし得る」手段に含まれないのはどれか。番号を解答記入欄( 6 )にマークしなさい。,SNS,電子メール,テレビ会議システム,スマートフォンによるビデオチャット,病院ホームページの掲示板(BBS)
7,調剤薬局における運用で誤っているのはどれか。番号を解答記入欄( 7 )にマークしなさい。,処方内容を電子版お薬手帳に記録した。,指示に基づき薬効の異なる錠剤を一包化した。,処方内容に不明な点があったため疑義照会した。,服薬指導した旨をレセプトコンピュータに入力した。,FAXで送られてきた処方箋のみで薬剤を患者に手渡した。
8,介護保険において、市町村が地域支援事業で提供すべき情報はどれか。番号を解答記入欄( 8 )に2つマークしなさい。,介護施設の財務諸表,介護サービスの外部評価,福祉サービスの第三者評価,地域の医療 ・介護施設の情報,医療 ・介護関係者の情報共有の支援内容
9,特定健診の電子的なデータ標準形式で利用されているのはどれか。番号を解答記入欄( 9 )にマークしなさい。,MFER,DICOM,ICD10,JLAC10,ICD9-CM
10,地域医療連携情報システムを構築する際に検討する必要性が低いのはどれか。番号を解答記入欄( 10 )にマークしなさい。,患者の名寄せの方法,保険者への費用請求,患者の同意を得る方法,メンテナンスの運用方法,ネットワークセキュリティ
11,地域医療連携情報システムを構築するにあたり一元化あるいは統一する必要があるのはどれか。番号を解答記入欄( 11 )にマークしなさい。,診察券番号,標榜診療科の名称,病院情報システムベンダー,病院情報システム運用管理規程,地域医療連携情報システム運用管理規程
12,図は病院情報システムの主要なシステムと情報の流れを示している。図中のDに該当するのはどれか。番号を解答記入欄( 12 )にマークしなさい。,部門システム,物流管理システム,医事会計システム,電子カルテシステム,オーダエントリシステム
13,患者プロファイルの項目とし、通常含まれないのはどれか。番号を解答記入欄( 13 )にマークしなさい。,初診日,紹介元,再診予約日時,病名告知情報,アレルギー情報
14,医事会計システムの機能に含まれないのはどれか。番号を解答記入欄( 14 )にマークしなさい。,患者登録,在庫管理,収入金管理,入退院登録,診療報酬明細書作成
15,手術の算定に係る情報の登録について適切でないのはどれか。番号を解答記入欄( 15 )に2つマークしなさい。,麻酔医が術式を登録する。,算定情報は医事課で確認する。,臨床工学技士の登録が必要な場合がある。,手術依頼時に一部が算定され登録される。,医事会計システムには手術と麻酔で算定項目を分けて送信する。
16,再来受付システムの機能として誤っているのはどれか。番号を解答記入欄( 16 )にマークしなさい。,紹介状の管理を行う。,受付票に当日検査情報を出力する。,受付票に診療予約情報を出力する。,外来予約情報を受付済み状態に変更する。,患者が当日の予定を確認できるようにする。
17,3点認証の3点に該当するのはどれか。番号を解答記入欄( 17 )にマークしなさい。,対象者・対象物 ・実施者,対象物・実施者 ・実施時間,対象者・対象物 ・実施時間,対象者・対象物 ・実施場所,対象物 ・実施時間・実施場所
