2018II,解答,解説
1,5,厚生労働省によれば、団塊の世代が75歳以上となる2025年を目途に、重度な要介護状態となっても住み慣れた地域で自分らしい暮らしを人生の最後まで続けることができるよう、地域包括ケアシステムの構築を実現するとされている。この地域包括ケアシステムで一体的に提供されるのは、「1)医療、2)介護、3)予防、4)住まい」と「生活支援」の5つである。「5)子育て支援」は含まれていない。
2,4,4)セカンドオピニオンとは、患者が当事者(多くは主治医 (担当医)、かかりつけ医)以外の、専門的な知識をもった第三者に求める「意見」または「意見を求める行為」であり、正しい。1)専門的意見を求める相手は医師である。2)まずは主治医にセカンドオピニオンを得たい旨を話して、他医への診療情報提供書を作成してもらう必要がある。3)主治医ではなく、患者の意向で他の医師に意見を求める行為である。5)患者紹介のことを説明しており、セカンドオピニオンのことではない。
3,2,インフォームドコンセントは、医師が診断・治療のプロセス、傷病名、病状、治療の方法、治療法のもつ特徴・利点・危険性、および予後、複数ある場合にはそれらの比較などについて十分説明し、患者が十分に理解したうえで医療行為を行うことに同意するプロセスをいう。2)病院や診療所が、入院や手術の際に誓約書を求めることはあるが、インフォームドコンセントとは無関係である。よって2)は適切でない。1)、 3)、 4)、 5)はいずれもインフォームドコンセントにおける医師の責務であり正しい。
4,5,厚生労働省によれば、「社会保障制度は、国民の「安心」や生活の「安定」を支えるセーフティネットであり、社会保険、社会福祉、公的扶助、保健医療。公衆衛生からなり、人びとの生活を生涯にわたって支えるものである。」とされている。よって1)～ 4)は含まれている。5)生命保険は、社会保障制度には含まれていない。
5,1.3,国家資格は国の法律に基づいて実施する試験において知識や技術が一定水準以上に達していると認められた者だけに国が与える資格で、1)管理栄養士は栄養士法、3)臨床工学技士は臨床工学技士法で定められている。一方、2)医療情報技師は日本医療情報学会、4)診療情報管理士は日本病院会を含む四病院団体協議会および医療研修推進財団が育成・認定している民間資格で、5)医療事務作業補助者には民間団体の技能認定もあるが免許や資格制度はない。
6,3,職域保険である健康保険の未加入者を対象とした地域保険 (制度名としては国民健康保険)の保険者は、市(区)町村または、特定の職種ごとに設立された3)国民健康保険組合に属する。
7,2,2)禁煙外来は、実施医療機関や対象者を限定し、条件を満たした場合には保険診療の対象となる。自己診療、混合診療、労災保険対象の傷病、自然分娩、美容外科等は保険診療とは認められていない。したがって、 自然分娩の一環である3)妊婦健診や、4)美容整形は保険診療にはならない。また、予防接種、健康診断などの予防的処置も、医療ではないので保険診療とはならず、1)がん検診や5)人間ドックはこれに相当する。
8,2,2)刑法における守秘義務は、 第134条に「医師、薬剤師、医薬品販売業者、助産師、弁護士、弁護人、公証人又はこれらの職にあった者が、正当な理由がないのに、その業務上取り扱ったことについて知り得た人の秘密を漏らしたときは、六月以下の懲役又は十万円以下の罰金に処する。」とされている。1)看護師や3)保健師は保健師助産師看護師法第42条の2において、「保健師、看護師又は准看護師は、正当な理由がなく、その業務上知り得た人の秘密を漏らしてはならない。」と定められている。管理栄養士や臨床心理士には法律上の規程はないものの、各関連団体が制定する倫理綱領等で謳われている。
9,3,3)ケアプラン(介護計画)は、ケアマネージャー (介護支援専門員)によって作成される。医療ソーシャルワーカーではない。医療ソーシャルワーカーが行う業務は、①療養中の心理的・社会的問題の解決調整援助、②退院援助、③社会復帰援助、④受診・受療援助、⑤経済的問題の解決調整援助、⑥地域活動である。1)、2)、4)、5)はいずれも介護保険の説明として正しい。
10,4,人口動態調査は我が国の人口動態事象を把握し、人口及び厚生労働行政施策の基礎資料を得ることを日的に行われている。「戸籍法」及び「死産の届出に関する規程」により届け出られた出生、死亡、婚姻、離婚及び死産の全数を調査対象としている。
