2018JS,解答,解説
1,2,16進数の73を2進数で表すと01110011、 16進数のF5を2進数で表すと11110101となる。各桁の論理積 (AND)を取ると、両方1の桁は1、それ以外の桁は0となるので、結果は2)の01110001となる。
2,4,選択肢中にある情報の単位の接頭辞はE、G、P、Tの4種類である。Eはexa(エクサ)の頭文字で10^18を表す。Gはgigaの頭文字で10^9を表す。Pはpetaの頭文字で10^15を表す。Tはteraの頭文字で10^12を表す。したがって、小さい順に並べたものは、4)のG<T<P<Eとなる。
3,3,3)dpi(dots per inch)は、画面上の1インチ当たりのドット数として空間分解能を表す。1)byteは、一般には1byte = 8bitとされ、データサイズ、記憶容量を表す。2)pixelは、picture elementまたはpicture cellからの造語で、画像データの最小構成要素(画素)の個数を表す。4)Hzは、1秒間の周波数、振動数を表す。5)bpsは、bits per secondの略で、1秒間当たりのビット数としてデジタルデータの伝送速度を表す。
4,1,選択肢中で10進数の数字は127(10)と129(10)の2種類である。それぞれに対応する2進数、16進数は下記のとおりである。127(10)=01111111(2)=7F(16)　129(10)=10000001(2)=81(16)　したがって、正解は1)の「129(10)、 10000001(2)、 81(16)」となる。
5,4,4)RAID6は、データを2台以上のハードディスクに分散保存すると共に、異なる2種類の誤り訂正符号(パリティ)を算出して別のハードディスクに保存する。1)RAID0は、データを2台以上のハードディスクに分散保存する。2)RAID1は、データを2台以上のハードディスクに複製保存して冗長化する。3)RAID5は、RAID6の元になる方式で、パリティを1種類だけ用いる。5)RAID10は、RAID1で冗長化したハードディスク群をRAID0で統合する。
6,4,4)LTO(Linear Tape Open)はコンピュータ用磁気テープ技術のひとつである。大容量データを比較的低コストで保存が可能なため、長期保管に向く。1)FD(Floppy Disk)は、磁気ディスクの一種で、磁性体を塗布・蒸着した樹脂製小円盤を樹脂製の保護ケースに入れたもの、2)HD(Hard Disk)は、磁性体を塗布した円盤を高速回転し、磁気ヘッドを移動することで情報を記録し読み出す補助記憶装置、3)MO(Magneto Optical(disk)は、赤色レーザー光と磁場を用いて磁気記録を行い、レーザー光を用いて再生を行う記録媒体、5)SSD(Solid State Drive)は、半導体メモリをディスクドライブのように扱える補助記憶装置のひとつである。
7,5,5)2次元バーコードの一種であるモザイク状の四角いドットで構成される「QRコード」を光学的に読み取る装置である。1)マウスは、机上においた本体を水平に動かすことで縦横方向それぞれの移動量を光学センサーやボールの回転で検出し、その信号を送る装置、2)キーボードは、操作者が文字・数字・記号・制御用の各キーを押し、そのキーに対応する信号を送る入力装置、3)タッチパネルは、ディスプレイの表面を指や専用のペンで触れることで、画面上の位置を入力する装置。4)ICカードリーダは、ICカードに記録されたデータの読み込みを行うもので、接触型、非接触型の各々に対応したものがある。
8,2,ICカードは、ICチップを内蔵したカードの総称であり、電子マネーなどに利用されている。磁気カードと比較して大量の情報を記録でき、偽造が困難という特徴がある。カード表面上のICチップに接続する端子に直接接触させて情報の読み書きを行う接触式と、内蔵のアンテナで微弱な電磁波を送受信して情報の読み書きを行う非接触式とがある。2)は、非接触式ICカードの特徴である。1)の特徴を持つ装置の例としては静脈認証がある。また、3)は磁気カード、4)はバーコード、5)はエンボスがそれぞれ対応する。
9,2,RAID5は、ストライピングしたデータとパリティ値を、構成するデイスクに分散して記録することによって、高速で耐 障害性を高めたハードデイスク構成である。RAID 5では3台以上のハードディスクで構成し、その内の1台分にパリティ値を格納する。実効容量を見積もる計算式は、[実効容量]=[1台あたりの実効容量]×([構成台数]-1)となる。いま、必要台数をnとすると、4[TB]=1[TB]× (n-1)n=5
10,4,OSの代表的な機能には、メモリ管理、プロセス管理、周辺装置の制御、ネットワークのサポート、ファイルシステム管理、ユーザー管理、ユーザーインターフェースの提供、言語環境のサポート、電源管理などがある。このうちファイルシステム管理では、プロセスがファイルを操作する際に外部記憶装置の物理的な構造を意識することなく処理できるための機能を提供し、複数プロセスの同時アクセスによって不整合が起こらないようにファイルの読み書きの監視制御などを行っている。したがって、正解は4)となる。
11,2,2)ドライバはキーボードやマウスなどのコンピュータに接続した周辺装置 (デバイス)を制御するプログラムのことである。1)タスクはオペレーティングシステムから見た処理の実行単位のこと。3)リソースはコンピュータを構成するCPU、メモリ、ハードディスクなどのハードウェアや、その上で動作するファイルシステムのうち、プログラムからの要求によって利用できる「もの」(リソース)。4)スクリプトは機械語への翻訳を必要とせずに実行できるプログラムのこと。5)システムコールはアプリケーションのプログラムがオペレーティングシステムの機能を使用するために呼び出す仕組みのこと。
12,3,変数XとYは定数なので変化しない。XXとYYには初期値としてそれぞれXとYを代入した後、その値を比較して小さいほうにXまたはYの値を加え、最終 的にXXとYYが等しくなるまで繰り返す。つまり、XとYの値の最小公倍数を求めるフローチャートである。各変数のループごとの変化を下表に示す。XXとYYの値の変化に注目し、最終的にXX=YYのときのXXの値が答えである。
13,4,4)マルチタスキングは、複数のプロセス(タスク)を短い時間間隔で切り替えて処理を行うことで見かけ上同時並行的に処理する技術である。1)仮想化は、物 理リソースを論理 的に分割または統合したりする技術である。2)カプセル化は、複数の要素を組み合わせる複雑な実装を隠蔽化する技術である。3)システムコールは、アプリケーションプログラムがOSの機能を使用するために呼び出す仕組みである。5)プラグアンドプレイは、周辺装置をOSが自動的に認識しドライバなどをインストールする仕組みである。
14,3,"""3)PNG(Portable Network Graphics)は、GIFに代わるビットマップ形式の可逆圧縮フォーマットである。1)CSV(Comma Separated Values)は、文字や数値のテキストデータを項目ごとにカンマ(,)で区切って表現したファイル形式で、圧縮形式ではない。2)MP3(MPEG-l Audio Layer3)は、MPEGで策定された非可逆な音声圧縮形式である。4)XML(eXtensible MarkupLanguage)は、文章の論理 的な構造や見栄えなどの指定を文章とともにテキストファイルに記述するマークアップ言語で圧縮形式ではない。 5)JPEG(Joint Photographic Experts Group)は静止画像の非可逆圧縮方式で、画質の劣化を抑えながら効果的な圧縮を行う。"""
15,3,3)デッドロックは、2つのトランザクション(処理)がお互いに相手のロックした表などのリソースを解除されるのを待ち、動作が止まってしまう状態である。1)アボートは、トランザクションを中断することである。2)コミットは、トランザクションのすべての処理が成功したときの確定操作である。4)ロールバックは、トランザクション処理を実行する前の状態に戻すことである。5)ロールフォワードは、データベースが最後にストレージに書き込みをした後の処理をログファイルに沿って復元し、障害発生以前の状態に戻すことである。
16,2,"主キーとは表 (テーブル)中の行を一意に識別することができる列または列の組み合わせをいい、ひとつの表に主キーは一つである。したがって、“処方記録 ""の表を一意に特定する列は“処方コード""になるので正解は2)になる。また、“医薬品""と“患者マスター ""の表の主キーはそれぞれ“薬品コード""と“患者コード""で、“処方記録 ""からそれらの主キーを参照しているので“処方記録 ""では“外部キー""になる。"
17,5,"5つの選択肢は、“外来受診記録 ""表から患者コードを表示するSQL文で、この結果が2行になることが設問である。5)は、保険種別が“協けん。本""の患者コードは""18006''と""18001''の2件の合計 3件になるが、GROUP BYにより患者コードでまとめるので""18006''と“18001""の2行になり、正解である。1)は患者コードでGROUP BYするので8件表示される。2)、 3)はそれぞれ“自費診 ""、 “国保。本""で抽出されるので3件と1件になる。4)は“労災・本""の2件が患者コードでGROUP BYを行うので1件になる。"
18,1,以下の例のように表1と表2からすべての行を取り出して表3を作成する。重複する行を1行にしたものが表4である。この表は和を表すので、正解は1)である。2)差は、一方に所属してもう一方には所属しないものを取り出すので、この例では、表1(PtID 18001、 18002) 一 表2(PtID 18002、18003)では18001になり、 表2(PtID 18002、18003)一 表1(PtID 18001、 18002)では18003になる。3)積は、両方の表に所属するもので、この例では18002になる。4)結合は、患者表と検査予約表などを1つの表として扱うときに用い、内部結合と外部結合がある。5)直積は、2つの表の各要素のすべての組み合わせを作る操作である。
19,2,OSI参照モデルとはISOにより策定された通信プロトコルを7つの階層構造に分割したモデルである。2)ネットワーク層は、異なるネットワークを相互通信するための規定で、通信経路の選択(ルーティング)やデータ転送やデータ中継を行う。1)セッション層は、通信プログラム間の通信の確立、維持、終了の規定である。3)トランスポート層は、ノード間のデータ転送の信頼性を確保するための規定で、プロトコルはTCPもしくはUDPが使われる。4)アプリケーション層は、ファイルやメールの転送などを提供する規定で、HTTPやFTP等の通信サービスがある。5)プレゼンテーション層は、文字コードなどのデータの表現形式の規定で、異なる文字コードの変換を行う。
20,1,UDP(User Datagram Protocol)はストリーム配信などによく使われ、TCPと同じOSI参照モデルのトランスポート層にある通信プロトコルである。インターネットプロトコル(IP)を使ったネットワークにおいて、アプリケーション同士が最小限の仕組みでデータを送受信できるシンプルなプロトコルで、TCPのように、コネクションが確立しているかどうかを確認する状態が無いのでプロトコルが簡素なため、信頼性には劣るがストリーミングなどのリアルタイム性が重視される通信で使われる。
21,5,"""通信規格の最大速度600 Mbpsで実効速度50%であれば、伝送速度は300Mbps、すなわち1秒間に300Mbitのデータを送信することが出来る。1byte = 8bitであるから、300Mbyteのファイルをビットに直すと300M×8 bit=2,400Mbitとなり、ダウンロードするのに要する時間は2,400Mbit - 300Mbit=8sec(秒)となる。"""
22,4,"32bitで表現されるIPv4のアドレスは、ネットワーク部とホスト部で構成される。IPアドレス表記では、“/""の後の数字がネットワーク部のbit数を表すことから、32 bit中 23 bitがネットワーク部に割り当てられ、32bit - 23bit = 9 bitがホスト部に割り当てられる。この場合のホスト数は29=512(台)となるが、ネットワークアドレスとブロードキャストの2つは使用できないため、512-2=510(台)となる。"
23,5,5)RARP(Reverse Address Resolution Protocol)は、物理的アドレス(MACアドレス)からIPアドレスを問い合わせるためのプロトコルである。1)ARP(Address Resolution Protocol)は、RARPの逆の働きをするプロトコルで、IPアドレスから通信相手のMACアドレスを知るためのプロトコルである。2)RIP(Routing lnformation Protocol)は、複数のネットワークを経由してデータを送るときに、最短のルートを見つけるプロトコルである。3)DHCP(Dynamic Host Connguration Protocol)は、ホストのネットワーク設定を自動化する仕組みで用いるプロトコルである。4)HTTPはHyperTextTransfer Protocolの略で、HTMLで記述されたファイルを送受信するプロトコルである。
24,4,NAPT(Network Address Port Translation)はプライベートアドレスとグローバルアドレスを対応付けるための手法の1つで、同じような機能にNAT(Network Address Translation)がある。NATはプライベートアドレスとグローバルアドレスを1対1で変換するため、複数端末が同時にアクセスしたい場合は、端末の数だけグローバルアドレスが必要になる。これに対して、NAPTはIPアドレスに加えポート番号を組み合わせた変換テーブルを用いることにより1対Nの変換を可能にし、1つのグローバルアドレスに複数のプライベートIPアドレスをもつ端末を接続することが可能となる。
25,1,1)ipconngは、Windows OSで自端末のネットワークの設定内容を確認するコマンドであり、正解である。2)nslookupは、DNSサーバーに対して問い合わせを行い、ホスト名とIPアドレスの対応の確認、各種DNSレコードの参照に用いるコマンドである。3)pingは、相手先ホストやネットワーク機器ヘパケットを送信し、相手先機器の稼働とネットワーク疎通を確認するコマンドである。4)telnetは、対象のコンピュータにリモートログインし、ネットワーク経由で遠隔操作や情報参照を行うためのコマンドである。5)tracertは、Windows OSで、相手先のホストに到達するまでに経由するネットワーク機器を順次表示し、ネットワークの途中経路を確認するコマンドである。
26,5,5)SMTP(Simple Mail Transfer Protocol)で使用されるポート番号は25であり、110は誤っている。ポート番号110はPOP3(Post Office Protocol Version 3)である。1)ssh(Secure Shell)、 2)HTTP(Hypertext Transfer Protocol)、 3)HTTPS(Hypertext Transfer Protocol Secure)、 4)POP3s(POP3 over SSL/TLS)で使用されるポート番号はそれぞれ22、 80、 443、 995であり、いずれも正しい。
