2018II,問題文,選択肢,,,,
1,地域包括ケアシステムにおいて一体的に提供されないのはどれか。番号を解答記入欄(1)にマークしなさい。,医療,介護,予防,住まい,子育て支援
2,セカンドオピニオン外来について正しいのはどれか。番号を解答記入欄( 2 )にマークしなさい。,患者が医師以外の医療職に専門的意見を求めること,患者が主治医に無断で別の専門医の意見を聴くこと,主治医が自分の判断の正しさを他の医師に確かめること,患者が別の医師に相談することで自己決定の助けとすること,かかりつけ医が専門的知識を有する医師に診療を依頼すること
3,インフォームドコンセントにおける医療者の責務として適切でないのはどれか。番号を解答記入欄( 3 )にマークしなさい。,事実に基づいて説明する。,患者・家族に誓約書を書面で求める。,患者・家族に病状が分かるように説明する。,患者・家族が病状説明を理解できたかどうかを確認する。,決定した方針は、患者の意向によって変えることができることを説明する。
4,社会保障制度に含まれないのはどれか。番号を解答記入欄( 4 )にマークしなさい。,公衆衛生,公的扶助,社会福祉,社会保険,生命保険
5,国家資格はどれか。番号を解答記入欄( 5 )に2つマークしなさい。,管理栄養士,医療情報技師,臨床工学技士,診療情報管理士,医師事務作業補助者
6,わが国の医療保険制度において地域保険における保険者として適切なのはどれか。番号を解答記入欄( 6 )にマークしなさい。,共済組合,健康保険組合,国民健康保険組合,全国健康保険協会,後期高齢者医療広域連合
7,保険診療の対象となることがあるのはどれか。番号を解答記入欄( 7 )にマークしなさい。,がん検診,禁煙外来,妊婦健診,美容整形,人間ドック
8,刑法により守秘義務が定められている職種はどれか。番号を解答記入欄( 8 )にマークしなさい。,看護師,助産師,保健師,管理栄養士,臨床心理士
9,介護保険について誤っているのはどれか。番号を解答記入欄( 9 )にマークしなさい。,各自治体の窓口に申請を行う。,主治医の意見書と担当者による訪問調査が行われる。,ケアプランの作成は医療ソーシャルワーカーが担当する。,要介護認定には、要介護、要支援、非該当の区分がある。,要介護認定には、要介護、要支援、非該当の区分がある。
10,人口動態統計の調査項目でないのはどれか。番号を解答記入欄( 10 )にマークしなさい。,結婚,死産,出生,転居,離婚
11,特定健康診査の判定項目でないのはどれか。番号を解答記入欄( 11 )にマークしなさい。,腹囲,体脂肪率,収縮期血圧,HbA1c,HDLコレステロール
12,救急救命士に認められていない行為はどれか。番号を解答記入欄( 12 )にマークしなさい。,輸液,採血,気道確保,血糖値測定,薬剤の投与
13,医療の質の評価においてプロセス指標となるのはどれか。番号を解答記入欄( 13 )にマークしなさい。,SCUの有無,手術後死亡率,病院標準化死亡比,ICU専属医師の有無,抗菌薬使用ガイドラインの遵守率
14,管理会計で用いられるのはどれか。番号を解答記入欄( 14 )に2つマークしなさい。,損益計算書,貸借対照表,ABC原価計算,損益分岐点分析,キャッシュフロー計算書
15,m-SHELモデルで誤っているのはどれか。番号を解答記入欄( 15 )に2つマークしなさい。,m ― 経営方針,S ― 手順書,H ― 作業環境,E ― 施設の構造,L ― 人
16,医療事故調査制度について正しいのはどれか。番号を解答記入欄( 16 )にマークしなさい。,家族への説明は必ずしも行わなくてよい。,個人の責任を追求するための制度である。,医療機関で院内調査を行った報告書を提出する。,院内調査報告書は厚生労働省が収集・分析する。,事故の報告は医療機関の管理者の任意により行う。
17,医療法および同施行規則において医療安全管理体制として義務づけられていないのはどれか。番号を解答記入欄( 17 )にマークしなさい。,安全管理指針の整備,感染制御体制の整備,臨床倫理委員会の設置,医療事故等の院内報告体制,医療安全に関する職員研修
18,クリニカルパスにおいて診療過程で発生した「計画との差異」を指すのはどれか。番号を解答記入欄( 18 )にマークしなさい。,アウトカム,バリアンス,アセスメント,アウトカムマネジメント,クリニカル・インディケーター
19,エビデンスレベルの高い順に並べたものはどれか。番号を解答記入欄( 19 )にマークしなさい。,d > a > b > c,d > b > c > a,d > b > a > c,b > a > d > c,b > d > a > c
20,患者に対する看護師の支援について誤っているのはどれか。番号を解答記入欄( 20 )にマークしなさい。,痛みなどの苦痛を取り除く薬を処方する。,日常生活が行えるよう体力の回復を助ける。,医師や薬剤師、管理栄養士など多職種との調整を行う。,患者・家族が治療に関する意思決定ができるよう支援する。,地域社会に円滑に戻れるように地域医療機関と連絡調整を行う。
21,厚生労働省標準の看護実践用語標準マスターについて誤っているのはどれか。番号を解答記入欄( 21 )にマークしなさい。,無償で提供されている。,日本看護協会が作成している。,看護行為編は階層に分けられている。,看護観察編と看護行為編の2つからなる。,看護観察編は観察結果を記載するために作成されている。
22,椎骨に含まれないのはどれか。番号を解答記入欄( 22 )にマークしなさい。,胸椎,頸椎,鎖骨,仙骨,尾骨
23,病因のうち物理的外因に当たらないのはどれか。番号を解答記入欄( 23 )にマークしなさい。,温度,気圧,光線,毒物,放射線
24,左房と左室の間にある弁はどれか。番号を解答記入欄( 24 )にマークしなさい。,三尖弁,僧帽弁,二尖弁,大動脈弁,肺動脈弁
25,インスリンを分泌する臓器はどれか。番号を解答記入欄( 25 )にマークしなさい。,胃,肝臓,小腸,膵臓,大腸
26,止血における主要な血球成分はどれか。番号を解答記入欄( 26 )にマークしなさい。,血小板,好中球,赤血球,白血球,リンパ球
27,薬品のうち施錠保管が義務づけられていないのはどれか。番号を解答記入欄( 27 )にマークしなさい。,劇薬,毒薬,麻薬,覚せい剤,向精神薬
28,患者に投与した場合、患者氏名・住所・薬品名・製造番号・使用日を記録し20年間保存する必要があるのはどれか。番号を解答記入欄( 28 )にマークしなさい。,毒薬,麻薬,筋弛緩薬,向精神薬,特定生物由来製品
29,保険診療における処方箋について誤っているのはどれか。番号を解答記入欄( 29 )にマークしなさい。,使用期間は交付日を含めて5日以内である。,使用できる医薬品は薬価基準に収載されているものに限定されている。,保険医療機関および保険医療養担当規則によって様式が定められている。,麻薬処方箋は法で定める事項を記載し、記名押印または署名しなければならない。,院外処方箋記載事項は患者氏名、年齢、薬名、分量、用法、用量、医師氏名である。
30,歯科の診療録に関わる記述として適切なのはどれか。番号を解答記入欄( 30 )に2つマークしなさい。,保存期間は4年である。,算定点数は2号用紙に記載する。,歯の部位を示すために歯式を用いる。,自由診療に関わるものは2号用紙に記載する。,歯周検査の記録は2号用紙に直接記載してはならない。
31,看護過程に含まれないのはどれか。番号を解答記入欄( 31 )にマークしなさい。,評価,看護計画,共同問題,看護必要度,アセスメント
32,通常、実施中に治療も行われる検査はどれか。番号を解答記入欄( 32 )にマークしなさい。,IVR,MRI,PET-CT,骨シンチグラフィ,カプセル内視鏡検査
33,酵素検査に該当しないのはどれか。番号を解答記入欄( 33 )にマークしなさい。,CK,Na,ALT,AST,LDH
34,肺機能検査はどれか。番号を解答記入欄 ( 34 )にマークしなさい。,脳波,筋電図,心電図,PSG検査,スパイロメトリー
35,診断のためにCT検査が行われるのはどれか。番号を解答記入欄( 35 )にマークしなさい。,妊婦,糖尿病,脳出血,高血圧症,高脂血症
36,X線を使用しない検査はどれか。番号を解答記入欄( 36 )にマークしなさい。,胃透視,頭部CT,頭部MRI,胸部単純撮影,逆行性腎孟造影
37,体内から放出される放射線を検出し画像化する検査はどれか。番号を解答記入欄( 37 )に2つマークしなさい。,CT検査,PET検査,核医学検査,超音波検査,血管造影検査
38,超音波検査について誤っているのはどれか。番号を解答記入欄( 38 )にマークしなさい。,空気の存在に影響されない。,生体に対する侵襲が少ない。,動画像をその場で観察できる。,血流の方向・速さを画像化できる。,肥満の強い症例では観察能力が低下する。
39,治療について誤っているのはどれか。番号を解答記入欄( 39 )にマークしなさい。,放射線治療は非観血的治療である。,外科的治療は専ら観血的治療である。,内科的治療の多くは薬物療法である。,内視鏡的治療は開腹手術より侵襲的な治療である。,医師の指示によりコ・メディカルが実施するものもある。
40,作業療法はどれか。番号を解答記入欄( 40 )にマークしなさい。,歩行訓練,筋力強化訓練,言語聴覚訓練,関節可動域訓練,日常生活動作訓練
41,患者の自我をささえて情緒的な安定を図り適応能力を回復させようとするのはどれか。番号を解答記入欄( 41 )にマークしなさい。,訓練療法,芸術療法,作業療法,支持療法,洞察療法
42,法律上作成すべき書類とその保存期間の組み合わせで誤っているのはどれか。番号を解答記入欄( 42 )にマークしなさい。,助産録 ー 2年間,診療録 ー 5年間,調剤録 ー 3年間,歯科技工指示書 ー 2年間,救急救命処置録 ー 5年間
43,生活歴の項目として適切でないのはどれか。番号を解答記入欄( 43 )にマークしなさい。,職業,嗜好物,飲酒の有無,喫煙の有無,生活習慣病の有無
44,医薬品の治験について誤っているのはどれか。番号を解答記入欄( 44 )にマークしなさい。,GCPのもとで実施される。,計画段階で国への届出が必要である。,医師自らが企画することも可能である。,医薬品の製造販売承認を得るために行われる。,結果は治験審査委員会で公正に評価しなければならない。
45,システマティック・レビューの説明として誤っているのはどれか。番号を解答記入欄( 45 )にマークしなさい。,診療ガイドラインにしばしば反映される。,公開されている文献を対象にして行われる。,得られた結果のエビデンスレベルはもっとも高い。,良い結果が得られた研究データを抽出して分析を行う。,出版バイアスを排除するためになるべく広く文献を調査する。
46,対象集団において、ある時点の疾病の有無と要因との関係を調べるものはどれか。番号を解答記入欄( 46 )にマークしなさい。,介入研究,横断的研究,症例対照研究,後向きコホート研究,前向きコホート研究
47,次の組み合わせで誤っているのはどれか。番号を解答記入欄( 47 )にマークしなさい。,感度 ー 疾患罹患者中の検査陽性者の割合,オッズ ー ある事象が起こる確率と起こらない確率の比,特異度 ー 疾患罹患者中の検査陰性者の割合,バイアス ー 偶然ではない系統的な誤差,相対危険度 ― 曝露群と非曝露群の発症率の比
48,正規分布について誤っているのはどれか。番号を解答記入摘( 48 )にマークしなさい。,一様分布の一種である。,分布は左右対称である。,平均値と中央値が一致する。,分布は平均値と標準偏差で決まる。,[平均値±2×標準偏差]の区間に全体の約95%が入る。
49,仮説検定について誤っているのはどれか。番号を解答記入欄( 49 )にマークしなさい。,有意水準を設定する。,帰無仮説と対立仮説を立てる。,検定のために使う統計量を決める。,観測したデータから検定統計量の値を計算する。,検定統計量の値が棄却域に含まれれば対立仮説を棄却する。
50,手術症例を中心とした臨床データベースはどれか。番号を解答記入欄( 50 )にマークしなさい。,NCD,NDB,DPCデータベース,ゲノム情報データベース,全国がん登録データベース
