2018IS,解答,解説
1,4,4)心臓超音波検査では血流をカラードップラー法により観察・記録することが必要であり、カラー動画像で記録される。1)心電図はコード化されたデータで保存されることがほとんどで、波形として保存する標準規格としてMFERがある。静止画像で保存されることはあるが、動画で保存されることはない。2)心臓 CT検査は白黒静止画像で記録される。3)心臓MRI検査では白黒静止画像からカラー画像を構築することがあるが、記録は静止画像である。5)心臓カテーテル検査は血液の流れを動画で記録するが、白黒動画像である。
2,2.4,患者の診療情報の利用がその該当患者に直接関係する場合を一次利用といい、その患者とは直接関係がない場合を二次利用という。2)は患者の診療報酬に関する利用、4)は患者の診療に直接関わる利用であるので、一次利用にあたる。1)、 5)は医療機関の運営や経営に関する診療情報の活用、3)は保健行政活動等に関する診療情報の活用であり、それぞれ二次利用にあたる。
3,2,「個人情報の保護に関する法律」において、病歴は要配慮個人情報として最も守られるべき情報とされており、本人の同意無く第三者に提供してはならない。しかし、子どもの場合は本人の同意なく親権者に伝えることに問題はない。したがって、2)親権者である母親に情報を提供することに問題はない。1)親族であっても同意は必要である。3)本人は判断ができない場合でも親権者の同意が必要である。4)裁判所の命令に基づく情報提供は例外として認められているが、証人からの問い合わせには本人の同意が必要である。5)健康診断結果の提供には本人の同意が必要である。
4,5,個人情報保護委員会が定めるガイドライン(「個人情報の保護に関する法律についてのガイドライン(通則編)」他3編 )では、①組織的安全管理措置、②人的安全管理措置、③物理的安全管理措置、④技術的安全管理措置の4つの安全措置をとることが求められている。5)アクセス者の識別と認証は④技術的安全管理措置に該当する。1)組織体制の整備と4)管理規程に基づく連用は①組織的安全管理措置、2)入退館(室)の管理は③物理的安全管理措置、3)担当者の監督と教育は②人的安全管理措置に該当する。
5,2,PHR(Personal Health Record)は、個人の医療情報を本人が管理するものである。個人が管理するものであることから、「2)保険者が管理する」は誤りである。1)法的記録ではなく、3)記載内容に制約はない。また、4)個人がコントロール権を有し、5)生まれてから亡くなるまでの情報を含みうる。よって1)、3)、4)、5)は正しい。
6,5,直接の対面診療に代替し得る手段においては、患者の心身の状況に関する有用な情報が得られることが求められるので、セキュリティを確保した上で、個人が特定でき、双方向性であることが必要となる。5)電子掲示板システム(BBS : Bulletin Board System)は個人の特定が困難であり、個人情報の保護もできないので代替し得る手段とはならない。1)～4)は上記条件を満たすことが可能である。
7,5,5)薬剤の処方は処方箋の原本に基づいて行うことが定められており、あらかじめ送られてきたFAXにより処方の準備を行うことは問題ないが、患者に処方薬を渡す際には原本との引き換えで行う必要があるので、誤りである。1)～ 4)は調剤薬局における通常の業務である。
8,4.5,地域包括ケアシステムは、医療機関や介護施設、各種団体などが連携して必要なサービスを提供することである。おおむね30分以内に必要なサービスが提供される圏域(中学校区などが単位として想定される)での連携が想定されている。4)、5)市町村の役割として、地域に不足するサービスの創出、担い手の養成、関係者間の情報共有、サービス提供主体間の連携の体制作り、地域の支援ニーズとサービス提供主体の活動のマッチングなどがある。4)、 5)は市町村が提供すべき情報といえる。1)施設の経営的健全性を知るために必要なものであり、市町村がそれを把握していることが望ましいが、市町村が直接提供できる情報ではない。2)、 3)も1)と同様に、市町村が外部評価、第二者評価に関わっていないかぎり、直接提供できる情報ではない。1)も含めて、施設、サービスの主体が積極的に公表すべき情報である。
9,4,2008年度から実施されている特定健診では、健診機関が健診結果情報を電子的なデータで提出する。この電子的なデータ標準様式は、HL7 CDA Release 2に準拠して定義され、データはXMLで表される。4)検体検査結果についてはJLAC10 17桁コードが用いられている。1)MFERは心電図や脳波などの波形情報の標準フォーマットであるが、特定健診の心電図検査結果は所見のみの報告であり、単なる文字列で表記される。2)特定健診の項 目に画像検査はないのでDICOMは利用されていない。がん検診等の同時実施をふまえてフォーマットの定めはあるが、所見のみ文字列での報告である。3)、5)問診は服薬の有無のみ、「医師の診断(判定)」は文字列でコード化されていないので、疾病分類コードであるICD10も手術および処置コードであるICD9-CMも利用されていない。
10,2,2)地域医療連携情報システムを使用する費用を保険者に請求することはない。 また診療に係る費用は個々の医療機関が別個に保険者に請求するものであるから、2)を検討する必要性は低いといえる。1)同一人物を改姓などで別個の人物として扱うことや、同姓同名の別人を同一人物 として扱うことがあってはならない。複数の属性を確認して同一人物であるかどうかを確認する名寄せの方法は慎重に検討する必要がある。3)患者の同意を得る方法は参加する医療機関で統一した内容、方法で行われることが望ましい。4)メンテナンスの運用方法は円滑な運用のために費用負担も含めて十分に検討する必要がある。5)セキュリティの確保は最重要課題である。
11,5,5)地域医療連携情報システムは、参加医療機関が共通に使う一つのシステムである。その運用管理規程が各医療機関で異なることは想定できない。1)システム側で用いる個人識別IDと1 : 1に対応していれば、医療機関の診察券番号を統一する必要はない。2)標榜診療科の名称は各科の診療の内容が明らかであれば統一する必要性は低いと言える。3)、 4)病院情報システムは各医療機関が独自に選定し運用管理するものであり、統一する必要はない。
12,3,病院情報システムは複数の部門システムから構成されている。各システム間の情報の連携を理解していれば解答可能である。3)Dは実施情報、実施行為情報、使用物品情報を受け取って、請求を行システムであり、医事会計システムのことである。1)部門システムは各部門に固有のシステムのことであり図のCにあたる。2)物流管理システムはこの図ではEにあたる。4)電子カルテシステムは、一般的には医師が自身の医療行為を記 載するものであり図のBにあたる。5)オーダエントリシステムは入力されたオーダ情報を必要な部門に伝達する役割があり図のAにあたる。
13,3,患者プロファイルは患者基本情報とも呼ばれ、紙カルテの1号用紙に記載される管理情報(氏名、生年月日、保険情報、1)初診日など)や基本的な診療情報として部門間で共有すべき情報(感染症情報、血液型、5)アレルギー情報など)が集約されている。また、各診療科で共有可能な情報(既往歴、入院歴、4)告知情報など)も項目として登録されていることもある。紹介元は、地域医療連携のために患者プロファイルに入れることが多い。基本的に変更頻度が少ない情報である。3)再診予約日時は、外来受診のたびに次回の予定として決められるもので常に変化する項目であるため、通常は患者プロファイルに含めない。
14,2,医事会計システムは、診療報酬の請求に関わる種々の業務を行うものである。医事会計用のデータベースを基本として収入金管理、未収金管理、DPC管理、レセ電算管理などの機能を持つ。2)在庫管理は、物流管理システムとして院内の医薬品。医療材料、その他消耗品などの払い出し状況を管理するものである。1)患者登録、4)入退院登録は医事データベースで行われる。3)医事課の支払い窓口では、後日支払い。振込支払い・分割払いなどさまざまなケースが発生するため、収入金管理で患者への医療費請求情報の管理を行い、医療費の二重請求や未請求を防止している。また、もちろん、5)診療報酬明細書作成の機能も医事会計システムの機能に含まれている。
15,1.4,1)術式は、主治医あるいは術者が登録する。4)行った医療行為に対し診療報酬点数表に基づいて算定されるため、手術依頼時に一部が算定されることはない。2)算定情報は算定基準に照らして適切かどうか医事 課等での判断が必要である。3)手術部では、事前に手術室の割り振りが行われるのに合わせて、麻酔医、手術を補助する看護師だけでなく、必要に応じて臨床工学技士の配置も事前に決めておく場合がある。5)手術、麻酔などの出来高請求する部分は、診療報酬明細書に詳細情報などの診療報酬額を記載する必要があるため、算定項目を分けて送信する。
16,1,1)紹介状は、一般に初診時に登録するため、再来受付システムの機能としては誤っている。2)～5)再来受付システムは、繰り返し来院する患者の情報管理や再来時の受付処理を行うシステムである。外来患者の再来時に受付を行い、受付番号を発番した後に外来予約情報を「来院」ステータスに変更する。発券した受付票に診察予約情報や、当日検査情報を出力し、患者に当日の予定を確認できるようにしている。
17,1,3点認証の目的は、対象者 (主に患者)に薬剤を投与する前、採血を実施する前などに、実施者および対象者 (患者)のIDと対象物 (ラベルのバーコード)を読ませることにより、誰がいつ実施したのかの記録を残すことである。また、誤った対象者に実施しようとした場合、誤った対象物 (指示変更になった・他患者の薬剤・検査)を実施しようとした場合に警告を発することができる。したがって、3点に該当するものは1)対象者・対象物・実施者となる。
18,3,3)重症度は、患者の病状の変化などにより随時変わるものであり、通常入院患者のリストバンドには印字しない情報である。入院患者のリストバンドには、その患者を識別するために最低限必要な情報として、5)患者氏名、1)性別、4)患者 ID、 病棟名などが印字されている。バーコードを印字して、PDAなどを用いて読み取り、3点認証システムとして使用している病院もある。2)血液型は、輸血実施専用リストバンドを作成して印字している病院もある。
19,5,5)代行入力が認められるためには、以下の説明にあるような条件を満たしたうえで、指示者と代行入力者が明確に管理されなければならない。1)入力者を明確にする必要があるため、代行入力者のIDでログインする。2)事前に規則で申し合わせた範囲においてのみ、一定時間後に自動承認・確定が可能である。3)最終的責任は、代行入力を依頼した医師や病院管理者になる。確定者は代行入力者が正しく入力できているか、その内容を個々に確認してから承認・確定する必要がある。4)代行入力の業務範囲や権限は、運用管理規程などによって規定される。
