2023II,解答,解説
1,4,4)第二次予防とは、発生した疾病や障害を検診などにより早期に発見し、早期に治療や保健指導などの対策を行い、疾病や傷害の重症化を予防することである。生活習慣や生活環境の改善、健康教育による1)健康増進を図ること、予防接種による3)疾病の発生予防、事故防止による傷害の発生を予防する、2)事故予防は、いずれも一次予防である。治療の過程における保健指導や、5)リハピリテーションにより機能回復や社会復帰を図り再発を予防することは第三次予防である。
2,2,2)地域包括ケアシステムとは高齢者が可能な限り住み慣れた地域で生活を継続できるよう、住まい・医療・介護・予防・生活支援が一体的に提供されるものをいう。1)地域連携パスは、パスが一つの医療機関内にとどまらず、地域の複数の医療機関や関係職種が関わり地域全体で患者のケアを行うものである。3)オンライン資格確認システムは患者が加入している医療保険情報をオンラインで確認出来る仕組みである。4)ヘルスケアデリバリシステムは個人情報の統合・共有化と施設・ケア提供者をネットワーク化したものである。5)PHRは経年的に蓄積される個人の健康・医療・介護に関する記録のことである。
3,3.5,3)リビングウィルは自らの終末期をどのように迎えたいかの意思表示である。DNARは蘇生することが多くない中で蘚生処置を試みないことの意思表示として用いられ、リピングウイルの一つとして認識されている。5)GCPは医薬品開発における臨床試験(治験)の実施基準のことである。1)リスポン宣言は思者の権利の宣言で、パターナリズムは医師主導による意思決定のことである。2)ヘルシンキ宣言は人間を対象とする医学研究の倫理的原則で、患者が自身の診療やケアに参加する患者参画医療とは関連しない。4)インフォームドコンセントは医師が診断・治療方針などを患者に十分説明し、患者が理解したうえで医療行為に同意するプロセスのことであり、個人情報保護とは関連しない。
4,3,インフォームドコンセントは医師が事実に基づいた医療行為を説明し、3)患者・家族が十分に理解した上で同意をするプロセスのことで、その形成過程では未来を患者一人が決めるものではない。思者・家族は理解した内容によって未来を展望でき、専門家である医療者と共に最良の道筋を考え、自由に方針を決定でき、決定した方針は、息者の意向によっていつでも変えることができることが不可欠である。したがって、4)専門家による医学的検討に基づいて行われ、1)患者本人のみに決定権があるのではなく、2)賤者本人の意向に従い家族への病状説明も行う。また5)決定した治療方針の変更はいつでも可能である。
5,4,義務教育就学後(6歳以上)から70歳未満の自己負担割合は3割である。70歳から74歳は2割(ただし現役並みの所得がある人は3割)、75歳以上(後期高齢者)は1割(ただし所得の程度により2割もしくは3割)である。義務教育就学前(6歳未満)は2割であるが、負担軽減のためこれに加え、乳幼児医療費助成制度などによる助成も各自治体により行われている。
6,5,5)特定健診および特定保健指導は、メタボリック症候群の一次予防を目的に40歳~74歳までの公的医療保険加入者全員を対象とし、保険者にはその実施が義務化されている。1)介護保険料は40歳から徴収される(第2号被保険者)。2)国民健康保険を管理しているのは市区町村である。3)後期高齢者医療が適用されるのは75歳からである。4)レセプトの電子請求は96%以上で行われている(令和5年1月処理分は96.5%(うちオンライン請求69.6%、光ディスク26.9%))。
7,5,5)マイナンバーカードは、利用登録をすることで健康保険証として使え、病院などの端末で保険資格確認ができる。1)診察券は、通常自院の予約やカルテ管理に使われる。2)マイナンバーカードが今後は運転免許証としても利用できる予定である。3)HPKIカードは、保健医療福祉分野の公的資格を証明するためのカードで、国家資格の確認、電子処方箋交付時や調剤時などの電子署名で利用される。4)住民基本台帳カードは、住民票コードなどが記録されたカードで、市町村の住民サーピスに利用されていたが、マイナンバー制度の導入に伴い廃止された。
8,1,1)口腔外科などでの入院症例があるので、医科同様入院・入院外の区別がある。2)医科や調剤と同様、社保・国保とも1ヵ月ごとに行われる。3)未コード化傷病名は、医科・歯科を問わず問題となっている。4)保険請求の整合性チェックでは、病名、部位、診療行為などの様々な組合せのチェックを行わなければならず、大変複雑である。5)歯科でのオンライン請求は48.6%(令和5年5月請求分、件数ベース)で以前より増加しているが、電子媒体(49.6%)よりは少ない。
9,1.2,保険医療機関及び保険医療養担当規則(以下、療養担当規則)により、「療養の給付」の対象となるのは傷病である。1)診察と2)画像診断のように疾病又は負傷に対する医療行為は保険診療で認められている。3)健康診断は県止されている(療養担当規則第12条、第20条)。4)自然分娩は、予防接種、予防的医療、美容外科及び労災保険対象などとともに保険給付とならない疾当などとされている。5)疲労回復のための入院は傷病による入院ではないので保険診療の対象外である。
10,2.3,指導大綱および監査要綱(平成7年)では、保険医療機関の新規指定や指定更新時における指導の実施について定められている。指導形態としては、講習会などによる2)集団指導、集団的個別指導、個別指導があり、個別指導には厚生労働省・地方厚生局・都道府県が共同して行い大学病院や臨床研修病院などが対象となる3)特定共同指導などがある。1)会計監査は財務諸表の内容を第三者がチェックすること、4)病院機能評価は日本医療機能評価機構による外部評価、5)保健所立入検査は医療法に基づく設備・体制・人員に基づく検査である。
