2023IS,解答,解説
1,5,医療情報の一次利用とは、収集した診療情報を利用し、患者に直接還元することである。患者本人が望んだ診療のための利用であり、基本的に患者の同意が得られているものとみなす。1)~4)は1次利用である。二次利用とは、収集した診療情報を公益のために利用する場合などをいう。二次利用するには原則として患者の同意を得なければならない。5)がん登録は大規模データベースに蓄積し、医療の質の向上や地域医療計画を策定するための基礎資料などに利用されることから、一次利用に該当するため誤りである。
2,4,医療従事者が患者に対する倫理的な責務を果たすために、医療情報担当者は、医療従事者が必要な医療記録に適切かっ時期を得て安全にアクセスできるよう援助する必要がある。よって、4)医療従事者に関わる責務に該当する。1)社会的な責務は社会全体に対する責務、2)自身に関する責務は自分自身に対する責務である。3)患者に対する責務は「患者(記録の対象者)」と「記録とそれに含まれるデータ」との関係による責務である。5)施設・雇用者に対する責務は、医療情報担当者が、自身が所属する施設とその雇用者に対して負う責務である。
3,1.2,3)~5)のシステムで取り扱われる3)投薬情報、4)医事会計情報、5)診療記録は、どの患者に対しての情報であるか紐付いている必要があり、患者IDが空欄で運用することはできなDICOMでは、画像(インスタンス)ごとにモダリティ(撮影装置)がユニークな番号であるUIDを付与しており、これに患者IDを紐付けている。画像はUIDで特定できるため、患者IDは空欄のまま検査を実施し、後で患者IDを付与することもできる。2)重症系システムのモニタリング情報はべッド毎に表示している。患者IDや氏名などの詳細が不明な救急患者でもべッド番号で紐付けて収集情報を管理し、後で患者IDと紐付けることができるようにしている。
4,3,図では、Bに対して医師が作成する診療記録や看護師が記録する看護記録が保存されるので3)電子力ルテシステムに該当する。1)医事会計システムは、実施会計情報を受け取り診療報酬(レセプト)請求していることからDと特定できる。2)物流管理システムは、出庫請求を受け取り外部業者などに対して発注することからCである。5)オーダ工ントリシステムは、医師が依頼(オーダ)を入力しBへ実施記録を送信していることからAである。4)患者案内表示システムは、受付済みの患者に対し院内での動きを指示するシステムであるため、A～Dに該当しない。
5,5,シンクライアントシステムでは、端末で動作するアプリケーションを中間サーパで処理させ、画面情報のみを端末に送信し、マウスやキーポードなどの端末操作情報を端末から中間サーバへ送信する。限定されたファイルのみを送受信し、サーバを操作する命令も使わないので、端末にウイルス感染があっても、サーバに影響することがなく、1)セキュリティは向上するといえる。2)複数画面の端末であっても端末の情報を得て複数画面を作成し表示することも可能である。画面データを端末に送付するだけであり、終了すると画面データは消える。もちろん画面情報をキャプチャーして保存することは可能であるが、3)患者データそのものを保存するとはいえない。4)クライアント・サーバ型に比べて、画面データの送信だけのため、通信量を18分の1から108分の1に削減できるといわれている。一方、端末に直接接続されたプリンタは中間サーバで動くアプリケーションからは認識できず利用が困難である。そのため、中間サーバ上の端末アプリケーションからネットワークプリンタへ印刷命令を出す必要がある。よって5)は誤り。
6,2.4,内視鏡検査は一般的に予約が必要な検査であり、依頼時に予約を取る必要があるため2)予約枠管理機能が求められる。内視鏡検査では病理組織診のため組織採取が行われることが多く、4)病理検査オーダと連動する機能が求められる。よって2)、4)が適切である。1)費用計算は、医事会計システムの機能である。3)検査結果報告書の作成は、内視鏡部門システムの機能である。5)検査薬剤の在庫管理は、薬品在庫管理システムの機能である。
7,1,医療情報システムでは、マスターを利用してアレルギーや禁忌情報の自動チェックを行う。マスターには医薬品を一意に特定するためのコード情報を含み、これを利用して医薬品を特定してアレルギーを登録し、オーダ時に選択した医薬品のコードとチェックする。1)薬剤名をフリーテキストで登録した場合、コード情報を持たないため、自動チェックが困難となることから適切でない仕様である。2)~5)は仕様・運用として適切である。
8,2,2)緊急時の注射は投与までの時間が短いため、診療現場に常設されている定数配置薬を使用して実施されることが多い。緊急性の高い外来などで採用される方法で、病床管理機能との関連は弱い。病床管理(べッドコントロール)機能は、病床を効率的に利用することを目的として利用されている。4)入退院オーダ、3)緊急時の転棟などの入退院情報を利用して病床の占有状況を病床マップで視覚的に表示する。1)食事は、入院時にすぐに食事オーダが出せるよう入院オーダ時の必須項目の一つとなることが多い。5)定期注射の払い出しは、事前オーダされた薬剤を定められた搬送時間に、入院患者の病棟あてに払い出される方法として採用されることが多い。
9,1,歯科における診断・治療は「一口腔単位」で体系的に計画される。しかし、個々の歯に対する処置の履歴は治療経過の記録であり、いつ・どの歯に・どのような処置を加えたかについて「歯単位」でシステムに保持する。よって、1)が誤りである。2)~5)はいずれも正しい。
10,4,4)医療情報システムの安全管理対策の立案は、「医療情報システムの安全管理に関するガイドライン」などに基づいて、病院情報システム管理に関する部門・組織で行われる。医療安全管理部門は、病院内の医療安全管理を担う部門である。その業務を大きく分類すると、1)医療事故への対応、2)安全管理体制の構築、3)医療事故を防止するための情報収集および分析・対策立案・フィードバック・評価、5)医療安全に関する職員への教育・研修の実施の他、安全文化の醸成がある。
11,5,5)サーベイランス機能とは、院内の種々の感染症の発生動向を調査することで、感染対策の有効性評価、発生頻度の異常を検出のために行われる。感染管理部門において行われる感染対策対応の一つである。よって安全管理部門システムの機能でない。医療安全管理部門システムには、院内で発生した医療安全に関する事象を報告・収集・分析・対策立案・フィードバック・評価を効率的に行うための機能を有する「インシデント・アクシデントレポートシステム」と、医療安全に関する職員への教育・研修を支援する機能を有する「eーラーニング・研修管理システム」がある。1)~3)は前者、4)は後者に該当する。
12,4.5,高額な外来診療受診者が、自己負担限度額以上となった窓口負担を一旦先に支払わなくて済むようにするために事前交付を受ける4)限度額適用認定証の所得区分、疾患別リハビリテーションの診療報酬の算定上限日数や加算の計算に必要となる5)リハビリテーションの起算日の情報は、いずれも診療報酬に関わるものであり医事会計システムで管理される。1)DESIGN-R@は褥瘡の重症度などを評価するツールで、医事会計システムでは管理しない。2)特定健診の検査値は、公益社団法人国民健康保険中央会の特定健診等データ管理システムで管理される。3)インプラント装着の有無は診療に関わる記録であり、電子力ルテで管理される情報である。
13,5,5)マイナンバーは、マイナンバー法(行政手続における特定の個人を識別するための番号の利用等に関する法律)により社会保障・税・災害対策分野に限って利用が認められており、それ以外の目的で取得・収集・保管することは禁止されている。したがって、医療機関が医事会計業務を目的にマイナンバーを医事会計システムに登録することはできない。1)~4)の情報は患者登録・受付や会計などの医事会計業務に必要な情報であり、医事会計システムに登録される。
14,1.4,看護部門のシステムには、看護職員や病床を管理する「看護管理システム」と看護業務を支援する「看護業務支援システム」がある。1)看護計画は、「看護業務支援システム」の看護過程に沿った看護実践の記録を支援するシステムのひとつである。4)ワークシートは、指示受けや受け持ち割り振りなど看護業務を支援するシステムのひとつである。2)看護勤務管理、3)病棟管理日誌は、石護管理システムである。5)クリニカルバスは、疾患別医療の標準治療計画に基づいた医療の管理手法である。
15,2,2)患者への処方は、他医師による処方も含め前回処方を参考にした上で、引き続き投与することが多い。よって、2)他医師の処方の流用を禁止するのは適切でない。1)処方時には前回処方を参照することが必要である。3)従来は、内服薬の分量を1日量として記載し、1日に服用する回数を「分3」などと表記することが多かったが、平成22年からは1回量と1日服用回数での表記が標準となった。4)医師の分量の勘違いやタイプミスなどを防止、あるいは保険診療上の制限を意識させる意味で、常用量の1.5~2倍以上の処方では警告を発することが望ましい。5)患者に副作用などの影響を及ばす可能性がある医薬品の処方には考慮が必要なので、強調表示されることが望ましい。
16,3,3)検体検査オータでは、選択可能な検査項目が数千にも及ぶため、効率的なオーダ入力のために、共通セットや科別セット、医師別セットなど、独自にセットを作成し、利用できるようにするオーダェントリシステムの機能が求められる。3)以外の選択肢については、オーダ工ントリシステムではなく、主に検体検査部門システムにて運用する機能である。
17,3,臨床検査技師が行う検査は、患者から血液・尿などの検体を採取し分析する「検体検査」と、者から直接生体信号などを測定し分析する「生理機能検査」に大別される。3)精度管理は、おもに検体検査で必要な機能である。超音波検査など生体信号を画像情報として取得する生理機能検査では、1)その画像を管理する機能や、5)検像した結果を報告する機能が必要となる。生理機能検査、検体検査のいずれにおいても、所要時間が長い検査の場合は、4)予約を管理し、2)その予約患者の受付処理をする機能が必要である。
