2023II,問題文,選択肢,,,,
1,第二次予防にあたるのはどれか。番号を解答記入欄( 1 )にマークしなさい。,健康増進,事故予防,疾病予防,早期発見,リハビリテーション
2,住まい・医療・介護・予防・生活支援が一体的に提供される仕組みはどれか。番号を解答記入欄( 2 )にマークしなさい。,地域連携パス,地域包括ケアシステム,オンライン資格確認システム,ヘルスケアデリバリシステム,PHR(Personal Health Record)
3,医療ならびに医学研究における倫理について正しい組み合わせはどれか。番号を解答記入欄( 3 )に2つマークしなさい。,リスボン宣言 ― パターナリズム,ヘルシンキ宣言 ― 患者参画医療,リビングウィル ― DNAR(do not attempt resuscitation),インフォームドコンセント ― 個人情報保護,GCP(Good Clinical Practice) ― 薬剤治験
4,インフォームドコンセントに基づいた医療について正しいのはどれか。番号を解答記入欄( 4 )にマークしなさい。,患者本人にのみ決定権がある。,患者の家族には病状を伝えない。,患者や家族が説明内容を理解する。,専門家による医学的検討は不要である。,合意・決定した後の治療方針の変更は避ける。
5,国民健康保険に加入している50歳本人の自己負担割合はどれか。番号を解答記入欄( 5 )にマークしなさい。,0割,1割,2割,3割,10割
6,日本の医療・福祉制度について正しいのはどれか。番号を解答記入欄( 6 )にマークしなさい。,介護保険料は65歳から徴収される。,国民健康保険は国が直轄管理している。,後期高齢者医療は70歳から適用される。,診療報酬請求は約50%が電子レセプトで行われている。,保険者は特定健診を40~74歳の被保険者に実施する義務がある。
7,保健資格確認に使用できるのはどれか。番号を解答記入欄( 7 )にマークしなさい。,診察券,運転免許証,HPKIカード,住民基本台帳カード,マイナンバーカード
8,歯科の診療報酬請求について正しいのはどれか。番号を解答記入欄( 8 )にマークしなさい。,入院・入院外の区別がある。,社保・国保を隔月で交互に行う。,未コード化傷病名の問題は生じない。,整合性チェックは医科に比べ容易である。,電子レセプトの請求方法は電子媒体よりオンラインが多い。
9,保健医療機関での「療養の給付」に含まれるのはどれか。番号を解答記入欄( 9 )に2つマークしなさい。,診察,画像診断,健康診断,自然分娩,疲労回復のための入院
10,健康保険法等に基づき作成された指導大綱による、医療機関に対する指導・監査はどれか。番号を解答記入欄( 10 )に2つマークしなさい。,会計監査,集団指導,特定共同指導,病院機能評価,保健所立入検査
11,介護保険制度に基づく要介護状態区分について正しいのはどれか。番号を解答記入欄( 11 )にマークしなさい。,1）,2）,3）,4）,5）
12,嚥下訓練を主に担当する職種はどれか。番号を解答記入欄( 12 )にマークしなさい。,管理栄養士,言語聴覚士,作業療法士歯科衛生士,理学療法士,
13,2020年における日本の死因別死亡数でもっとも多いのはどれか。番号を解答記入欄( 13 )にマークしなさい。,肺炎,心疾患,悪性新生物,脳血管疾患,不慮の事故
14,削除,,,,,
15,診療情報管理業務はどれか。番号を解答記入欄( 15 )にマークしなさい。,医療品購買,経営計画策定,診療情報監査,診療報酬請求,診療録の修正
16,インシデントレポートについて正しいのはどれか。番号を解答記入欄( 16 )に2つマークしなさい。,紙媒体による報告が必要である。,当事者以外から報告してもよい。,匿名での報告も認められている。,法令で書式が詳細に決められている。,有害事象が発生したときにのみ報告する。
17,SHELモデルの「S」にあたるのはどれか。番号を解答記入欄( 17 )にマークしなさい。,医療機器,教育方法,作業環境,自分自身,上司や同僚
18,医療面接（問診）で取得する項目とその説明の組み合わせで適切なのはどれか。番号を解答記入欄( 18 )にマークしなさい。,主訴 ― 収縮期の心雑音,家族歴 ― 20年前に結婚。妻、息子の2人との4人暮らし。,既往歴 ― 母親が高血圧で薬物療法中である。,現病歴 ― 狭心症の疑いで他院から当院へ紹介された。,生活歴 ― 過去に2回、中足骨の骨折歴あり。
