2023JS,問題文,選択肢,,,,
1,2進数「100」のと16進数の「10」の合計を10進数で表したのはどれか。番号を解答記入欄( 1 )にマークしなさい。,16,18,20,22,24
2,単位の接頭辞が小さい順に並んでいるのはどれか。番号を解答記入欄( 2 )にマークしなさい。,E < T < P < G,G < T < P < E,P < E < G < T,P < T < E < G,T < G < P < E
3,漢字を扱えない文字コードはどれか。番号を解答記入欄( 3 )にマークしなさい。,ASCII,UTF-8,EUC-JP,Shift-JIS,ISO-2022-JP
4,画像データをグレースケール10ビットで量子化した場合、表現可能な階調数はどれか。番号を解答記入欄( 4 )にマークしなさい。,256,512,"""1,024""","""2,048""","""4,096"""
5,サンプリング周波数20Hz、16bitで量子化された2秒分のデータ量はどれか。番号を解答記入欄( 5 )にマークしなさい。,40Bytes,80Bytes,160Bytes,320Bytes,640Bytes
6,ファイルの種類を識別する、ファイル名の末尾の文字列を表すのはどれか。番号を解答記入欄( 6 )にマークしなさい。,タグ,演算子,拡張子,フォルダ,文字コード
7,シンクライアントの特徴はどれか。番号を解答記入欄( 7 )にマークしなさい。,サーバの負荷軽減,情報漏洩対策が困難,大量データの一括管理,ピアツーピア型の通信,端末にデータを持たない
8,半導体メモリに記録するのはどれか。番号を解答記入欄( 8 )にマークしなさい。,BD,CD,DVD,HDD,SSD
9,ディスプレイの規格でもっとも解像度が高いのはどれか。番号を解答記入欄( 9 )にマークしなさい。,4K,HD,FHD,XGA,WUXGA
10,ストライピングしたデータとパリティ値を各ディスクに分散して記録する方式はどれか。番号を解答記入欄( 10 )にマークしなさい。,RAID0,RAID1,RAID5,RAID01,RAID10
11,アナログ出力するコネクタはどれか。番号を解答記入欄( 11 )にマークしなさい。,1) DisplayPort,2) D-sub15,3) HDMI,4) USB(Type-B),5) USB(Type-C)
12,図の空欄(A)に入るのはどれか。番号を解答記入欄( 12 )にマークしなさい。,時刻管理,タスク管理,ユーザ管理,ネットワーク管理,ファイルシステム管理
13,1行ごとに翻訳と実行を行いながらプログラム全体の処理を進める方式はどれか。番号を解答記入欄( 13 )にマークしなさい。,アセンブラ,コンパイラ,インタプリタ,オブジェクト,マークアップ
14,リスト構造のキューの説明として正しいのはどれか。番号を解答記入欄( 14 )にマークしなさい。,先に入れた要素と比較する。,入れられた要素を並べ替える。,先に入れた要素を先に取り出す。,後に入れた要素を先に取り出す。,任意の位置の要素を追加・削除できる。
15,次のフローチャートを実行して出力される値はどれか。番号を解答記入欄( 15 )にマークしなさい。ただし、mod関数は x ÷ y の剰余(割った余り)を表す。,1,2,3,6,18
16,データベース管理システム(DBMS)の機能に含まれないのはどれか。番号を解答記入欄( 16 )にマークしなさい。,電源管理,データの更新,セッション管理,データ照会への対応,データへのアクセス権限の管理
17,データベース設計で実装のためのリレーショナルモデルなどを構築する作業を指すのはどれか。番号を解答記入欄( 17 )にマークしなさい。,概念設計,外部設計,物理設計,論理設計,耐障害設計
18,表「検査結果」に対して以下のSQL文を実行したとき、得られる結果の行数はどれか。番号を解答記入欄( 18 )にマークしなさい。ただし、検査1~3のデータ型は整数型とする。,2,3,4,5,6
19,トランザクションを中断した状態を指すのはどれか。番号を解答記入欄( 19 )にマークしなさい。,アボート,コミット,リカバリ,ロールバック,フェイルオーバー
20,複数の業務システムに格納されたデータの検索や分析を可能とするように統合したデータベースはどれか。番号を解答記入欄( 20 )にマークしなさい。,DWH,ETL,OLAP,BIツール,ダッシュボード
