2023IS,問題文,選択肢,,,,
1,医療情報の一次利用に該当しないのはどれか。番号を解答記入欄( 1 )にマークしなさい。,検査結果の即時確認,薬局での処方指示参照,多職種によるカルテ情報共有,遠隔地の専門医からの診療助言,診療情報管理士によるがん登録
2,医療情報担当者倫理綱領における医療情報担当者が負う貴務について、下記の記述が該当するのはどれか。番号を解答記入( 2 )にマークしなさい。,社会的な責務,自身に関する責務,患者に対する責務,医療従事者に関わる責務,施設・雇用者に対する責務
3,救急時等で、患者IDが空欄でも運用することができるのはどれか。番号を解答記入欄( 3 )に2マークしなさい。,モダリティ,重症系システム,薬剤部門システム,医事会計システム,電子力ルテシステム
4,図は病院情報システムの主要なシステムと情報の流れを示している。図の(B)にあたるシステムはどれか。番号を解答記入欄( 4 )にマークしなさい。,医事会計システム,物流管理システム,電子カルテシステム,患者案内表示システム,オーダエントリシステム
5,病院情報システムの構築に利用されるシンクライアントシステムについて誤っているのはどれか。番号を解答記入欄( 5 )にマークしなさい。,セキュリティが向上する。,複数画面の端末を利用できる。,患者データを端末に保存できない。,ネットワークの通信量を減らせる。,ネットワークプリンタが利用できない。
6,内視鏡検査オーダに実装する機能として適切なのはどれか。番号を解答記入欄( 6 )に2つマークしなさい。,検査の費用を計算する機能,検査予約の枠を管理する機能,検査結果報告書を作成する機能,病理検査オーダを連動して依頼する機能,検査で使用する薬剤の在庫を管理する機能
7,患者毎に医薬品アレルギーを登録し、薬剤オーダをするときに自動チェックするシステムを開発した。仕様や運用について適切でないのはどれか。番号を解答記入欄( 7 )にマークしなさい。,薬剤名をフリーテキストでも登録できるようにした。,「アレルギーの症状・程度」を入力できるようにした。,アレルギーを起こした医薬品と同系統の医薬品もチェック対象とした。,医薬品アレルギーの既往がないことを確認した日付を入力できるようにした。,電子問診票で患者が入力したアレルギー情報はそのまま反映しないようにした。
8,病床管理機能との関連がもっとも弱いのはどれか。番号を解答記入欄( 8 )にマークしなさい。,食事,緊急時の注射,緊急時の転棟,入退院オーダ,定期注射の払い出し
9,歯科診療に関するシステムの機能について誤っているのはどれか。番号を解答記入欄( 9 )にマークしなさい。,処置の履歴は一口腔単位で保存する。,歯科の入院医療費はDPCの対象外とする。,患者基本情報は医科と同様の項目が必要である。,会計は保険請求対象のものと保険給付外のものに対応する。,レセプト電算処理では医科と共通の「傷病名マスター」を用いる。
10,医療安全管理部門の業務でないのはどれか。番号を解答記入欄( 10 )にマークしなさい。,医療事故への対応,安全管理体制の構築,医療事故を防止するための情報収集,医療情報システムの安全管理対策の立案,医療安全に関する職員への教育・研修の実施
11,医療安全管理部門システムの機能でないのはどれか。番号を解答記入欄( 11 )にマークしなさい。,レポート管理機能,レポート作成機能,レポート分析機能,教育・研修支援機能,サーベイランス機能
