2023JS,解答,解説
1,3,2進数「100」を10進数に変換すると「4」、16進数「10」を10進数に変換すると「16」である。したがって、3) 4(10) + 16(10) = 20(10)となる。
2,2,選択肢中にある情報の単位の接頭辞はE、T、P、Gの4種類である。Eはexaの頭文字で10^18を表す。Tはteraの頭文字で10^12を表す。Pはpetaの頭文字で10^15を表す。Gはgigaの頭文字で10^9を表す。したがって、小さい順に並べたものは、2)G く T く P く Eとなる。
3,1,1)ASCIIはANSI(米国規格協会)が制定した7ビットの文字コードで、アルファベットの大文字・小文字、数字、記号などを扱える。漢字は扱えない。2)UTF-8はUnicodeのエンコード方式の一つで、漢字をはじめ、多くの言語の文字を扱える。3)EUC-JPはUNIXで日本語を扱うために、EUCの符号化にASCIIおよびJISX0208字コード)を配置したものである。4)Shift-JISは、日本国内のパソコンの標準文字コードとして広く普及した。5)ISO-2022-JPは、JIS(日本工業規格)が策定した文字コードで、日本語の電子メールでよく使用される。ASCIIや半角カタカナのほかに漢字を扱うことができる。
4,3,"""グレースケール10ビットで量子化した場合、2^10 = 1,024(階調)の表現が可能であり、3)1,024が正解である。"""
5,2,サンプリング周波数20Hzとした場合、1秒間に20回の標本化が行われ、その後、量子化される。したがって、1秒間に生成されるデータ量は16bit × 20回/秒 = 320bit/秒となる。2秒間では、320bit/秒 × 2秒 = 640bit = 80Bytesとなり、2)が正解である。
6,3,あるフォーマットで保存されたファイルを識別する文字列を3)拡張子という。拡張子はファイルの末尾に「.(ピリオド)」+「英数字の文字列」で表現される1)タグとは本来、「荷札」「つけ札」のことで、目印を表す。データのまとまりに付けられ、記述されたデータの意味付け、分類に用いられる。2)演算子は式を記述する際に、さまざまな演算を表す記号である。4)フォルダは記憶装内でファイルを格納する保管場所で、ディレクトリと呼ばれることもある。5)文字コードは、コンピュータで文字を利用するために各文字に固有の符号(コード)を割り当て区別するようにしたものである。
7,5,シンクライアント(Thin Client)は、端末の機能を表示や入力、ネットワーク接続など必要最小限にして、サーバ側でアプリケーションやファイルなどの資源や実行環境を保持して処理を実行する仕組みであり、5)端末にデータを持たないことが、シンクライアントの本質的な特微である。サーバ側でアプリケーションの処理を行うため1)サーバの負荷軽減にはならない。また個々のクライアント端末側の操作に対応してサーバ側で実行環境の処理を都度実行する仕組みであり、3)大量データの一括処理を目的とするシステムではない。端末にデータをもたないため2)情報漏洩対策が困難でなく、可能である。シンクライアントとサーバで役割を分担するクライアントサーバ方式であり、クライアントが同等な機能を持って繋がる4)ピアツーピア型の通信とは異なる。
8,5,5)SSDはSolid State Driveの略で半導体メモリであるフラッシュメモリに情報を記録する。1)BDはBlu-ray Discの略で青色半導体レーザーを使って情報を記録し、1層の記録では25GB、2層では50GB記録できる。2)CDはCompact Discの略で赤色半導体レーザーを使って記録する。3)DVDはDigital Versatile Discの略で、CDと同様に赤色半導体レーザーを使って情報を記録するが、CDは片面のみ700MBであるのに対し、DVDは片面で4.7GB、両面で9.4GB記録できる。4)HDDはHard Disc Driveの略で磁気ディスクに情報を記録する。
9,1,"""ディスプレイは画像を点(ピクセルまたはドット)の集まりで表現し、横と縦のピクセル数を掛け合わせたものをディスプレイの解像度という。各解像度は1)4Kが3,840 × 2,160ピクセル、2)HDが1,366 × 768ピクセル、3)FEIDが1,920 × 1,080ピクセル、4)XGAが1,024 × 768ピクセル、5)WUXGAが1,920 × 1,200ビクセルである。したがって、最も解像度が高い規格は1)4Kである。"""
10,3,3)RAID5は複数のディスクにデータを分割して書込み・読込みを行う方式(ストライピング)で保存する。このときパリティ値を計算して各ディスクに分散して記録し冗長性を担保している。1)RAID0は複数のディスクにストライピングするが、冗長性はない。2)RAID1はミラーリングとも呼ばれ、同一のデータを複数のディスクに記録して冗長性を持たせている。4)RAID01は複数のディスクをストライピングしたアレイ(グループ)をミラーリングする。方、5)RAID10はミラーリングしたアレイをストライビングする。
11,2,2)D-sub15はディスプレイとアナログ接続するためのコネクタである。1)DisplayPortと3)HDMIは音声と映像を伝送できるデジタル接続のコネクタである。USBは周辺機器とデジタル接続するためのコネクタで、4)Type-Bは主にプリンタなどの比較的大型の周辺機器に用いられ、5)Type-Cは上下の区別がない形状で、HDMI変換アダブタを用いてディスプレイに接続可能である。
12,2,2)タスク管理はプロセス管理とも言われ、プログラムの処理順序を管理しCPU処理のスケジューリングを行う。1)時刻管理は、OS内部の現在時刻を管理する。3)ユーザ管理は、利用者の登録・認証と周辺機器やファイル・フォルダへのアクセス制限を行う。4)ネットワーク管理は、ネットワークとの接続を管理する。5)ファイルシステム管理は、ファイル単位でのデータ保存とフォルダ構造によるファイル管理の仕組みを提供する。いずれもOSの機能である。
13,3,コンピュータでプログラムを処理する方法で、3)インタプリタは高水準言語で書かれたプログラムを、1ステップごとに解釈しながら実行する方式である。1)アセンブラは低水準言語であるアセンブリ言語で作成したプログラム全体を機械語に翻訳し実行する方式である。2)コンパイラは高水準言語で作成したプログラム全体を機械語に翻訳し実行する方式である。4)オブジェクトは処理対象を独立したモノ(Object)としてとらえるプログラムの記述方式である。5)マークアップはテキストファイル中の特定の文字列に、タグで付加情報を記述する方式である。
14,3,リスト構造とは、データ部とポインタ部を合わせたセルで構成され、セルをポインタ部で連結することにより、論理的な順番でデータにアクセス可能となるデータ構造である。キュー(Queue)は待ち行列とも呼ばれ、最初に格納されたデータから順に並べ、3)先に入れた要素を先に取り出す。4)はスタック(Stack)のことで、プログラムの実行中に他のプログラムを呼び出す時などに用いられる。2)はソートのことで、代表的な方法として木構造のバブルソートやクイックソートなどがある。1)と5)はリスト構造の基本的な機能である。
15,4,このフローチャートはx÷yの余りが0となった時のyの値を求めるもので、手順は以下のとおりである。①初期値はx = 42、y = 24であるので 42÷24 = 1余り18となり、rに18が代入される。r = 18となりrは0ではないため判断はNoとなる。②yの値がxに、yはrの値が代入されるためx = 24、y = 18となる。24÷18 = 0余り6となり、r = 6で判断はNoとなる。③yの値がxに、yの値はrの値が代入されるため、x = 18、y = 6となる。これを計算すると18÷6 = 3余り0でr = 0となるので4)6が出力される。
16,1,データベース管理システム(DataBase Management System)は、コンピュータ上のデータベースとそれを利用するアプリケーションとのやりとりを介して、データの整理やデータの検索、更新、共有、問い合わせなどを行うソフトウェアで、その機能は2)データの更新、3)セッション管理、4)データ照会への対応、5)データへのアクセス権限の管理、データの整合性確保、などである。1)電源管理はOS(Operating System : オペレーティングシステム)の機能である。
17,4,4)論理設計では、概念モデルを元に、リレーショナルモデルなどの論理モデルを構築する。1)概念設計では、現実世界から抽出したデータを、どのような項目や形式でデータベースに収めるかを決める。2)外部設計はソフトウェアの要件定義を指す。3)物理設計は、論理モデルをハードウェアやOS上に実装するための工程である。5)耐障害設計は、冗長性確保などシステム停止を回避するための設計である。
18,4,"""主文のSQL文は、表「検査結果」から(FROM 検査結果)、「検査2」の値が300を超えている(WHERE 検査2 > 300)行全体を抽出(SELECT *)するものである。したがって「検査2」の列で値が300を超えているものを数えれば良く、これに該当するのは1, 5, 8, 9, 11行目の4)5行となる。"""
19,1,データを操作する一連の処理であるトランザクションを、途中で止めることを1)アボートと呼ぶ。2)コミットはトランザクション内の処理結果をすべて確定する動作である。一方、エラーやアボートのためトランザクションが完了しなかった場合に、処理開始前の状態に戻すことを4)ロールバックと呼ぶ。3)リカバリは、バックアップデータをリストアした後に最新状態まで戻すこと、5)フェイルオーバーは障害発生時に待機系に自動切替することを示す。
20,1,意思決定支援などのために複数システムのデータを時系列で統合したデータベースを1)DWH(データウェアハウス)と呼ぶ。2)ETLは、業務システムからDWHにデータを移す際の抽出/変換・加工/格納を示す。4)はBusiness Intelligenceツールの略で、経営判断のために様々なデータの分析や視覚化を行うツールを指し、この分析機能が3)OLAPと呼ばれる。5)ダッシュポードは、多くの分析結果を集約表示する画面を示す。
21,4,コミット済のトランザクション結果が失われないことを4)耐久性(Durability)と呼ぶ。トランザクションの一部だけが実行されることがない3)原子性または5)不可分性(Atomicity)、トランザクションの前後や途中でデータに矛盾が生じない1)一貫性(Consistency)、個々のトランザクションが独立して互いに影響を与えない2)隔離性(Isolation)とともにACID特性と呼ばれ、信頼性のあるトランザクション処理に必要である。
