2016JS,解答,解説
1,削除,
2,2,16進数の足し算は、桁毎に分解して足し算を行い、まとめるとよい。この問題の場合、16進数の36と25について、3(16) + 2(16)、6(16) + 5(16)をそれぞれ行う。3(16) + 2(16) = 5(16)、6(16) + 5(16) = B(16)となり、36(16) + 25(16) = 5B(16)である。この各桁を4桁の2進数に変換して並べたものが2進数での表現となる。5(16) = 0101(2)、B(16) = 1011(2)であるから、2)01011011となる。あるいは16進数の36と25をそれぞれ2進数に変換して、2進数の足し算を行ってもよい。この場合、36(16)の3、6をそれぞれ4桁の2進数に変換すると00110110(2)、25(16)の2、5をそれぞれ4桁の2進数に変換すると00100101(2)である。00110110(2)と00100101(2)を足すと、2)01011011となる。
3,5,1)、5)NAND演算はAND演算の結果を反転させたもので、すべての入力が1のときのみ0となる。1)A = 0、B = 1の場合の結果は1であり、5)A = 1、B = 1の場合の結果は0である。よって5)が正解である。2)、4)XOR演算は、両者の入力が異なるときに1となる。2)A = 0、B = 1の場合、および4)A = 1、B = 0の場合のいずれも、結果は1である。3)OR演算はいずれかの入力が1であれば1となる。A = 1、B = 0の場合の結果は1である。
4,3,3)Unicodeは、コンピュータ上で多言語の文字を単一の文字コードで取り扱うために提唱された文字コードである。1)EUC(Extended UNIX Code)は、 UNIX系のOSで使用される文字コードで、日本語を扱うEUCとしてEUC-JPが策定されているが、多言語文字を扱うものではない。2)ASCII(American Standard Code for Information Interchange)は、ANSI(米国規格協会)が制定した7ビットの文字コードである。アルファベットの大文字・小文字、数字、記号、コンピュータ制御文字が定義されており、多言語文字を扱うことはできない。4)JIS2004は、日本語の符号化文字集合についてのJIS規格であるJIS X 0213の2004年改正版「JIS X 0213 : 2004」の通称である。日本語は取り扱えるが、多言語文字を取り扱うことはできない。5)Shift-JISは、日本国内のパソコンの多くで使用されてきた文字コードである。日本語は取り扱えるが、多言語文字取り扱うことができないため、現在はこれに代わってUnicodeが主に使用されるようになっている。
5,3,3)問題の例では、1つのデータを複数のディスクに分散して記録し、かつ、各データから計算されるパリティ値を別のディスクに分散して記録している。このような方式をRAID 5という。1)RAID0は、データを分割して複数のディスクに分散して記録する方式で、ストライピングと呼ばれる。2)RAID1は、同一データを複数のディスクに記録する方式で、ミラーリングと呼ばれる。4)RAID6は、RAID 5の耐障害性を高めたもので、1組のデータに対するパリティを2種類計算し、それぞれ別のディスクに記録するものである。5)RAID10は、RAID1とRAID0を組み合わせた方式で、ミラーリングしたディスクセットを複数用意したうえで、それらの間でストライピングして記録するものである。
6,5,3)SDメモリカード、 4)SSD(Solid State Drive)、 5)USBメモリは、いずれも電気的に複数回書き換え可能なROM型の半導体メモリであるEEP-ROMを補助記憶装置に応用したものである。したがって5)が正解である。1)DVD-ROMは、ディスクに刻んだ物理的な凹凸で情報を記録し、レーザ光で読み取るものである。2)HDDは、ディスク表面の磁性体に対して、磁気により情報の記録・読み取りを行うものである。
7,2,2)中央処理装置には、制御装置と演算装置とが含まれる。よって2)が正解である。1)出力装置は、コンピュータの処理結果を外部に送るための装置である。3)通信装置は、コンピュータと外部機器や回線との間で情報を交換するなどの通信をつかさどる装置である。一般的には、いわゆるコンピュータの5大装置には含まれない。4)入力装置は、コンピュータに指示を与えたり、情報を入力したりするための装置である。5)主 記憶装置や補助記憶装置は、情報を記憶(記録)する装置である。
8,1,1)OCR(Optical Character Reader)は、 紙に印刷された文字などを認識し、コンピュータ上の文字データに変換する入力装置である。2)OMR(Optical Mark Reader)は、マークシートを光学的に読み取る入力装置である。3)キーボードは、文字・数字・記号などのキーを押すことにより、それらに対応する信号をコンピュータヘ送る入力装置である。4)タッチパネルは、ディスプレイの表面を指または専用のベンで触れることによって、画面上の位置 (座標)を検知してコンピュータに伝える入力装置である。5)ドットインパクトプリンタは、インクリボンの上から印字ヘッドのピンを打ち付けて印字する出力装置である。
9,2,2)D-sub 15ピンコネクタは、ディスプレイとコンピュータをアナログ接続するために用いられる。1)Display portコネクタは、ディスプレイとコンピュータをデジタル接続し、映像信号と音声信号を送るために用いられる。3)HDMI Type Aコネクタは、ディスプレイとコンピュータや映像機器をデジタル接続し、映像信号と音声信号を送るために用いられる。4)RJ-45コネクタ(モジュラー式コネクタ)は、通信ケーブルを接続するために用いられる。5)USB Type Aコネクタは、コンピュー夕と周辺機器を接続するために用いられる。
10,3,3)RAID 1(ミラーリング)は、同一のデータを複数のハードディスクに記録するものである。1)RAID 1の構成に必要な最低台数は2台である。2)RAID 1では、データは分割されず、同じ内容のデータを複数のハードディスクに書き込む。4)RAID 1で使用可能な容量は1台分のハードディスク容量と等しい。5)ハードディスクアレイの構成にもよるが、RAID 1では、少なくとも1台の正常なハードディスクが残っていれば、データは回復できる。
11,1,1)BIOSは、ファームウェアのひとつで、マザーボード上のROMに収納されている。2)Webサーバソフトは、Webサービスを提供するソフトウェアであり、アプリケーションソフトに分類される。3)ワープロソフトは、文書作成を目的としたアプリケーションソフトである。4)デバイスドライバは、各周辺機器を利用するためにOSがデバイスを制御するプログラムであり、OSに分類される。5)リカバリーソフトは、データやプログラムを復旧するためのソフトウェアで、アプリケーションソフトに分類される。
12,5,5)仮想記憶とは、ハードディスクなどの補助記憶装置を使って、主記憶装置の容量以上のメモリ領域を割り当てる機能である。大きなメモリ領域を必要とするプログラムの実行や巨大なファイルの処理が可能になる。1)仮想記憶は、一時的に使用されるため揮発性である。2)補助記憶装置を使うため処理速度は極端に低下する。3)使用するのはハードディスクなどの補助記憶装置であり、専用のものは不要である。4)主記憶装置を補助するために使用するものであり、主記憶装置が不要になることはない。
13,4,55を17で割った商と余りを求める処理を表している。初期値としてAに55を、Bに17を代入している。① [準備]iに0を代入、Aに55を代入、Bに17を代入する。② [判断]A ≧ Bを満たすかどうかによって分岐する。③ [処理 1]AからBを引いたものをAに代入する。④ [処理 2]iに1を加えたものをiに代入する。ー②に戻る。
