2016II,問題文,選択肢,,,,
1,インフォームドコンセントについて正しいのはどれか。番号を解答記入欄( 1 )にマークしなさい。,知的障害者には必要ない。,緊急時でも省略することはできない。,幼児の場合は代理人の同意が必要である。,患者を不安にさせる事項の説明は省略する。,診療の目的や内容を説明するが患者の同意は必要ない。
2,ターミナルケアについて誤っているのはどれか。番号を解答記入欄( 2 )にマークしなさい。,ホスピスのみで行う。,宗教家や家族、友人等も関わる。,終末期の死に至る過程を支える。,心理的な苦悩の緩和の支援も含まれる。,その人らしさを全うすることを支援する。
3,保険診療として認められていないのはどれか。番号を解答記入欄( 3 )に2つマークしなさい。,健康診断,帝王切開,いぼ焼灼,コンタクトレンズ検査,疲労回復のための入院
4,わが国の医療保険制度について誤っているのはどれか。番号を解答記入欄( 4 )にマークしなさい。,現物給付が原則である。,自己負担率は一定である。,医療機関を自由に選択できる。,すべての国民を対象としている。,入院室料差額は給付の対象外である。
5,医療計画における5疾病に含まれないのはどれか。番号を解答記入欄( 5 )にマークしなさい。,がん,肺炎,脳卒中,精神疾患,急性心筋梗塞
6,DPCの主病名として正しいのはどれか。番号を解答記入欄( 6 )にマークしなさい。,もっとも検査費のかかった病名,もっとも薬剤費のかかった病名,もっとも医療資源が投入された病名,もっとも手術・処置料が高かった病名,もっとも多くの診療科の医師が介入した病名
7,削除,,,,,
8,医療法で規定されているのはどれか。番号を解答記入欄( 8 )にマークしなさい。,応召義務,無診察治療の禁止,診療録の記載義務,診療内容の守秘義務,インフォームドコンセントの努力義務
9,職種と守秘義務を定めた法令の組み合わせで正しいのはどれか。番号を解答記入欄( 9 )にマークしなさい。,医師 ― 医師法,薬剤師 一 薬剤師法,歯科医師 一 歯科医師法,看護師 一 保健師助産師看護師法,助産師 一 保健師助産師看護師法
10,業務独占でないのはどれか。番号を解答記入欄( 10 )にマークしなさい。,看護師,助産師,保健師,薬剤師,准看護師
11,患者からの採血を実施できない職種はどれか。番号を解答記入欄 ( 11 )にマークしなさい。,看護師,助産師,准看護師,臨床検査技師,臨床工学技士
12,国家資格でないのはどれか。番号を解答記入欄 (12)に マークしなさい。,義肢装具士,言語聴覚士,視能訓練士,理学療法士,臨床心理士
13,特定健康診査の基本的な検査項目でないのはどれか。番号を解答記入欄( 13 )にマークしなさい。,血圧測定,脂質検査,腹囲測定,肝機能検査,心電図検査
14,以下の組み合わせで適切でないのはどれか。番号を解答記入欄( 14 )にマークしなさい,臨床検査部門 一 脳波検査,病理検査部門 一 免疫組織染色,地域医療連携部門 ― 遠隔画像診断,輸血部門 一 血液製剤使用歴管理,光学診療部門 一 内視鏡的粘膜下層剥離術
15,医療評価においてアウトカムを示す指標でないのはどれか。番号を解答記入欄( 15 )にマークしなさい。,患者満足度,医師1人当たり入院患者数,2日以内のICUへの再入室,予定しない再手術 (48時間以内),75歳以上の入院患者における入院中の骨折率
16,逆紹介率の算定式の分母はどれか。番号を解答記入欄( 16 )にマークしなさい。,退院患者の数,初診患者の数,紹介患者の数,初診患者の数 + 再診患者の数,紹介患者の数 + 初診患者の数
17,インシデントレポートについて誤っているのはどれか。番号を解答記入欄( 17 )にマークしなさい。,人事評価に利用される。,教育の効果が期待できる。,個人が特定される情報は公表しない。,ひやり、またははっとした経験も報告される。,医療事故の発生を防止することが目的である。
18,クリニカルパスについて正しいのはどれか。番号を解答記入欄( 18 )にマークしなさい。,患者に見せてはならない。,アウトカム評価は必要ない。,時間軸に沿ってケア介入を設定する。,診療経過の途中で変更してはならない。,バリアンスとは達成目標のことである。
19,診療ガイドラインについて正しいのはどれか。番号を解答記入欄( 19 )にマークしなさい。,患者には治療法の選択権がない。,エビデンスが系統的に評価されている。,ガイドラインに従って診療する義務がある。,推奨に従わなければ保険診療の対象とならない。,専門医に対するアンケート調査に基づいて作成される。
20,実質臓器はどれか。番号を解答記入欄 ( 20 )にマークしなさい。,肝臓,直腸,心臓,膀洸,胆のう
21,下肢の骨でないのはどれか。番号を解答記入欄( 21 )にマークしなさい。,脛骨,橈骨,腓骨,膝蓋骨,大腿骨
22,以下の組み合わせで関連がないのはどれか。番号を解答記入欄( 22 )にマークしなさい。,痛風 一 尿酸,肺炎 一 細菌,脳出血 一 高血圧,狭心症 一 動脈硬化,関節リウマチ ー ウイルス
23,静脈血が流れていないのはどれか。番号を解答記入欄( 23 )にマークしなさい。,腎静脈,肺静脈,脾静脈,膝窩静脈,内頸静脈
24,冠動脈疾患はどれか。番号を解答記入欄( 24 )にマークしなさい。,狭心症,腎不全,脳梗塞,急性膵炎,肺血栓塞栓症
25,以下の組み合わせで誤っているのはどれか。番号を解答記入欄( 25 )にマークしなさい。,黄疸 ー 肝臓,尿崩症 ー 膀眺,回転性めまい 一 内耳,白内障 ― 水晶体,起立性低血圧 一 自律神経
26,糖尿病診療として行われないのはどれか。番号を解答記入欄( 26 )にマークしなさい。,運動療法,眼底検査,食事指導,胃内視鏡検査,インスリン療法
27,屈折異常でないのはどれか。番号を解答記入欄( 27 )に2つマークしなさい。,遠視,近視,斜視,乱視,白内障
28,感染症はどれか。番号を解答記入欄( 28 )にマークしなさい。,喘息,腎孟腎炎,関節リウマチ,慢性甲状腺炎,全身性エリテマトーデス
29,処方する際に医師免許以外の免許が必要なのはどれか。番号を解答記入欄( 29 )にマークしなさい。,劇薬,毒薬,麻薬,向精神薬,生物由来製品
30,内服薬に分類されないのはどれか。番号を解答記入欄( 30 )にマークしなさい。,液剤,散剤,錠剤,顆粒剤,吸入剤
31,処方箋の記載事項で必須でないのはどれか。番号を解答記入欄( 31 )にマークしなさい。,分量,用法,患者の年齢,発行年月日,臨床検査値
32,医師の指示に基づいて行われる「診療の補助」に含まれる看護業務はどれか。番号を解答記入欄( 32 )にマークしなさい。,観察,動脈注射,安全の確保,患者の指導 ・相談,薬剤の投与量の調節
33,ある疾患と検査について、真陽性a人、偽陰性b人、偽陽性c人、真陰性d人であるとき正しいのはどれか。番号を解答記入欄( 33 )にマークしなさい。,感度=a/(a+b)、 特異度=c/(c+d),感度=a/(a+b)、 特異度=d/(c+d),感度=a/(a+c)、 特異度=d/(b+d),感度=(a+b)/(a+b+c+d)、 特異度=(c+d)/(a+b+c+d),感度=(a+c)/(a+b+c+d)、 特異度=(b+d)/(a+b+c+d)
34,血液学的検査に含まれるのはどれか。番号を解答記入欄( 34 )にマークしなさい。,CEA, γ―GTP,アルブミン,クレアチニン,ヘマトクリット
35,肝炎の診断に有用なのはどれか。番号を解答記入欄( 35 )にマークしなさい。,尿酸,CRP,白血球数,アミラーゼ,ALT(GPT)
36,食事の影響が大きい検査項目はどれか。番号を解答記入欄( 36 )にマークしなさい。,CPR,中性脂肪,自血球数,HbAlc,ALT(GPT)
37,バイタルサインでないのはどれか。番号を解答記入欄( 37 )にマークしなさい。,血圧,体温,腹囲,呼吸数,脈拍数
38,放射線被ばくがない検査はどれか。番号を解答入欄 ( 38 ) マ一クしなさい。,CT検査,PET検査,核医学検査,超音波検査,血管造影検査
39,MRI検査を受ける際の間診項目として必須でないのはどれか。番号を解答記入欄( 39 )にマークしなさい。,刺青,補聴器,ペ ースメーカ,カラーコンタクト,ヨ ー ドアレルギー
40,削除,,,,,
41,診療録の1号用紙の記載事項でないのはどれか。番号を解答記入欄( 41 )にマークしなさい。,傷病名,患者住所,治療方法,患者生年月日,被保険者証記号・番号
42,以下の組み合わせで誤っているのはどれか。番号を解答記入欄( 42 )にマークしなさい。,看護経過記録 一 叙述型記録,看護計画 一 看護ワークシート,看護サマリー ー 必要に応じて作成,患者基本情報 ー 退院後の指導の資料,熱型表 ― 看護ケアで得られる情報が多い
43,病棟日誌の記録項目でないのはどれか。番号を解答記入欄( 43 )にマークしなさい。,退院患者数,入院患者数,紹介患者数,外出・外泊患者数,救護区分別患者数
44,保険薬局における保険処方箋の保存義務年数はどれか。番号を解答記入欄( 44 )にマークしなさい。,2年,3年,5年,10年,20年
45,症例対照研究で得られるのはどれか。番号を解答記入欄( 45 )にマークしなさい。,発症率,有病率,オッズ比,バイアス,相対危険度
46,治験の過程で行われるのはどれか。番号を解答記入欄( 46 )にマークしなさい。,横断的研究,コホート研究,症例対照研究,生態学的研究,臨床薬理試験
47,データのばらつきを示す指標はどれか。番号を解答記入欄( 47 )にと2マークしなさい。,最頻値,中央値,平均値,標準偏差,変動係数
48,特性が類似するものの集団を作ることで対象を分類する分析方法はどれか。番号を解答記入欄( 48 )にマークしなさい。,判別分析,分散分析,重回帰分析,主成分分析,クラスター分析
49,ある事象が発生する確率に対する複数要因の関与を解析する手法はどれか。番号を解答記入欄( 49 )にマークしなさい。,F検定,分散分析,順位和検定,χ2(カイ2乗)検定,ロジステイック回帰分析
50,定量的検査で感度を高くした際に、一般的に高くなるのはどれか。番号を解答記入欄( 50 )にマークしなさい。,特異度,偽陰性率,偽陽性率,陰性予測値,陽性予測値
