2016JS,問題文,選択肢,,,,
1,削除,,,,,
2,16進数の「36」と「25」の足し算の結果を2進数で表したのはどれか。番号を解答記入欄( 2 )にマークしなさい。,00111101,01011011,01101011,10101001,10110110
3,AとBの論理演算について正しいのはどれか。番号を解答記入欄( 3 )にマークしなさい。,"""A = 0, B = 1 の場合、NANDの結果は0""","""A = 0, B = 1 の場合、XORの結果は0""","""A = 1, B = 0 の場合、ORの結果は0""","""A = 1, B = 0 の場合、XORの結果は0""","""A = 1, B = 1 の場合、NANDの結果は0"""
4,単一の文字コード体系で多言語文字を取り扱うための規格はどれか。番号を解答記入欄( 4 )にマークしなさい。,EUC,ASCII,Unicode,JIS2004,Shift-JIS
5,複数台のハードディスクを組み合わせ、図に示すようなデータの記録を行う方式はどれか。番号を解答記入欄( 5 )にマークしなさい。,RAID 0,RAID 1,RAID 5,RAID 6,RAID 10
6,補助記憶装置について正しいのはどれか。番号を解答記入欄( 6 )にマークしなさい。,DVD-ROM : ディスク表面の磁性体に情報を記録する。,HDD : ディスクに刻んだ凹凸で情報を記録する。,SDメモリカード : 赤外線を使って情報を記録する。,SSD : レーザ光を使って記録する。,USBメモリ : ROM型の半導体メモリに記録する。
7,中央処理装置に含まれるのはどれか。番号を解答記入欄( 7 )にマークしなさい。,出力装置,制御装置,通信装置,入力装置,主記憶装置
8,紙に印刷された文字などを認識し、コンピュータ上の文字データヘ変換する装置はどれか。番号を解答記入欄( 8 )にマークしなさい。,OCR,OMR,キーボード,タッチパネル,ドットインパクトプリンタ
9,プロジェクタとノートパソコンをアナログ接続するために用いるコネクタはどれか。番号を解答記入欄( 9 )にマークしなさい。,Display port,D-Sub15,HDMI,RJ-45,USB
10,RAID1について正しいのはどれか。番号を解答記入欄( 10 )にマークしなさい。,構成に必要な最低台数は3台である。,データを分割して複数のハードディスクに書き込む。,同じ内容のデータを複数のハードディスクに書き込む。,使用可能容量は構成台数から2台分ひいたものになる。,同時に2台以上のハードディスクが故障するとデータを回復できない。
11,PC(パーソナルコンピュータ)のファームウェアに相当するのはどれか。番号を解答記入欄( 11 )にマークしなさい。,BIOS,Webサーバ,ワープロソフト,デバイスドライバ,リカバリーソフト
12,仮想記憶について正しいのはどれか。番号を解答記入欄( 12 )にマークしなさい。,不揮発性である。,処理速度が改善する。,専用の補助記憶装置を使用する。,物理的な主記憶装置が不要になる。,主記憶装置の容量の不足時に使う。
13,図のフローチャートの実行結果はどれか。番号を解答記入欄( 13 )にマークしなさい。,"""i = 2, A = 3""","""i = 2, A = 4""","""i = 3, A = 3""","""i = 3, A = 4""","""i = 4, A = 4"""
14,コンパイラ方式の言語に分類されるのはどれか。番号を解答記入欄( 14 )にマークしなさい。,C++,SQL,XML,Perl,JavaSeript
15,可逆圧縮の静止画像ファイル形式はどれか。番号を解答記入欄( 15 )にマークしなさい。,BMP,JPEG,MP4,PNG,WMA
16,複数のファイルをひとつのファイルにまとめたものはどれか。番号を解答記入欄( 16 )にマークしなさい。,CSVファイル,dllファイル,PDFファイル,xlsファイル,ZIPファイル
17,A/D変換の処理の順序はどれか。番号を解答記入欄( 17 )にマークしなさい。,標本化 → 量子化 → 符号化,標本化 → 符号化 → 量子化,量子化 → 標本化 → 符号化,量子化 → 符号化 → 標本化,符号化 → 標本化 → 量子化
18,周波数成分の最大値が500Hzのアナログ信号をデジタル信号へ変換する場合、必要な最低サンプリング周波数はどれか。番号を解答記入欄( 18 )にマークしなさい。,125Hz,250Hz,500Hz,"""1,000Hz""","""2,000Hz"""
19,データベース管理システム(DBMS)の役割はどれか。番号を解答記入欄( 19 )にマークしなさい。,不正な通信の遮断,ハードディスクの電源管理,コンピュータウイルスの駆除,ユーザインタフェースの管理,データのアクセス権限の管理
20,表''患者テーブル''から表''抽出結果''を得るSQL文の( )内に入れるべき条件式はどれか。番号を解答記入欄( 20 )にマークしなさい。SELECT * FROM 患者テーブル WHERE (  ) ;,年齢 <= 40 OR 性別 = '男',住所 = '東京' AND 年齢 >15,年齢 < 40 AND 住所 = '東京',住所 = '東京' AND 性別 = '女',住所 = '神奈川' OR '埼玉' OR '千葉'
21,関係データベースの正規化の目的はどれか。番号を解答記入欄( 21 )にマークしなさい。,機密性を高める。,整合性を確保する。,真正性を担保する。,検索速度を向上させる。,ディスク容量を削減する。
22,表''受診記録''に対して次のSQL文を実行した場合、得られるデータの行数はどれか。番号を解答記入欄( 22 )にマークしなさい。　SELECT 患者番号　FROM 受診記録 GROUP BY 患者番号 ;,3,6,9,10,12
23,データベースの更新操作内容を保存するファイルはどれか。番号を解答記入欄( 23 )にマークしなさい。,マスターファイル,テンポラリファイル,バックアップファイル,インデックスファイル,トランザクションファイル
24,VLANについて正しい記述はどれか。番号を解答記入欄( 24 )にマークしなさい。,暗号化して通信できる。,コンピュータウイルスを駆除できる。,物理的なネットワーク機器が不要になる。,自動的にIPアドレスが割り当てられる。,物理的な接続とは異なる仮想的なネットワークを構成できる。
25,コネクションレスのプロトコルはどれか。番号を解答記入欄( 25 )にマークしなさい。,ICMP,PPP,SMTP,TCP,UDP
26,サブネットマスクが26ビットのIPv4のネットワークで接続可能な最大ホスト数はどれか。番号を解答記入欄( 26 )にマークしなさい。,14,30,62,126,254
27,以下の出力結果が得られるネットワーク管理コマンドはどれか。番号を解答記入欄( 27 )にマークしなさい。[出力結果]192.168.1.12からの応答 : バイト数 = 32時間 < 1ms TTL = 128　192.168.1.12からの応答 : バイト数 = 32時間 < 1ms TTL = 128,ftp,ipconfig,ping,telnet,tracert
28,ネットワーク内のクライアントに通信を行うための設定情報を提供するプロトコルはどれか。番号を解答記入欄( 28 )にマークしなさい。,DHCP,HTTP,NTP,PPP,SNMP
29,IPアドレスからMACアドレスを求めるプロトコルはどれか。番号を解答記入欄( 29 )にマークしなさい。,ARP,HTTP,SIP,SNMP,TCP
30,UTPケーブルについて正しいのはどれか。番号を解答記入欄( 30 )にマークしなさい。,光を用いて通信する。,終端装置が必要である。,電磁シールドされている。,同軸ケーブルの一つである。,2本の銅線を撚りあわせている。
31,プライベートIPアドレスを持つ端末からインターネット接続するために必要な技術はどれか。番号を解答記入欄( 31 )にマークしなさい。,CIDR,ICMP,IMAP,NAPT,POP
32,10MB(メガバイト)のデータを10Mbpsの回線で転送するための最短所要時間はどれか。番号を解答記入欄( 32 )にマークしなさい。,1秒,4秒,8秒,16秒,32秒
33,DNSについて正しいのはどれか。番号を解答記入欄( 33 )にマークしなさい。,ポートを変換する。,ホスト名を解析する。,通信の経路制御を行う。,電子メールを配送する。,正確な時刻情報を提供する。
34,無線LANで用いられるローミングについて正しいのはどれか。番号を解答記入欄( 34 )にマークしなさい。,気象レーダー等の影響を受けること,アクセスポイント間の電波干渉を防ぐこと,接続先のアクセスポイントを識別すること,接続先のアクセスポイントを切り替えること,アクセスポイントが接続の可否を判断すること
35,伝送速度(理論値)が最大の無線 LANの規格はどれか。番号を解答記入欄( 35 )にマークしなさい。,IEEE802.11a,IEEE802.11b,IEEE802.11g,IEEE802.11n,IEEE802.11ac
36,情報セキュリティの3要素 (CIA)に含まれるのはどれか。番号を解答記入欄( 36 )にマークしなさい。,可用性,真正性,信頼性,脆弱性,責任追跡性
37,標的型攻撃メールヘの対策として適切なのはどれか。番号を解答記入欄( 37 )にマークしなさい。,不審メールの添付ファイルは開かない。,メールの添付ファイルを実行して確認する。,メール中に記載されたリンクをクリックする。,メール受信時のウイルスチェックを行わない。,不審なメールは周知のためにそのまま転送する。
38,拠点間を接続したネットワークにおいて、ネットワーク層でデータを保護している技術はどれか。番号を解答記入欄( 38 )にマークしなさい。,IPsec,LAN,L2TP,SSL,WAN
39,大量のリクエストによリサーバのサービスや機能を低下、停止させる攻撃はどれか。番号を解答記入欄( 39 )にマークしなさい。,辞書攻撃,DDoS攻撃,ポートスキャン攻撃,ブルートフォース攻撃,SQLインジェクション攻撃
40,ファイアウォールにより、外部ネットワークと内部ネットワークのどちらからも隔離された区域はどれか。番号を解答記入欄( 40 )にマークしなさい。,DMA,DMZ,IDS,IPS,WAF
41,ランサムウェアについて正しいのはどれか。番号を解答記入欄( 41 )にマークしなさい。,ウイルスの発見と駆除を行う。,データを暗号化しアクセスを制限する。,キーボードから入力された文字を記録する。,SNSへ勝手に不適切な内容の記事を投稿する。,複数のサービス利用 IDとパスワードを管理する。
42,公開鍵暗号方式について誤っているのはどれか。番号を解答記入欄( 42 )にマークしなさい。,電子署名に利用される。,暗号化と復号で鍵が異なる。,送信者が受信者の公開鍵で暗号化する。,共通鍵方式よりアルゴリズムが複雑である。,送信者と受信者の組み合わせの数だけ鍵が必要である。
43,ウォータフォールモデルの工程でないのはどれか。番号を解答記入欄(43)にマークしなさい。,外部設計,内部設計,テスト,プログラミング,プロトタイビング
44,プログラム中のすべての命令や分岐を網羅的にチェックするテスト手法はどれか。番号を解答記入欄( 44 )にマークしなさい。,ストレステスト,トップダウンテスト,ブラックボックステスト,ボトムアップテスト,ホワイトボックステスト
45,工程ごとの日程を管理する手法はどれか。番号を解答記入欄( 45 )にマークしなさい。,DFD,E-R図,PERT図,ガントチャート,ユースケース図
46,次のネットワーク図のクリティカルパスの所要日数は何日か。番号を解答記入欄( 46 )にマークしなさい。,6日,10日,13日,14日,15日
47,システム障害時に停止することなく継続運用可能なシステム構成はどれか。番号を解答記入欄( 47 )にマークしなさい。,ウォームスタンバイ,コールドスタンバィ,シンプレックスシステム,デュアルシステム,ホットスタンバイ
48,"""あるシステムが2,000時間の運用時間中に4回のシステム停止が発生し、システム復旧に平均30分を要した。システム稼働率はどれか。番号を解答記入欄( 48 )にマークしなさい。""",94.0%,98.9%,99.4%,99.8%,99.9%
49,システムの信頼性評価指標(RASIS)のうち、平均故障間隔 (MTBF)が評価指標となるのはどれか。番号を解答記入欄( 49 )にマークしなさい。,Reliability(信頼性),Arailability(可用性),Serviceability(保守性),Integrity(完全性),Security(安全性)
50,クラウドの基本的な特性として誤っているのはどれか。番号を解答記入欄( 50 )にマークしなさい。,様々な端末からアクセスできる。,複数利用者でリソースを共有できる。,リソースの使用量が管理されている。,ネットワーク状況に関係なく利用できる。,要求に応じて動的にリソースが割り当てられる。
