2016IS,問題文,選択肢,,,,
1,医療情報とその特性の組み合わせで誤っているのはどれか。番号を解答記入欄( 1 )にマークしなさい。,心電図 ― 波形情報,血液生化学検査 ― 数値情報,聴診による呼吸音 ― 音声情報,患者ID ― コード情報,3次元CT ― 動画像情報
2,以下の検査で得られるデータが画像情報でないのはどれか。 番号を解答記入欄( 2 )にマークしなさい。,眼底検査,脳波検査,胸部CT検査,腹部超音波検査,頭部MRI検査
3,一般に、１検査・１件あたりのデータサイズがもっとも大きい画像データはどれか。番号を解答記入欄( 3 )にマークしなさい。,頭部MR画像,腹部超音波画像,胸部単純X線画像,同意書スキャン画像,病理バーチャルスライド画像
4,医療情報の一次利用にあたるのはどれか。番号を解答記入欄( 4 )にマークしなさい。,教育への利用,研究への利用,政策の立案・検証への利用,診療報酬請求のための利用,医薬品・医療機器等の開発
5,診療データの二次利用にあたるのはどれか。番号を解答記入欄( 5 )に2つマークしなさい。,治療方針決定のために診療情報を利用した。,インシデントレポートの作成に診療情報を利用した。,経営上の指標データを得るために、診療情報を用いた。,患者とのインフォームドコンセントに検査データを用いた。,セカンドオピニオンのために、他の病院に検査データを提供した。
6,2015年に改正された「個人情報の保護に関する法律」について誤っているのはどれか。番号を解答記入欄( 6 )にマークしなさい。,「個人情報」は、生存する個人に関する情報である。,「要配慮個人情報」には、本人の信条は含まれない。,携帯電話の通信機器IDは、「個人識別符号」に含まれない。,体の一部の特徴を変換した符号は、「個人識別符号」に含まれる。,「匿名加工情報」は、個人が識別されないようにする必要がある。
7,医療・介護関係事業者における個人情報の取扱いについて誤っているのはどれか。番号を解答記入欄( 7 )にマークしなさい。,患者からの要求に従って誤りを修正する必要がある。,死亡患者に関する情報もガイドラインの対象となる場合がある。,施設の清掃業者も、ガイドラインに十分配慮することが望ましい。,氏名、生年月日、住所を削除すれば、本人同意なしで学会発表してよい。,"""前月の患者情報の取扱い件数が5,000件未満であってもガイドラインの対象となる場合がある。"""
8,次のうち「OECDの8原則」に該当しないのはどれか。番号を解答記入欄( 8 )にマークしなさい。,責任の原則,公平性の原則,利用制限の原則,個人参加の原則,データ整合性の原則
9,個人情報の取扱いとして正しいのはどれか。番号を解答記入欄( 9 )にマークしなさい。,病院で亡くなった方に対する親族からの問い合わせに答えた。,個人情報を含む作業用データを保存したノートパソコンを院外へ持ち出した。,患者に開業案内を送付するために病院情報システムの住所リストを利用した。,院内の許可を得た上で、ファイルにパスワードを付け、利用後は速やかに消去した。,警察からの電話問い合わせに対して、即座に患者の生年月日、住所、電話番号などを回答した。
10,医療情報システムの利用者の責務として誤っているのはどれか。番号を解答記入欄( 10 )にマークしなさい。,参照した情報を目的外に利用しない。,代行入力の場合、依頼者が確定操作を行う。,代行入力者に依頼者のパスワードを知らせておく。,作業終了あるいは離席するときはシステムのログアウト操作を行う。,システムヘの不正アクセスを発見した場合は速やかに運用責任者に連絡する。
11,遠隔診療に関する厚生労働省通知※の中で、条件によって認められているのはどれか。番号を解答記入欄( 11 )にマークしなさい。※ : 情報通信機器を用いた診療 (いわゆる「遠隔診療」)について(平成23年3月31日),遠隔診療での再診,遠隔診療での死亡確認,カルテの電子データ開示,遠隔診療での新規患者の診察,医師以外の担当者による遠隔医療行為
12,在宅医療介護連携ネットワークシステムの構築に際して、適切でないのはどれか。番号を解答記入欄( 12 )にマークしなさい。,運営主体を明確にして推進する。,利潤を優先してシステムを構築する。,まず地域の在宅医療介護連携の在り方の構想を策定する。,住民をはじめ地域の関係者間で協議できる環境を設定する。,在宅医療介護連携の実態を調査し、解決すべき課題・問題点を明らかにする。
13,介護保険関連のシステムについて、誤っているのはどれか。番号を解答記入欄( 13 )にマークしなさい。,一次判定は高齢者の心身の状況調査および主治医意見書に基づいて行われる。,介護支援事業所では様々なケアマネジメント支援情報システムが用いられる。,医療依存度が高い介護サービス利用者のため医療と介護の情報共有が重要である。,要介護の一次判定に用いるソフトウェアは都道府県ごとの実情にあわせて定められている。,介護事業者がインターネットを使って請求するための電子証明書は国保連合会が発行する。
14,事業者が行う定期健康診断等について誤っているのはどれか。番号を解答記入欄( 14 )にマークしなさい。,事業者は定期健康診断の結果を5年間保管する必要がある。,実施機関は定期健康診断の結果を5年間保管する必要がある。,事業者はストレスチェックの結果を5年間保管する必要がある。,全国健康保険協会は事業者に特定健診データの電子的な提供を求めている。,有機溶剤を使用する業務の従事者に対しては一般的な検査項目以外の項目が加えられる。
15,総合健診 (人間ドック)に用いるシステムの機能としてもっとも必要性が低いのはどれか。番号を解答記入欄( 15 )にマークしなさい。,予約管理機能,XMLデータ作成機能,PACSとの連携機能,レセプトオンライン機能,受診者ごとの検査結果管理機能
16,病病連携システムを構築する際に必須のシステム要件はどれか。番号を解答記入欄( 16 )に2つマークしなさい。,連携用の物理的専用回線,VPN等のセキュリティを考慮した通信,連携元／連携先の両施設の患者IDの統一,連携用のデータ仕様の共通化による診療情報の送受信,連携元／連携先の両施設に同一の電子カルテシステム
17,通常、地域医療連携システムの機能に含まれないのはどれか。番号を解答記入欄( 17 )にマークしなさい。,返書管理,紹介件数統計,紹介情報登録,地域がん登録,医療機関情報登録
18,地域医療連携システムの目的でないのはどれか。番号を解答記入欄( 18 )にマークしなさい。,薬剤の重複の回避,患者のプライバシー保護の強化,地域全体としての医療費の抑制,病診間、病病間での連携医療の促進,診療情報共有による診療の質の向上
19,医師事務作業補助者が利用するシステムはどれか。番号を解答記入欄( 19 )に2つマークしなさい。,看護管理システム,診断書作成システム,放射線部門システム,オーダエントリシステム,レセプト電算処理システム
20,初診患者の患者基本情報(氏名、住所、生年月日、保険情報)の登録を行うシステムはどれか。番号を解答記入欄( 20 )にマークしなさい。,医事会計システム,地域連携システム,債権管理システム,電子カルテシステム,オーダエントリシステム
21,レセプトオンライン請求の記述について誤っているのはどれか。番号を解答記入欄( 21 )にマークしなさい。,再請求もオンラインでできる。,医薬品はHOTコードで請求する。,電子証明書の取得が必要である。,ASPにより事務的な誤りをリアルタイムで確認できる。,セキュリティを確保することで、通常のインターネット回線でも請求できる。
22,レセプト電算処理において、支払基金が提供していないマスターはどれか。番号を解答記入欄( 22 )にマークしなさい。,歯式マスター,傷病名マスター,医薬品マスター,看護行為マスター,調剤行為マスター
23,診療報酬算定可能な電子的診療情報提供書の要件はどれか。番号を解答記入欄( 23 )にマークしなさい。,規格はCDAとすること,媒体はCD-Rとすること,電子署名はHPKIとすること,ファイルはPDF形式とすること,通信はインターネットを使用しないこと
24,以下に示す電子カルテ機能のうち、多職種で入力できる必要がないのはどれか。番号を解答記入欄( 24 )にマークしなさい。,褥療管理,看護サマリ,院内感染管理,入院診療計画書,クリニカルパス
25,通常、予約枠を設定して行う検査はどれか。番号を解答記入欄( 25 )にマークしなさい。,尿定性検査,胃内視鏡検査,病理組織検査,血液学的検査,安静時心電図検査
26,代行入力する場合の運用や機能として誤っているはどれか。番号を解答記入欄( 26 )にマークしなさい。,麻薬の投与を代行できない運用とすること,承認操作はできるだけ速やかに行われていること,診療録に代行入力していることが記録されていること,代行依頼者のログインIDとパスワードでログインして利用すること,必ず代行依頼者を指定し、承認操作が可能なシステムとなっていること
27,病棟の注射薬の運用には一本渡し運用と定数配置運用がある。定数配置運用の説明として誤っているのはどれか。番号を解答記入欄( 27 )にマークしなさい。,注射オーダが必要である。,期限切れの薬剤が出やすい。,重症系病棟での運用に適している。,病院全体の注射薬の在庫を削減できる。,薬の取り出し時の間違いが発生しやすい。
28,処方オーダ時の処方内容チェックの対象でないのはどれか。番号を解答記入欄( 28 )にマークしなさい。,体重,入院歴,内服薬歴,注射薬歴,病名情報
29,抗がん剤投与の為に利用するレジメンシステムに関する以下の記述のうち、適望でないのはどれか。番号を解答記入欄( 29 )にマークしなさい。,休薬期間は医師の裁量で自由に設定する。,レジメンは権限のある者だけが登録できる。,実施当日に改めて投与の可否の判定を入力する。,登録するレジメンは診療科や疾患別に整理し管理する。,薬剤の投与量は患者の身体情報から自動で算出される。
30,「お薬手帳(電子版)の運用上の留意事項について」(平成27年11月27日厚生労働省通知)に記載されていないのはどれか。番号を解答記入欄( 30 )に2つマークしなさい。,紙のお薬手帳を廃止すること,利用者の求めに応じてQRコードを使用すること,データ項目は「JAHIS標準フォーマット」に従うこと,薬剤師が患者の了承なく、お薬手帳の情報を閲覧できること,一人の患者の服薬情報を一元的に閲覧できる仕組みの構築が望ましいこと
31,検体検査システムについて誤っているのはどれか。番号を解答記入欄( 31 )に2つマークしなさい。,検体到着処理を行ってから検査を実施する。,同一検査項目であれば、基準値は一定である。,基準値マスターは性別や年齢を考慮して設定する。,同時に依頼された検査の結果がそろってから報告する。,院内で実施する検査と院外で実施する検査の双方に対応する。
32,生理機能検査システムについて誤っているのはどれか。番号を解答記入欄( 32 )にマークしなさい。,画像を含むレポートを作成する機能がある。,取り扱うデータ量は検査項目ごとに一定である。,超音波検査の画像転送にはDICOMが用いられる。,検査時に患者情報や検査目的を参照する機能がある。,予約枠を越えてオーダする機能や必要に応じて予約枠を閉じる機能がある。
33,内視鏡検査をオーダする際にシステムでチェックすべき項目はどれか。番号を解答記入欄( 33 )に2つマークしなさい。,抗凝固薬の服用,ペースメーカの装着,食物アレルギーの有無,肝炎ウイルス感染の有無,リハビリテーションの有無
34,病理部門システムの機能として優先度が低いのはどれか。番号を解答記入欄( 34 )にマークしなさい。,組織診断を入力する機能,標本ラベルを印刷する機能,顕微鏡写真を登録する機能,検体のマクロ写真を登録する機能,リストバンドを読み込み登録する機能
35,病理検査に関するシステムについて誤っているのはどれか。番号を解答記入欄( 35 )にマークしなさい。,診断の進捗管理を行う。,術中迅速診断は予約を行う。,シェーマなど画像の編集を行う。,他の検査のレポート作成時に参照される。,オーダ時点で必要な検体ラベルの枚数が決まる。
36,放射線部門システムの機能に含まれないのはどれか。番号を解答記入欄( 36 )にマークしなさい。,検査予約リストを印刷する。,患者別に被曝線量を記録する。,医療従事者の放射線被曝量を管理する。,使用した医療物品名や数量を医事会計システムヘ伝達する。,DICOMのMWM機能により患者基本情報を検査装置へ送出する。
37,PACSの基本機能でないのはどれか。番号を解答記入欄( 37 )にマークしなさい。,画像生成,画像保管,画像配信,画像検索,画像参照
38,一次診断を行う際に、5メガピクセルのモニターが必要とされる検査はどれか。番号を解答記入欄( 38 )にマークしなさい。,CT,MRI,PET,超音波,マンモグラフィー
39,歯科口腔領域のシステムについて誤っているのはどれか。 番号を解 答 記入欄( 39 )にマークしなさい。,咬合検査など歯科独自の検査に対応している。,貴金属の種類など歯科技工物の属性が取り扱える。,保険請求に対応した会計と保険給付外の治療の会計ができる。,歯科衛生士業務記録は、診療録と同じ5年間の保存義務がある。,保険請求の単位は、1診療ごと、傷病名・処置部位ごとに診療行為を記述して算定する。
40,輸液実施時に行われる3点認証の正しい組み合わせはどれか。番号を解答記入欄( 40 )にマークしなさい。,医師・看護師・薬剤,医師・看護師・薬剤師,患者・オーダ者・実施者,患者・実施者・オーダ番号,実施者・オーダ番号・薬剤
41,病棟指示について誤っているのはどれか。番号を解答記入欄( 41 )にマークしなさい。,オーダされた指示は電子指示受けシステムに反映される。,指示受け業務では内容が適切か看護師による確認が行われる。,病棟指示一覧システムがあれば正確な進捗状況が把握できる。,1回完結型指示と中止・修正するまで継続する指示が混在する。,必要時指示 (条件付き指示)にもとづき看護師は薬剤を投与できる。
42,看護業務を支援するシステムとその説明の組み合わせで誤っているのはどれか。番号を解答記入欄( 42 )にマークしなさい。,看護ワークシート ― 看護業務を一覧で表示,看護サマリー ― ある一定期間の患者状態の要約,看護計画 ― 患者状態を経時的にグラフと表で表示,患者基本情報 ― 患者の基本的な身体状態を収集・把握,経過記録 ― 患者の日々の状態および看護ケア・処置の記録
43,クリニカルパスシステムを構築するにあたりもっとも関係の薄い事項はどれか。番号を解答記入欄( 43 )にマークしなさい。,タスク,アウトカム,オプトイン,標準診療プロセス,クリニカルインディケータ
44,クリニカルパスシステムについて誤っているのはどれか。番号を解答記入欄( 44 )にマークしなさい。,バリアンスヘの対応が必要である。,統計解析機能があることが望ましい。,記録機能と一体化していることが望ましい。,複数組み合わせることで多様な病態の患者に適用可能である。,あらかじめセットされているオーダはどの職種でも発行できる。
45,削除,,,,,
46,システムテストを実施するのは誰か。番号を解答記入欄( 46 )にマークしなさい。,病院長,エンドユーザ,システム開発者,システム運用管理者,医療機関の要件定義作成担当者
47,情報システムの導入にあたり病院側が主となって行うのはどれか。番号を解答記入欄( 47 )に2つマークしなさい。,結合テスト,リハーサル,データベース設計,運用マニュアル作成,操作マニュアル作成
