2016II,解答,解説
1,3,医療従事者は、あらゆる医療行為について患者からインフォームドコンセントを得る必要があると考えるのが一般的である。3)自己決定の判断能力が十分でないと考えられる幼児の場合は、子供の自己決定権を代理人(保護者)が代替するので、代理人の同意が必要である。1)障害者であっても、インフォームドコンセントは必要である。2)生命の危機に瀕した緊急時の場合、事前の説明を省略し、一般的な治療を優先させてから事後の説明を行うことはやむを得ないとされる。4)インフォームドコンセントに際しては、十分、かつ正確な説明を行う必要がある。5)患者の同意は必須である。
2,1,ターミナルケアとは、3)終末期の死に至る過程を支える医療である。単に身体的な苦痛の除去だけではなく、4)心理上の苦悩を緩和するとともに2)信仰や霊的な情感、不安なども包含する支援行為であり、宗教家や家族、友人等も関わる。すなわち、5)その人らしさを全うすることを支援する。治療方針を立てるに際しては、専門的な医学的検討の上、インフォームドコンセントに基づく医療・ケアチームによる患者あるいは家族の意思の確認が重要である。最終的に、適切な結論が得られない場合は複数の専門家による委員会を設置して検討・助言を行う。ターミナルケアは居宅などでも行われるので、1)は誤りである。
3,1.5,保険医療機関及び保険医療養担当規則(以下、療養担当規則)により、療養の給付の対象となるのは傷病である。5)疲労回復のための人院は傷病による入院ではないので、保険診療の対象外である。1)健康診断は禁止されている(療養担当規則第12条、第20条)。保険給付の対象とならない疾患等としては、予防接種、予防的医療、自然分娩、美容外科及び労災保険対象などがある。2)帝王切開、3)いぼ焼灼、4)コンタクトレンズ検査は、医療行為として保険診療で認められている。
4,2,2)本人・家族の医療費の自己負担率は、小学校入学前は2割、それ以外は3割となっている。70歳から74歳は2割、75歳以上の後期高齢者は後期高齢者医療制度によって、一般には1割を、一定以上の収入がある70歳以上の場合は、3割を負担する。1)、3)、4)わが国の医療保険制度の特徴は、すべての国民を対象とする強制加入の国民皆保険制度、保険医療機関に対して保険証を提示すれば受診が認められる医療機関の自由選択、診療サービス提供の給付をする「現物給付」である。5)入院室料差額は、保険給付の対象外であり、選定療養費として認められている。
5,2,第５次医療法改正 により、５疾病 (①がん、②脳卒中、③急性心筋梗塞、④糖尿病、⑤精神疾患)５事業 (①救急医療、②災害医療、③へき地医療、④周産期医療、⑤小児医療)の目標、医療連携体制、情報提供の推進と在宅医療の確保について医療計画に記載するとともに住民に公表することとなった。よって、５疾病に含まれないのは、2)肺炎である。
6,3,DPCの主病名(診断群分類)は、入院中に3)「もっとも医療資源が投入された傷病名」と実施された診療行為の内容によって決まる。この診断群分類から、包括評価部分が算定される。
7,削除,
8,5,5)インフォームドコンセントの努力義務は、1997年の医療法改正で、医師だけではなく、医療従事者の努力義務として明記された。1)、2)、3)は医師法で定められており、4)の診療内容の守秘義務は、医師、歯科医師、薬剤師、助産師の場合は刑法で、その他の医療従事者についてはそれぞれの資格法で定められている。
9,4,4)看護師の守秘義務は、保健師助産師看護師法によって定められている。診療内容の守秘義務は、1)医師、2)薬剤師、3)歯科医師、5)助産師の場合は、古くから刑法で定められている。その他の医療従事者については、それぞれの資格法で定められている。
10,3,業務独占とは、その業務の遂行に専門的判断や技術を伴う行為が必要であり、一定の教育訓練を受け、所定の資格をもつ者だけが業として行い得ることをいう。一方、名称独占とは、法令によって一定の職種、施設等のみに特定の名称を独占させることによって、業を行う者、サービスを受ける者が混乱を起こさせないようにするためのものである。3)保健師は名称独占であるが、業務独占ではない。
