2016IS,解答,解説
1,5,5)3次元CTは、 CT(Computed Tomography、コンピュータ断層撮影)の複数断層の画像データを基に、コンピュータ処理によって立体構造として描画したものであり、動画像ではない。したがって、誤りである。その他の組み合わせ、1)心電図 ― 波形情報、2)血液生化学検査 ― 数値情報、3)聴診による呼吸音 ― 音声情報、4)患者ID ― コード情報は、正しい。
2,2,2)脳波検査(EEG : Electroencephalogram)のデータは、脳の神経細胞群の電気活動を体外に導出し、波形として記録したものである。したがって、画像情報ではない。それ以外の1)眼底検査、3)胸部CT検査、4)腹部超音波検査、5)頭部MRI検査で得られるデータは画像情報である。
3,5,"""5)病理バーチャルスライドは、病理標本がのっているガラススライドの標本全体をスキャンしてデジタル画像化し、ディスプレイ上で仮想的に拡大観察することが可能である。24bitカラーでスライド上の標本全体をデジタル化した場合、スライド1枚当たり数GB(約1～数10GB)となる。圧縮しても、1)～ 4)の画像と比べてデータサイズが大きい。1)頭部MR画像は、512×512の画素数で濃度階調 14 bitの場合で1枚0.5MB、 1検査150枚撮影した場合、約 75 MBとなる。2)腹部超音波画像は、640×480の画素数で濃度階調8bitの場合で1枚約 0.3 MB、 1検査10枚撮影した場合、約3MBとなる。3)胸部単純X線画像2,048×2,048画素数で濃度階調 10 bitの場合、1枚あたり約 8 MB、 1検査4枚撮影した場合、数10 MBとなる。4)同意書スキャン画像は、24 bitカラースキャンであっても数MB以下である。"""
4,4,4)診療報酬請求のための利用は、診療情報を医療行為の公的書類作成のために用いることのひとつであり、一次利用である。1)教育への利用、2)研究への利用、3)政策の立案・検証への利用、5)医薬品、医療機器等の開発は、患者の診療目的の利用や医療行為の公的書類作成のための利用ではない。これらは診療情報の二次利用にあたる。
5,2.3,2)インシデントレポート作成に診療情報を利用することは、患者の診療や医療行為の公的書類作成を目的とした利用ではなく、病院の安全管理のための活動を方向付ける管理資料としての利用であり、二次利用にあたる。同様に、3)経営上の指標データを得るために診療情報を用いることも、病院経営管理のための利用であり、二次利用である。1)治療方針決定のための利用、4)患者とのインフォームドコンセントのための利用、5)セカンドオピニオンのための他病院への検査データの提供は、患者の診療を目的とした診療情報の利用であり、一次利用にあたる。
6,2,改正「個人情報保護法」では、「『要配慮個人情報』とは、本人の人種、信条、社会的身分、病歴、犯罪の経歴、犯罪により害を被った事実、その他本人に対する不当な差別、偏見、その他の不利益が生じないように、その取扱いに特に配慮を要するものとして政令で定める記述等が含まれる個人情報をいう。」と規定されている。すなわち、本人の信条は要配慮個人情報に含まれるため、2)は誤りである。
7,4,"""個人情報保護についてのルールには、法律である個人情報保護法と、それを各領域固有の事情に応じて適切に適用するためのガイドラインが存在する。医療・介護事業者は、あらゆる領域に共通する法律とともに、当該領域について定められた固有の付加的ルール、すなわち、医療・介護関係事業者における個人情報の適切な取扱いのためのガイドラインを遵守しなければならない。4)医療関係の個人情報では、希少疾患の症例など、現病歴だけで個人が特定されてしまう場合などがある。したがって、診療目的以外の利用には同意が必要になる。1)患者には自分に関する情報が正しく記録されていることを確認し、誤りがあれば訂正を求める権利が保証されている。2)個人情報保護法が適用されるのは、生存している個人の情報のみであるが、医療・介護関係事業者における個人情報の適切な取扱いのためのガイドラインでは、死亡した患者の情報にも適用される。3)清掃業者は、通常個人情報取扱事業者には該当しないが、医療・介護関係事業者から受託した業務について、同等の遵守義務が生じる。5)医療・介護関係事業者における個人情報の適切な取扱いのためのガイドラインでは、取り扱う個人データの数が過去6ヶ月間に一度も5,000件を超えたことのない小規模事業者であっても、ガイドラインを遵守する努力を求めている。なお、2015年9月の個人情報保護法の改正により、個人情報取扱件数にかかわらず遵守義務が生じることとなった。"""
8,2,2)公平性の原則は、「OECDの8原則」には含まれていない。1)、3)、4)、5)はすべて「OECDの8原則」に含まれる。1)責任の原則(Accountability Principle)は、個人データの管理者は、他の7原則を実施する責任を有するという原則である。3)利用制限の原則(Use Limitation Principle)は、個人本人の同意がある場合、もしくは法律の規定がある場合を除いては、収集したデータをその目的以外のために利用してはならないという原則である。4)個人参加の原則(Individual Participation Principle)は、個人本人が自分に関するデータの所在やその内容を確認し、誤りがあれば訂正を求める権利が保証されるという原則である。5)データ整合性の原則(Data Quality Principle)は、個人データの内容が、利用の目的に沿ったものであり、かつ正確、完全、最新であることが保証されるという原則である。
9,4,4)個人情報を利用する場合は、しかるべき部署に個人情報を利用する目的などを申告し、その許可を得る必要がある。電子的な手段で入手された個人情報は、ファイルにパスワードを付与するなど、適切に管理しなければならない。また、利用が終わった後は速やかに消去する必要がある。1)「 診療情報等の提供に関する指針」には、「診療記録の開示を求め得る者の範囲は、患者の配偶者、子、父母及びこれに準ずる者とする。」と記載されており、親族であるからといってみだりに答えるべきではない。2)個人情報の取り扱いについては、所属する機関の規程に従うべきである。一般論として、院外へ持ち出すことは避けるべきである。3)個人情報の目的外利用である。5)警察や検察等捜査機関からの照会や事情聴取に答える。ただし、問合せに対して、その目的や情報提供を求めた捜査官の役職や氏名を確認した上で提供するべきであり、「即座に回答する」ことは適切ではない。
10,3,3)代行入力者が依頼者のパスワードを知れば、代行入力者が依頼者として入力することになり、実際の入力者がわからなくなるので誤りである。代行入力を行う場合には、必ず入力を実施する個人毎にIDを発行し、そのIDでシステムにアクセスし、入力者のログ、あるいは作業報告等の台帳を作成し、記録を残す必要がある。
