2014II,問題文,選択肢,,,,
1,バランストスコアカード(BSC)に含まれないのはどれか。番号を解答記入欄( 1 )にマークしなさい。,患者の視点,財務の視点,成長の視点,物品管理の視点,医療プロセスの視点
2,インフォームドコンセントについて正しいのはどれか。番号を解答記入欄( 2 )にマークしなさい。,同意は後から撤回できない,家族の同意を得る必要がある。,医師が最適と思った治療を勧める。,予定した治療方針についてのみ説明する。,患者が理解したことを確認する必要がある。
3,介護保険について誤っているのはどれか。番号を解答記入欄( 3 )にマークしなさい。,介護家族の支援を行う。,医療保険の対象とならない。,ホームヘルパーが看護業務を行う。,高齢者のQOLの向上を目標とする。,医療機関と介護機関との連携が重要である。
4,DPCの支払において出来高算定になるのはどれか。番号を解答記入欄( 4 )にマークしなさい。,手術,投薬,注射,検体検査,入院基本料
5,医療保険制度について誤っているのはどれか。番号を解答記入欄( 5 )にマークしなさい。,被保険者は保険者に保険料を支払う。,保険者は審査支払機関に医療費を支払う。,被保険者は審査支払機関に医療費を請求する。,被保険者は保険医療機関に一部負担金を支払う。,審査支払機関は保険医療機関に医療費を支払う。
6,資格と業務の組み合わせで誤っているのはどれか。番号を解答記入欄( 6 )にマークしなさい。,薬剤師 ― 調剤業務,看護師 一 気管内挿管,助産師 一 分娩の補助,臨床検査技師 一 心電図検査,診療放射線技師 ― 核医学検査
7,女性に限定された職業はどれか。番号を解答記入欄( 7 )にマークしなさい。,保健師,助産師,看護師,認定看護師,専門看護師
8,臨床検査技師が実施できるのはどれか。番号を解答記入欄( 8 )に2つマークしなさい。,CT検査,筋肉注射,静脈採血,超音波検査,内視鏡検査
9,市区町村が行うがん検診のうち、対象年齢がもっとも低いのはどれか。番号を解答記入欄( 9 )にマークしなさい。,胃がん,肺がん,乳がん,子宮がん,大腸がん
10,特定健康診査・特定保健指導制度について誤っているのはどれか。番号を解答記入欄( 10 )にマークしなさい。,75歳以上の高齢者は対象外である。,内臓脂肪症候群に着日した制度である。,リスク保持者に対して積極的に保健指導を行う。,指導対象者を早期発見して治療することが目的である。,健診データは匿名化して分析することを前提としている。
11,入院に関する指標について誤っているのはどれか。番号を解答記入欄( 11 )にマークしなさい。,平均在院日数には複数の算出方法がある。,外泊期間の日数は入院受診延日数に含まれる。,外泊期間中の患者は在院患者延数に含まれる。,平均在院日数は病床利用率の算出に用いられる。,平均在院日数は病床回転率の算出に用いられる。
12,ー般病院における紹介率の計算式として正しいのはどれか。番号を解 答記入欄( 12 )にマークしなさい。なお、変数X、 Y、 Zはそれぞれ以下の通りである。X=文書による紹介患者数 Y=救急用 自動車による搬入患者数 Z=初診患者数,(X ― Y)/Z, (X + Y)/Z,X/(Z 一 Y),X/(X + Y + Z), (X + Y)/(X + Y + Z)
13,病院会計準則の財務諸表に含まれないのはどれか。番号を解答記入欄( 13 )にマークしなさい。,貸借対照表,損益計算書,附属明細書,診療報酬明細書,キャッシュフロー計算書
14,医療安全について正しいのはどれか。番号を解答記入欄( 14 )にマークしなさい。,インシデントレポートは実名での報告が望ましい。,当事者への罰則を厳しくすることにより向上させる。,患者のアレルギー情報は医師のみでの共有が求められる。,インシデントレポートの分析により改善活動が行われる。,インシデントレポートは重大な有害事象のみを報告する。
15,医療安全管理体制として義務付けられていないのはどれか。番号を解答記入欄( 15 )にマークしなさい。,職員の研修,指針の整備,委員会の設置,委員会への報告,情報システムの利用
16,血液の流れとして正しいのはどれか。番号を解答記入欄( 16 )にマークしなさい。,右心房 → 肺動脈 → 肺静脈 → 左心室,右心室 → 肺動脈 → 肺静脈 → 左心房,右心室 → 肺静脈 → 肺動脈 → 左心房,左心室 → 肺静脈 → 肺動脈 → 右心房,左心室 → 肺動脈 → 肺静脈 → 右心房
17,糖尿病の合併でないのはどれか。番号を解答記入欄( 17 )にマークしなさい。,腎症,網膜症,骨粗柩症,下肢の壊疸,末梢神経障害
18,副腎髄質から分泌されるホルモンはどれか。番号を解答記入欄( 18 )にマークしなさい。,コルチゾール,アドレナリン,アルドステロン,抗利尿ホルモン,性腺刺激ホルモン
19,関節リウマチはどの分類に含まれるか。番号を解答記入欄( 19 )にマークしなさい。,代謝性疾患,腫瘍性疾患,先天性疾患,感染性疾患,自己免疫疾患
20,削除,,,,,
21,削除,,,,,
22,看護諸記録について誤っているのはどれか。番号を解答記入欄( 22 )に2つマークしなさい。,看護記録は診療録開示の対象である。,看護記録の作成は法律で義務付けられている。,看護記録はSOAPで記載することが望ましい。,医療事故発生時の看護記録は経時的に記載する。,熱型表 (温度板・三測表)は看護師のみが記載する。
23,看護諸記録とその説明について、誤っている組み合わせはどれか。番号を解答記入欄(23)にマークしなさい。,看護計画 一 看護師が行うケアの予定を記載したもの,経過記録 一 患者の日々の状態および行った看護ケア・処置の記録,看護サマリ ー ある一定期間の患者の状態の要約,患者基本情報 一 患者の基本的な状態を把握するための記録,看護ワークシート ー 看護業務の円滑化のために作成されるもの
24,腫瘍マーカーはどれか。番号を解答記入欄( 24 )にマークしなさい。,γGT,AST,PaO2,APTT,CA19-9
25,基準範囲に男女差があるのはどれか。番号を解答記入欄( 25 )にマークしなさい。,カリウム,アルブミン,ナトリウム,ヘモグロビン,ヘモグロビンAlc
26,炎症マーカーはどれか。番号を解答記入欄( 26 )にマークしなさい。,CEA,Cー反応性蛋白 (CRP),アルブミン,ビリルビン,クレアチニン
27,院内感染管理のために実施する検査項目はどれかc番号を解答記入欄( 27 )に2つマークしなさい。,血小板数,白血球数,抗核抗体,HBs抗原, HCV抗体
28,検査と異常値を示す疾患の組み合わせで正しいのはどれか。番号を解答記入欄( 28 )にマークしなさい。,CK ― 肺炎,ALT 一 肝炎,アルカリフォスファターゼ ー 膵炎,アミラーゼ ー 膀脱炎,コリンエステラーゼ ー 心筋梗塞
29,疾患と検査の組み合わせで誤っているのはどれか。解答記入欄( 29 )にマークしなさい。,脳死 一 脳波検査,腎のう胞 一 腹部超音波検査,バセドウ病 ― 染色体検査,くも膜下出血 一 頭部CT検査,慢性閉塞性肺疾患 一 スパイロメトリー
30,放射線を用いない検査はどれか。番号を解答記入欄( 30 )にマークしなさい。,CT検査,注腸検査,MRI検査,核医学検査,血管造影検査
31,患者にX線を照射して行う検査はどれか。番号を解答記入欄( 31 )にマークしなさい。,PET検査,筋電図検査,胃透視検査,心エコー検査,造影MRI検査
32,検査施行時に医師の立ち会いが必要なのはどれか。番号を解答記入欄( 32 )に2つマークしなさい。,CT検査,MRI検査,血管造影検査,心エコー検査,負荷心筋シンチ
33,検査と確認すべき事項の組み合わせで誤っているのはどれか。番号を解答記入欄( 33 )に2つマークしなさい。,MRI検査 ― ペースメーカー装着,PET検 査 一 肝障害,超音波検査 一 年齢,造影CT検査 一 腎障害,シンチグラフイ ー 妊娠の有無
34,院外処方せんに記載が必要なのはどれか。番号を解答記入欄( 34 )にマークしなさい。,伝票番号,医師コー ド,診療科コード,診察券患者番号,都道府県コード
35,疾患と治療の組み合わせで誤っているのはどれか。番号を解答記入欄( 35 )にマークしなさい。,胃がん 一 手術,高血圧 一 塩分制限,糖尿病 一 インスリン,虫垂炎 ― ステロイド,C型肝炎 一 インターフェロン
36,血液透析が必要となるのはどれか。番号を解答記入欄( 36 )にマークしなさい。,肺炎,血友病,腎不全,脳梗塞,心不全
37,チーム医療の対象でないのはどれか。番号を解答記入欄( 37 )にマークしなさい。,緩和ケア,栄養管理,看護管理,呼吸ケア,褥療ケア
38,クリニカルパスの適用で得られる効果でないのはどれか。 番号を解答記入欄( 38 )にマークしなさい。,医療の標準化,在院日数の短縮,新規治療法の開発,チ ーム医療の推進,医療スタッフの教育
