2014IS,問題文,選択肢,,,,
1,レセプト電算化において、厚生労働省により承認されているオンライン電送時の技術的基盤はどれか。番号を解答記入欄( 1 )にマークしなさい。,FTP,PHP,DHCP,SMTP,IP-VPN
2,医療情報担当者倫理綱領で求められている責務でないのはどれか。番号を解答記入欄( 2 )にマークしなさい。,医療従事者に関わる責務,システム標準化に関する責務,施設および雇用者に対する責務,医療情報担当者自身に関する責務,患者などの記録の対象に関わる責務
3,個人情報保護に関して正しいのはどれか。番号を解答記入欄( 3 )にマークしなさい。,紹介元の医師への治療の報告は患者の同意を得る必要がない。,個人情報が含まれているデータは必ず暗号化しなければならない。,患者が院内掲示した利用目的に同意できない場合は診療を拒否できる。,患者の個人情報を匿名化して研究利用する場合も本人の同意が必要である。,外部保存では、委託先が個人情報漏えいを起こした場合、委託元が責任を負う必要はない。
4,個別に本人同意を取る必要があるのはどれか。番号を解答記入欄( 4 )にマークしなさい。,通院中の児童の担任へ参加可能なクラブ活動を回答する場合,医療機関が重度認知症高齢者の状況を家族へ説明する場合,要介護・要支援認定を受けるため主治医意見書を取得する場合,医療機関で発生したヒヤリハット事例を日本医療機能評価機構へ提供する場合,保険者が高齢者医療確保法に基づき医療費適正化計画の作成のため調査・分析を行う場合
5,個人情報保護法の運用として適切でないのはどれか。番号を解答記入欄( 5 )にマークしなさい。,患者の診療情報を第三者に提供しない院内規程を作った。,個人情報を外部へ持ち出す際には匿名化を図るなどの院内規程を定めた。,個人情報保護に関する責任者を明確にして、定期的な職員教育を実施した。,患者から個人情報の開示を求められたので、対応するとともに手数料を徴収した。,診療情報の利用目的を明記し、病院内掲示や各種パンフレットなどへの掲載を行った。
6,「医療情報システムの安全管理に関するガイドライン第4.2版」に記載されていないのはどれか。番号を解答記入欄( 6 )にマークしなさい。,医療安全の具体的実践例,電子的な保存の対象となる文書,複数の組織間で情報交換を行う場合の責任分界,医療情報システムの運用管理規程に記載すべき内容,大規模災害に備えて医療情報システムが有するべき機能
7,「医療情報システムの安全管理に関するガイドライン第4.2版」における組織的安全管理対策はどれか。番号を解答記入欄( 7 )にマークしなさい。,運用管理規程を定める。,防犯カメラ、 自動侵入監視装置などを設置する。,情報システムヘのアクセスにおける利用者の識別と認証を行う。,職種ごとに、アクセスできる診療録などの範囲を定めて管理を行う。,定期的に従業者に対し個人情報の安全管理に関する教育訓練を行う。
8,電診療録の電子保存の3基準を確保するために必須でないのはどれか。番号を解答記入欄( 8 )にマークしなさい。,情報を暗号化して保存する。,作成の責任の所在を明確にする。,法令に定める保存期間内、復元可能な状態で保存する。,情報の内容を必要に応じて容易に肉眼で見読可能な状態にできる。,故意または過失による虚偽入力、書換え、消去および混同を防止する。
9,診療録などをスキャナなどにより電子化して保存する場合、「医療情報システムの安全管理に関するガイドライン第4.2版」で規定されていないのはどれか。番号を解答記入欄( 9 )にマークしなさい。,スキャンの解像度,運用管理規程の策定,汎用性が高い形式での保存,電子署名・タイムスタンプの付与,放射線フィルムのDICOMなどの適切な形式による保存
10,病院情報システムに求められる要件として適切でないのはどれか。番号を解答記入欄( 10 )にマークしなさい。,応答時間が適切であること,24時間365日いつでも使用できること,オンライン業務を遅滞なく処理できること,ネットワークは十分なセキュリティが確保されていること,情報の閲覧について全ての利用者が同等の権限を有すること
11,実施入力について誤っているのはどれか。番号を解答記入欄( 11 )に2つマークしなさい。,服薬を確認する機能が必要である。,清拭などの日常生活援助にも必要である。,血液検査は検体到着をもって採血実施と判断できる。,注射薬は払い出しが行われれば実施されたと判断できる。,ベッドサイドの処置は実施入力を行った後に実施する必要がある。
12,オープン予約が困難な検査はどれか。番号を解答記入欄( 12 )に2つマークしなさい。,PET検査,胸部CT検査,血管造影検査,頭部MRI検査,腹部超音波検査
13,再診予約オーダの機能として適切でないのはどれか。番号を解答記入欄( 13 )にマークしなさい。,設定人数以上の予約の禁止,1オーダでの複数の時間枠取得,同一時間帯での重複予約のチェック,時間枠単位での予約可能人数の設定,予約枠ごとの予約締め切り時間の設定
14,薬剤オーダの仕様と運用で安全性に問題を生じるのはどれか。番号を解答記入欄( 14 )にマークしなさい。,薬剤の名称に規格を含める。,オーダをする際に薬剤の禁忌情報が参照できる。,薬剤オーダのチェックは薬剤部門システムでも行う。,薬剤選択では3文字以上入力しないと候補が出ないようにする。,後発医薬品に切り替える時にマスターのコードを変えずに薬剤名を書き換える。
15,検体検査システムについて誤っているのはどれか。番号を解答記入欄( 15 )に2つマークしなさい。,分析装置に依頼情報を送信する。,検体到着処理を行ってから検査を実施する。,1つの依頼項目に必ず1つの結果項目が対応する。,基準値マスターは性別や年齢などに応じて設定する。,同時に依頼された検査結果がそろってから報告する。
16,PACSとの関連性がもっとも強いのはどれか。番号を解答記入欄( 16 )にマークしなさい。,栄養管理システム,検体検査システム,細菌検査システム,輸血検査システム,内視鏡検査システム
17,診療側からのオーダに加え、検査結果に応じて部門側が独自に追加検査を行うことがあるのはどれか。番号を解答記入欄( 17 )にマークしなさい。,病理検査,心電図検査,呼吸機能検査,心エコー検査,腹部超音波検査
18,輸血部門システムで管理する必要がないのはどれか。番号を解答記入欄( 18 )にマークしなさい。,血液製剤,患者輸血歴,手術実施記録,輸血用自己血,患者の血液型検査データ
