2014IS,解答,解説
1,5,5)レセプトオンライン請求で使用する電気通信回線は、厚生労働省からの通知により、「ISDN回線を利用したダイヤルアップ接続、または、 閉域IP網を利用したIP-VPN接続、または、オープンなネットワークにおいてはIPsecとIKEを組み合わせた接続」によるものとされている。VPN(Virtual Private Network)は仮想専用ネットワークであり、さまざまな方式が存在する。IP-VPNは、回線事業者が自社で構築している回線網 (閉域IP網)を一時的に医療機関・薬局と審査支払機関の間で結ぶ仮想的な専用線として接続する方式である。1)FTP(File Transfer Protocol)はファイル転 送プロトコル、2)PHP(Hypertext Preprocessor)はWebページ作成のために用いられるプログラミング言語の一種、3)DHCP(Dynamic Host Configuration Protocol)はネットワークに一時的に接続するコンピュータにIPアドレスなど必要な情報を自動的に割り当てるプロトコル、4)SMTP(Simple Mail Transfer Protocol)は電子メールを送信するためのプロトコルである。
2,2,医療情報担当者倫理綱領''Ethcs for Health lnbrmatics Proissionals''には、医療情報担当者は、A.患者などの記録の対象に関わる責務、B.医療従事者に関わる責務、C.施設および雇用者に対する責務、D.社会的な責務、E.医療情報担当者自身に関する責務、F.職業に関する責務を負うことが記載されている。したがって、1)、3)～5)は、求められている責務にあたる。
3,1,1)紹介元の医師への治療の報告は、患者ヘの医療の提供に必要な個人情報の提供にあたるため、患者の同意を得る必要はない。「医療 ・介護関係事業者における個人情報の適切な取扱いのためのガイドライン」を参照のこと。2)容易に読み取れなくするという点で暗号化は個人情報保護に有用であるが、暗号化されていても個人情報にかわりはない。3)個人情報の利用範囲を院内掲示により明らかにし、それに対して患者側から同意できない旨の意思表示があったからといって、医療機関が患者の診療を拒否することはできない。4)十分な匿名化が困難な場合は患者本人の同意が必要である。5)委託した場合でも管理責任の主体はあくまでも委託元の医療機関などの管理者である。したがって委託先が個人情報を漏えいした場合でも、委託元に責任を果たす義務が存在する。
4,1,「医療・介護関係事業者における個人情報の適切な取扱いのためのガイドライン」のなかで、医療・介護関係事業者があらかじめ本人の同意を得ないで個人データを第三者に提供してはならない例として、次の項目があげられている ; 民間保険会社からの照会、職場からの照会、学校からの照会、マーケティングなどを目的とする会社などからの照会。1)の患者である児童の担任への回答は、「学校からの照会」の例に合致しており、本人の同意が必要である。2)～5)については、個別に本人の同意をとる必要はない。
5,1,1)「医療法」に基づく立入検査、「児童虐待の防止等に関する法律」に基づく児童虐待に係る通告や、人の生命の保護のために必要がある場合で本人の同意を得ることが困難である時など、患者の診療情報の第三者への提供が必要な場合が存在する。「医療・介護関係事業者における個人情報の適切な取扱いのためのガイドライン」を参照のこと。2)～5)は、個人情報保護法の運用として適切である。
6,1,1)「医療情報システムの安全管理に関するガイドライン」は、医療安全の具体的実践例を提供するものではない。2)～5)の項目は、「医療情報システムの安全管理に関するガイドライン(第4.2版)」に含まれている項 目である。主として、2)電子的な保存の対象となる文書については第 3章、3)複数の組織間で情報交換を行う場合の責任分界については第4章 、4)医療情報システムの運用管理規程に記載すべき内容については第10章および付表、5)大規模災害に備えて医療情報システムが有するべき機能については第6章に記載されている。
7,1,1)「医療情報システムの安全管理に関するガイドライン第4.2版 」の第6章では、組織的安全管理対策として運用管理規程を定めることが規定されている。すなわち、従業者の責任と権限を明確に定め、安全管理に関する規程や手順書を整備運用し、その実施状況を日常の自己点検などによって確認しなければならない。2)防犯カメラ・自動侵入監視装置などの設置は物理的安全対策、3)利用者の識別と認証は技術 的安全対策、4)職種ごとのアクセス管理は技術的安全対策、5)定期的な安全管理に関する教育訓練は人的安全対策にあたる。
8,1,1)情報を暗号化して保存しても電子保存の3基準は担保されない。すなわち、真正性、保存性、見読性を確保する手段として役立たない。2)作成の責任の所在を明確にすることは、真正性の確保に必須である。3)法令に定める保存期間内、復元可能な状態で保存することは、保存性の確保に必須である。4)情報の内容を必要に応じて容易に肉眼で見読可能な状態にすることは、見読性の確保に必須である。5)故意または過失による虚偽入力、書換え、消去および混同を防止することは、真正性や保存性の確保に必須である。
9,1,1)「医療情報システムの安全管理に関するガイドライン」第3版までは300dpi、 RGB各8bit以上と記載されていたが、最近は安価なスキャナでもこれ以上の性能を持つものがほとんどを占めるようになったため、第 4版以降では具体的数値は記載されていない。2)～5)は明記されている。
10,5,5)病院職員が自分の業務に必要のない患者情報を閲覧することは、情報の目的外使用に該当する恐れがあるため、そのようなことが行われないようにする必要がある。通常は、利用者の職種などによって情報の閲覧範囲を限定する運用がとられている。1)～ 4)はいずれも病院情報システムに求められる代表的な要件である。
11,4.5,4)注射薬は、患者の容体の変化によって投与量が変更されたり、投与自体が中止されたりすることがある。したがって、実際に投与された後でないと実施されたかどうかを判断することはできない。5)ベッドサイドの処置は、患者の状態によって臨機応変に実施されたり、実施中に内容が変更されたりすることが多い。そのため、ベッドサイドの処置は実施した後に入力される。
