2014II,解答,解説
1,4,バランストスコアカード(BSC)は、企業や組織の業績を評価するシステムの一種である。具体的には、企業や組織の戦略を「財務の視点」「顧客の視点」「業務プロセスの視点」「学習と成長の視点」の4つの視点でとらえ、それぞれの視点ごとの重要成功要因(Critical Success Factor:CSF)を定義し、各視点に業績評価指標(Key Performance lndicators : KPI)を設定し、戦略の達成状況を把握する。1)患者の視点は「顧客の視点」に含まれる。3)成長の視点は「学習と成長の視点」に含まれる。5)医療プロセスの視点は、「業務プロセスの視点」に含まれる。4)物品管理の視点はBSCに含まれない。
2,5,インフォームドコンセントとは、医師が診断・治療のプロセス、傷病名、病状、治療の方法、治療法の持つ特徴・利点・危険性・および予後、複数ある場合にはそれらの比較などについて十分説明し、患者が十分に理解した上で治療行為を行うことに同意することである。したがって、5)医師は、患者が十分に理解したことを確認しなければならない。1)患者は同意をいつでも撤回することができる。2)家族の同意は必ずしも必要ではない。3)患者の同意が必要である。4)医師は、複数の選択肢について説明する必要がある。
3,3,介護保険制度は、従来の家族介護から社会全体で高齢者を介護するための制度として設けられた。医療保険制度は傷病の治療・療養を目的としており、公的介護保険制度の趣旨とは異なる。ホームヘルパー (訪問介護員)の業務は、介護保険法に関する政令に基づいて、食事・排泄などの身体介護と掃除・買い物などの家事援助介護サービスを行うことであり、3)看護業務を行うことは認められていない。一方では「地域包括ケアシステム」のなかで、医療と介護の両者のサービスの中でのシームレスな連携が求められている。
4,1,DPC(Diagnosis Procedure Colnbination)は、「包括算定」と「出来高算定」によって構成されている。包括算定とは、いわゆるホスピタルフィーと呼ばれる部分である。出来高算定は、医師の手技部分(ドクターフィー)である。1)手術は出来高算定であるが、残りの2)～5)は包括算定である。補足 :「DPC」という呼称については、①診断群分類に基づく1日当たり定額報酬算定制度を意味する場合と、②患者分類としての診断群分類を意味する場合とが混在しているので、両者の使い分けを明確にするべきという指摘があった。本来DPCは②の意味で作られた略称であり、支払制度の意味は含まれない。このため、支払制度としてのDPC制度の略称についてはDPC/PDPS(Diagnosis Procedure Colnbination/Per-Diem Payment System)とすることとなった。
5,3,被保険者から直接審査支払機関への請求はない。よって3)は誤りである。医療保険制度に基づく受診、現物給付、診療報酬の請求・支払、審査・支払に関わるプレーヤーは、保険者、患者 (被保険者・被保険者家族)、保険医療機関、審査支払機関である。1)まず、保険者は患者 (被保険者・被保険者家族)の所得(給料)から一定割合を保険料として徴収する。患者は受診する際に保険者が発行した保険証を提示する。4)保険証を提示された保険医療機関は、現物給付として医療サービスを患者に提供し、その対価として医療費の一部 (原則3割)を窓口負担として思者に請求し、残り(原則7割)の医療費を審査支払機関へ請求する。2)審査済みの請求書は、保険者に送付され、確定した医療費は支払機関へ送付され、5)最終的に保険医療機関へ支払われる。ここでは査定・返戻の手続きは省略する。
6,2,2)気管内挿管は、心肺停止状態の患者に限り、救急救命士が医師の指示により行うことができるが、看護師は行えない。
7,2,保健師助産師看護師法第3条に、「助産師とは、厚生労働大臣の免許を受けて、助産又は妊婦、じよく婦若しくは新生児の保健指導を行うことを業とする女子」と規定されている。すなわち、助産師は女性に限定された職業である。他の資格は女性に限定された職業ではない。
8,3.4,3)臨床検査技師は、「臨床検査技師等に関する法律」により、医師または歯科医師の指示を受けて、診療の補助としての表在静脈から静脈採血を行うことが認められている。4)超音波検査は、「臨床検査技師等に関する法律施行規則」が定める生理学的検査のひとつとして臨床検査技師が実施できる。1)CT検査は放射線を用いるので診療放射線技師でなければ行えない。2)筋 肉注射は医師または看護師でなければ行えない。5)内視鏡検査は医師でなければ行えない。
9,4,健康増進法に基づいて市区町村が行っているがん検診の対象年齢は、1)胃がん、2)肺がん、3)乳がん、5)大腸がん検診が40歳以上、4)子宮がん検診が20歳以上である。なお、乳がん、子宮がん検診については、2年に1回の検診となっている。
10,4,「特定健康診査・特定保健指導制度(メタボリックシンドローム健診)」は、平成20年より「健康増進法」と「高齢者の医療を確保する法律」に基づいて40歳から74歳の被保険者・被扶養者に対して、医療保険者が主体となって健康診査を実施し、生活習慣病の発症リスクが高く、生活習慣の改善による生活習慣病の予防効果が多く期待できる対象者に対して、指導を行うものである。1)～ 3)は同制度の趣旨から正しい。5)は個人情報の保護の観点から正しい。4)は特定保健指導の趣旨に合致しないので、誤りである。
11,4,4)施設の稼働状況把握のために用いられる病床利用率の算定式はであり、平均在院日数は用いられない。1)平均在院日数は、患者がどれくらいの期間入院しているかをみる指標であるが、これには、「病院報告」から計算されるものと、「患者調査」の「退院患者票」から計算されるものとがある。2)、 3)外泊期間の日数は入院受診延日数に含まれ、外泊期間中の患者の延数も同様に病院報告の在院患者延数に含まれる。在院患者延数とは、許可病床数にかかわらず現に毎日24時現在に在院していた患者の合計数である。5)1病床が年間に何人の患者を収容したかを示す病棟回転率の計算式はであり、平均在院日数が用いられる。
12,2,紹介率とは「初診の患者に占める他の病院または診療所などからの文書による紹介があるものの割合」をいうが、紹介率の計算式には、一般病院の場合の計算式のほか、特定機能病院の場合の計算式、地域医療支援病院の場合の計算式がそれぞれ定められている。一般病院の計算式は2)である。
13,4,財務諸表は、企業などの財政や経営状態を利害関係者に報告する目的で作成される各種の計算書類のことである。財務諸表は、主に1)貸借対照表、2)損益計算書、5)キヤッシュフロー計算書の3つの表で構成されるが、3)附属明細書はこれら3表の記載を補足する重要な事項について、その内容、増減状況を明らかにするものであり、財務諸表に含まれる。4)診療報酬明細書は、患者が受けた診療の報酬を医療機関が保険者に請求する際の明細書のことで、レセプトと通称されているものである。
14,4,日常診療の医療現場で、患者に傷害を及ぼすには至らなかったが、ヒヤリとしたりハッとしたりした経験 (インシデント)の報告書をインシデントレポートという。医療安全は、2)当事者を罰することが目的ではなく、4)事例を分析し、医療事故・医療過誤の発生を未然に防止することが主な目的である。したがって、1)実名で報告する必要はなく、5)小さな事象でも報告することが望ましい。また、3)アレルギーによる事故を防止するため、アレルギー情報は多職種で共有される。
15,5,平成18年の医療法および薬事法の改正により、すべての医療機関および薬局に対し、医療安全対策が義務づけられた。具体的には、医療機関の管理者に対して、医療に係る安全管理のための2)指針の整備、3)委員会の設置、1)職員の研修、4)委員会等への事故報告制度、院内感染対策の整備、医療機器。医薬品の安全使用のための体制の確保が義務づけられた。また、薬局開設者に対し、医薬品の業務に係る医療の安全を確保するための指針の策定、従業者に対する研修の実施等が義務づけられた。5)情報システムの利用は、医療安全対策に含まれていない。
16,2,心臓から送り出される血液の循環には、2)右心室→肺動脈→肺組織→肺静脈→左心房の経路を通る肺循環と、左心室→大動脈→全身の組織→大静脈→右心房の経路を通る体循環とがある。
