2014JS,問題文,選択肢,,,,
1,情報システムのサーバとクライアントに仮想化技術を用いた場合の利点でないのはどれか。番号を解答記入欄( 1 )にマークしなさい。,物理サーバが集約できる。,柔軟に構成変更ができる。,異なるOSの実行環境を提供できる。,クライアントの障害復旧が容易になる。,コンピュータ・ウイルス対策は不要になる。
2,CPU内部での命令の処理手順として正しいのはどれか。番号を解答記入欄( 2 )にマークしなさい。,解読 ― 実行 ― 取得 ― 出力,解読 ― 取得 ― 出カ ― 実行,取得 ― 解読 ― 実行 ― 出力,取得 ― 解読 ― 出カ ― 実行,実行 ― 取得 ― 解読 ― 出力
3,複写式の伝票に印字が可能なプリンタはどれか。番号を解答記入欄( 3 )にマークしなさい。,感熱式プリンタ,熱転写プリンタ,レーザプリンタ,インクジェットプリンタ,ドットインパクトプリンタ
4,光によりデータを読み書きする記録メディアはどれか。番号を解答記入欄( 4 )にマークしなさい。,SSD,ハードディスク,SDメモリカード,Biu-rayディスク,フロッピーディスク
5,1台の実効容量が500GBのハードディスクを用いて、有効容量が2TBのRAID5のディスクアレイを構築する場合、ハードディスクの必要台数はどれか。番号を解答記入欄( 5 )にマークしなさい。,4台,5台,6台,8台,10台
6,RAID1について正しいのはどれか。番号を解答記入欄( 6 )にマークしなさい。,ストライピングと呼ばれる。,パリティを追加して書き込む。,データの読み書きの速度が向上する。,同じデータを複数のハードディスクに記録する。,最小構成に必要なハードディスクは3台である。
7,パソコンとディスプレイをアナログ接続するために用いるコネクタはどれか。番号を解答記入欄( 7 )にマークしなさい。,D-sub 15ピンコネクタ,USBコネクタ(Aタイプ),D-Sub 9ピンコネクタ,PS/2コネクタ,DVI-Dコネクタ
8,「ABCDEF」というデータを図に示すように4台のハードデイスクに記録する方式はどれか。番号を解答記入欄( 8 )にマークしなさい。なお、図中のPCD、 QABなどはパリティを表している。,RAID0,RAID1,RAID5,RAID6,RAID10
9,スクリプト言語はどれか。番号を解答記入欄( 9 )にマークしなさい。,BASIC,FORTRAN,Java,LISP,Perl
10,HTML(Hyper Text Markup Language)について誤っているのはどれか。番号を解答記入欄( 10 )にマークしなさい。,半構造化文書である。,記述にタグが必要である。,コンパイルが必要である。,テキストエディタで編集できる。,他の文書へのリンクを埋め込める。
11,ハードウェアの基本的な制御を行うために機器に組み込まれたソフトウェアを何というか。番号を解答記入欄( 11 )にマークしなさい。,マルウェア,シェアウェア,ミドルウェア,グループウェア,ファームウェア
12,データ圧縮について誤っているのはどれか。番号を解答記入欄( 12 )にマークしなさい。,可逆圧縮は圧縮前のデータに復元できる。,テキストデータの圧縮には可逆圧縮を用いる。,可逆圧縮は非可逆圧縮より圧縮率を高くできる。,画像データを可逆圧縮しても解像度は維持される。,音データを非可逆圧縮すると再生時にひずみが生じる。
13,16進数の「A0」と「5F」の足し算の結果を16進数で表したのはどれか。番号を解答記入欄( 13 )にマークしなさい。,41,AF,F0,FE,FF
14,静止画像、動画像のいずれのデータ形式でもないのはどれか。番号を解答記入欄( 14)にマークしなさい。,AVI,BMP,GIF,MP4,WAV
15,Unicodeについて正しいのはどれか。番号を解答記入欄( 15 )にマークしなさい。,JISで規格化されている。,8万種以上の文字が扱える。,データ転送の共通規格である。,全ての文字は1バイトで処理する。,多言語の文字を単一のコードで表現できる。
16,2進数10000110と00101101の各桁の論理和の結果を16進数で表したのはどれか。番号を解答記入欄( 16 )にマークしなさい,04,73,A7,AF,BF
17,以下のURLの8080は何を表す数字か。番号を解答記入欄( 17 )にマークしなさい。http://www.jami.jp:8080/hcit/index.html,共通鍵,ユーザ数,ハッシュ値,ポート番号,IPアドレス
18,NATの利用により実現できるはどれか。番号を解答記入欄( 18 )にマークしなさい。,MACアドレスをホスト名に変換できる。,ネットワーク上の通信データを暗号化できる。,限られたグローバルIPアドレスを有効に利用できる。,物理的な接続とは異なる仮想的なネットワークを構成できる。,同一ネットワーク内で同じプライベートIPアドレスを複数の端末に設定できる。
