2010II,問題文,選択肢,,,,
1,正しいのはどれか。番号を解答記入欄( 1 )に2つマークしなさい。,調剤薬局で薬を受け取るには処方せんが必要である。,調剤ずみの処方せんは5年間保存しなければならない。,医師の電子署名があれば電子化した処方せんを発行できる。,薬局はFAXで受け取った院外処方せんに基づいて調剤することができる。,後発医薬品への変更不可の署名がある場合でも、患者は後発医薬品を選択できる。
2,インフォームドコンセントについて正しいのはどれか。番号を解答記入欄( 2 )に2つマークしなさい。,手術・治療の直前に行えばよい。,一度行えば次回診療時も有効である。,患者本人から同意を得ることが原則である。,代替の治療法についての説明は不要である。,副作用や合併症について説明する必要がある。
3,保険診療について正しいのはどれか。番号を解答記入欄( 3 )にマークしなさい。,高度先進医療は公費負担で行われる。,保険医療機関は保険者に直接医療費を請求する。,初診時に被保険者証を提示しなければならない。,医療費のうち保険者が支払う費用を一部負担金という。,外来診療費は診断群分類に基づく包括評価により算定されている。
4,特定健診(特定健康診査)について誤っているのはどれか。番号を解答記入欄( 4 )にマークしなさい。,2008年4月から開始された。,保険者に実施する義務がある。,40歳から74歳までが対象である。,受診者全員が特定保健指導を受ける。,高齢者の医療の確保に関する法律に基づいて行われる。
5,臨床検査技師が行えないのはどれか。番号を解答記入欄( 5 )にマークしなさい。,脳波検査,心電図検査,出血時間検査,腹部超音波検査,消化管内視鏡検査
6,正しいのはどれか。番号を解答記入欄( 6 )にマークしなさい。,正常分娩は保険診療の対象である。,医療保険給付は現金給付が原則である。,介護老人保健施設は医療提供施設ではない。,DPC適用病院でも出来高払いの診療がある。,特定機能病院は特定疾患患者の治療を目的とする。
7,介護保険制度について正しいのはどれか。番号を解答記入欄( 7 )にマークしなさい。,都道府県が保険者である。,一次判定はコンピュータで行う。,介護報酬は支払基金に請求する。,要支援は5つに区分されている。,60歳以上の者は第1号被保険者である。
8,医療法で規定されているのはどれか。番号を解答記入欄( 8 )にマークしなさい。,応召義務,無診察治療の禁止,保険料の負担費用,診療録の記載および保存等の義務,インフォームドコンセントの努力義務
9,誤っているのはどれか。番号を解答記入欄( 9 )にマークしなさい。,逆紹介率=(逆紹介思者の数/初診患者の数)×100,病床利用率 = (1日平均入院患者数 / 許可病床数)×100,外来 /入院比 = 1日平均外来患者数 / 1日平均入院患者数,1日平均在院患者数 = 年間在院患者延数 / 当該年の年間日数,平均在院日数 = 在院患者延数 / (新入院患者数 + 退院患者数)
10,多職種で構成される、患者の栄養管理を行う組織はどれか。番号を解答己入欄( 10 )にマークしなさい。,PT,DPC,NST,ICNP,SNOMED/CT
11,DPCについて誤っているのはどれか。番号を解答記入欄( 11 )にマークしなさい。,診断群分類の改定は3年に一度行われる。,1日当たりの点数は入院期間により変わる。,準備病院は調査協力が義務づけられている。,包括請求されるコードと包括対象外コードとが存在する。,ICD-10コードならびに手術、処置等の有無、種類により決定される。
12,病院会計準則の財務三表に含まれないのはどれか。番号を解答記入欄( 12 )に2つマークしなさい。,財産目録,損益計算書,貸借対照表,総勘定元帳,キャッシュフロー計算書
13,Donabedianが提唱した「医療の質を評価する視点」はどれか。番号を解答記入欄( 13 )にマークしなさい。,構造、過程、成果,組織、設備、実績,知識、技術、行動力,診療、看護、事務管理,医業収益、内部統制、事業継続
14,インシデントレポートについて誤っているのはどれか。番号を解答記入欄( 14 )にマークしなさい。,医療事故の報告書である。,ヒヤリハット報告と同義である。,分析に基づく対策立案が重要である。,厚生労働省が定義した用語ではない。,院内のリスクマネジメントに利用される。
15,正しい組み合わせはどれか。番号を解答記入欄( 15 )にマークしなさい。,弁膜症 ― 皮膚科,緑内障 ― 整形外科,クローン病 ― 眼科,メニエール病 ― 耳鼻咽喉科,ネフローゼ症候群 ― 脳神経外科
16,血液の流れる順序として正しいのはどれか。番号を解答記入欄( 16 )にマークしなさい。,左心房→左心室→肺動脈→肺静脈→右心房→右心室→大動脈,右心房→左心房→肺動脈→肺静脈→右心室→左心房→大動脈,右心房→右心室→肺静脈→肺動脈→左心房→左心室→大動脈,右心房→右心室→肺動脈→肺静脈→左心房→左心室→大動脈,右心室→右心房→肺動脈→肺静脈→左心室→左心房→大動脈
17,誤っている組み合わせはどれか。番号を解答記入欄( 17 )にマークしなさい。,脳下垂体前葉 ― 成長ホルモン,脳下垂体後葉 ― 抗利尿ホルモン,副腎皮質 ― コルチゾール,副腎髄質 ― 甲状腺刺激ホルモン,膵臓 ― インスリン
18,血液透析はどの臓器の機能の代用を目的としているか。番号を解答記入欄( 18 )にマークしなさい。,心臓,膵臓,副腎,腎臓,膀胱
19,看護師が医師の指示なしに実施できるのはどれか。番号を解答記入欄( 19 )にマークしなさい。,皮下注射,静脈注射,静脈採血,血圧測定,超音波検査
20,消化器系に含まれないのはどれか。番号を解答記入欄( 20 )にマークしなさい。,食道,肝臓,膵臓,脾臓,大腸
21,誤っている組み合わせはどれか。番号を解答記入欄( 21 )にマークしなさい。,単球 ― 貪食作用,血小板 ― 造血作用,リンパ球 ― 免疫作用,赤血球 ― 酸素の運搬,好酸球 ― アレルギー反応
22,誤っている組み合わせはどれか。番号を解答記入欄( 22 )に2つマークしなさい。,背側 ― 足の裏側,尺側 ― 腕の親指側,脛側 ― 足の親指側,掌側 ― 手のひら側,近位 ― 体幹に近い方
23,正しい組み合わせはどれか。番号を解答記入欄( 23 )にマークしなさい。,NOC ― 評価,ICNP ― 診断,HHCC ― 実施,NANDA ― 計画,NIC ― アセスメント
