2010JS,問題文,選択肢,,,,
1,多言語文字を単一の文字コード体系で取り扱うための規格はどれか。番号を解答記入欄( 1 )にマークしなさい。,EUC-JP,JIS2004,JIS X 0208,Shift-JIS,Unicode
2,10進数の256を16進数で表したのはどれか。番号を解答記入欄( 2 )にマークしなさい。,0016,0100,0256,0F00,00FF
3,コンピュータに関連する性能と単位との組み合わせで誤っているのはどれか。番号を解答記入欄( 3 )にマークしなさい。,記憶容量 ― byte,CPUの処理能力 ― MIPS,スキャナの解像度 ― dpi,CPUのクロック周波数 ― Hz,ネットワークの通信速度 ― rpm
4,10ビットで0以上の整数を表す場合、最大の数はどれか。番号を解答記入欄( 4 )にマークしなさい。,256,511,512,1023,1024
5,IEEE1394とUSBに共通する特徴はどれか。番号を解答記入欄( 5 )にマークしなさい。,接続台数に制限がない。,パラレルインターフェースである。,最大転送速度が5Gビット/秒である。,ディジーチェーン接続に対応している。,ホットプラグ(ホットスワップ)に対応している。
6,次の文の(　)に入る用語を下の語群から選び、番号を解答記入欄( 6 )~( 8 )にマークしなさい。,"""( 6 )1,( 7 )4,( 8 )2""","""( 6 )2,( 7 )5,( 8 )1""","""( 6 )1,( 7 )6,( 8 )2""","""( 6 )2,( 7 )7,( 8 )1""","""( 6 )3,( 7 )8,( 8 )2"""
7,次の補助記憶装置のうち、半導体メモリでないのはどれか。番号を解答記入欄( 9 )にマークしなさい。,SSD,BD-RE,SDメモリ,メモリスティック,コンパクトフラッシュ
8,テキストファイルの中にタグを利用して付加情報を記述する言語はどれか。番号を解答記入欄( 10 )にマークしなさい。,マクロ言語,アセンブリ言語,スクリプト言語,マークアップ言語,オブジェクト指向言語
9,データ検索に用いるハッシュ法の説明として正しいのはどれか。番号を解答記入欄( 11 )にマークしなさい。,レコードのキー値と格納アドレスの対応表を使う。,関数を用いてレコードの大小関係を順に判断する。,レコードのキー値を格納アドレスとして利用する。,レコード中に次のレコードのアドレスを格納する。,関数を用いてレコードのキー値から格納アドレスを求める。
10,オペレーティングシステムとアプリケーションソフトウェアの中間的な性格をもつのはどれか。番号を解答記入欄( 12 )にマークしなさい。,BIOS,ミドルウェア,シェアウェア,ファームウェア,デバイスドライバ
11,次の文の(　)に入る用語を下の語群から選び、番号を解答記入欄( 13 )~( 14 )にマークしなさい。,"""( 13 )1,( 14 )5""","""( 13 )2,( 14 )6""","""( 13 )3,( 14 )8""","""( 13 )6,( 14 )7""","""( 13 )1,( 14 )4"""
12,MPEGについて誤っているのはどれか。番号を解答記入欄( 15 )にマークしなさい。,非可逆圧縮方式である。,音声データは非圧縮である。,フレーム間圧縮を行っている。,移動体通信にも対応した規格である。,DVDーVideoやデジタルテレビ放送で使われている。
