2010IS,問題文,選択肢,,,,
1,「医療情報システムの安全管理に関するガイドライン」における情報システムの基本的な安全管理対策とその具体的な対策の組み合わせのうち、誤っているのはどれか。番号を解答記入欄( 1 )にマークしなさい。,人的安全管理対策 ― 教育訓練,技術的安全管理対策 ― 利用者認証,組織的安全管理対策 ― 運用管理規程,情報機器の持ち出し対策 ― リスク分析,物理的安全管理対策 ― 不正ソフトウェア対策
2,OECD8原則と個人情報取扱事業者の義務との組み合わせのうち、誤っているのはどれか。番号を解答記入欄( 2 )にマークしなさい。,責任の原則 ― 苦情の適切かつ迅速な処理に努めなければならない。,収集制限の原則 ― 偽りその他不正な手段により取得してはならない。,公開の原則 ― 本人の求めに応じて診療情報を提供しなければならない。,,安全確保の原則 ― 従業者・委託先に対し必要な監督を行わなければならない。
3,削除,,,,,
4,「医療・介護関係事業者における個人情報の適切な取扱いのためのガイドライン」に記載されている内容について正しいのはどれか。番号を解答記入欄( 4 )に2つマークしなさい。,患者の個人情報を暗号化した場合には適用されない。,診療録の形態に整理されていない個人情報には適用されない。,大学で患者の診療情報を学術研究に用いる場合には適用されない。,法令で規定されている保存期間を経過した診療録には適用されない。,医療法に基づく立入検査に個人情報を利用する場合には適用されない。
5,患者本人の承諾を得ることなく、患者情報を外部に提供できるのはどれか。番号を解答記入欄( 5 )にマークしなさい。,患者の妹からの退院日の照会,職場上司からの職場復帰の時期の照会,保険金支払い審査のための保険会社からの照会,HBV抗原検査結果についての患者の妻からの照会,地域がん登録事業の記載内容についての都道府県からの照会
6,診療録等の外部保存について誤っているのはどれか。番号を解答記入欄( 6 )にマークしなさい。,病院の管理者は、診療録等の外部保存を行う運用管理規程を定める必要がある。,診療録等の外部保存を委託する施設は、思者に説明し、理解を得る必要がある。,医療機関が診療録等の外部保存を受託した場合は、その診療録を分析することが許されている。,行政機関等が開設し、基準を満たしたデータセンターであれば、診療録等の外部保存が認められる。,磁気テープ、CD-R、DVD-R等の可搬媒体で診療録等の外部保存を行う場合についての基準が定められている。
7,医療情報の一次利用でないのはどれか。番号を解答記入欄( 7 )にマークしなさい。,腹部CT画像を患者の家族に見せる。,他の医療施設に診療情報提供書を書く。,胃がんのクリニカルバスの適用率を調べる。,外来診察中に患者の生化学検査結果を参照する。,レセプト(診療報明細書)を作成するために診療録を参照する。
8,診療現場で発生する医療情報の特徴でないのはどれか。番号を解答記入欄( 8 )にマークしなさい。,固定長,時系列的,多次元構造,欠損値が多い,マルチメディア性
9,医療情報システムにおいて世代管理を必要としない情報はどれか。番号を解答記入欄( 9 )にマークしなさい。,氏名,住所,血液型,生年月日,検査基準値
10,入退院(移動)オーダと関連が深いのはどれか。番号を解答記入欄( 10 )にマークしなさい。,放射線オーダ,検体検査オーダ,診療予約オーダ,生理機能検査オーダ,給食(食事)オーダ
11,歯科用レントゲン撮影で、放射線部門システムから医事会計システムに送信すべき情報はどれか。番号を解答記入欄( 11 )にマークしなさ,撮影した歯の歯根数,撮影した歯のみの部位情報,撮影した歯に隣接する歯の部位情報,撮影したフィルムに映っている全ての歯の部位情報,撮影した歯と同一病名がついている全ての歯の部位情報
12,入院患者の持ち込み薬(持参薬)の運用について誤っているのはどれか。番号を解答記入欄( 12 )にマークしなさい。,薬剤部門以外の部署で鑑別報告を行ってもよい。,薬剤部門の鑑別報告があれば医師の確認は不要である。,入院時に迅速に鑑別報告を作成できる運用が重要である。,全ての収載薬品を検索可能な医薬品マスタの構築が望ましい。,コスト削減のためには、持ち込み薬運用とすることが望ましい。
13,処方オーダで、通常、薬剤部門に伝達されない情報はどれか。番号を解答記入欄( 13 )にマークしなさい。,処方医師名,発行診療科,患者の病名,患者の氏名,患者の年齢
14,「定数配置薬」運用の特徴として正しいのはどれか。番号を解答記入欄( 14 )にマークしなさい。,院内在庫量が減少,使用期限管理が容易,緊急時の対応が困難,薬剤管理コストが増加,重症部門(病棟)には不向き
15,検体検査について正しいのはどれか。番号を解答記入欄( 15 )に2つマークしなさい。,検査結果は数値のみである。,検査結果は変更されることはない。,検体の採取時刻による管理が行われる。,同時に依頼された検査結果はまとめて報告される。,外来迅速検体検査加算には報告書の印刷が求められる。
16,臨床検査部門システムについて正しいのはどれか。番号を解答記入欄( 16 )にマークしなさい。,精度管理試料の結果を取り扱う。,検査は常にワークシートを出力して実施する。,1つの依頼項目に1つの検査項目が対応する。,1つの検査項目に1つの検査結果が発生する。,検査結果はすべてが出揃ってから上位システムに送られる。
17,内視鏡部門について誤っているのはどれか。番号を解答記入欄( 17 )に2つマークしなさい。,病理オーダが頻繁に発生する。,内視鏡検査は外来患者のみに行う。,リハビリオーダが頻繁に発生する。,処方オーダを参照できる必要がある。,実施内容によって、医事請求は処置・手術の区分に分かれる。
18,造影MRIオーダ発行の際に確認が必要でないのはどれか。番号を解答記入欄( 18 )にマークしなさい。,減塩食の有無,閉所恐怖症の有無,ペースメーカの有無,クレアチニンの結果値,腹部大動脈ステントグラフトの有無
19,複数の機器から画像情報が発生する検査はどれか。番号を解答記入欄( 19 )に2つマークしなさい。,脳CT検査,ERCP検査,心電図検査,PET-CT検査,腹部超音波検査
20,診断を行う際、最も高解像度のモニタが必要とされるのはどれか。番号を解答記入欄( 20 )にマークしなさい。,CT,MRI,PET,乳房X線,シンチグラム
21,手術オーダの依頼情報に含まれないのはどれか。番号を解答記入欄( 21 )にマークしなさい。,執刀医,同意書,麻酔方法,予定術式,患者基本情報
22,リハビリオーダに必要でないのはどれかに2つマークしなさい。番号を解答記入欄( 22 )に2つマークしなさい。,病名,発症日,入院歴,輸血歴,PT/OT/ST区分
23,看護計画における看護指示に含まれないのはどれか。番号を解答記入欄( 23 )に2つマークしなさい。,注射指示,体重測定,検査指示,血圧測定,入浴指示
24,看護に関係するシステムで誤っているのはどれか。番号を解答記入欄( 24 )にマークしなさい。,指示受けがシステムに反映される。,看護目標に基づいて看護診断が行われる。,クリニカルバスの内容を反映させる必要がある。,べッドサイドで業務を支援するシステムが利用される。,患者のリストバンドは患者誤認防止に利用されている。
25,保険医療機関及び保険医療養担当規則で定められている歯科診療録に記載する必要がないのはどれか。番号を解答記入欄( 25 )にマークしなさい。,療養の給付を行った日,義歯作製時の指示内容,月日ごとに算定した点数,月日ごとの療法および処置,医療機関で徴収した負担金の額
26,病院情報システムの設計開発・導入について正しいのはどれか。番号を解答記入欄( 26 )にマークしなさい。,多くの医療機関が使うとしても価格が下がることはない。,例外的な運用も含めて、すべてシステムで対応すべきである。,電子カルテシステムの導入目的は病院から紙をなくすことである。,他の医療機関でのコンピュータ導入状況の情報収集は不要である。,システムは導入時だけでなく、維持運用にも予算の確保が必要である。
27,病院情報システムを導入する手順としてもっとも適切なのはどれか。番号を解答記入欄( 27 )にマークしなさい。,機能仕様の作成→マスタ作成→プログラム開発→操作訓練→テスト→リハーサル→本稼動,機能仕様の作成→プログラム開発→マスタ作成→リハーサル→テスト→操作訓練→本稼動,機能仕様の作成→プログラム開発→テスト→操作訓練→マスタ作成→リハーサル→本稼動,機能仕様の作成→プログラム開発→マスタ作成→テスト→操作訓練→リハーサル→本稼動,プログラム開発→機能仕様の作成→テスト→マスタ作成→操作訓練→リハーサル→本稼動
28,事務取扱委託事業者の監督および守秘義務契約について誤っているのはどれか。番号を解答記入欄( 28 )にマークしなさい。,受託する事業者と守秘義務契約を締結する。,緊急時には守秘契約等の秘密保持の対策は必要ない。,保守作業の際には、作業者・作業内容・作業結果の確認を行う。,作業に従事する労働者の管理監督は、すべて受託会社が責任を負う。,委託業者が再委託を行う場合は、委託事業者と同等の対策および契約を必要とする。
29,外部と接続されていないネットワーク上にクライアント・サーパ型の病院情報システムが構築されている。クライアントのリスク軽減効果がもっとも小さいのはどれか。番号を解答記入欄( 29 )にマークしなさい。,常に最新のOSを利用する。,USBポートを塞ぐ改造をする。,盗難防止チェーンを取り付ける。,起動時のパスワードを設定する。,ウイルス対策ソフトをインストールする。
30,病院情報システムの運用管理規程について誤っているのはどれか。番号を解答記入欄( 30 )にマークしなさい。,他病院の事例を参考にして作成した。,利用者のシステム操作方法を記載した。,患者情報に関するアクセスのルールを明記した。,システムの利用状況を監査するための組織の設置を記載した。,「医療情報システムの安全管理に関するガイドライン」を参考に作成した。
31,病棟端末のウイルスチェックツールがウイルスを検出したことを知らせるポップアップメッセージを出した。対策にあたる医療情報技師が最初に行うべきことはどれか。番号を解答記入欄( 31 )にマークしなさい。,ただちに駆除ツールを実行する。,クライアントをシャットダウンする。,クライアントのLANケープルを抜く。,上司に電話で状況を報告し、判断を仰ぐ。,業務に支障がなければそのまま様子を見る。
32,病院情報システムの導入と運用について誤っているのはどれか。番号を解答記入欄( 32 )にマークしなさい。,修正プログラムは、可能な限り速やかに適用することが望ましい。,システム監査は、総合的に点検、評価することが求められている。,システムを二重化しておけば、非常時の対応マニュアルは必要ない。,利用規約の作成にあたっては、運用ポリシーを明確にする必要がある。,「VDT作業における労働衛生管理のためのガイドライン」を考慮しなければならない。
33,システムダウン時の運用を検討する上で誤っているのはどれか。番号を解答記入欄( 33 )にマークしなさい。,システムダウン時用院内掲示等の手段も考慮しておく。,サーバの冗長化構成や参照用カルテシステム等の対策を行う。,システムダウンは常に発生し得ることを院内スタッフに周知する。,安定稼働しているシステムには、簡易的なマニュアルのみを準備する。,システムダウン時マニュアルは、連携する各種部門システムの担当スタッフと協力して作成する。
34,病院情報システムのユーザ管理、ユーザ認証に関する説明で不適切なのはどれか。番号を解答記入欄( 34 )に2つマークしなさい。,初期パスワードは速やかに変更させる。,生体認証を行えば他の認証方法は不要である。,一定の長さ以下のパスワードの利用は許さない。,ユーザが退職した場合は、速やかにユーザIDを削除する。,複数のシステムから成る場合は、シングルサインオンにする。
35,電子力ルテシステムを運用する場合のセキュリティについて正しいのはどれか。番号を解答記入欄( 35 )にマークしなさい。,端末には盗難防止の器具を取り付ける。,夏季は、サーバ室の窓を常時開けて使用する。,無停電電源装置を導入すれば、問題は生じない。,端末を複数のユーザが使用するためにパスワードを書いた紙を貼付する。,ウイルス対策ソフトを導入した上で、職員が患者データを自由に取り出すことを許可する。
