2011II,解答,解説
1,3.5,インフォームドコンセントとは、治療や検査などの医療行為について、原則として患者本人が医療従事者から十分な説明を聞いて内容を理解し、自らの自由意思に基づいて医療従事者と合意することである。説明する側は医療行為の効果・利点ばかりでなく合併症や代替方法についても説明する必要があり、患者は説明を受けた上で拒否することもできる。1)通常直接面談して説明し、同意あるいは拒否の意思を患者自身が署名した文書として残す。2)同意を前提とした説明ではないので、同意が得られたのちに手術の準備を始める。4)同じ行為を繰り返す場合も、その都度説明して同意を得る必要がある。
2,2,世界医師会は臨床研究における患者の利益やプライバシーの保護などの規定を発展させたインフォームドコンセントの詳細な指針をヘルシンキ宣言に盛り込んだ。1)ヒポクラテスの誓いを現代化した医の倫理に関する規定である。3)プライマリ・ヘルス・ケアの大切さを明確に示した最初の国際宣言である。4)医師の倫理・任務などについてのギリシア神への宣誓文である。5)国際連合人間環境会議において採択された環境保全に関する取り組みの宣言である。
3,3,薬剤師の業務内容を問う問題で、薬剤師法の基本事項である。処方は医師法により医師の業務とされているので、薬剤師は行えない。1)製剤は院内でも行うことがあり(院内製剤という)、薬剤師の業務である。2)調剤は薬剤師の基本的業務である。4)処方監査は調剤内容が正しいことを確認するための薬剤師の重要な業務である。5)疑義照会は処方の内容に問題があると考えられたときに医師に対して問い合わせることであり、薬剤師の業務である。
4,2.3,DPCは、2年毎に改定されるため、包括評価の範囲は今後変更となる可能性があるが、2011年の時点では検体検査と画像診断が包括評価の範囲となっている。1、4、5)手術、内視鏡検査、心臓カテーテル検査は、いずれも医師が直接行う医療行為として、いわゆるドクター・フイーに含まれ、包括評価の対象外である。
5,2,医療法は医療供給体制の基本となる法律である。「診療をした場合には、遅滞なく診療に関する事項を診療録に記載しなければならない。」という診療録の記載義務は、医師法・歯科医師法第24条で規定されている。1)医業または歯科医業に関する広告については、医療機関が広告できる内容が規制されている(医療法第69条)。3)医療提供施設として、病院・診療所の種類が規定されている。4)入院から7日以内に作成し、患者および患者の家族に説明する際に用いる(医療法第6条の4)。5)「医師、歯科医師、薬剤師、看護師、その他の医療者は、医療を提供するにあたり、適切な説明を行い、医療を受ける者の理解を得るよう努めなければならない。」(医療法第1条の4)。
6,4,ICD-O-3は、国際疾病分類―腫瘍学第3版であり、Oはoncology(腫瘍学)の略である。がん登録事業で使用される分類法である。1)ICFは「国際生活機能分類」であり、1980年に国際疾病分類の補助分類として作成されたICIDH(the lnternational Classification of lmpairment Disabilities and Handicaps、国際障害分類)の改定版である。ICFは、障害に関する状況を記述することを目的とした分類である。2)ICPCはプライマリケアに対する国際分類(the lnternational Classification of Primary Careの略)である。3)ICD-10は国際疾病分類第10版である。5)ICD-9-CMは、米国で開発された国際疾病分類に基づく処置。手術コードである。
7,5,保険診療では、診療時間を掲示することになっており、時間外診療には、所定の点数が時間外加算として加算できる。1～4)保険診療の範囲や治療指針等は「保険医療機関及び保険医療養担当規則(療養担当規則)」により規定されている。わが国の保険診療は、傷病に対する保険であり、予防・保健・健康診断・労災事故等、疾病以外のものは、保険診療の対象とはならない。具体的には、歯列矯正、美容整形、妊娠、正常分娩等は、保険診療の対象とはならない。
8,3,わが国の医療保険制度は、①被用者保険、②国民健康保険、③後期高齢者医療に分類される。国民健康保険は特定業種(建設業、農業、弁護士など)の自営業者・退職者などを対象とする。1)国家公務員・地方公務員・私立学校教職員本人および家族などを対象とする被用者保険である。2)船員本人および家族などを対象とする被用者保険である。4)主として大企業に勤務する本人および家族を対象とする被用者保険である。5)中小企業に勤務する本人および家族を対象とする被用者保険である。
9,5,DPCの診断群分類は医療資源をもっとも投入した傷病名と手術、処置などの診療行為により決定される。1)退院サマリの主傷病欄に記入された傷病名のことである。2)入院時点で既に併在していた傷病名のことである。3)入院中に発生した傷病名のことである。4)入院の契機となった傷病名のことである。
10,5,医療法では、病院の種類と病床の区分を規定している。病床は、精神病床、結核病床、感染症病床、療養病床および一般病床に区分され、それぞれ定義、人員配置、配置施設等が規定されている。亜急性期病床は急性期以降の医療処置の継続が必要な患者を収容する病床(入院または発症から14日以上を超えて入院する必要がある患者が利用する)である。2006年の診療報酬改定において「医療区分3」として亜急性期の医療内容は療養病床で評価されることとなった。1)一般病床は、精神病床、結核病床、感染症病床および療養病床以外の病床である。2)療養病床は、主として長期にわたり療養を必要とする患者の病床である。3)精神病床は、精神疾患を有する患者の病床である。4)感染症病床は、感染症法に規定する一類、二類および新感染症の患者を収容する病床である。
11,2,第5次医療法改正(2006年)では、医療圏単位での具体的な疾病に対する地域連携に着目した結果、4疾病5事業に重点的に対処するように法改正が行われた。4疾病とは、わが国の3大死因(がん、心疾患および脳血管疾患)と、生活習慣病である糖尿病のことをいう。
12,3,「特定健康診査」は、「高齢者の医療の確保に関する法律」(第18条～第31条)によって定められている。一方、健康増進法は、国民の健康の増進の総合的な推進に関する基本的な事項を定めている。また、国民の栄養の改善、その他の国民の健康の増進を図るための措置を講じ、国民保健の向上を図ることを目的としており、健康診査の実施等に関する指針や、生活習慣病の発生の状況の把握について定めている。
13,4.5,「社会保険庁」は2009年12月31日に廃止となったため、従来の政府管掌健康保険事業は、2008年10月以降、「全国健康保険協会」が全国健康保険協会管掌健康保険(協会けんぽ)として承継した。診療報酬の請求先は、保険者である健康保険組合から審査と支払を委託されている「社会保険診療報酬支払基金」と、国民健康保険、老人保健、公費負担医療および医療福祉費に係るものを扱う「国民健康保険団体連合会」となる。
14,5,医師の判断で選択的に実施する項目として、心電図、貧血検査、眼底検査がある。特定健康診査の必須項目は、間診(生活習慣、行動習慣)、診察(身体所見)、血圧測定、血液検査(GOT・GPT、γ-GTP、血糖、HbAlc、中性月旨肪、HDL・LDLコレステロール)、身体計測(身長、体重、腹囲、肥満度、BMI)、尿糖、尿タンパクの有無の検査である。
15,5,損益計算書とは、ある一定の会計期間(四半期、一年など)における企業の売上高の合計額から、それに対する原価と、事業を行う上で必要な販売費および一般管理費等の経費を差引いていき、最終的な利益(当期純利益)を計算表示する報告書のことである。営業、投資、財務活動による現金の収入と支出を表すのはキャッシュフロー計算書である。1～4)選択肢の内容のとおりである。
16,2,1)アウトカム評価は、構造やプロセスを変化させ、結果(アウトカム)を評価することである。3)ブレインストーミングは、自由奔放にアイデアを出し合い、互いに多数の発想を生み出そうという集団思考技法のことである。4)ライフコースアプローチとは、人生の多様なイベント(就業、結婚、出産、定年など)に際し、選択したライフコースによって消費意識・態度・行動が異なるであろうということに着目したマーケテイングのアプローチ方法である。5)バランストスコアカードは、組織がその戦略の実施状況を主に4つの視点から監視するためのパフォーマンス評価ツールである。
17,1,医療の質は、「構造」「プロセス」「アウトカム」のそれぞれに指標を設定して評価する。総手術件数は病院の規模や体制により変動するので医療の質を評価する指標とはならない。2)入院中の治療が不十分、退院時の説明が不十分などの場合を想定したアウトカムの指標である。3)褥蒼(床ずれ)発生率は入院中の全身管理や局所ケアの質を評価するアウトカムの指標である。4)患者満足度は総合的なアウトカム指標として重要である。5)ICU退室後の病棟での患者ケアが不十分、あるいはICU退室の判断の誤りなどを想定したアウトカムの指標である。
18,3,SHELLは、医療事故の原因となる因子の頭文字を並べたもので、それぞれS(Software : マニュアルや手技など)、H(Hardware : 機器など)、E(Environment : 環境)、L(2つともLivewareで、当事者と周囲のヒト)を表す。1)医療機器は「H」、2)業務範囲は「E」、3)取扱説明書は「S」、4)当事者の技術は「L」、5)スタッフ間コミュニケーションは「L」である。
19,2,医療事故には過誤のないものもあり、医療過誤とは異なる概念である。1)教育・訓練を徹底してもヒューマンエラーを完全に防止することはできない。3)安全意識の向上には教育・訓練が重要であり、罰則は医療事故の隠蔽につながり、逆効果である。4)インシデントレポートの作成は、各医療機関で任意に実施されている。5)「人間はミスを犯すものだ」は、米国の医療事故分析報告書「Toerrishuman」で主張された考え方であり、「ハインリッヒの法則」は、顕在した事故は氷山の一角であり、顕在しない事故や過誤が多く存在するということを述べたものである。
20,4,副腎は、副腎皮質ホルモンやアドレナリン(エピネフリン)、ノルアドレナリン(ノルエピネフリン)を分泌する内分泌系の臓器である。1)卵子と女性ホルモンを産出する生殖器系の臓器である。2)精子と男性ホルモンを産出する生殖器系の臓器である。3)受精卵を育てるための生殖器系の臓器である。5)卵巣からの卵子を収容して受精させる場であるとともに、受精卵を子官に運ぶ生殖器系の臓器である。
