2011II,問題文,選択肢,,,,
1,インフォームドコンセントについて正しいのはどれか。番号を解答記入欄( 1 )に2つマークしなさい。,説明は電話で行う。,手術の直前に行えばよい。,合併症について説明する必要がある。,一度行えば次回診療時も有効である。,患者本人の同意を得ることが原則である。
2,インフォームドコンセントの原則を定めたのはどれか。番号を解答記入欄( 2 )にマークしなさい。,ジュネーブ宣言,ヘルシンキ宣言,アルマ・アタ宣言,ヒポクラテスの誓い,ストックホルム宣言
3,薬剤師が行えないのはどれか。番号を解答記入欄( 3 )にマークしなさい。,製剤,調剤,処方,処方監査,疑義照会
4,DPCで包括評価の範囲に含まれるのはどれか。番号を解答記入欄( 4 )に2つマークしなさい。,手術,検体検査,画像診断,内視鏡検査,心臓カテーテル検査
5,医療法に規定されていないのはどれか。番号を解答記入欄( 5 )にマークしなさい。,広告の制限,診療録の記載,医療施設の種類,入院診療計画書,インフォームドコンセント
6,がん登録事業で使われる分類はどれか。番号を解答記入欄( 6 )にマークしなさい。,ICF,ICPC,ICD-10,ICD-O-3,ICD-9-CM
7,保険診療の対象になるのはどれか。番号を解答記入欄( 7 )にマークしなさい。,正常分娩,健康診断,予防注射,歯列矯正,時間外診療
8,被用者保険に含まれないのはどれか。番号を解答記入欄( 8 )にマークしなさい。,共済組合,船員保険,国民健康保険,組合管掌健康保険,全国健康保険協会管掌健康保険 (旧政府管掌健康保険)
9,DPCの分類を決定する病名はどれか。番号を解答記入欄( 9 )にマークしなさい。,主傷病名,入院時併存病名,入院後発症疾患名,入院の契機となった傷病名,医療資源をもっとも投入した傷病名
10,医療法に定められていない病床区分はどれか。番号を解答記入欄( 10 )にマークしなさい。,一般病床,療養病床,精神病床,感染症病床,亜急性期病床
11,第5次医療計画の４疾病でないのはどれか。番号を解答記入欄( 11 )にマークしなさい。,がん,肝炎,脳卒中,糖尿病,急性心筋梗塞
12,法律とその内容の組み合わせで誤っているのはどれか。番号を解答記入欄( 12 )にマークしなさい。,医療法 ― 医療計画,医師法 ― 診療録の保存義務,健康増進法 ― 特定健康診査,個人情報の保護に関する法律 ― 個人情報の原則開示,保険医療機関及び保険医療養担当規則 ― 診療諸記録の保存義務
13,診療報酬の請求先はどれか。番号を解答記入欄( 13 )に2つマークしなさい。,社会保険庁,日本年金機構,全国健康保険協会,社会保険診療報酬支払基金,国民健康保険団体連合会 (国保連合会)
14,特定健康診査の必須項目でないのはどれか。番号を解答記入欄( 14 )にマークしなさい。,血圧測定,血糖検査,脂質検査,腹囲測定,心電図検査
15,誤っているのはどれか。番号を解答記入欄( 15 )にマークしなさい。,貸借対照表上の資産には、固定資産と流動資産とがある,貸借対照表とは、ある時点の貸し方と借り方を一覧表にしたものである。,財務三表とは、貸借対照表、損益計算書、キャッシュフロー計算書のことである。,管理会計とは、病院内部に対して、経営管理・意思決定に役立つ経営情報を提供することである。,損益計算書とは、病院に今どれだけの現金があるのか、現金収入と現金支出を一覧表にしたものである。
16,経年比較や他施設との比較により、サービスや実践を評価する方法はどれか。番号を解答記入欄( 16 )にマークしなさい。,アウトカム評価,ベンチマーキング,ブレインストーミング,ライフコースアプローチ,バランストスコアカード
17,医療の質を測る指標として適切でないのはどれか。番号を解答記入欄( 17 )にマークしなさい。,総手術件数,予期しない再入院率,退院患者の褥蒼発生率,入院治療内容への満足度,2日以内のICUへの再入室率
18,SHELLモデルの「S」に該当するのはどれか。番号を解答記入欄( 18 )にマークしなさい。,医療機器,業務範囲,取扱説明書,当事者の技術,スタッフ間コミュニケーション
19,医療の安全管理について正しいのはどれか。番号を解答記入欄( 19 )にマークしなさい。,教育・訓練を徹底すればミスはなくなる。,医療事故と医療過誤は異なる概念である。,安全意識の向上には罰則が不可欠である。,インシデントレポートの提出は法律で定められている。,人間はミスを犯すものだ、というのはハインリッヒの法則である。
20,生殖器宣でないのはどれか。番号を解答記入欄( 20 )にマークしなさい。,卵巣,精巣,子宮,副腎,卵管
21,消化器系臓器でないのはどれか。番号を解答記入欄( 21 )にマークしなさい。,胃,咽頭,胆嚢,膵臓,前立腺
22,感染症でないのはどれか。番号を解答記入欄( 22 )にマークしなさい。,肺結核,骨髄炎,A型肝炎,腎孟腎炎,潰瘍性大腸炎
23,関連が乏しい組み合わせはどれか。番号を解答記入欄( 23 )にマークしなさい。,胃がん ― ヘリコバクター・ピロリ,子宮頚がん ― ヒトパピローマウイルス,肝細胞がん ― C型肝炎ウイルス,甲状腺がん ― ノロウイルス,悪性中皮腫 ― アスベスト
24,脳血管障害でないのはどれか。番号を解答記入欄( 24 )に2つマークしなさい。,脳梗塞,脳出血,てんかん,脳腫瘍,くも膜下出血
25,看護実践として適切でないのはどれか。番号を解答記入欄( 25 )にマークしなさい。,緊急事態に対する効果的な対応,医療行為を行い、その反応を記録,変化によりよく適応できるように支援,身体的、精神的、社会的側面からの手助け,継続的に観察、判断して問題を予知し対処
26,腫瘍マーカと疾患の組み合わせで適切でないのはどれか。番号を解答記入欄( 26 )にマークしなさい。,CEA ― 大腸がん,PSA ― 前立腺がん,DUPAN2 ― 乳がん,CA19-9 ― 膵臓がん,αフェトプロテイン ― 肝臓がん
27,誤っている組み合わせはどれか。番号を解答記入欄( 27 )にマークしなさい。,CRP測定 ― 肺炎,尿酸値測定 ― アルコール性肝障害,血液ガス測定 ― 腎疾患,ビリルビン測定 ― 溶血性疾患,アミラーゼ測定 ― 急性膵炎
28,誤っている組み合わせはどれか。番号を解答記入欄( 28 )にマークしなさい。,筋電図 ― 神経内科,前立腺触診 ― 泌尿器科,平衡機能検査 ― 耳鼻咽喉科,ホルター心電図 ― 脳神経外科,細隙灯顕微鏡検査 ― 眼科
29,生理機能検査でないのはどれか。番号を解答記入欄( 29 )にマークしなさい。,脳波検査,心電図検査,肺機能検査,筋電図検査,細胞診検査
30,安静時の心電図のみで診断できるのはどれか。番号を解答記入欄( 30 )にマークしなさい。,心不全,不整脈,狭心症,弁膜症,心筋症
31,超音波検査が有用でない臓器はどれか。番号を解答記入欄( 31 )にマークしなさい。,眼,肺,心臓,乳房,甲状腺
32,検査法と対象臓器の組み合わせで誤っているのはどれか。番号を解答記入欄( 32 )にマークしなさい。,仮想内視鏡 ― 大腸,経鼻内視鏡 ― 副鼻腔,超音波内視鏡 ― 胆管,経食道超音波 ― 心臓,カプセル内視鏡 ― 小腸
33,処方せんに記載する必要がない事項はどれか。番号を解答記入欄( 33 )に2つマークしなさい。,患者の氏名,患者の住所,被保険者番号,患者の連絡先,患者の生年月日
34,診療報酬点数表に定める一般処置に含まれないのはどれか。番号を解答記入欄( 34 )にマークしなさい。,穿刺,創傷処置,鼻腔栄養,熱傷処置,酸素吸入
35,医薬品について正しいのはどれか、番号を解答記入欄( 35 )にマークしなさい。,QRコードを使用する 。,HOTは国際標準である 。,薬価に関するコードがある 。,バーコードの表示義務はない。,JANコードの表示が義務づけられている 。
36,血液製剤でないのはどれか。番号を解答記入欄( 36 )にマークしなさい。,新鮮凍結血漿,凝固因子製剤,アルブミン製剤,ステロイド製剤,ガンマグロブリン製剤
37,放射線治療に関係しないのはどれか。番号を解答記入欄( 37 )にマークしなさい。,IVR,腔内照射,リニアック,組織内照射,サイバーナイフ
38,リハビリテーションの対象にならないのはどれか。番号を解答記入欄( 38 )に2つマークしなさい。,腎不全,嚥下障害,心筋梗塞,慢性閉塞性肺疾患,糖尿病性神経障害
39,検査当日に結果を報告できない検査はどれか。番号を解答記入欄( 39 )に2つマークしなさい。,尿半定量検査,迅速病理検査,ホルター心電図,細菌感受性検査,単純レントゲン撮影
40,クリニカルパスと関係がないのはどれか。番号を解答記入欄( 40 )にマークしなさい。,時間軸,標準化,アウトカム,バリアンス,プロブレムリスト
41,介護保険について正しいのはどれか。番号を解答記入欄( 41 )にマークしなさい。,加入は任意である。,保険料は全国一律である。,要介護認定の申請は市町村に行う。,担当介護士がケアプランを作成する。,介護認定審査会は医師会が設置する。
42,診療ガイドラインについて正しいのはどれか。番号を解答記入欄( 42 )にマークしなさい。,世界共通のものである。,患者は知る必要がない。,エビデンスとは無関係である。,施設間格差の解消に寄与する。,診療を行う上で従うことが義務である。
43,POS(Problem Oriented System)の説明として誤っているのはどれか。番号を解答記入欄( 43 )にマークしなさい。,SOAP形式で記載する 。,第1段階がPOMRである。,構造化された診療記録である 。,診療録電子化のために開発された。,記載、監査、修正の3段階からなる 。
44,看護記録のうち必要に応じて記載するのはどれか。番号を解答記入欄( 44 )にマークしなさい。,熱型表,看護計画,看護サマリ,看護経過記録,患者基本情報(基礎情報）
45,通常、病棟管理日誌に記載しないのはどれか。番号を解答記入欄( 45 )にマークしなさい。,入院患者数,退院患者数,採血患者数,看護度別在床患者数,救護区分別在床患者数
46,正しい組み合わせはどれか。番号を解答記入欄( 46 )に2つマークしなさい。,診療録 ― 医師法 ― 5年保存,手術記録 ― 医療法 ― 3年保存,調剤録  ― 薬剤師法 ― 2年保存,救急救命処置録 ― 医療法 ― 2年保存,助産録 ― 保健師助産師看護師法 ― 5年保存
47,誤っているのはどれか。番号を解答記入欄( 47 )にマークしなさい。,標準偏差は分散の正の平方根である 。,偏差は各測定値と平均値との差である 。,標準偏差が小さいほどデータのばらつきは大きい。,分散は偏差の二乗の総和を標本数で割ったものである 。,標準誤差は標準偏差をデータ数の平方根で除したものである。
48,優、良、可、不可という評価尺度の分類はどれか。番号を解答記入欄( 48 )にマークしなさい。,順序尺度,名義尺度,分類尺度,比率尺度,間隔尺度
49,正しいのはどれか。番号を解答記入欄( 49 )に2つマークしなさい。,正規分布では、平均値、最頻値、中央値は等しい。,平均値は観測値の総和を個数で割ったものである。,パーセンタイル値は、データ度数がもっとも多い値である。,昇順に並んだ100個のデータの中央値は、50番目の値である。,最頻値は度数分布表(ヒストグラム)のもっとも右端に位置する。
50,多変量解析はどれか。番号を解答記入欄( 50 )に2つマークしなさい。,多重比較,主成分分析,重回帰分析,Kaplan - Meier法,wilcoxonの順位和検定
