2011IS,解答,解説
1,5,手術部門は手術時に血液製剤を取り扱うが、そのオーダに関わる血液型、製剤名、製造番号のほか、実施情報や副作用情報等の管理は輸血部門で行われることが多い。1)各種医療材料の在庫情報は材料部門で管理される。2)診療報酬請求に伴う返戻情報は医事部門で管理される。3)検体検査の検査基準値は臨床検査部門で管理される。4)医薬品情報は薬剤部門で管理される。
2,2.4,医療機関、特に病院では常に医療行為が行われ、システムの安定稼働が必要要件である。また、職員にシステム操作や運用を周知徹底することも重要である。1)オフラインではなくオンライン業務である。3)医療で取り扱う情報は機微性が高く、一般企業よりもセキュリテイヘの配慮が必要である。5)個人情報保護や適正使用は当然のこととして、情報の二次利用は重要で、二次利用を前提としたシステム構築が必要である。
3,4,1)個人情報保護の基本は「自己情報コントロール権」である。2)第三者提供には本人同意が必要であるが、法令に基づく場合等は例外が認められている。また、医療提供のために必要で、かつ院内掲示されている場合には、原則として黙示による同意が得られていると判断される。3)医療情報のセキュリティ管理には当該施設の情報システムに精通していることが必要で、医事部門とは限らず、多くは医療情報部門の長がその任を負う。5)検査等の業務を委託する場合、外部監査機関への情報提供等は「第二者」への情報提供には該当しない。
4,3,プライバシー権とは「自己情報コントロール権」、すなわち、自己情報がどのように扱われるかを知り、コントロールする権利のことである。1)診療録は、開示、内容訂正・追加・削除、利用停止・消去、第三者への提供停止の権限を有する情報であり、「保有個人データ」に相当する。5)法律の適用範囲は「生存している個人」である。「医療・介護関係事業者における個人情報の適切な取り扱いのためのガイドライン」では、本人の死亡後にも同等の安全管理措置を講ずることを求めている。
5,3,OECDの 個人情報保護 8原 則 とは、「収 集制限の原則」、「データ整合性の原則」、 「目的明確化の原則」、「利用制限の原則」、 「安全保護の原則」、「公開の原則」、「個人参 加の原則」、「責任の原則」である。「情報開 示の原則」は、「公開の原則」「個人参加の 原則」の双方の内容を含むと考えられる。
6,1,一次利用は本来の収集目的のために利用することで、患者に直接還元するものであるのに対して、二次利用は本来の目的以外に利用することである。感染症対策会議ヘの健康保菌者リストの報告は病院内における感染管理対策のために情報抽出したものであり、二次利用にあたる。2)～4)いずれも診療目的の利用である。5)診療報酬請求に関わる医療行為の公的書類作成であり、一次利用にあたる。
7,2,入退室管理、盗難/窃視防止などは、物理的安全対策である。1)第1版が2005年3月に出された後、2007年に第2版、2008年に第3版、2009年に第4版が出されたが、診療録等の保存を行う場所を「民間事業者等との契約に基づいて確保した安全な場所」とするために一部を改定し、2010年3月に第4.1版となった。
8,4,外部保存における「安全な場所」としては、緊急時であっても対応できるシステム(バックアップ、電源の冗長化など)を構築しておくことが必要である。外部からの侵入等でデータが紛失しないことも必要であり、保存区域への出入りやデータの持ち出しが容易であってはならない。また、データの送受信が安全確実に行えることも必要である。緊急時に簡単に出入り可能であるところは平常時もそうであると考えられるので、4)は適切でない。
9,2,入力内容に間違いがないことを承認することで真正性の確保にあたる。1)標準形式で記録することは、相互運用性を確保するために重要なことであり、保存性、見読性の確保に必要である。3)、5)不適切な保管・取り扱いによる情報の滅失、破壊を防ぐために、サーバ室等へは許可された者以外が入室できないような対策を施す、アクセスの履歴をとるなどの必要がある。これらの対策は真正性の確保につながる面もあるが、保存性の確保が大きな目的である。4)冗長性確保は見読性の確保に有用であるとともに、保存性の確保にも有用である。
10,2,見読性を確保するためには情報の所在管理が必要不可欠である。1)記録の確定手順の確立は、真正性確保のために行う。3)アクセスコントロールは、作成者の識別および認証のため、すなわち真正性確保のために必要な機能である。4)情報毀損時のバックアップデータによる復元ができることは保存性確保のために必要である。5)これも保存性確保のために必要な機能である。
