2011IS,問題文,選択肢,,,,
1,医療情報とその主たる管理部門との組み合わせとして一般的でないのはどれか。番号を解答記入欄( 1 )にマークしなさい。,在庫情報 ― 材料部門,返戻情報 ― 医事部門,検査基準値 ― 臨床検査部門,医薬品情報 ― 薬剤部門,血液製剤の製造番号 ― 手術部門
2,病院情報システムやその運用について、必要性の高い要件はどれか。番号を解答記入欄( 2 )に2つマークしなさい。,オフライン業務を確実かつ遅滞なく処理できる。,24時間365日使用できる安定性、耐故障性がある。,セキュリテイは一般企業のシステムより低くてよい。,医療従事者や事務職員に対して運用開始前に十分な訓練を行つ。,個人情報保護のため情報の二次利用ができないように構成する。
3,病院における情報管理について正しいのはどれか。番号を解答記入欄( 3 )にマークしなさい。,患者自身の情報コントロール権には配慮する必要がない。,承諾なしに、本人の医療情報を第三者に提供することはない。,医療情報セキュリテイ管理者は、通常医事部門の長がこれにあたる。,診療録電子化後も、情報開示請求に備えて紙に出力できる機能が必要である。,日本医療機能評価機構や外部監査機関等へ情報を提供する場合も、情報の第三者提供にあたる。
4,個人情報保護について誤っているのはどれか。番号を解答記入欄( 4 )にマークしなさい。,診療録のデータは保有個人データである。,公開されている個人情報も保護の対象である。,プライバシーとは「個人情報を守ること」である。,個人情報とは個人を識別できる情報のことである。,「個人情報の保護に関する法律」は、生存者に適用されると規定されている。
5,OECDの個人情報保護8原則に含まれないのはどれか。番号を解答記入欄( 5 )にマークしなさい。,責任の原則,利用制限の原則,情報開示の原則,個人参加の原則,データ内容(整合性)の原則
6,情報の二次利用にあたるのはどれか。番号を解答記入欄( 6 )にマークしなさい。,感染症対策会議に健康保菌者リストを報告した。,当該患者の治療方針を決定するため専門医に見せた。,病状説明など当該患者とのコミュニケーションに用いた。,転院先の医療機関に診療経過を記載した紹介状を書いた。,査定額を減らすために高額な診療行為に症状詳記をつけた。
7,「医療情報システムの安全管理に関するガイドライン」について誤っているのはどれか。番号を解答記入欄( 7 )にマークしなさい。,平成21年に引き続き、平成22年にも改訂が行われた。,入退室管理、盗難/窃視防止などは人的安全対策として記載されている。,外部機関と診療情報等を連携する場合に取り決めるべき内容が記載されている。,制度上の要求事項・考え方・最低限のガイドライン・推奨されるガイドラインが記載されている。,DCAサイクルを適切にまわしながら、改善活動をともなう継続的な運用を行うことが記載されている。
8,「医療情報システムの安全管理に関するガイドライン」のなかの「外部保存を受託する機関の選定基準及び情報の取り扱いに関する基準」の制度上の要求事項に記載されている「安全な場所」として適切でないのはどれか。番号を解答記入欄( 8 )にマークしなさい。,火災、地震等の災害にあってもデータが消失しないところ,外部からの侵入などによリデータが紛失や破損しないところ,停電等が起きた場合に補助電源に切り替えることができるところ,緊急時に簡単に出入り可能でデータを持ち出すことができるところ,送信側の医療機関と受信側の事業者との間のデータ送受信が確実にできるところ
9,電子診療録の真正性確保を目的として行うのはどれか。番号を解答記入欄( 9 )にマークしなさい。,標準形式による記録,代行入力させた内容の承認,機器設置場所への入室制限,システム障害対策としての冗長性確保,情報へのアクセス履歴の保存とその管理
10,電子診療録の見読性確保を目的として行うのはどれか。番号を解答記入欄( 10 )にマークしなさい。,記録の確定手順の確立,分散している情報の所在管理,各種入力操作に応じた権限管理,情報毀損時のバックアップデータによる復元,ウイルス等による情報の破壊および混同の防止
11,外部保存契約終了時の処理について正しいのはどれか。番号を解答記入欄( 11 )に2つマークしなさい。,保存期間の過ぎたデータの廃棄は、受託側機関の裁量に任される。,廃棄が確実に行われたことを証明するような記録を残す必要がある。,委託機関側は受託側の廃棄にともなう情報漏えいの責任をもたない。,委託機関でデータを管理していれば、受託側で監査する必要はない。,検索に使用した台帳や検索記録の機密性を確保しなければならない。
12,医事会計システムに電文を送る必要がないのはどれか。番号を解答記入欄( 12 )にマークしなさい。,DPC登録,地域がん登録,放射線オーダ,入退院オーダ,検体検査オーダ
13,オーダ送信の際に感染症情報を送信する必要がないのはどれか。番号を解答記入欄( 13 )にマークしなさい。,処方オーダ,手術オーダ,病理オーダ,放射線オーダ,検体検査オーダ
14,中央診療部門以外で診療情報が発生することを考慮しておかねばならないのはどれか。番号を解答記入欄( 14 )に2つマークしなさい。,脳波検査,MRI検査,心電図検査,超音波検査,PET-CT検査
15,次のオーダのうち、オーダを受ける部署と最終実施部署が異なるのはどれか。番号を解答記入欄( 15 )に2つマークしなさい。,注射オーダ,手術オーダ,入院処方オーダ,病理検査オーダ,検体検査オーダ
16,オーダエントリシステムについて誤っているのはどれか。番号を解答記入欄( 16 )にマークしなさい。,処方オーダの運用は、外来と入院とで異なる。,病理検査オーダには、手術後の組織診断が含まれる。,放射線オーダの単純撮影は、予約検査として運用する場合が多い。,検体検査オーダにおいて、外来迅速検査は加算対象として算定できる。,輸血オーダでは、同時に交差適合試験用のオーダも出せるシステムがある。
17,処方監査の機能を備えるシステムとしてもっとも適切なのはどれか。番号を解答記入欄( 17 )にマークしなさい。,医事会計システム,薬剤部門システム,輸血部門システム,物流管理システム,臨床検査部門システム
18,薬剤に関するシステムについて誤っているのはどれか。番号を解答記入欄( 18 )にマークしなさい。,薬剤名称検索では3文字以上の文字入力が望ましい。,注射オーダでは投与した薬剤を確定する必要がある。,外来注射オーダでは、インスリンは自己注射薬として扱われる。,内服薬については、1日量から1回量への記載の変更が検討されている。,特定生物由来製品は、使用記録を20年以上保存することが義務づけられている。
19,検体検査部門システムについて正しいのはどれか。番号を解答記入欄( 19 )に2つマークしなさい。,検体到着処理を行ってから検査を実施する。,取り扱うデータはテキストデータのみである。,すべての検査は自動分析装置で行うことができる。,同一医療機関の同一検査項目であれば、基準値は一定である。,院内で実施する検査と院外で実施する検査の両方の流れを考慮する必要がある。
20,生理機能検査システムについて正しいのはどれか。番号を解答記入欄( 20 )に2つマークしなさい。,予約システムとの連携が重要である。,取り扱うデータ量は検査項目ごとに一定である。,検査結果は数値または画像データとして表現される。,実施される場所はオーダ登録後変更されることはない。,検査結果を外来や病棟からオンラインで参照できるシステムが増えている。
21,病理検査システムについて正しいのはどれか。番号を解答記入欄( 21 )にマークしなさい。,オーダした時点で作成する標本枚数が決まる。,1オーダに対して検体ラベルが1枚発行される。,オーダされた内容とは別に、追加検査が必要になることがある。,発生する情報は、オーダ情報と病理医が作成する報告書に大別される。,検査に時間を要するので、即時に結果を返すことを考慮する必要はない。
22,放射線検査部門システムについて正しいのはどれか。番号を解答記入欄( 22 )にマークしなさい。,検査で使用する医療材料は取り扱わない。,放射線検査はすべてクローズ予約検査である。,診療放射線技師等職員の放射線被曝線量を管理する。,放射線検査オーダでは、1オーダ1画像の関係にある。,造影剤を使用するオーダには、アレルギーや腎機能の情報が必要である。
23,看護管理を支援するシステムはどれか。番号を解答記入欄( 23 )に2つマークしなさい。,与薬管理システム,看護職員管理システム,物品物流管理システム,看護勤務管理システム,看護ワークシート出カシステム
24,看護師の実施入力機能について誤っているのはどれか。番号を解答記入欄( 24 )にマークしなさい。,処置については実施入力機能が必要である。,保清等の日常生活援助にも実施入力機能は必要である。,輸血については、実施入力後に副作用の確認が必要である。,内服薬は払い出し時に実施扱いとなるため、実施入力機能は不要である。,ベッドサイドで患者とオーダと薬剤を確認することによって投与間違いを防ぐ。
25,看護記録について誤っているのはどれか。番号を解答記入欄( 25 )にマークしなさい。,看護記録はSOAPで記載することが望まれる。,看護過程は、アセスメント、計画、実施、評価のサイクルからなる。,看護記録は、看護診断、看護計画など医師の記述と異なる形式がある。,看護記録の電子化は、看護用語が標準化されていたため容易に進んだ。,バイタルサイン等のデータをグラフにした電子化されたフローシートが使われている。
26,歯科・口腔外科領域のシステムについて誤っているのはどれか。番号を解答記入欄( 26 )にマークしなさい。,医事システムと連携が必要な各科検査のひとつに歯周組織検査がある。,病名登録システムでは、歯が喪われた後でもその部位に病名をつける機能が必要である。,放射線オーダでは、病名のついている複数部位から撮影部位を選択する機能が必要である。,診療予約システムでは、担当医の予約と生理機能検査の予約を連携させてとれる機能が必要である。,金冠や義歯など歯科技工物に関するオーダでは、物流システムと貴金属情報を連携させる機能が必要である。
27,次の(　)内に入るべき用語を語群のなかから選び、番号を解答記入欄 ( 27 )～ ( 29 )にマークしなさい。,"""( 27 )5,( 28 )4,( 29 )8""","""( 27 )4,( 28 )5,( 29 )3""","""( 27 )7,( 28 )3,( 29 )8""","""( 27 )1,( 28 )8,( 29 )7""","""( 27 )2,( 28 )4,( 29 )3"""
28,レセプト電算処理システムについて正しいのはどれか。番号を解答記入欄( 30 )にマークしなさい。,院内審査は画面上で行わなくてもよい。,病名コードは標準病名マスタの管理コードを使う。,電子カルテと連動した場合、レセプトチェックは必要でない。,レセプトデータはフロッピーディスクで提出する必要がある。,レセプトデータをオンラインで送付できない場合は、電子媒体で提出しなければならない。
29,情報システム導入にあたり病院側が主となって行うのはどれか。番号を解答記入欄( 31 )に2つマークしなさい。,結合テスト,データベース設計,病院内業務の見直し,操作マニュアル作成,運用マニュアル作成
30,電子カルテシステムの端末数の検討にあたって適切でないのはどれか。番号を解答記入欄( 32 )にマークしなさい。,部門の特性に応じて端末の種類を決定する。,部門ごとに業務フローを考慮して端末数を決定する。,各部門でスタッフ数に比例するように端末数を決定する。,端末の故障の際に業務が滞らないよう予備機を確保しておく。,医療情報の入力や参照される場所を把握して端末を設置する。
31,病院情報システム開発の要求分析の段階でもっとも必要とされるメンバーは誰か。番号を解答記入欄( 33 )にマークしなさい。,病院全体の事務職員を掌握する事務長,実務経験は浅いが、コンピュータに詳しい病院職員,現場の業務は知らないが、決定権をもつ病院管理職,病院業務の知識はないが、システム開発には詳しいプログラマー,コンピュータについては素人だが、現場の業務に精通している病院職員
32,病院情報システムを開発する際、病院側とベンダ側のコミュニケーションで留意すべき事項として誤っているのはどれか。番号を解答記入欄( 34 )にマークしなさい。,議事録は会議のたびに作成し、速やかに確認を行う。,疑問点は、一定の数が集まってからまとめて解消する。,お互いの立場を尊重し、相互理解の意識と努力とが必要である。,言葉でのやりとりだけではなく、図による説明や確認が有効である。,議事録作成の担当は、病院側とベンダ側とで均等に分担する必要はない。
33,システム導入計画について適切でないのはどれか。番号を解答記入欄( 35 )にマークしなさい。,職員の業務量を考慮する必要がある。,導入目的を明確にすることが重要である。,現在のすべての課題を解決する必要がある。,業務遂行上の課題や要望事項を整理する必要がある。,業務内容について部門間の相互理解を深める必要がある。
34,病棟ナ一スステーション内に端末を配置する際、もっとも考慮する必要がないのはどれか。番号を解答記入欄( 36 )にマークしなさい。,病棟の病床数,病棟の収益性,病棟に勤務する職員の動線,収容されている患者の病態,病棟に勤務する職員の職種と人数
35,病院のシステム導入にあたって適切でないのはどれか。番号を解答記入欄( 37 )にマークしなさい。,リハーサルの実施はベンダが中心となって企画する。,要求仕様書は導入システムの規模がわかるように書く。,リハーサルでは各部門システムとの接続も確認する必要がある。,業務の流れにそった操作説明マニュアルを病院側が作成した方がよい。,本番稼働でトラブルが発生した場合の運用方法についても決めておく必要がある。
