2011JS,解答,解説
1,5,"大きな数を表す際には、1,000(10^3)倍ごとに異なる接頭語を用いる。1,000は長さや重さでよく使われるk(キロ)であり、その10^3倍の10^6がM(メガ)、10^9がG(ギガ)、10^12がT(テラ)である。したがって、大きい順に並べるとT > G > M > kとなる。"
2,4,論理積は、2つの条件が両方ともに真である場合に真となり、どちらかが真でない場合は偽となる論理演算である。問題の2進数1101と1100では、それぞれの数の桁ごとに論理積をとればよい。各桁の数字が両方とも1の場合は1、0と1の場合は0、両方とも0の場合は0となるため、1100が正解である。
3,5,2進数を16進数に変換するには、2進数を下の桁から順に4桁ずつに区切り、それぞれを16進数に変換するとよい。11100011は、1110と0011に分|ナられ、1110(2) = E(16)、0011(2) = 3(16)(カッコ内は進数をあらわす)となるため、11100011(2) = E3(16)となる。4桁の2進数と16進数の対応を知らなければ、それぞれ10進数に変換してから置き換えてもよい。その場合、1110 = 1×23 + 1×22 + 1×21 + 0×20 = 8 + 4 + 2 + 0 = 14(10) = E(16)、0011 = 0×23 + 0×22 + 1×21 + 1×20 = 0 + 0 + 2 + 1 = 3(10) = 3(16)となる。
4,3,マイクロホンは、動画像ではなく音声データの入力に用いる。1)マウスはその位置の移動量を伝える。2)キーボードは押されたキー(文字)の情報を伝える。4)スキャナは静止画像の情報を読み取り、コンピュータに伝える。5)バーコードリーダは規格化された白と黒の縞模様のバーコードを読み取る。
5,5,RAID5では、故障時などに記録データを修復するための情報(パリティ)を複数デイスクに書き込む(ストライビング)ため、1台のディスクが故障してもデータを復旧することができる。ただし、同時に2台以上故障するとデータは回復できない。1)RAID1はミラーリングであり、ストライピングではない。2)RAID1はパリティをミラーリングするのではなく、まったく同じデータを2台のデイスクに書き込むものである。3)RAID5は3台以上のデイスクで構成される。4)RAID0は単にデータを複数のデイスクに分散書き込みするだけなので、1台が故障するとすべてのデータが失われる。
6,3,プログラムで書かれた命令を実行する際、プログラムはメインメモリ上に呼び出(保存)される。一連の処理が終わると、プログラムはメインメモリ上から削除される。1)スキャナは静止画像を読み取るだけであるが、コンピュータにOCR(文字を読み取り特定する機能)ソフトが導入されていると、スキヤナが読み取った画像データを文字として表示できるので、文字情報も扱えると考えられるかもしれないが、誤解である。2)デイスプレイの解像度はサイズに関係なく設定されており、サイズと解像度は比例関係にない。4)ラドユアフレコアCPUは、CPU内音6にコアを2つ持つことで処理を二重化し、高速性を実現しているが、CPUモジュールは1つであるため信頼性は向上しない。5)一般に利用されているパーソナルコンピュータ向けのCPUは、CPU内部に制御装置と演算装置が組み込まれており、それぞれの装置を独立に交換することはできない。
7,3,SDメモリカードは半導体メモリの一種で、電気的な特性による情報の記録を実現しており、赤外線は使われていない。1)BD-Rではデータの記録および読み出しにレーザ光が使われる。2)HDDはHard Disk Driveの略記であり、堅いディスク(盤)に塗布された磁性体を偏極することによって情報が記録される。4)USBメモリは書き換えが可能であるため、RAM型のメモリと間違えやすいが、電源を切断した後もデータを保持できるROM(Read Only Memory)であるフラッシュメモリが使われている。
8,5,フラッシュメモリはROMに分類されるが、利用者がデータを書き込み。消去できるEPROMの一種である。ただし、書き込み。消去の回数には制限がある。1)SRAMでは一度書き込まれた記憶内容は、電源供給中は削除命令がない限りは保持されるため、再書き込み(リフレッシュ)は必要ない。2)USBメモリは何度でも書き換え可能と思われがちであるが、フラッシュメモリなので、書き換え可能回数の制限がある。3)DRAMでは記録する領域が動的に変わって行くため、記憶内容を保持するためには定期的な再書き込みが必要である。4)マスクROMは一度しか書き込みができないメモリであり、製造時に書き込まれた内容を変更できない。
9,5,タイムシェアリング処理は、1台のコンピュータのCPUが処理できる時間を細かく切り分けて、処理プログラム(ユーザ)ごとに処理時間を割り当てることにより、見かけ上複数の処理プログラム(ユーザ)が同時に処理(利用)できるようにする処理方式である。1)バッチ処理は、手順を決めて複数の処理をまとめて実施する方式であり、一括処理とも呼ばれる。2)オンライン処理は、処理を行うコンピュータ(ホストコンピュータ)にネットワーク接続した状態(オンライン)でデータや命令を送り処理を行う形態である。3)リアルタイム処理は、処理要求のデータが来ると要求された時間内で直ちに処理する方式であり、ロボット制御や連続的な観測データの処理などに使われる。4)トランザクション処理は、データベースヘのデータ更新や削除などの処理を競合や障害が発生しないように管理されて行われる、ひとまとめの処理である。
10,5,XMLは、テキスト文書中の語句や文章に意味づけされたタグ(マークアップ)を付与した言語のことであり、プログラミング言語ではない。1)JavaScriptは処理手順を記述するための簡易言語であり、スクリプト言語に分類される。2)JavaはJavaScriptと名前は似ているが、スクリプト言語ではなく、C++と同じオブジェクト指向型のプログラミング言語である。3)BASICは命令文を逐次処理していくインタープリタ方式の言語である。4)FORTRANは数値処理に適した高級プログラム言語であり、科学技術分野でよく使用されている。
11,3,デジタルデータはアナログデータを一定間隔で取り出し(サンプリング)、その後データを一定範囲内に収める量子化処理により作られる。そのため、デジタルデータをアナログデータに戻すD/A変換を行っても、デジタル化の際に失われた情報は復元できず、もとの波形は完全には復元できない。
12,2,圧縮には、元のデータを完全に復元できるが圧縮率が低い可逆圧縮と、完全に復元できないが圧縮率を高くできる非可逆圧縮がある。1)圧縮データを元データに戻す処理は復号や伸張と呼ばれる処理で、圧縮データを再圧縮しても元のデータは復元できない。3)可逆圧縮は元の画像データの情報を完全に維持する圧縮で、解像度の変化をもたらすものではない。4)冗長なデータを削減する非可逆圧縮では元のテキストデータは得られないため、テキストデータの圧縮では可逆圧縮が用いられる。5)圧縮は元のデータ容量を小さくする目的で行われるもので、プログラムの処理速度の高速化とは関係ない。
13,2,無線LANでは、端末は同時にはひとつのアクセスポイントとしか通信できない。したがって、周囲のアクセスポイントが多くても通信速度は向上しない。1)アクセスポイントを介さずに、端末間で直接通信する方式をアドホックモードという。3)無線LANの電波は障害物のない所では100m程度到達するので、建物の構造によっては複数のフロアに到達し、他のフロアのアクセスポイントが利用できる。4)IEEE802.1lgは11チャネルあるが、同じ空間で各チャネルの電波が干渉しないために5チヤネル離れている必要がある。したがって、同時に使用できるチャネルは3つまでである。5)ローミングの定義である。
14,2,ESS-IDは、IEEE802.11準拠の無線LANの管理上におけるひとつのネットワークを識別するための識別子であり、同一のグループに属するアクセスポイントでは同じである。1)ホスト名は、アプリケーションで利用されるネットワーク上のノードの識別名である。3)WPAキーは暗号化のための鍵である。4)MACアドレスは、ネットワーク機器の製造時に与えられる機器固有のアドレスである。5)デフォルトゲートウェイは、IPネットワークにおいて他ネットワークヘIPパケットを転送できるノードの中でデフォルトとして選ばれたものである。
15,5,DHCP(Dynarnic Host Configuration Protocol)は、コンピュータ(クライアント)がネットワークに接続する際に必要な情報をサーバよリクライアントに提供するためのプロトコルである。IPレベルでの通信に必須な情報(IPアドレス、ネットマスク、経路情報など)だけでなく、アプリケーションレベルでの通信に必要な情報もある。そのひとつはDNSサーバアドレスである。1)ウイルスはクライアントおよびネットヮークを害するものであり、割り当てることはあり得ない。2)ユーザIDや4)メールアドレスは、コンピュータではなく利用者に与えられるものである。3)MACアドレスはネットワーク機器の製造時に割り当てられるもので、DHCPではMACアドレスをクライアントの識別に用いている。
16,5,物理層は物理的な仕様を定めるものであり、ネットワーク通信を郵便に例えるならば葉書の大きさや厚み、材質などの物理的な仕様を決めるものである。伝送媒体上でのビット列の電気信号としての表し方やネットワーク機器のコネクタの形状などを規定している。1)、3)、4)は論理的な仕様であり、上位の層の規格により規定される。2)データ衝突の回避はデータリンク層で規定している。
17,4,"伝送速度1Gbpsのネットワークシステムとは伝送効率が100%であれば、1秒間に1ギガビット、すなわち1,000メガビットのデータを送信できる能力があることを意味する。したがって、1枚8メガビットの画像は1秒間に1,000/8=125枚伝送できる。"
18,1,IPv4とIPv6のもっとも顕著な違いはアドレスの長さが32ビットから増えたことであるが、拡張されたアドレス空間は256ビットではなく、128ビットである。アドレス表記が4倍に増えただけであるが、これによって表現できる総アドレス数は2の96乗倍にもなり、無尽蔵とも言えるアドレスが利用できるようになる。2)、3)、4)はIPv6の基本的な仕様であり、5)はIPv6で強化されたセキュリティ機能である。
19,3,同一のサブネットに接続する端末は同一のネットワークアドレスを持つ。ネットワークアドレスはIPアドレスとネットマスクを2進数で表し、ビット毎の論理積をとることによって求められる。24ビットのネットマスクを10進数で表せば255.255.255.0であるから、IPアドレス192.168.13.10のネットワ‐―クアドレスは192.168.13.0となる。したがって、同一のネットヮークアドレスとなるのは2)と3)である。設間では既にIPアドレス192.168.13.10の端末が存在するので、別の端末のIPアドレスとして適切なのは192.168.13.24である。
20,2,複数のネットワークの間でデータを転送する機器のうち、ネットワーク層で接続するのがルータである。1)ハブは複数のネットワーク機器(コンピュータを含む)からのネットワークケーブルを物理層でひとつのLANに接続するための装置である。ただし、スイッチングハブはデータリング層で接続する装置である。3)ブリッジはデータリンク層で接続する。4)リピータは物理層で接続する。5)ゲートウェイには、アプリケーション層で2つのネットワークの中継を行うものと、ルータのうちネットワーク層より下位のプロトコルが異なるネットワークを繋ぐ役割を持つものとがある。
21,3,イーサネット規格の名称では、最初の数(10、100、1000)は伝送速度をMbpsの単位で表わしている。また、「-」の後はケーブルの種類を示しており、Tはツイストペアケーブル、LXやSXは光ケーブルを指している。
22,1,pingコマンドではICMP(Internet Control Message Protocol)のエコー通知要求およびエコー応答通知を利用することで、IPデータグラムが自ホストと相手ホスト間で双方向に到達可能であること、およびその所要時間などを調べることができる。2)OSPF(Open Shortest Path First)はルータ間で経路情報をやりとりするためのプロトコルのひとつである。3)PPTP(Point to Point : Tunneling Protocol)はPPP(Point to Point Protocol)をTCP/IPネットワークに通すためのプロトコルであり、VPNを実現するために用いられる。4)RARP(Reverse Address Resolution Protocol)はARP(Address Resolution Protocol)の逆の働きをするプロトコルであり、MACアドレスに対応するIPアドレスを知るためのプロトコルである。5)SNMP(Simple Network Management Protocol)はネットワーク機器やサーバの管理情報をMIB(Management lnformation Base)と呼ばれる情報の構造体を用いて、取得や設定を行うプロトコルである。
23,2,PoP(Post office Protocol)はメールサーバからメールを受信するプロトコルである。同様の機能を持つプロトコルとしてIMAP(Internet Message Access Protocol)がある。1)FTP(File Transfer Protocol)はファイルを転送するためのプロトコルである。3)SSH(Secure Shell)はリモートコンピュータにログインするためのプロトコルであり、通信を暗号化することができる。4)WEP(Wired Equivalent Privacy)と5)WPA(Wi-Fi Protected Access)は無線LANの通信を暗号化するためのプロトコルである。
24,3,関係データベースは対象を記述する各種データを複数の表で表現したものであり、集合演算により表を組み合わせて新しい表を生成したり、関係演算により特定の行や列を抽出したりすることができる。1)和と2)差は集合演算であり、3)選択、4)射影、5)結合は関係演算である。表から特定の行を抽出する演算が選択演算であり、列を抽出する演算が4)射影演算である。5)結合演算は2つの表について、結合する列の値が等しい行だけを抽出して結合する演算である。
25,3,DBMSはデータベースとそれを利用するアプリケーションとの伸介を行い、データの挿入、更新、削除や問い合わせなどを実行する。これらの一連の処理(トランザクション)の実行に際しては、データベースの整合性を維持する役割を担っている。また、データベースヘのアクセス権限の管理も行っている。しかし、データベースのウイルス駆除はDBMSの役割ではない。
26,2,関係データベースでは、データが1事実1箇所になるように表を分割する操作(正規化)を行い、データの重複(冗長性)を少なくする。したがって、正規化では表の数が増えるので、データ容量は多くなっても、少なくなることはない。1)は正規化の目的そのものである。正規化の結果として、3)表の中に関連性の強い項目が多くなり、4)属性間の依存関係は小さくなる。5)正規化の基本である。
27,4,指定した表から必要なデータを抽出する命令文はSELECTから始まるので、(27)は5)SELECTである。指定された列項目(属性)で並べ替えるにはORDERBY句を用いるので、(28)は3)ORDERである。1)DROP文は表やユーザを削除する。2)INNER(JOIN)句は複数の表間で共通の列を比較して同じ値をもつタプルだけを集め内部結合する。4)GROUPBY句は指定した列の値が等しいタプルをまとめてグループ分けを行い、そのグループの集計や平均値を求める際に用いる。6)CREATE文はデータベース、スキーマや表などを作成する。7)UPDATE文は表のデータを更新する。8)HAVING句はグループ化された結果に対して検索条件を満たすものだけを抽出する。
28,1,データモデルとは、データベースを各種アプリケーションから統一的に利用可能とするために、対象データとそれに対する操作を規定した共通の枠組みであり、概念モデル、論理モデルおよび物理モデルがある。物理モデルは論理モデルを使用するDBMSに合わせて修正し、インデックスやデータ構造などを規定するモデルであり、DBMSに密接に依存する。2)階層モデルと3)関係モデルは論理モデルである。4)ERモデルは概念モデルである。5)論理モデルは概念モデルをもとにしており、その表現形式のひとつである。
29,2,ヒット率は、指定されたSQLのイメージがキヤッシュの中にある確率のことで、大きいほどよい。1)応答時間は処理要求から結果が出力されるまでの時間、3)ロック待ち時間はデッドロック状態から解除までの時間、4)入出力待ち時間はアクセス後に処理が実行されるまでの時間、5)データ転送時間は一定量のファイルを転送する時間で、いずれもその値が小さいほどよい。
30,1,ログファイルにはデータベースに対して行われた操作履歴が書かれており、これを元に障害発生直前の状態に復旧できる。2)コミットとはトランザクション処理の最後で処理を確定することである。3)ロールバックとはデータベースをチェックポイントまで戻すことである。4)チェックポイントとは一定周期でデータベース(データバッファ)の内容をデイスク上に書き込む(nash)時点のことであり、これらの用語を用いた特定のファイルは存在しない。5)トランザクションファイルは日々発生するデータを記録したファイルであり、修復対象となるファイルである。
