2019JS,解答,解説
1,2,2進数を16進数に変換するには、2進数を下の桁から順に4桁ずつに区切り、それぞれを16進数に変換する。100000111111010は、下の桁から順に4桁ずつ区切り上から並べると「0100」、「0001」、「1111」、「1010」に分けられ(桁数が4の倍数でないので先頭に0をつけている)、各々 0100(2)=4(16)、 0001(2)=1(16)、1111(2)=F(16)、 1010(2)=A(16)(括弧内は進数を表す)となるため、100000111111010(2)=41FA(16)となる。また、4桁の2進数を、それぞれ10進数に変換してから16進数に書き換えてもよい。その場合は以下の通りとなる。0100 = 0 x 2^3 + 1 x 2^2 + 0 x 2^1 + 0 x 2^0 = 0 + 4 + 0 + 0 = 4(10) = 4(16)　0001=0 x 2^3 + 0 x 2^2 + 0 x 2^1 + 1 x 2^0 = 0 + 0 + 0 + 1 = 1(10) = 1(16)　1111=1 x 2^3 + 1 x 2^2 + 1 x 2^1 + 1 x 2^0 = 8 + 4 + 2 + 1 = 15(10) =F(16)　1010 = 1 x 2^3 + 0 x 2^2 + 1 x 2^1 + 0 x 2^0 = 8 + 0 + 2 + 0 = 10(10) =A(16)　以上の結果を順に並べると41FA(16)となる。
2,4,"""データ量を表す接頭辞はM<G<T<P<Eの順で、各々1,000倍(厳密には1,024倍)ずつ異なる。4)0.4EByteは、下位のPByteに置き換えると400PByteとなり、2)4PByteよりも大きいため4)のデータ量が最も大きい。なお、PByte=PetaByte(ペタバイト)、EByte=ExaByte(エクサバイト)を表す。"""
3,3,"""RGBの各色が8bitの場合、1画素あたりの容量は24bit(8bit×3色)となりByteに置き換えると3Byteとなる。問題の画素数の場合、1,920× 1,080× 3(Byte)で求められるので、計算すると6,220,800(Byte)≒ 6(MB)となる。"""
4,1,排他的論理和は、2つのビットを比較し、入力が「1」と「0」 、もしくは「0」と「1」ならば出力は「1」 、それ以外なら出力は「0」となる。間題では、16進数を2進数に変換した後、排他的論理和を計算すればよい。「92」を2進数に変換するには、9と2に分けて各々2進数に変換すると9(16)=1001(2)、2(16)=0010(2)となり「10010010」となる。同様に「A8」は、A(16)=1010(2)、8(16)=1000(2)となり「10101000」となる。これらの値の排他的論理和は以下の通りである。10010010　10101000　00111010　よって先頭の00を除いた1)111010が正解となる。
5,1,1)制御装置とは、主記憶装置に格納されているプログラムの指示に従って他の装置を制御するための装置である。2)記憶装置とは、データやプログラムの保存・記録を行うための装置であり、主記憶装置(メインメモリ)と補助記憶装 置 (外部記憶装置、ストレージ)に大別される。メインメモリは、実行中のプログラムや処理 中のデータを保持し、CPUの命令によって直接読み書きできる。3)演算装置とは、データ処理に関するさまざまな演算を行う装置である。4)入力装置とは、キーボードやマウスなどコンピュータにデータや情報、指示などを与えるための装置である。5)出力装置とは、デイスプレイ(モニタ)やプリンタなどコンピュータ出力されたデータを、人間に認識できる形で外部に物理的に提示する装置である。
6,1,1)バッチ処理は、手順を決めて複数の処理をまとめて実施する方式であり、一括処理とも呼ばれる。2)オフライン処理は、他のコンピュータとは接続されていない状態で、端末で入力したデータをその端末の記憶装置に一定量蓄積したあと、最終的に一括処理を行う形態をいう。3)オンライン処理は、処理を行うコンピュータ(ホストコンピュータ)にネットワーク接続した状態(オンライン)でデータや命令を送り処理を行う形態である。4)リアルタイム処理は、処理要求のデータが来ると要求された時間内で直ちに処理する方式であり、ロボット制御や連続的な観測データ処理などに使われる。5)タイムシェアリング処理は、1台のコンピュータのCPUが処理できる時間を細かく切り分けて、処理プログラム(ユーザー)ごとに処理時間を割り当てることにより、見かけ上複数の処理を同時に処理する方式である。
7,4,SSDは、4)フラツシュメモリに制御回路を追加して、ハードデイスクと同様に取り扱えるようにしたものである。1)、 2)SSDは電気的に読み書きを行うデバイスであり、光や磁気は使用しない。3)SSDで使用しているフラッシュメモリは、EEP―ROM(Electrically Erasable ProgrammableRead Only Memory)の一種であり、書き替え可能である。5)SSDは半導体メモリであり、ランダムアクセス可能である。
8,3,RAID10は、 RAID1+0とも呼ばれることもあり、RAID1によリミラーリングしたディスクアレイ(ミラーリンググループ)を、さらにRAID0でストライビングしたものである。ディスク2台でRAID1を構成した場合、実効容量はデイスク1台分、RAID0を構成した場合、実効容量はディスク2台分となる。RAID10で実効容量が最大となる構成は、RAID1の最小構成であるディスク2台でミラーリンググループを構成した場合である。全ディスク数が12台の場合、12 / 2=6つのミラーリンググループによるRAID0であり、3)6台分が正解である。
9,3,"""3)FHD(Full-HD)の解像度は1,920× 1,080である。1)ディスプレイにおける4Kの解像度は3,840× 2,160である。解像度7,680× 4,320は8Kである。これらの名称は、水平解像度が約4,000(4K)、 8,000(8K)ピクセルであることに由来する。2)HD(High Deinition)の解像度は1,366× 768である。 解像度1,920×1,200はWUXGA(Wide Ultra-eXtended Graphics Array)である。4)VGA(Video Graphics Array)の解像度は640×480である。 解像度800×600はSVGA(Super VGA)である。5)SXGA(Super XGA)の解像度は1,280×1,024であり、解像度1,024×768はXGAである。"""
10,5,5)非接触式ICカードは、カード内にアンテナとなるコイルを内蔵し、リーダーライターから発信される電波を用いて、動作に必要な電力の発生と、無線通信による情報の読み書きを行つ。1)磁気カードは、カード表面の磁性体に対して、リーダーライターの磁気ヘッドを用いて、磁気による情報の読み書きを行う。2)QRコードは2次元シンボルの1つであり、イメージセンサーを用いて光学的に情報の読み取りを行う。3)バーコードは、CCDセンサーやレーザ・LED光源と受光素子を用いて、光学的に情報の読み取りを行う。4)接触式ICカードは、リーダーライターとカード表面の端子を接触させ、カード内のICチップに電気的に接続して、情報の読み書きを行う。
