2019II,解答,解説
1,"3,5",一次予防は健康増進、疾病予防、事故予防、 二次予防は疾病の早期発見、早期対処、適切な医療と合併症対策、三次予防はリハ ビリテーション、再発予防がそれぞれの目的とされている。3)疾病の早期発見、5)治療や保健指導による重症化の予防は二次予防に該当するものであり、正しい。 1)再発予防は三次予防、2)予 防接種と4)生活習慣の改善は一次予防に該当する。
2,5,リスボン宣言は患者の権利宣言ともいわれるもので、1981年にリスボンでの世界医師会で採択された。5)(医療)パターナリズムとは医師側が権限を持って治療行為を施す医療父権主義のことで、むしろリスボン宣言における患者の自己決定権とは逆の考え方である。1)～ 4)の項目はリスボン宣言で最初に定めたものである。
3,5,「医師による診断・治療に関する十分な説明に基づく患者の同意」のことを5)インフオームドコンセントという。1)ターミナルケアは終末期医療のことであり、2)リビングウィルとは自らの終末期をどのように迎えたいかについての意思表示をいう。3)医 療専門職が患者の苦痛や苦悩、不安の共感に努める一方で患者は療養上必要な制約を守る。パートナーシップとはそのようにして築く両者の関係をいう。4)セカンドオピニオンとは、主治医以外の専門医に求める「意見」または「意見を求める行為」のことである。
4,3,地域包括ケアシステムとは、高齢者が住み慣れた地域で自立した生活が営めるよう住まい、医療、介護、介護予防、生活支援サービスが切れ目なく提供されることを目標としており、3)の医療費抑制を目的としたものではない。1)、2)、4)、5)はいずれも地域包括ケアシステムの目的である。
5,"2,5",2)一次利用は患者への直接還元が目的の利用と定義されるので、直接患者の医療給付、介護給付のよりどころとなる診療報酬請求は一次利用である。5)インフォームドコンセントも、患者自身が病状や治療を十分に理解し、どの医療を選択するかを合意納得するためなので、一次利用である。一方、1)医学研究、3)医療政策の立案や、病院の事業継続と目標達成のための4)病院の経営計画への利用は公益のためであり、一次利用にはあたらない。
6,3,保険診療は、健康保険法、国民健康保険法、高齢者の医療の確保に関する法律などに基づき、保険医療機関が、被保険者の病気やケガに対して行う診療行為(診療、検査、投薬、手術、処置など)のことで、3)帝王切開だけが保険適用である。1)健康診断や5)予防接種は予防医療であり保険診療とはならない。2)自然分娩や4)美容整形は保険診療とは認められていない。
7,2,2)厚生労働大臣が定める疾患に起因した咬合異常に対する嬌正歯科治療等、一部保険診療が適応になる場合がある。1)口腔外科のように歯科診療でも入院する場合があり、請求時も区別する。3)医 科と同様に社保 。国保共に毎月請求する。4)最近改善傾向にはあるが、未コード化病名は医科・歯科を問わず問題となっている。5)診療報酬明細書の様式は歯科独自のものである。
8,5,DPC/PDPSとは、傷病名と手術や処置、決められた合併症などをもとに作成された診断群分類であるDPCに基づいて、入院医療費を1日あたりの定額支払いをもとに算定する制度のことであり、5)が正解である。1)急性期の入院医療が対象である。2)DPCコードに該当する疾患が対象である。3)1入院あたりではなく、入院 1日あたりの点数が決めらているので、入院日数に応じて変化する。また手術等の出来高部分の点数との合算なので定額ではない。4)入院中の病状の変化や治療内容の変更に伴い、当初の診断群分類が入院中で変更になる場合がある。
9,"2,5",2)第20条に「自ら検案しないで検案書を交付してはならない。」とある。5)第22条に「患者に対し治療上薬剤を調剤して投与する必要があると認めた場合には、患者又は現にその看護に当っている者に対して処方箋を交付しなければならない。」とある。同じく第20条に「自ら診察しないで治療をしてはならない。」とあり慢性疾患であっても4)は誤りである。なお、オンライン診療を行っている疾患の延長とされる症状に対応するために必要な医薬品については、 医師の判断により、オンライン診療による処方が可能である。第24条に「医師は、診療をしたときは、遅滞なく診療に関する事項を診療録に記載しなければならない。」とあることより3)は誤り、また第24条2に「五年間これを保存しなければならない。」とあり、1)も誤りである。
10,3,3)特定健康診査の実施主体は保険者である。1)「健康増進法」および「高齢者の医療の確保に関する法律」に基づいて行われる。2)メタボリック・シンドロームに該当する生活習慣病の発症リスクの高い者を抽出する。糖尿病のみを対象としているわけではない。4)40歳から74歳までのすべての国民が対象である。5)腹囲とBMI(肥満度を示す体格指数)の基準を上回り、かつ血圧・血中脂質・血糖・喫煙の追加リスクを持つ場合に指導対象となる。
11,5,5)診療報酬の算定は基本的に診療行為の合計による出来高払いである。入院診療におけるDPC/PDPS制度において一部が包括払いとなるが、患者が選択できるわけではない。1)～4)はいずれもわが国の医療制度の特徴である。
12,2,介護保険の保険者は、原則として市町村および特別区である(介護保険法第 3条)。 要介護認定を受けようとする介護保険被保険者は、保険者となる2)市区町村に対し、要介護認定申請を行う。申請後、市区町村による認定調査、主治医意見書による一次判定、介護認定審査会による二次判定により要介護度および認定有効期間が最終判定される。市区町村は、介護認定審査会の判定結果を受けて、要介護認定の結果を被保険者に通知する。
13,1,"1)准看護師は、都道府県知事の免許を受け、医師、歯科医師または看護師の指示を受けて、傷病者もしくはじよく婦に対する療養上の世話、または診療の補助をすることを業とする者
をいう(保健師助産師看護師法第六条)。"
14,1,助産師の守秘義務は1)刑法第 134条に定められている。主な医療関係資格に係る守秘義務は以下の表の通りである。
15,5,厚生労働省の病院報告など、一般的には5)A/(B + C)÷2の計算式を用いて平均在院日数を求める。
16,2,2)インシデントレポートは、医療安全を目的として医療現場に内在する危険要素を把握するための情報収集ツールであり、 自主的な報告である。1)医療安全は、原因追究と事例から学ぶことが必要であるため、職員教育は有用である。3)インシデントレポートは、医療事故・医療過誤の発生を未然に防止することが主な目的であり、職員の能力評価には用いられない。4)有害事象は、医療行為を通じて患者に発生した
17,3,医療機器は、使用安全上のリスクの大きさから、高度管理医療機器、管理医療機器、一般医療機器に分類される。1)人工心臓弁、2)人工透析器、4)ペースメーカー、5)心血管用ステントは、機器の機能障害や副作用により生命や健康に重大な影響を与えるおそれがあることから高度管理医療機器に分類され、適切な管理が必要とされる。一方、3)電子内視鏡は、管理医療機器に分類される。
18,2,根本原因分析(RCA:Root Cause Analysis)とは、インシデントや有害事象の再発防止策を検討するために、事例をもとに根本的な原因を追究するための分析である。2)バリアンス分析はクリニカルパスの改善を目的として用いられる分析のため、誤りである。1)4M4E分析と3)SHELモデル分析は根本原因分析を行うための具体的な手法であり、4)、 5)は根本原因分析を行う前に必要なことであるため、正しい。
19,5,クリニカルパスは「患者状態と診療行為の目標、および評価・記録を含む標準診療計画であり、標準からの偏位を分析することで医療の質を改善する手法」と定義されている(日本クリニカルパス学会)。したがって、2)医療の質の向上が期待されるとともに、1)治療の標準化、根拠に基づく医療の実施、インフォームドコンセントの充実、業務の改善、3)チーム医療の向上 (推進)などの効果も期待されるため、4)平均在院日数の短縮の効果も期待できる。しかし、5)症例数の少ない疾患の治療法の確立を期待するものではない。
20,1,診療ガイドラインは科学的根拠に基づき、臨床現場における意思決定の際の判断材料の1つとして利用することを目的に作成されたものである。診療はガイドラインの情報に加え、患者の希望などを考慮のうえ、医療者と患者が合意の上で行われるものであるため、1)診療の画一化は誤りである。2)～5)はいずれも診療ガイドラインの目的としてあげられているものであり、正しい。
21,5,化学療法という用語は、感染症 (細菌、ウイルス)、悪性腫瘍、 自己免疫疾患の治療で用いられるが、今日、単に化学療法といった場合は、抗がん剤治療、つまり「がん化学療法」を指す場合が多く、他の治療法(外科手術、放射線療法など)と対比する場合に用いられる。5)急性白血病は血液のがんである。1)～ 4)はがんではない。
22,1,血糖値を下げる働きを持つホルモンは、膵臓から分泌される1)インスリンである。2)グルカゴンは同じく膵臓から分泌され、糖新生を促進して血糖値を上げる働きがある。3)オキシトシンは、下垂体後葉から分泌され、分娩時の子宮収縮、乳汁分泌を促すなどの働きがある。4)コルチゾールは、副腎皮質から分泌され、糖新生、蛋白質や脂肪などの代謝促進、抗炎症および免疫抑制などの働きがある。5)テストステロンは、主に性腺から分泌され、筋肉増大、骨格の発達などの働きがある。
23,5,臓器移植法で認められている臓器は、心臓、肺、肝臓、腎臓、膵臓、小腸および眼球である。主として生命維持に必須のものが対象である。5)牌臓は生命維持に必須の臓器ではないため、臓器移植の対象にはならない。1)～ 4)の臓器は生命維持に必須であり、臓器移植が行われる。
24,4,体をめぐった血液は右心房に集まり、右心室、肺動脈を経て肺に送り込まれる。肺に入って酸素を多く含んだ血液(動脈血)は、肺と左心房をつなぐ4)肺静脈から左心房、左心室に流れ込み、大動脈を介して全身に送られる。1)～ 3)、 5)の静脈には、臓器や全身に酸素を供給した後の、二酸化炭素を多く含んだ静脈血が流れる。
25,3,3)心房細動は不整脈の一種で、心房の異常な興奮により心房壁が十分に収縮せずに、けいれん様など不規則に運動する。その結果、心房内の血流がよどんで血栓を生じやすくなる。しばしば、この血栓は剥離して血管内に流れ込み末梢の動脈を閉塞する(心原性塞栓症)。なかでも脳梗塞(心原性脳塞栓症)は重篤な合併症となるため、血栓形成のリスクが一つでもある場合には抗凝固薬が用いられる。5)くも膜下出血で出血している者には、抗凝固薬は禁忌である。1)、 2)、 4)いずれも動脈硬化のリスク因子であり、動脈硬化が進展した場合には閉塞防止のために抗凝固薬が用いられることがあるが、これらの疾患の治療のために投与されることはない。
26,4,消化器系に属する臓器には、口腔、咽頭、4)食道、 胃、十二指腸、小腸、大腸、肛門、および1)肝臓、胆道、膵臓がある。循環器系には2)血管 (系)、心臓が属し、泌尿器系には3)腎臓、尿管、膀脱、尿道が属し、呼吸器系には、鼻腔、咽頭、喉頭、気管、気管支、細気管支、肺胞、内分泌系には、5)副腎、下垂体、松果体、 甲状腺、上皮小体、ランゲルハンス島、性腺が属する。
