2019II,問題文,選択肢,,,,
1,1次予防に該当するのはどれか。番号を解答記入( 1 )に2つマークしなさい。,再発予防,予防接種,疾病の早期発見,生活習慣の改善,治療や保健指導による重症化の予防
2,リスボン宣言に含まれないのはどれか。番号を解答記入欄(2)にマーしなさい。,秘密保持,自己決定権,尊厳性の尊重,代理人の役割,パターナリズムの普及
3,「医師による診断・治療に関する十分な説明に基づく患者の同意」はどれか。番号を解答記入欄( 3 )にマークしなさい。,ターミナルケア,リビングウィル,パートナーシップ,セカンドオピニオン,インフォームドコンセント
4,地域包括ケアシステムの目的でないのはどれか。番号を解答記入欄( 4 )にマークしなさい。,介護予防,生活支援,医療費抑制,認知症施策,医療・介護連携
5,診療情報の一次利用にあたるのはどれか。番号を解答記入欄( 5 )に2つマークしなさい。,医学研究,診療報酬請求,医療政策の立案,病院の経営計画,インフォームドコンセント
6,保険診療として認められているのはどれか。番号を解答記入欄( 6 )にマークしなさい。,健康診断,自然分娩,帝王切開,美容整形,予防接種
7,歯科の保険診療報酬制度の仕組みで正しいのはどれか。番号を解答記入欄(7)にマークしなさい。,保険請求時の入院・入院外の区別がない。,一部保険診療が認められる歯科矯正治療がある。,診療報酬請求は社保・国保を隔月で交互に行う。,電子レセプト請求で未コード化病名の問題は生じない。,診療報酬明細書(レセプト)の様式は医科と共通である。
8,DPC PDPSについて正しいのはどれか。番号を解答記入欄( 8 )にマークしなさい。,外来診療にも適用される。,すべての疾患が対象となる。,1入院あたり定額支払いの仕組みである。,一度決定したコードは入院途中で変更できない。,病名と手術と処置などの組み合わせでコードが決まる。
9,医師法について正しいのはどれか。番号を解答記入欄(9)に2つマークしなさい。,診療録は10年間保存しなければならない。,自ら検案をしないで検案書を交付することは禁止されている。,医師は診療終了後7日目までに診療録を記載しなくてはならない。,慢性疾患の患者については、診察を行わずに処方箋を発行できる。,薬剤を調剤して投与する必要がある場合には、処方箋を交付しなければならない。
10,特定健康診査について正しいのはどれか。番号を解答記入欄( 10 )にマークしなさい。,健康保険法に基づいて行われる。,糖尿病を対象とした制度である。,保険者が主体となって実施する。,50歳から74歳までが対象である。,受診者全員が特定保健指導を受ける。
11,わが国の医療制度について誤っているのはどれか。番号を解答記入欄( 11 )にマークしなさい。,国民皆保険制度である。,医療給付は現物給付である。,医療機関は自由開業制である。,患者は医療機関を自由に選択できる。,患者は包括払いと出来高払いを選択できる。
12,要介護認定の申請窓回はどれか。番号を解答記入欄( 12 )にマークしなさい。,主治医,市区町村,都道府県,サービス事業者,ケアマネージャー
13,国家資格でないのはどれか。番号を解答記入欄( 13 )にマークしなさい。,准看護師,介護福祉士,柔道整復師,診療放射線技師,あん摩マッサージ指圧師
14,助産師の守秘義務を定めている法律はどれか。番号を解答記入欄( 14 )にマークしなさい。,刑法,民法,医師法,医療法,保健師助産師看護師法
15,平均在院日数の計算式として正しいのはどれか。番号を解答記入欄( 15 )にマークしなさい。,A/B,A/C,A/B+C,A/(B+C)×2,A/(B+C)÷2
16,医療安全について正しいのはどれか。番号を解答記入欄( 16 )にマークしなさい。,医療安全の向上に職員教育は有用でない。,インシデントレポートは自主的な報告である。,インシデントレポートは職員の能力評価に用いられる。,有害事象は患者への影響度が比較的軽微なものを指す。,医療過誤は医療行為を通じて発生した傷害と定義されている。
17,医薬品医療機器等法で高度管理医療機器に分類されないのはどれか。番号を解答記入欄( 17 )にマークしなさい。,人工心臓弁,人工透析器,電子内視鏡,ペースメーカー,心血管用ステント
18,根本原因分析(RCA:Root Cause Analysis)について誤っているのはどれか。番号を解答記入欄( 18 )にマークしなさい。,4M4E分析が用いられる。,バリアンス分析が用いられる。,SHELモデル分析が用いられる。,複雑な事実関係を明らかにすることが必要である。,「事実」と「推測や判断」を区別することが必要である。
19,クリニカルパスにより期待される効果でないのはどれか。番号を解答記入欄( 19 )にマークしなさい。,治療の標準化,医療の質の向上,チーム医療の推進,平均在院日数の短縮,症例数の少ない疾患の治療法の確立
20,診療ガイドラインの目的でないのはどれか。番号を解答記入欄( 20 )にマークしなさい。,診療の画一化,医療の質の向上,エビデンスの提供,患者への情報提供,施設間格差の解消
21,化学療法が用いられるのはどれか。番号を解答記入欄( 21 )にマークしなさい。,喘息,糖尿病,脳梗塞,心筋梗塞,急性白血病
22,血糖値を下げる働きのあるホルモンはどれか。番号を解答記入欄( 22 )にマークしなさい。,インスリン,グルカゴン,オキシトシン,コルチゾール,テストステロン
23,臓器移植の対象でないのはどれか。番号を解答記入欄( 23 )にマークしなさい。,肺,心臓,腎臓,膵臓,脾臓
24,動脈血が流れている血管はどれか。番号を解答記入欄( 24 )にマークしなさい。,冠静脈,肝静脈,腎静脈,肺静脈,下大静脈
25,抗凝固薬が投与される疾患はどれか。番号を解答記入欄(25)にマークしなさい。,痛風,高血圧症,心房細動,脂質異常症,くも膜下出血
26,誤っている組み合わせはどれか。番号を解答記入欄( 26 )にマークしなさい。,肝臓 一 消化器系,血管 ― 循環器系,腎臓 一 泌尿器系,食道 一 呼吸器系,副腎 ― 内分泌系
27,尿検査の項目に分類されないのはどれか。番号を解答記入欄( 27 )にマークしなさい。,尿糖,尿潜血,尿比重,尿素窒素,尿タンパク
28,生理機能検査はどれか。番号を解答記入欄 ( 28 )にマークしなさい。,心電図検査,生化学的検査,マンモグラフィ,腫瘍マーカー検査,末梢血液一般検査
29,耳鼻咽喉科領域の検査はどれか。番号を解答記入欄(29)にマークしなさい。,眼底検査,色覚検査,呼吸機能検査,分腎機能検査,平衡機能検査
30,特定生物 由来製品の使用記録の保存期間を定めているのはどれか。番号を解答記入欄( 30 )にマークしなさい。,医師法,医療法,健康保険法,医薬品医療機器等法,保険医療機関及び保険医療養担当規則
31,医薬品の体内動態の過程でないのはどれか。番号を解答記入欄(31)にマークしなさい。,吸収,阻害,代謝,排泄,分布
32,誤っているのはどれか。番号を解答記入欄( 32 )に2つマークしなさい。,抗がん剤は専用の処方箋で処方する。,保険における医薬品の投与は原則7日分である。,麻薬を処方する場合は、麻薬施用者番号を記載する必要がある。,向精神薬は医薬品により処方可能な投与日数が制限されている。,新薬は原則として最初の1年間は処方可能な投与日数が制限されている。
33,看護診断分類はどれか。番号を解答記入欄(33)にマークしなさい。,NIC,NOC,ICNP,NANDA-I,SNOMED-CT
