2017II,解答,解説
1,4,4)「個人情報の保護に関する法律」(平成29年5月全面施行)第4章 第1節において、個人情報取扱事業者は個人情報を取り扱うに当たっては、その利用目的をできる限り特定しなければならない(第15条)、個人情報を取得した場合は、あらかじめその利用目的を公表している場合を除き、速やかに、その利用目的を本人に通知し、又は公表しなければならない(同第18条)とされている。よって、正しい。1)個人情報とプライバシーは同じ意味ではなく、個人情報は特定の個人を識別できる情報であり、プライバシーは伝統的には知られたくないことは人に知られずにいる権利であり、近年は自己の情報をコントロールする権利と解されている。よって、誤りである。2)プライバシーではなく個人情報の説明であり、誤りである。3)「個人情報の保護に関する法律」第4章 第1節 第28条より、請求を受けたときは本人に対し当該保有個人データを開示しなければならないとされており、誤りである。5)同姓同名者があるとしても、氏名は社会通念上、特定の個人を識別することができるものと考えられ、個人情報に該当すると考えられる。よって誤りである。
2,5,厚生労働省のホームページなどでは、本文中や図の説明の中で、「住まい・医療・介護・予防・生活支援が一体的に提供される地域包括ケアシステム」という表現で示されている。したがって、5)予防が正しい。最近では「住まい」を真ん中に置いた図が多く使われている。
3,1,1)インフォームドコンセントの根拠となる法律は医師法ではなく、医療法第1条の第2項に、「医師、歯科医師、薬剤師、看護師その他の医療の担い手は、医療を提供するに当たり、適切な説明を行い、医療を受ける者の理解を得るように努めなければならない。」と示されていることによる。インフォームドコンセントとは、医師が診断・治療のプロセス、傷病名、病状、治療の方法、治療法のもつ特徴・利点・危険性、および予後、複数ある場合にはそれらの比較などについて2)十分説明し、4)患者が十分に理解したうえで医療行為を行うことに同意するプロセスをいう。5)「患者の権利に関するリスボン宣言」ではインフォームドコンセントを含む患者の権利が明文化され、人間を対象とする医学研究の倫理的原則である3)「ヘルシンキ宣言」でインフォームドコンセントが倫理指針として定められた。
4,2,"""DPC/PDPSでは、5)入院基本料等、1)検査、4)画像診断、3)投薬、注射、処置 (1,000点未満)など、 病院の運営に要する「ホスピタルフィー的要素」は包括評価の対象である。これに対し、医師の専門的な技術を要する「ドクターフィー的要素」である2)手術、麻酔、放射線治療や、内視鏡検査、心臓カテーテル検査、病理診断などは出来高として算定される。したがって、2)が正解である。"""
5,4,4)保険診療との併用が認められている療養には、評価療養と選定療養がある。このうち、評価療養には先進医療のほか、医薬品や医療機器の治験に係る診療、医薬品医療機器等法承認後で保険収載前の医薬品や医療機器の使用、一部変更の承認申請がなされた薬価基準収載医薬品や保険適用医療機器、再生医療等製品の適応外使用がある。保険診療の禁止事項として、2)無診察治療の禁止(療養担当規則第12条)、 5)特殊療法・研究的診療等の禁止(同18条、19条、20条)、 1)健康診断の禁止(同20条)、濃厚(過剰)診療の禁止(同20条)、 特定の保険薬局への患者誘導の禁止(同第19条の3)、経済上の利益の提供による誘引の禁止(第2条の4の2)がある。また、3)予防的医療は保険外診療であり、保険給付の対象外である。
6,2.5,前期高齢者医療制度とは、65歳～74歳を対象とした健康保険や国民健康保険の医療費負担を調整するための制度である。すなわち、前期高齢者の加入人数の多い国民健康保険の財政支援を、若年者の加入の多い健康保険組合などからの「前期高齢者納付金」により行う。DPC/PDPSは適用される。医療費の自己負担割合は、70歳未満は3割、70歳から74歳までは2割(現役並み所得者は3割)である。したがって、2)、5)が正解である。
7,4,介護保険法の第 3条において、「市町村及び特別区は、この法律の定めるところにより、介護保険を行うものとする。」と定められている。したがって、4)が正解である。
8,4,4)訪問栄養食事指導は医師の指示に基づき、管理栄養士が患家を訪問して実施する業務である。一方で、歯科衛生士は歯科医師の指示に基づき、口腔機能スクリーニング、口腔機能アセスメント、管理指導計画作成、モニタリング、評価等の居宅療養管理指導を行う。1)、2)、3)訪問診療、訪問看護、訪問服薬指導は、それぞれ医師、看護師、薬剤師が担当する。5)訪問リハビリテーションは理学療法士の他、作業療法士、 言語聴覚士も携わる。
9,4,4)処方箋の作成は薬剤師の業務でない。処方とは、医師(歯科医師、獣医師を含む)が、特定の患者の特定の疾病に対し投薬の必要性を判断し、必要な医薬品を選定し、その分量、用法および用量ならびに使用する期間を定める一連の行為である。処方箋はその処方を文書としたもので、薬剤師に対しその処方に従って医薬品を整えることを求めるために、患者もしくは現に患者の看護にあたっている者に交付されるものである。1)、2)、3)、5)はいずれも薬剤師の業務である。
10,1,1)言 語聴覚士の業務は、言語訓練等を行うことである(言語聴覚士法第2条)が、これ以外に、診療の補助として、医師または歯科医師の指示のもとに、嚥下訓練、人工内耳の調整、機器を用いる一定の聴力検査、聴性脳幹反応検査、音声機能にかかわる検査および訓練、言語機能にかかわる検査および訓練、耳型の採型、補聴器装用訓練などを行うことができるとされている(同法第42条)。2)作業療法士、3)視能訓練士、4)理学療法士、5)臨床検査技師も医師(または歯科医師)の指示のもとに行う業務は法律に規定されているが、嚥下訓練ではない。
