2017JS,解答,解説
1,2,選択肢が2進数であるから、16進数の「36」を2進数に変換して足し算するとよい。16進数を2進数に変換するには、各桁を4桁の2進数に変換すればよいので、16進数の3と6をそれぞれ2進数に変換すると、36(16)=3(16)6(16)=001100110(2)=00110110(2)である。これと1010101②の足し算は桁上がりに注意して、00110110 + 1010101 = 10001011となるので、正解は2)である。
2,4,"10進数において大きな数を表現する接頭辞は、103=1,000倍ごとに、それぞれ、k(キロ:103)、 M(メガ:106)、 G(ギガ:109)、 T(テラ:1012)、 P(ペタ:1015)である。よって、T(テラ)は10の12乗 1012)を表すので、正解は4)である。"
3,3,各選択肢の計算値と「出力」を比較する方法で行うと、最初の行のX=0、 Y=0の結果が1になるのは、選択肢 3)と4)だけである。この2つのうち、次の行のX=0、 Y=1の結果が0になるのは3)のみであることから正解は3)である。また、真理値表から論理式を導出する加法標準形を求めると、出力が1になる場合に着 目してア・アが得られる(ただしNOT XをX、 ORを+、 ANDを。と表記)。これ変形すると
4,5,半角英数字や半角記号、改行コードなどの世界共通で多用される文字は1バイト文字と呼ばれ、7ビット長の1)ASCIIコードが使われる。その他の言語の文字を表すためには2バイト以上が必要でマルチバイト文字と呼ばれる。選択肢のうち2)EUC、 3)ISO-2022-JP、 4)Shift-JISでは、1バイト文字はASCIIコードで、マルチバイト文字は固定長の2バイトで表す。5)UTF-8は、世界中のすべての文字を共通の文字集合で扱うことを目指して定められた文字コード規格Unicodeの中のひとつのエンコード方法で、マルチバイト文字を2～4バイトの可変長で表している。よって、正解は5)である。
5,5,図ではデ―夕「ABCDEF」が「ACE」と「BDF」に分割(ストライビング)され、それぞれがミラーリングされて記録されている。ストライビングはRAID0、ミラーリングはRAID1であり、これらを組み合わせた図の方式をRAID 10という。方式の名称では10の順番であるが、記録する処理の順番のストライピング(0)→ミラーリング(1)とは逆であることに注意する。よって、正解は5)である。RAID 5は、ストライピングしたデータとそのパリティ値を各デイスクに分散して記録する方式であり、RAID 6はRAID 5の耐障害性をより高めたものである。
6,1,1)液晶ディスプレイ(LCD : Liquid Crystal Display)は、電圧をかけることにより分子の並び方が変わる液晶の性質を利用して、バックライトの光を通したり遮断したりして画面上の各ドットの表示を制御する方式であり、正解は1)である。2)CRT(Cathode Ray Tube)デイスプレイは、電子ビーム(陰極線)が画面の蛍光体を発光させる方式である。3)LED(Light Emitting Diode)ディスプレイは発光ダイオードが発光し、4)プラズマデイスプレイはガラス間に封入されたガスに電圧をかけてプラズマ状態にして発光させる。5)有機EL(Organic Electro_Luminescence)ディスプレイは画面に蒸着した有機化合物に電圧をかけて発光させる。
7,4,USB3.0の最大データ転送速度は4)5Gbpsである。USB3.1では、データ転送速度が5)10 Gbpsに向上している。USB1.1では、ロースピードモードで1)1.5 Mbps、フルスピードモードで2)12 Mbpsである。3)480MbpsはUSB2.0の最大データ転送速度であり、USBl.1との比較USB3.0の最大データ転送速度は4)5 Gbpsである。USB3.1では、データ転送速度が5)10 Gbpsに向上している。USB1.1では、ロースピードモードで1)1.5 Mbps、フルスピードモードで2)12 Mbpsである。3)480MbpsはUSB2.0の最大データ転送速度であり、USB1.1との比較でハイスピードモードと呼ばれる。
8,4,4)HDMI Type Aコネクタはデイスプレイやプロジェクタとパソコンをデジタル接続し、映像信号と音声信号を送る。1)D-sub 15ピンコネクタはデイスプレイとパソコンをアナログ接続するために使用される。2)RJ-45コネクタ(モジュラー式コネクタ)はネットワークケーブルを接続するのに用いられる。3)PS/2コネクタはマウスやキーボードの接続に使う。5)はシリアルポートで、ネットワークスイッチの制御端末などに使われている。
9,2,2)CD-ROMは、記録面ヘレーザー光線を当てることで物理的な凹凸を作り出し、データを記録する方式である1)BD-REは、レーザー光(青色半導体レーザー)を用いて記録面の物質の反射率の変化によるデータ記録を行う。3)HDD(ハードディスク)は磁気、4)SDカードや5)USBメモリは電気を用いて、データの読み書きを行っている。
10,1,補助記憶装置を主記憶(メモリ)の代わりとして利用する機能は1)仮想記憶である。仮想記憶により、大きなメモリ領域を必要とするプログラムの実行や巨大なファイルの処理が可能になるが、主記憶装置と補助記憶装置のアクセス速度に大きな違いがあるため処理速度が遅くなるという短所がある。そのため、仮想記憶を頼るのではなく、適切な主記憶装置 (メモリ)を備えることが重要である。なお、1)仮想記憶も含めて2)～ 5)も一般的なOSの機能である。
11,2,DBMSは、データベースマネジメントシステムの略であり、データベースとアプリケーションとの間を繋ぐ役割をすることから、2)ミドルウェアに分類される。3)ファームウェアとは、コンピュータなどの機器に組み込まれハードウェアを制御するソフトウェアを指す。4)デバイスドライバとは、プリンターなどの外部機器やパソコンに機能を追加するような拡張カードなどの機器をOSから制御するためのソフトウェアである。
12,5,5)のPerlはコンパイルの必要無しに処理 (逐次実行)されるインタープリタ言語に分類される。1)～ 4)は実行にあたって、コンパイラによる実行形式への変換(生成)が必要なコンパイラ言語である。なお、4)Javaは、JavaScriptとはまったく別物であるため注意が必要である。
13,2,2)コンパイルとは、プログラミング言語で書かれたソースコードを解析し、コンピュータが直接実行可能な形式のプログラムに変換することである。1)デバッグとは、プログラムの誤り(バク)を見つけ、修正することである。3)ハッキングとは、コンピュータを熟知した者がハードウェアゃソフトウェアの動作を解析したり、プログラムを改造・改良したりすることである。4)マイニング(データマイエング)とは、大量のデータからデータ解析の技法を適用して有用な知識を取り出すことである。5)リバースエンジニアリングとは、機械を分解したり、動作を観察したり、プログラムを解析したりすることで、その原理や構造、構成要素、ソースコードを調査することである。
14,4,4)JPEG形式は、ISO(国際標準化機構)とCCITT(国際電信電話諮問委員会)のカラー静止画像圧縮方式検討委員会によって標準化された静止画の圧縮方式である。1)最大256色の可逆圧縮方式は、GIF形式の特徴であり、JPEG形式は非可逆圧縮方式である。2)2値画像は完全な白色と完全な黒色の2色で表現された画像のことであり、JPEG形式はこの再現性に特化したものではない。3)タグとして解像度や圧縮方式の情報を持つ形式は、TIFF形式である。5)ビットマップ画像とベクタ画像をサポートするのは、PICT形式である。
15,5,5)WMVは、Microsoft社がMPEG-4を元に開発した方式により再生できる動画ファイル形式である。1)MP3は、Moving Picture Experts Group(MPEG)で策定されたオーデイオ規格である。2)PNGは、静止画像であるビットマップの可逆圧縮画像フォーマットである。3)TIFFは、画像のビットマップ長や解像度、圧縮方式をファイルの一部にタグで記述する静止画像の形式で、異なったシステム、アプリケーション間での画像交換や共有化に適した画像フォーマツ卜である。4)WAVは、Windowsで標準の音声データフォーマットである。
16,4,AがB(10)より大きくなった場合に終了することから、10より大きい正数の階乗のうち、最も小さいものを求める処理を表している。① [準備]iに0を代入し、Aに1を、Bに10を代入する。② [処理 1]iに1を加えてiに代入する。③ [処理 2]Aとiを乗じてAに代入する。④ [判断]判別式A>Bを満たすかどうかよって分岐する。満たさない場合は②に戻り、満たす場合は最後の出力処理に入る。
17,3,3)可逆圧縮では、圧縮したデータから元のデータを復元するとき情報の欠落なしに復元が可能であるため、解像度は保持される。1)非可逆圧縮は、データを一部削除するため、可逆圧縮方式に比べて圧縮率を高めることができる方法である。2)テキストデータの圧縮では、正確に元データに復元する必要があるため可逆圧縮を用いる。4)非可逆圧縮では、データの劣化やひずみが生じるため圧縮前のデータに完全に復元することはできない。5)可逆圧縮では、ひずみは生じない。
18,4,標本化定理とは、アナログ信号をデジタルデータに正確に変換するために、どの程度の間隔でサンプリングすればよいかを定量的に示した定理である。この定理により、原信号に含まれる周波数成分を正確にサンプリングするためには、原信号の周波数の2倍以上のサンプリング周波数が必要となる。したがって、上述の条件をみたす式は、選択肢 4)となる。なお、原信号の2倍以上であることから、fs=2fmaxも含まれ、標本化定理の正しい式は、fs≧ 2fmaxである。
19,5,"主キーは表の中の行を一意に識別するための列または列の組み合わせである。ひとつの表内の主キーに同じ値が複数あると、行を一意に識別することができないため5)はキーについて誤りの文(正解)である。1)、 3)はいずれも行の識別に必要である。2)外部キーは他の表との関連付けのために参照する列でありNullでも問題はない。4)候補キーは主キーの候補になりうる列または列の組み合
わせでありNullでは支障がある。"
20,4,"SQL文から実行結果は、事業所番号→患者番号の順に昇順に並んだもの、腹囲測定値が85以上の患者のみとなっているものが正しいことがわかり、正解は4)である。1)、 2)は""WHERE 腹囲測定値 >= 8""で指定される腹囲測定値85以上の条件を満たしていないので誤りである。""ORDER BY 事業所番号 , 患者番号""は、まず列""事業所番号""の順に並べ替え、次に列""患者番号""の順で並べ替えるという指定である。3)、 5)は昇順、降順の違いはあるものの、いずれも先に列""患者番号""の順で並べ替え、次に列""事業所番号""の順で並べ替えられており、そもそも設間の指定とは手順が逆になっているので誤りである。"
21,2,"まず""SELECT 受診科 FROM 外来診療記録""で列""受診科""が抽出され、""GROUP BY 受診科""により受診科ごとにグループ化される。そして""HAVING COUNT(4)>=3""により行数が3以上のグループのみが抽出される。したがって結果は、 表 “外来受診記録""の列""受診科""のうち3回以上出現している受診科の表となる。条件を満たすのは内科 (4回)と眼科 (3回)の2つ、つまり得られるデータの行数は2行になるため正解は2)である。"
22,4,CAT6は250 MHzまでの動作を保証するツイストペアケーブルの規格である(ANS1/TIA/EIA 568-B.2-1)。本来は1000BASE-TX用に制定されたが、現在では1000BASE-Tで主に使用される。10GBASE-Tへの対応も検証された(ANS1/TIA/EIA TSB-155)が、本来のCAT6規格では想定外の500MHzまでの特性緩和に対応するためにケーブル長の制限やコネクタの改良などの対応と特性の評価検証が求められており、CAT6規格として対応するとはいえない。したがって、CAT6規格としての最高転送速度は1000Bas-TXの1Gbpsであり、正解は4)である。なお、CAT6をベースとしつつ500 MHzまでの動作を保証する拡張規格としてAugmented CAT6(CAT6A)規格が別に制定されている(ANS1/TIA/EIA 568-B.2-10、 ISO/1EC25Nl173)。
23,3,ルータはIPアドレスを用いて転送の制御を行う中継機器である。IPアドレスを用いた伝送経路制御はネットワーク層で行うので、正解は3)である。なお、1)は送信元と送信先のコンピュータ間での通信手順、2)は同一ネットワーク内での機器間の符号伝送、4)は送信元と送信先のコンピュータ間でのデータ伝送、5)はアプリケーション内での通信手順の管理に、それぞれ対応する。
24,3,"帯域の単位とデータサイズの単位の違いに注意する。帯域の単位bpsはbit per secondの略で、1秒間に伝送されるデータのビット数を表す。データサイズの単位BはByteの略で、1Byte = 8bitと定義される。単位の接頭辞 MはMegaの略で、Byteでもbitでも10の6乗を表す。したがって、帯域1,000 Mbpsのネットワーク回線で40MB=40× 8 Mbitのデータ転送に要する時間は40× 8/1,000秒となるので、3)の0.32秒が正解となる。"
