2017IS,問題文,選択肢,,,,
1,通常、動画として記録される検査はどれか。番号を解答記入欄( 1 )にマークしなさい。,PET検査,造影CT検査,頭部MRI検査,眼底カメラ検査,心臓カテーテル検査
2,医療情報の一次利用にあたるのはどれか。番号を解答記入欄( 2 )にマークしなさい。,医学研究,病院経営管理,医療政策の立案,保健所への報告,診療報酬明細書の作成
3,平成29年5月30日に全面施行された改正個人情報保護法で規定される「個人識別符号」に該当しないのはどれか。番号を解答記入欄( 3 )にマークしなさい。,個人番号,携帯電話番号,基礎年金番号,運転免許証番号,指紋特徴データ
4,患者本人の同意が必要なのはどれか。番号を解答記入欄( 4 )にマークしなさい。,裁判所の令状によるカルテ開示,意識不明患者の病状の家族への説明,勤務先の上司からの問い合わせへの回答,児童虐待疑い所見の児童相談所への通告,一類感染症患者の診断の都道府県知事等への届出
5,D to P型の遠隔医療はどれか。番号を解答記入欄( 5 )にマークしなさい。,テレケア,テレナーシング,テレパソロジー,テレラジオロジー,テレカンファレンス
6,在宅患者への遠隔診療を行う際に必須なのはどれか。番号を解答記入欄( 6 )に2つマークしなさい。,代替手段の確保,保健所への届出,専用通信回線の設置,患者もしくは家族の同意,生体情報収集装置の設置
7,平成28年度診療報酬改定の診療情報提供料( I )の検査・画像情報提供加算及び電子的診療情報評価料に関する施設基準に該当しないのはどれか。番号を解答記入欄( 7 )にマークしなさい。,診療情報を電子保存していること,個人情報の保護を確実に実施すること,閲覧情報及び閲覧者名を含むアクセスログを記録していること,「医療情報システムの安全管理に関するガイドライン」を遵守すること,患者の医療情報に関する電子的な送受信又は閲覧が可能なネットワークを構築すること
8,地域医療連携システムにおいて、診療記録を相互に閲覧する目的で利用する場合に必須でないのはどれか。番号を解答記入欄( 8 )に2つマークしなさい。,閲覧されるデータはセンター管理する。,閲覧について患者の同意を取得している。,各病院のシステム運用管理規程を統一する。,閲覧可能な診療情報の内容を患者に説明する。,システム利用者に対するセキュリティ教育を定期的に実施する。
9,地域医療ネットワークシステムと関係がないのは番号を解答記入欄( 9 )にマークしなさい。,HL7,RIS,VPN,HPKI,DICOM
10,患者毎に医薬品アレルギーを登録し、薬剤オーダをするときに自動チェックするシステムを開発した。仕様と運用について適切なのはどれか。番号を解 答記入欄( 10 )に2つマークしなさい。,医薬品アレルギーの有無の初期値を「無」とした。,アレルギーを起こした医薬品はコードで管理できるようにした。,医療機関内の採用薬のみでチェック対象のマスターを作成した。,医薬品アレルギーの既往がないことを確認した日付を入力できるようにした。,アレルギーを起こした医薬品の名称はテキストのみで入力できるようにした。
