2017JS,問題文,選択肢,,,,
1,16進数の「36」と2進数の「1010101」の足し算の結果を2進数で表したのはどれか。番号を解答記入欄( 1 )にマークしなさい。,10001010,10001011,10011001,11011010,11011011
2,情報の単位の接頭辞のT(テラ)の表現として正しいのはどれか。番号を解答記入欄( 2 )にマークしなさい。,10の3乗,10の6乗,10の9乗,10の12乗,10の15乗
3,表の結果が得られる演算はどれか。番号を解答記入欄( 3 )にマークしなさい。,X OR Y,X AND Y,NOT (X OR Y),NOT (X AND Y),(NOT X) AND Y
4,データ長が可変である文字コードはどれか。番号を解答記入欄( 4 )にマークしなさい。,ASCII,EUC,ISO-2022-JP,Shift-JIS,UTF-8
5,複数台のハードデイスクを組み合わせ、図に示すようなデータの記録を行う方式はどれか。番号を解答記入欄( 5 )にマークしなさい。,RAID 0,RAID 1,RAID 5,RAID 6,RAID 10
6,バックライトを必要とするのはどれか。番号を解答記入欄( 6 )にマークしなさい。,液晶ディスプレイ,CRTディスプレイ,LEDディスプレイ,プラズマディスプレイ,有機ELデイスプレイ
7,USB3.0の理論上の最大データ転送速度はどれか。番号を解答記入欄( 7 )にマークしなさい。,1.5Mbps,12Mbps,480Mbps, 5Gbps,10Gbps
8,パソコンとプロジェクタをデジタル接続するために用いるコネクタはどれか。番号を解答記入欄( 8 )にマークしなさい。,,,,,
9,記録面の物理的な凹凸によってデータを記録するのはどれか。番号を解答記入欄( 9 )にマークしなさい。,BD―RE,CD ― ROM,HDD,SDカード,USBメモリ
10,補助記憶装置を使って主記憶装置の容量以上のメモリ領域を割り当てる機能はどれか。番号を解答記入欄( 10 )にマークしなさい。,仮想記憶,入出力管理,ユーザー管理,プロセス管理,周辺装置の制御
11,DBMSはどれに分類されるか。番号を解答記入欄( 11 )にマークしなさい。,BIOS,ミドルウェア,ファームウェア,デバイスドライバ,オペレーティングンステム
12,コンパイラ言語でないのはどれか。番号を解答記入欄( 12 )にマークしなさい。,C,C++,COBOL,Java,Perl
13,プログラミング言語で記述されたソースプログラムをコンピュータが実行可能な形式に変換する操作はどれか。番号を解答記入欄( 13 )にマークしなさい。,デバッグ,コンパイル,ハッキング,マイエング,リバースエンジニアリング
14,静止画像フォーマットであるJPEGについて正しいのはどれか。番号を解答記入欄( 14 )にマークしなさい。,256色の可逆圧縮方式である。,2値画像の再現性に特化している。,ファイルの一部に解像度や圧縮方式の情報を持つ。,ISOとCCITTにより標準化された画像形式である。,ビットマップ画像とベクタ画像をサポートしている。
15,動画像のファイル形式はどれか。番号を解答記入欄( 15 )にマークしなさい。,MP3,PNG,TIFF,WAV,WMV
16,図のフローチャートの実行結果はどれか。番号を解答記入欄( 16 )にマークしなさい。,"""i = 3, A = 6""","""i = 3, A = 24""","""i = 4, A = 11""","""i = 4, A = 24""","""i = 5, A = 24"""
17,データ圧縮について正しいのはどれか。番号を解答記入欄( 17 )にマークしなさい。,可逆圧縮は非可逆圧縮より圧縮率を高くできる。,テキストデータの圧縮には非可逆圧縮を用いる。,画像データを可逆圧縮しても解像度は維持される。,非可逆圧縮は圧縮前のデータに完全に復元できる。,音データを可逆圧縮すると再生時にひずみが生じる。
18,標本化定理を表した式はどれか。ただし、齢ax:再現したい信号周波数の上限、fs:サンプリング周波数とする。番号を解答記入欄( 18 )にマークしなさい。,fs < fmax,fs < 2fmax,fs = 2fmax,fs > 2fmax,2fs > fmax
19,関係データベースのキーについて誤っているのはどれか。番号を解答記入欄( 19 )にマークしなさい。,ひとつの表には必ず主キーがある。,外部キーの値として空値(Null)は許される。,主キーの値として空値(Null)は許されない。,候補キーの値として空値(Null)は許されない。,ひとつの表内に主キーの同じ値が複数あることは許される。
20,"""次のSQL文を実行した結果はどれか。番号を解答記入欄( 20 )にマークしなさい。SELECT 事業所番号 , 患者番号 FROM 腹囲測定記録テーブル　WHERE 腹囲測定値 >= 85　ORDER BY 事業所番号 , 患者番号:""",,,,,
21,"""表 “外来受診記録 ""に対して次のSQL文を実行したとき、得られるデータの行数はどれか。番号を解答記入欄( 21 )にマークしなさい。SELECT 受診科 FROM 外来受診記録　GROUP BY 受診科　HAVING COUNT(*) >= 3:""",1,2,3,4,5
22,(CAT6(カテゴリー6)規格のUTPケーブルにおける最大転送速度はどれか。番号を解答記入欄( 22 )にマークしなさい。,1Mbps,10Mbps,100Mbps,1Gbps,10Gbps
23,ルータはOSI基本参照モデルのどの層に属するか。番号を解答記入欄( 23 )にマークしなさい。,セッション層,データリンク層,ネットワーク層,トランスポート層,アプリケーション層
24,"""帯域が1,000 Mbpsのネットワーク回線で40 MBのデータを転送するのに要する理論上の時間はどれか。番号を解答記入欄( 24 )にマークしなさい。""",0.005秒,0.04秒,0.32秒,3.2秒,25秒
25,NATについて正しいのはどれか。番号を解答記入欄( 25 )にマークしなさい。,IPアドレスを変換する。,ポートアドレスを変換する。,ネットワークの設定を自動化する。,仮想プライベートネットワークを構築する。,ドメイン名とIPアドレスを分散的に管理する。
26,"""サブネットマスクが255.255.255.128である2つのネットワークに接続された端末A,B,C,Dのうち、ルータを介して相互に通信可能な端末の組み合わせはどれか。番号を解答記入欄( 26 )にマークしなさい。""",AとC,AとD,BとC,BとD,なし
27,通信経路を動的に制御するプロトコルはどれか。番号を解答記入欄( 27 )にマークしなさい。,ARP,NTP,PPP,RIP,SNMP
28,http://www.jami.Jp/indexhtmlにアクセスした際に、「404 Not Found」と表示された。原因として考えられるのはどれか。番号を解答記入欄( 28 )にマークしなさい。,ページが存在しない。,DNSサーバーが停止していた。,サーバーの内部処理が不正である。,ファイルヘのアクセス権がない。,当該のWebサーバーが停止していた。
29,Bluetoothについて正しいのはどれか。番号を解答記入欄( 29 )にマークしなさい。,赤外線を利用する。,青色可視光を利用する。,利用には免許が必要である。,2.4GHz帯の電波を利用する。,高速シリアルインターフェース規格である。
30,物理的な接続とは異なる仮想的なネットワークはどれか。番号を解答記入欄( 30 )にマークしなさい。,VDI,VLAN,VOD,WebDAV,WLAN
31,本人確認のための2要素認証として適切なのはどれか。番号を解答記入欄( 31 )にマークしなさい。,体重と性別,虹彩と静脈,ICカードとパスワード,中指の指紋と親指の指紋,異なる2つのパスワード
32,情報セキュリテイにおけるリスク対応の種類として定義されていないのはどれか。番号を解答記入欄( 32 )にマークしなさい。,リスクの移転,リスクの回避,リスクの低減,リスクの分析,リスクの保有
33,情報セキュリテイ対策の分類と実施例の組み合わせで正しいのはどれか。番号を解答記入欄( 33 )にマークしなさい。,物理的安全対策 一 外部委託管理,組織的安全対策 ― 利用ユーザーの棚卸,人的安全対策 ― 利用ユーザー向け研修,組織的安全対策 一 サーバー室の入退室管理,技術的安全対策 ― 医療情報システム運用管理規程の制定
34,データの暗号化を行い解 除キーの代わりに金銭を要求する不正プログラムはどれか。番号を解答記入欄( 34 )にマークしなさい。,ボット,アドウェア,キーロガー,スパイウェア,ランサムウェア
35,情報セキュリティの3要素 (CIA)に含まれるのはどれか。番号を解答記入欄( 35 )にマークしなさい。,完全性,見読性,真正性,信頼性,責任追跡性
36,個人情報入力が必要なWebサイトで安全な通信を実現するために利用されるプロトコルはどれか。番 を解答記入欄 ( 36 )にマークしなさい。,DES,OTP,UDP,VPN,SSL/TLS
37,デジタル署名で検知できるのはどれか。番号を解答記入欄( 37 )にマークしなさい。,盗聴,改ざん,漏えい,ウイルス感染,不正アクセス
38,共通鍵暗号方式について正しいのはどれか。番号を解答記入欄( 38 )にマークしなさい。,電子署名に利用される。,暗号化と復号で鍵が異なる。,受信者が送信者の秘密鍵で暗号化する。,通信相手ごとに異なる鍵で暗号化する。,公開鍵方式より暗号化アルゴリズムが複雑である。
39,問い合わせ高速化の仕組みを悪用して不正なドメインにアクセスさせる攻撃はどれか。番号を解答記入欄( 39 )にマークしなさい。,DDoS,DDNS,SQLインジェクション,DNSキャッシュポイズニング,クロスサイトスクリプティング
40,無線LANのセキュリティ規格はどれか。番号を解答記入欄( 40 )にマークしなさい。,CHAP,LDAP,SSID,Wi-Fi,WPA2
41,侵入を検知するために設置されるネットワーク機器はどれか。番号を解答記入欄( 41 )にマークしなさい。,IDS,IKE,UPS,WAF,WEP
42,ウォータフォールモデルにおける要求分析後の工程の順序として正しいのはどれか。番号を解答記入欄( 42 )にマークしなさい。,プログラム設計 →外部設計 →内部設計,内部設計 → プログラム設計 → 外部設計,内部設計 →外部設計 →プログラム設計,外部設計 →プログラム設計 →内部設計,外部設計 →内部設計 →プログラム設計
43,次のネットワーク図におけるクリティカルパスはどれか。番号を解答記入欄( 43 )にマークしなさい。,A → B → E → H → I,A → C → F → H → I,A → C → F → G → I,A → D → F → G → I,A → D → G → I
44,E-R図が表現するのはどれか。番号を解答記入欄( 44 )にマークしなさい。,実体と関連,作 業の手順,状 態変化の状況,デ ー タの処理プロセス,デ ー タと処理の組み合わせ
45,システムの信頼性を評価・検証する「信頼性評価指標(RASIS)」に含まれるのはどれか。番号を解答記入欄( 45 )にマークしなさい。,機密性,見読性,真正性,保存性,保守性
46,システム障害発生時、待機系に自動的に切り替える手法はどれか。番号を解答記入欄( 46 )にマークしなさい。,フェールセーフ,フェールソフト,フォールバック,フールプルーフ,フェールオーバー
47,"""運用時間が2,000時間に達したシステムにおいて、1回あたりの復旧に平均0.5時間を要した通算 4回のシステム停止があった。システム稼働率はどれか。番号を解答記入欄( 47 )にマークしなさい。""",94.00%,98.90%,99.40%,99.80%,99.90%
48,eラーニングを実現するための情報システムはどれか。番号を解答記入欄( 48 )にマークしなさい。,CMS,CSS,HAL,LMS,LTO
49,クラウドサービスモデルの一つであるIaaS(Infrastructure as a Service)が提供するのはどれか。番号を解答記入欄( 49 )にマークしなさい。,ハードウェア環境,アプリケーション機能,モバイル向け開発環境,OSとミドルウェアの機能,リモートデスクトップ環境
50,ユーザーがデータを対話的に分析するツールはどれか。番号を解答記入欄( 50 )にマークしなさい。,DWH,EDC,IDE,OLAP,RDB
