2017II,問題文,選択肢,,,,
1,正しいのはどれか。番号を解答記入欄( 1 )にマークしなさい。,個人情報とプライバシーは、同じ意味である。,プライバシーとは、特定の個人を識別する情報である。,本人から保有個人情報の開示請求があっても応じる必要はない。,個人情報を取得する場合、利用目的を明確にしなければならない。,同姓同名者がいるので、氏名は特定の個人を識別する情報ではない。
2,厚生労働省は、下図のような地域包括ケアシステムの構築を推進している。図中のaに該当するのはどれか。番号を解答記入欄( 2 )にマークしなさい。,訓練,就労,福祉,保険,予防
3,インフォームドコンセントについて誤っているのはどれか。番号を解答記入欄( 3 )にマークしなさい。,医師法に規定されている。,十分な説明が必要である。,ヘルシンキ宣言で明文化された。,患者が自己選択する権利である。,リスボン宣言で患者の権利として明文化された。
4,DPC/PDPSにおいて包括評価部分に含まれないのはどれか。番号を解答記入欄( 4 )にマークしなさい。,検査料,手術料,投薬料,画像診断料,入院基本料
5,保険診療との併用が認められるのはどれか。番号を解答記入欄( 5 )にマークしなさい。,健康診断,無診察治療,予防的医療,医薬品の治験に係る診療,特殊療法・研究的検査等
6,前期高齢者医療制度について正しいのはどれか。番号を解答記入欄( 6 )に2つマークしなさい。,60歳～74歳が対象である。,65歳～74歳が対象である。,DPC/PDPSは適用されない。,医療費の自己負担は一律1割である。,医療費の自己負担は収入により異なる。
7,介護保険の保険者はどれか。番号を解答記入欄( 7 )にマークしなさい。,都道府県,介護保険協会,介護保険事業所,市町村及び特別区,全国健康保険協会
8,在宅医療の種類とそれを提供する職種との組み合わせで誤っているのはどれか。番号を解答記入欄( 8 )にマークしなさい。,訪問診療 ― 医師,訪問看護 ― 看護師,訪問服薬指導 ― 薬剤師,訪問栄養食事指導 ― 歯科衛生士,訪問リハビリテーション ― 理学療法士
9,薬剤師の業務でないのはどれか。番号を解答記入欄 ( 9 )にマークしなさい。,調剤,服薬の指導,医薬品の供給,処方箋の作成,薬剤の情報提供
10,医師・歯科医師の指示のもとに嚥下訓練を行う職種はどれか。番号を解答記入欄( 10 )にマークしなさい。,言語聴覚士,作業療法士,視能訓練士,理学療法士,臨床検査技師
11,誤っているのはどれか。番号を解答記入欄( 11 )に2つマークしなさい。,看護師は業務独占である。,保健師は業務独占である,准看護師は国家資格である。,助産師は女性に限定された職種である。,看護師の人材確保の促進に関する法律に看護職員の定義がある。
12,わが国のメタボリック・シンドロームの判定に用いられないのはどれか。番号を解答記入欄( 12 )にマークしなさい。,血圧,脂質,体重,腹囲,血糖値
13,公共の場における受動喫煙の防止を規定している法律はどれか。番号を解答記入欄( 13 )にマークしなさい。,医師法,医療法,健康増進法,健康保険法,社会福祉法
14,医療の質に関する評価指標として適切でないのはどれか。番号を解答記入欄( 14 )にマークしなさい。,外来患者数,患者満足度,手術後死亡率,褥瘡発症患者数,ヒヤリハット件数
15,院内感染予防を目的に組織横断的に活動しているテームを指すのはどれか。番号を解答記入欄( 15 )にマークしなさい。,ICT,NST,RCT,DMAT,MRSA
16,医療安全管理に関係がないのはどれか。番号を解答記入欄( 16 )にマークしなさい。,質問紙法,4M4E分析,SHELモデル,根本的原因分析,インシデントレポート
17,医薬品医療機器等法で高度管理医療機器に分類されるのはどれか。番号を解答記入欄( 17 )にマークしなさい。,心電計,人工呼吸器,ネブライザー,手術用照明器,電子式血圧計
18,理学的診察に含まれないのはどれか。番号を解答記入欄( 18 )にマークしなさい。,視診,触診,打診,聴診,問診
