2021IS,解答,解説
1,4,ある文書を原本とするためには、その文書の作成日時と作成者を明らかにする必要がある。そのため、文書に日時を記入し、記名捺印ないし署名(サイン)を行う。一般的に、印刷された文書の変更は困難になることから、電子的に作成された文書を印刷した時点で文書が完成したものと考えられる。ただし、印刷するだけでは、その文書に作成日時や作成者の記載があるとは限らない。したがって、4)以外の条件では、印刷された文書に原本とする条件が整っているとは言えない。
2,4.5,診療情報の一次利用は、診断治療などその情報を当該患者に直接関係することに利用することである。本人や家族への説明、スタッフ間での情報の共有、術前術後などのカンファレンスヘの利用、診療情報提供書(紹介状)への利用、会計、診療報酬請求に利用することも一次利用にあたる。したがって、4)、 5)が一次利用である。二次利用は、情報を収集する本来の目的以外のために利用することで、公益のために活用する場合などをいう。1)～ 3)は二次利用である。
3,3,医療情報倫理は、患者および医療行為に関する「医療倫理」に、単に情報およびその管理に関する「情報倫理」を加えただけでは網羅されない概念である。電子診療記録はその患者の健康状態に重要な影響を与える判断の基礎として機能する。さらに、蓄積された情報は、医療機関のみならず、国や公共機関の意思決定に利用され、保健医療福祉サービスの改善に利用される。これらは、患者と診療記録の関係に由来する倫理的な制約が基礎にあることを忘れてはならない。よって、3)が誤りである。
4,5,5)ソフトウェアのインストールは、システム管理者の業務である。利用者がこれを無断で行うと、既存のソフトウェアに影響する可能性がある。1)、 4)医療情報システムの利用にあたっては、誰かから代行を依頼された場合でも操作者自身のIDでログインして真正性を確保する。代行を依頼した者は、遅滞なく代行入力された内容を確認して確定操作を行う必要がある。2)、 3)なりすましを防ぐことは、真正性を確立する上で不可欠である。医療情報技師育成部会のウェブサイトで公表している「病院情報システムの利用者心得(2021年5月改版 Ver2.0)」を参照されたい。
5,4,医療情報担当者倫理綱領は「施設」を評価するための基準ではなく、医療情報担当者の「行動」を評価するための基準である。よって4)は誤りである。医療情報担当者倫理綱領の他の目的は、医療情報担当者 自身の倫理指針、医療情報担当者の行動を規定する倫理的見識を一般の人々に明示することである。また、医療情報担当者は「患者」「医療従事者」「施設・雇用者」「社会」「自身」「職業」それぞれに対して責務を負う。したがって1)～ 3)および5)は正しい記述である。
6,4,4)可能な限り多くの診療情報を得るために、リアルタイムの視覚及び聴覚の情報を含む情報通信手段を採用することが求められている。すなわち文字、写真及び録画動画のみのやりとりで完結できない。1)、3)、5)厚生労働省の「オンライン診療の適切な実施に関する指針」で義務づけられている。2)医師が行うものは、診断や処方等を伴い得る「オンライン診療」と、伴わない「オンライン受診勧奨」に分かれている。
7,1,1)診 療所の電子カルテでは、VPNなどのネットワーク基盤整備や情報セキュリテイ対策を行えばクラウド型のシステムの利用が可能である。2)ORCAは日本医師会が提供する標準レセプトソフトウェアである。ORCA対応の電子カルテも存在するが、ORCAそのものは電子カルテシステムではない。3)診 療所も、レセプトはオンライン提出または電子媒体提出が原則である。このためレセプト電算処理システムは必要である。4)ORCAの利用は診療所の判断であり、義務ではない。5)診 療所の多くは無床であり、検体検査の多くを外部機関に委託するなど大規模病院とは必要な機能が異なる。このため診療所機能に特化されたシステムが必要である。
8,3,3)電子メールについては改ざん、なりすまし、誤送信などの可能性を排除できない。そこで本ガイドラインでは、「医療情報の安全なやりとりを完全には確保できないので、電子メールやSNSによる方式は本ガイドラインでは採用しない」とされている。実際の電子処方箋の運用は、4)→ 2)→ 1)→ 5)の順で行う。
9,1,1)要介護度の判定は、介護保険制度の保険者である市町村が行う。市町村の介護認定調査員は、被保険者の生活自立度などを調査した上でその結果を一次判定するための情報システムに入力する。これらの機能は設間の「事業者の介護支援システム」には含まれない。2)～5)介護事業者が行い得る業務なので、介護支援システムの機能に含まれる。
10,2,健康診断の目的は、受診者が自身の健康状態を把握し、健康の保持増進のため適切な行動を行うことができるように支援するものである。健康診断では、受診者が精密検査や治療が必要であるか、経過観察でよいか、健常な状態なのか、あるいは保健指導が必要な状態かどうか、などをレベル分けして示すことが一般 的である。一方で、一般的な病 院情報システムでは、異常値かどうか、緊急に処置が必要なのかどうかを判定して表示する。よって2)は健康診断に用いられるシステムの特徴といえる。1)、 3)～ 5)は一般診療でも必要とされる機能である。
11,2,2)この行為はある地域連携のシステムにおいて、医師がある患者の診療情報にアクセスする制御の一つの方法であり、名寄せではない。1)PDQ(Patient Dernographics Query)は複数の医療機関から患者を同定するための情報を取り出し、これをもとに患者の名寄せを行う。名寄せのデータとして各医療機関のサーバに対してその患者のIDの表がPIX(Patientldentiner Cross Retrencing)の情報である。3)統合IDを発行して、これに各医療機関のIDを付加する方法で、名寄せの一つの方法である。4)名寄せの一つの方法であるが、患者の一方的な資料なので確認する必要がある。5)ある患者に対しA病院はその患者のID番号を知っており、B病 院でのその患者のID番号を知ることで、名寄せすることになる。
12,3,IHEの統合プロファイルでは、3)ATNA(Audit Trail and Node Authentication)はネットワーク通信におけるノードのアクセスコントロールとログのプロファイルである。1)CT(Consistent Time)は、ネットワーク内のコンピュータの同期を図るもので、時刻サーバと関係する。2)PIX(Patient ldentinerCross Reirencing)は情報交換する医療機関のサーバ毎の患者 IDを伝えるもので、名寄せに関係する。4)XDS(Cross Enterprise DocumentSharing)は医療機関、健康管理組織 間でEHR、PHRの記録を共有し必要な情報を参照するプロファイルで、HL7のデータを商業活動で使われるebXML形式にしたものである。SS-MIXはHL7 v.2.5のデータを保存伝達するので、関係するといえる。5)XDS-I(Cross Enterprise Document Sharing for lmaging)は画像、画像診断レポート、これらに関連する情報にXDSを拡張したもので、DICOMサーバに関係する。
13,3,3)病院で使用する物品には、出庫にあたって処置物品のようにオーダ発行を前提とし患者と紐付けできるものもあるが、各部署の共用物品のように紐付けできないものも存在する。また、在庫管理業務には、ID等の患者基本情報は必要ない。そのため物流管理システムは、患者基本情報を使用せずに利用できる。1)、2)、4)、5)は、いずれもオーダ発 行を前提としており、患者基本情報を使用する。
14,5,図ではAに対して医師がオーダを入力し、Bに対して実施記録を送信しているのでAはオーダエントリシステムである。よって5)が正解である。1)部門システムは、図中にあるとおり「薬剤部門システム」等の各種システムをさしている。2)医事会計システムは、実施会計情報を受け取ってレセプト請求していることから、Dと特定できる。3)物流管理システムは、出庫請求を受け取り、発注に繋げていることからCと特定できる。4)電子カルテシステムは、医師や看護師が診療記録を入力・参照していることから、Bと特定できる。
15,2,2)医療情報システムの安全管理に関するガイドラインでは、個々の代行入力を確認しないで一括承認することは禁止されている。1)、 4)複数の患者の画面を同時に開くことで患者取り違えリスクが生じるため、その防止に有意義な機能である。3)タイミングが同じ検体では、患者の取り違えリスクを排除できないので採血時期を変えることでリスクを低減する。5)すでに開かれている他患者の画面を別の新たな患者の画面と誤認するリスクを低減できる。
16,削除,
17,4.5,注射実施時の三点認証とは、1)患者と2)薬剤と3)実施者の三点のバーコードを読み取ることにより、システム上のオーダ情報と照合することである。照合不可の場合、警告を発することができるため、医療安全に役立つ。注射オーダは、4)主治医以外の医師が行うことがあり、また、注射実施時にはオーダ医の情報は関係しない。5)実施場所も患者の状況、転科転棟により変わるため、三点認証には関係しない。
18,2,2)病名は、薬剤アレルギー情報には含まれておらず、医事会計システム(診療報酬明細書作成)との連携を配慮した患者の病歴情報の項目として扱われている。JAHISの基本データセットの「アレルギー情報」項 目は、アレルギー種別、アレルギーコード、アレルギー表示名称 (5)アレルゲン名称)、アレルギー有無、アレルギーコメント、症状コード、1)症状、3)発現日、情報提供日時、4)情報提供者 (アレルギー情報を医療者に提供した人)、 確認者、確認機関、確認日時の13項 目である。
19,1.3,医師事務作業補助者は、 自分のIDでログインしなければいけない。また、2)運 用管理規程を整備し、4)リスクの高いオーダは入力不可にするなど、代行入力の権限を規定する必要がある。5)医師事務作業補助者による記載は医師により承認されなければいけない。カウンターサインは、研修医などが作成した診療記録について、指導医がこれを確認して承認する行為をさす。よって、1)と3)が誤りである。なお、これらの事項は、厚生労働省通知「医師及び医療関係職と事務職員等の間等での役割分担の推進について」(平成19年12月28日医政発第 1228001号)に記載されている。
20,2,2)診 療報酬明細書は医事会計システムから出力されるので誤りである。オーダ権限は職種によって規定されるので、1)利用者認証が必要である。オーダエントリシステムは4)医師が検査、処置、処方、注射等の診療行為を医療スタッフに伝え、3)行為の承認、結果を行う一連のワークフローを構成するシステムである。また、5)診 療報酬明細書を作成する情報を医事会計システムに送信する。
21,1.5,1)外来診療では、診察の予約や各種検査の予約を登録・管理するために、予約管理機能が必要である。5)放射線検査は、検査の種類や対象臓器によって、検査実施者・検査室・検査装置を一定時間占有するものがあり、枠管理による予約が必要となる。2)病名登録は、初診時や病名が診断されたときに適宜行われるため、予約は不要である。3)病理組織検査は検体採取後に行われる検査であり、予 約は必要ない。4)処方オーダは、医師の診察後、患者に薬剤投与が必要と判断されたタイミングで行われる。
22,1,1)外来診療では、診察の予約や各種検査の予約を登録・管理するために、予約管理機能が必要である。5)放射線検査は、検査の種類や対象臓器によって、検査実施者・検査室・検査装置を一定時間占有するものがあり、枠管理による予約が必要となる。2)病名登録は、初診時や病名が診断されたときに適宜行われるため、予約は不要である。3)病 理組織検査は検体採取後に行われる検査であり、予約は必要ない。4)処方オーダは、医師の診察後、患者に薬剤投与が必要と判断されたタイミングで行われる。
23,1.3,歯科診療が歯単位で行われ、システムもそれに対応することを問う問題である。1)処置の重複防止などを目的に履歴は歯単位で保持し、正しい。3)異なる歯がう蝕 (=むし歯)に罹患すると病名重複するので、正しい。2)病名や診療行為の記載方法など医科レセプトとは書式が異なる。4)義歯は通常複数歯にわたり部位も複数選択が必要である。5)歯がなくても歯肉粘膜の疾病などで病名部位の選択が必要である。歯科診療が歯単位で行われ、システムもそれに対応することを問う問題である。1)処置の重複防止などを目的に履歴は歯単位で保持し、正しい。3)異なる歯がう蝕 (=むし歯)に罹患すると病名重複するので、正しい。2)病名や診療行為の記載方法など医科レセプトとは書式が異なる。4)義歯は通常複数歯にわたり部位も複数選択が必要である。5)歯がなくても歯肉粘膜の疾病などで病名部位の選択が必要である。
24,5,5)インシデントレポートシステムは、インシデント事例や医療事故に関するレポートを作成するシステムである。1)医薬品や医療材料の在庫、使用、発注を連動させたシステムである。2)病床を効率利用のために主にベッドコントロール部門で活用される。3)医師が検査や処方などのオーダを発行するシステムである。4)レセプト(診療報酬明細書)の内容の整合性をチェックできるシステムである。
25,1,1)調剤開始後の処方の修正は、原則、ロックをかけて変更不可とし、必要な場合は薬剤部門に連絡してロックを外す必要がある。2)、5)内服薬の表記は、平成22(2010)年から1回量と1日服用回数が標準となった。1回量は製剤量で表記することが標準とされ、原薬量で表記する場合には、「原薬量」と表記することとされている。3)「特殊の事情」として、海外渡航、年末年始、長期法定休日の理由があれば、日数制限のある薬剤を定められた日数以上に処方することが可能である。4)処方オーダではコメント情報として特殊な用法や、1回服用分をまとめる「一包化」などが追加される場合がある。
26,4,4)オーダ自体は投薬指示ごとに行うものなので1週 間分まとめてオーダすることは適切ではない。注射薬の投薬は指示と払い出し、実施が正しく行われ記録されることが必要であるので、指示から実施まで確実に間違えることなく行われるシステムが求められる。そのために1)、2)は行うべき方法である。3)定数配置されていない医薬品に関してはオーダごとに払い出す1本渡し方式となる。5)指示ごとに払い出しがなされると薬剤搬送や管理の手間がかかるため、払い出しをまとめて定時に一括することで薬剤搬送を効率よく行うことができる。
