2021II,解答,解説
1,3,「一次予防」とは、生活習慣や生活環境の改善を図ること、また健康教育による健康増進を図り、予防接種による疾病の発生予防、事故防止による傷害の発生を予防することである。「二次予 防」とは、発生した疾病や障害を検診などにより早期に発見し、早期に治療や保健指導などの対策を行い、疾病や傷害の重症化を予防することである。よって正しい組み合わせは3)である。1)健康増進、2)事故予防は一次予防、4)早期発見、5)合併症対策は二次予防である。
2,5,5)ストックホルム宣言は、1972年6月にストックホルムで開催された国際連合人間環境会議 (UNCHE)で採択された環境保全に関する諸原則について示した人間環境宣言のことである。患者の権利章典(Paient's Blll of Rights)は、1973年にアメリカ病 院協会がアメリカ合衆国憲法における人権章典を意識して採択した患者の権利を列挙したものである。医の倫理に関する宣言としては、医師の倫理規範を示したヒポクラテスの誓いに基づくジュネーブ宣言、人体実験に対する倫理規定を扱ったヘルシンキ宣言、患者の権利を謳ったリスボン宣言等がある。よって1)～ 4)は正しい。
3,2,2)推定される患者の意思を尊重することが、患者にとって最善の治療方針をとることになるので正しい。1)ケアチーム内で決定が困難な場合は、複数の専門家からなる委員会を別途設置し、治療方針等についての検討および助言を行うことが必要である。3)患者が拒まない限り決定内容を家族にも知らせることが望ましい。4)時間の経過、病状の変化、医学的評価の変更に応じて、また患者の意思が変化するものであることに留意して、その都度説明し患者の意思を再確認することが必要である。5)患者にとって何が最善であるかについて家族と十分に話し合い、患者にとって最善の治療方針をとることを基本とする。
4,3,3)セカンドオピニオンが正しい。1)ケアミックスとは、1つの病院で急性期医療と慢性期医療あるいは介護療養型の機能を併せもつことである。2)アドヒアランスとは、患者が積極的に治療方針の決定に参加し、その決定に従って治療を受けることである。4)インフォームドコンセントとは、医師が診断・治療のプロセス等を十分説明し、患者が十分に理解したうえで医療行為に同意することである。5)インフォームドデシジョンとは、患者が幅広く医師以外からも積極的に情報を収集し、 自分で意思決定を行うことである。
5,4,保険診療における一部負担金の割合は、原則として診療報酬の 4)3割である。義務教育就学前は2割、70歳以上75歳未満は2割、75歳以上は1割であるが、現役並みの所得があるものは3割負担となる。
6,2,診療報酬の点数は、医療の進歩や経済状況の変動などに対応するため、通常、2)2年に一度見直しが行われている。これを診療報酬改定と呼ぶ。直近の改定は2020年度であるが、2019年度は10月に消費税率が8%から10%に引き上げられたことに対応するため、臨時で診療報酬改定が行われた。
7,3,保険医療機関では、患者ごと、月ごとに診療報酬請求点数を集計して「診療報酬明細書」(レセプト)が作成される。保険医療機関はそこから患者 自己負担額を差し引いたものを、3)審査支払機関に請求する。審査支払機関には、「社会保険診療報酬支払基金 (支払基金)」と「国民健康保険団体連合会(国保連)」の2つがある。前者には「健康保険 (職域保険)」分を、後者には「国民健康保険および後期高齢者医療制度」分を請求する。
8,4,4)DPCコードは、傷病名(上 6桁、ICD-10で定義される)と手術や処置、副傷病や重症度などをもとに作成された14桁のコードで、このコードを決定する傷病名は、入院期間全体を通して治療した傷病のうち、もっとも人的・物的医療資源を投入した傷病名であり、4)が正解である。DPCコーディングにおける副傷病名は、1)入院時併存傷病名、2)入院後発症傷病名のことである。なお、DPC導入の影響 評価に係る調査では、ほかに主傷病名、3)入院の契機となった傷病名、1)入院時併存傷病名、2)入院後発症傷病名も対象となる。
9,1.4,1)禁煙外来は「ニコチン依存症」が疾病と認められたことより、一定の条件を満たせば保険が適用される。4)帝王切開は異常分娩であることより、保険給付の対象である。下表に示すものは、保険給付の対象とならない。
10,5,5)臨床心理士は、臨床心理学に基づいた知識や技術を用いて、人間のこころの問題にアプローチする専門家であり、公益財団法人日本臨床心理士認定協会が認定する民間資格である。その他、診療情報管理士、介護支援専門員(ケアマネージヤー)、 訪問介護員(ホームヘルパー)なども、各種団体等が認定する民間資格である。ちなみに医療情報技師は日本医療情報学会認定の資格である。
