21021JS,解答,解説
1,5,選択肢にある情報の単位の接頭辞は、それぞれ、G(ギガ)10^9、 T(テラ)10^12、 E(エクサ)10^18、 P(ペタ)10^15、 M(メガ)10^6である。各データ量は、1)4×10^9Byte、 2)4×10^12Byte、3)0.4×10^18Byte = 4×10^17Byte、 4)0.8×10^15Byte = 8×10^14Byte、 5)800× 10^6Byte = 8×10^8Byteとなり、最も小さいのは、5)である。
2,4,16進数の10進数への変換では、各桁を16進数から10進数に変換して、位の重みを掛けて足し合わせる。F(16) = 15(10)、 8(16) = 8(10)であるため、F8(16) = 15(10)× 16^1 + 8(10)× 16^0 = 15(10)× 16 + 8(10)× 1 = 248(10)となり、4)248が正解である。
3,3,2進数の和を16進数で表すには、各桁を足したのち、16進数に変換する。桁を揃え、桁上がりに注意して足すと、10010+ 1010 = 11100となる。これを下位から4桁毎に区切ると「1(2)」および「1100(2)」となる。1(2) = 1(16)、1100(2) = C(16)であり、3)1Cが正解である。
4,3,ベン図の網掛け部分は「A、 Bのいずれでもない」部分で、演算で表現すると、「NOT(A OR B)」となり3)が正解である。1)は、「AまたはB」の部分、2)は、「AかつB」の部分、4)は「AかつB」ではない部分、5)は「Aではなく、かつB」の部分でである。
5,1,"""24ビットカラーは1つの画素を24bit = 3Byteで表現するため、画素数1,600×1,200の画像8枚の容量は、3×1,600× 1,200×8 = 46,080,000Byteである。46,080,000Byte / 2^10 = 45,000KByte、45,000KByte / 2^10 ≒ 43.9 MByteであり2)、3)、5)の容量では保存できない。保存可能なのは、1)50MByte、 4)0.5GByte ≒ 500MByteであり、このうち最小の1)が正解である。"""
6,4,4)VDI(Virtual Desktop lnflastructure : デスクトップ仮想化)はリモートデスクトップ接続などを用いて、端末からホストコンピュータを利用する。1)仮想メモリ(Virtual Memory)はハードデイスクなどの補助記憶装置の一部を利用して主記憶装置の容量を超える大容量のメモリ領域を割り当てる機能である。2)仮想現実感(人工現実感 : Virtual Reality : VR)は想定する目的に対し、現実と同等と人間に認識させる環境を仮想的に作り出す技術である。3)サーバ仮想化(Server Virtualization)は一台のサーバを複数の仮想的なサーバとして別々のサービスやソフトウェアを動作させる技術である。5)アプリケーション仮想化とは、アプリケーションをユーザ各々のコンピュータにインストールするのではなく、サーバで保管・共有するシステムである。
7,1,LTO(Linear Tape-Open)はコンピュータ用磁気テープ技術 (規格)の一つである。1)磁気を用いて記録する。大量のデータを比較的低コストで保存することが可能なため、長期間保存するのに適している。
8,2,"""2)FHD(Full-HD)の解像度は1,920×1,080である。1)SXGA(Super XGA)の解像度は1,280×1,024である。3)WUXGA(Wide UXGA)の解像度は1,920×1,200である。4)DCI(Digital Cinema lnitiative)4Kの解像度は4,096× 2,160である。5)8Kスーパーハイビジョン(Super Hi-Vision,SHV)の解像度は7,680× 4,320である。"""
9,5,5)RAID10は、データをストライビング(RAID0)で分割した後、ミラーリング(RAID1)する。高速の読み書き速度と冗長性による信頼性を高める目的で用いられる。図では「ABCDEFGHI」が「ADG」「BEH」「CFI」にストライピングされた後、それぞれがミラーリングされて記録されている。3)RAID5はストライビングしたデータとそのパリティ値を各ディスクに分散して記録する。4)RAID6は2種類のパリティ値を用いることでRAID5の耐障害性をより高めたものである。
10,3,CPUにおける命令の実行手順は4つの過程(ステージ)に分けられる。3)①読込 : メインメモリからの命令読み込み(フェッチ)、 ②解読 : 命令の解読 (デコード)、 ③実行 : 命令の実行 (エグゼキュート)、 ④出力 : 演算結果のメインメモリヘの書き出し(ライトバック)の順で行われる。
