2008IS,解答,解説
1,1,解説なし
2,4,解説なし
3,2,解説なし
4,2.3,解説なし
5,4.5,解説なし
6,1.5,解説なし
7,1,解説なし
8,5,解説なし
9,4,解説なし
10,1.4,解説なし
11,2.5,解説なし
12,3.4,解説なし
13,1.3,解説なし
14,2,解説なし
15,3.4,解説なし
16,2.3,解説なし
17,3.5,解説なし
18,5,解説なし
19,1.5,解説なし
20,3.4,解説なし
21,1,解説なし
22,1.3,解説なし
23,4,解説なし
24,3.4,解説なし
25,4.5,解説なし
26,1.2,解説なし
27,2.5,解説なし
28,3,解説なし
29,2,解説なし
30,1.2,解説なし
31,1,解説なし
32,2,解説なし
33,3,解説なし
34,2.5,解説なし
35,3,解説なし
36,1,解説なし
37,2.5,解説なし
38,3,解説なし
39,1.2,解説なし
40,2,解説なし
41,1.3,解説なし
42,3,解説なし
43,3,解説なし
44,2,解説なし
45,5,解説なし
46,5,2を解答とした場合も可とする。解説なし
47,1,解説なし
48,1.5,解説なし
49,2,解説なし
50,1.5,解説なし
51,5,解説なし
52,3,解説なし
53,3,解説なし
54,1,解説なし
55,1,解説なし
56,2,解説なし
57,3,解説なし
58,1,解説なし
59,2.3,解説なし
60,3,解説なし
