2008JS,問題文,選択肢,,,,
1,10進数の「33」を2進数で表したのはどれか。解答記入欄( 1 )にマークしなさい。,100001,100011,100101,110001,110011
2,x、yをそれぞれ2進1桁の数とする。その和は2進数でabと表される。このとき、aとbを求めるための論理式はどれか。解答記入欄( 2 )にマークしなさい。,"""a = x AND y , b = x OR y""","""a = x AND y , b = x XOR y""","""a = x OR y , b = x AND y""","""a = x OR y , b = x XOR y""","""a = x XOR y , b = x OR y"""
3,英語、日本語、中国語など多言語に対応した文字集合を表現する規格はどれか。解答記入欄( 3 )にマークしなさい。,EUC-JP,ISO646,Shift-JIS,ASCII,Unicode
4,コンピュータを構成する装置のうち、主記憶装置に置かれたプログラムを解読し、他の装置に指示を出す装置はどれか。解答記入欄( 4 )にマークしなさい。,記憶装置,制御装置,演算装置,入力装置,出力装置
5,以下の文の(　)に当てはまる単語を語群から選び、解答記入欄( 5 )~( 6 )にマークしなさい。,"""( 5 )1,( 6 )5""","""( 5 )2,( 6 )6""","""( 5 )3,( 6 )7""","""( 5 )4,( 6 )8""","""( 5 )4,( 6 )7"""
6,以下の文の(　)に当てはまる単語を語群から選び、解答記入欄( 7 )~( 10 )にマークしなさい。,"""( 7 )1,( 8 )5,( 9 )2,( 10 )9""","""( 7 )2,( 8 )6,( 9 )1,( 10 )8""","""( 7 )3,( 8 )7,( 9 )3,( 10 )10""","""( 7 )2,( 8 )6,( 9 )2,( 10 )9""","""( 7 )4,( 8 )5,( 9 )1,( 10 )10"""
7,ハードディスクに関する記述として誤っているのはどれか。解答記入欄( 11 )にマークしなさい。,電源が切れても記録内容は保持される。,トラックとセクタという単位で管理される。,磁気へッドは記録面に接触している。,フラグメンテーションが発生することがある。,物理フォーマットと論理フォーマットがある。
8,オペレーティングシステムの役割でないのはどれか。解答記入欄( 12 )にマークしなさい。,電源の管理,周辺装置の制御,データベース管理,ネットワークのサポート,ユーザインタフェースの提供
9,プログラミング言語でないのはどれか。解答記入欄( 13 )にマークしなさい。,C,CGI,PHP,Java,Perl
10,以下は1から10の整数の和を求めるフローチャートである。フローチャート中の(　)に入れるべき式を語群から選び、解答記入欄( 14 )~( 16 )にマークしなさい。←は代入、i、xは変数、<、>は比較演算子を表す。,"""( 14 )1,( 15 )5,( 16 )7""","""( 14 )2,( 15 )6,( 16 )8""","""( 14 )3,( 15 )5,( 16 )7""","""( 14 )4,( 15 )6,( 16 )8""","""( 14 )2,( 15 )5,( 16 )7"""
11,静止画像・動画像のデータ形式でないのはどれか。解答記入欄( 17 )にマークしなさい。,AVI,BMP,MP3,MPEG,TIFF
12,無線LANに関する記述として誤っているのはどれか。解答記入欄( 18 )にマークしなさい。,最大伝送速度が異なる規格がある。,WEPやWPAなどの暗号化方式がある。,すべての規格は同じ周波数帯を利用する。,アクセスポイントにはESS-IDが設定される。,IEEE802.11gの最大伝送速度は54Mbpsである。
13,OSI参照モデルに関する記述として適切なのはどれか。解答記入欄( 19 )にマークしなさい。,HTTPはアプリケーション層である。,データリンク層がもっとも上位の階層である。,MACアドレスは物理層で用いるアドレスである。,各プロトコルが成立した時代ごとに整理したものである。,上位のプロトコルの通信内容は使用する下位のプロトコルによって変える必要がある。
14,TCP/IPモデルのアプリケーション層に該当するプロトコルのうち、誤っているのはどれか。解答記入欄( 20 )にマークしなさい。,ARP,FTP,POP3,HTTP,SNMP
15,ネットワークケーブルに関する記述として誤っているのはどれか。解答記入欄( 21 )にマークしなさい。,UTPはSTPより電磁ノイズに強い。,100BASE-TXは配線距離100メートル以内で用いる。,クロスケーブルを用いると2台のPCで直接通信ができる。,光ファイバ・ケーブルにはシングルモードとマルチモードがある。,UTPはSTPより電磁ノイズに強い。100BASE-TXは配線距離100メートル以内で用いる。クロスケーブルを用いると2台のPCで直接通信ができる。光ファイバ・ケーブルにはシングルモードとマルチモードがある。エンハンスドカテゴリ5のUTPで1000BASE-Tが実現できる。
16,IPアドレスが192.168.1.62で、サプネットマスクが255.255.255.128のとき、正しいネットワークアドレスはどれか。解答記入欄( 22 )にマークしなさい。,192.168.1.0,192.168.1.32,192.168.1.64,192.168.1.128,192.168.1.255
17,IPヘッダに含まれない情報はどれか。解答記入欄( 23 )にマークしなさい。,TTL,パケット長,プロトコル番号,宛先ポート番号,送信元IPアドレス
18,プライベートIPアドレスとNATに関する記述として適切なのはどれか。解答記入欄( 24 )にマークしなさい。,NATを用いるとファイアウォールを導入する必要はない。,プライベートIPアドレスを使うにはJPNICに申請が必要である。,プライベートIPアドレスは192.168で始めると決められている。,NATはプライベートIPアドレスからインターネット接続を行う際に利用される。,IPマスカレードはプライベートIPアドレスとグローバルIPアドレスを1対1に変換する。
19,DHCPでクライアントに割り当て可能なのはどれか。解答記入欄( 25 )にマークしなさい。,パスワード,通信帯域幅,MACアドレス,サブネットマスク,現在時刻
20,以下の文の(　)に当てはまる単語を語群から選び、解答記入欄( 26 )~( 27 )にマークしなさい。,"""( 26 )1,( 27 )7""","""( 26 )2,( 27 )8""","""( 26 )3,( 27 )5""","""( 26 )4,( 27 )6""","""( 26 )2,( 27 )6"""
21,XMLに関する記述として誤っているのはどれか。解答記入欄( 28 )にマークしなさい。,DTDが別途必要である。,手続き型のプログラム言語である。,構造化文書を記述する言語である。,Extensible Markup Languageの略である。,HTMLをXML準拠にしたものがXHTMLである。
22,インターネット上に構築された、あたかも専用線のようにみなせるネットワークはどれか。解答記入欄( 29 )にマークしなさい。,CATV,DHCP,VLAN,VPN,VRML
23,ファイアウォールに関係する記述として誤っているのはどれか。解答記入欄( 30 )にマークしなさい。,通信の記録を残すことができる。,パケットフィルタリング型は高速な処理を期待できる。,クライアントのセキュリティに関するメンテナンスは不要である。,サービス提供とセキュリティ確保を両立するためにDMZを作る。,アプリケーションゲートウェイ型ではアプリケーション毎の設定ができる。
24,データベースに関する記述として誤っているのはどれか。解答記入欄( 31 )にマークしなさい。,概念データモデルの1つをERモデルと呼ぶ。,一連の操作のかたまりをトランザクションと呼ぶ。,実世界の関係を記述したものを内部スキーマと呼ぶ。,データベースの操作・管理ソフトウェアをDBMSと呼ぶ。,関連性の強い項目を集め冗長性を排除することを正規化と呼ぶ。
25,関係データベースの正規化の目的として誤っているのはどれか。解答記入欄( 32 )にマークしなさい。,表の数を減らす。,重複を少なくする。,整合性を維持しやすくする。,関連性のある属性を集約する。,属性間の依存関係を小さくする。
26,以下の患者負担表に対して、次のSQL文で得られる表のデータの行数はどれか。解答記入欄( 33 )にマークしなさい。,2行,3行,4行,5行,12行
27,削除,,,,,
28,トランザクション処理がもつ特性でないのはどれか。解答記入欄( 35 )にマークしなさい。,隔離性,可用性,原子性,整合性,耐久性
29,複数のデータベース利用者が同時に同じデータを更新した場合に、論理的矛盾を生じさせないようにする仕組みはどれか。解答記入欄( 36 )にマークしなさい。,正規化,コミット,再編成,排他制御,ロールバック
